step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out.T_soft,read_out.T_sel
2000,0.419072,0.437294,0.417747,0.421814,0.414549,0.397949,0.643004,0.548984,0.516548,0.445581,0.512544,0.451024,0.677531,0.571085,0.515950,0.437465,0.508956,0.459311,0.682226,0.564366,0.499945,0.421074,0.479766,0.434058,0.650787,0.546991,0.473604,0.442229,0.556610,0.525872,0.679072,0.578295,0.485137,0.439416,0.509273,0.496449,0.579819,0.469503
2200,0.418196,0.435178,0.413504,0.415973,0.418787,0.392723,0.659427,0.553644,0.537358,0.452002,0.532425,0.457830,0.698710,0.576298,0.538268,0.443875,0.525831,0.465595,0.707215,0.571217,0.521641,0.424011,0.491619,0.434111,0.679566,0.556596,0.479651,0.435730,0.563616,0.526446,0.708055,0.587198,0.496246,0.433944,0.510111,0.494122,0.607075,0.471710
2400,0.417637,0.433269,0.410429,0.410493,0.424760,0.388680,0.676911,0.558618,0.559213,0.458594,0.552216,0.463947,0.721325,0.582414,0.558943,0.448766,0.544620,0.473092,0.731565,0.576211,0.544070,0.429394,0.506743,0.437289,0.709606,0.566730,0.487935,0.430057,0.570386,0.526245,0.737768,0.595098,0.510369,0.430232,0.511230,0.491735,0.634889,0.473912
2600,0.416537,0.431122,0.409194,0.406458,0.432706,0.385609,0.691700,0.561400,0.581480,0.464920,0.572610,0.469924,0.740477,0.585231,0.581404,0.454683,0.563180,0.480346,0.754475,0.580727,0.567595,0.435607,0.522827,0.441459,0.739047,0.574618,0.497244,0.425357,0.575876,0.524954,0.768411,0.602982,0.525976,0.427911,0.512565,0.489368,0.664236,0.476297
2800,0.416358,0.429517,0.408514,0.402938,0.441372,0.383020,0.706914,0.564859,0.603680,0.471921,0.593980,0.476767,0.760615,0.588488,0.604867,0.462558,0.583288,0.488810,0.777028,0.585032,0.591448,0.443030,0.540279,0.446701,0.768762,0.581906,0.511379,0.423400,0.583287,0.524732,0.797253,0.608428,0.544336,0.426249,0.513647,0.486349,0.694353,0.479167
3000,0.416659,0.428225,0.408636,0.399611,0.450091,0.380438,0.720057,0.566662,0.625460,0.478316,0.614636,0.482090,0.780531,0.592905,0.628220,0.469169,0.602193,0.496151,0.800172,0.589144,0.614998,0.448381,0.557517,0.451363,0.797871,0.588311,0.525240,0.421955,0.589446,0.523314,0.826574,0.613397,0.562945,0.427147,0.516032,0.484225,0.724510,0.482054
3200,0.417713,0.427661,0.409015,0.396786,0.458802,0.378041,0.732168,0.568049,0.647165,0.484093,0.634601,0.486894,0.799381,0.594967,0.650732,0.475211,0.620626,0.503510,0.821407,0.591190,0.638584,0.453748,0.574023,0.455652,0.827626,0.594695,0.539502,0.421530,0.596234,0.522030,0.853484,0.616913,0.582771,0.429609,0.519497,0.482298,0.755564,0.484446
3400,0.418191,0.426530,0.410810,0.395038,0.469157,0.376903,0.743971,0.570169,0.668287,0.489526,0.654382,0.492347,0.814796,0.595637,0.673283,0.480862,0.637294,0.508951,0.841168,0.593093,0.662450,0.459557,0.590396,0.460078,0.856795,0.599209,0.553942,0.420652,0.601065,0.519439,0.879578,0.619221,0.602010,0.431868,0.521872,0.479808,0.785693,0.486503
3600,0.418710,0.425959,0.411621,0.392881,0.477773,0.374655,0.754803,0.571485,0.688995,0.494409,0.674041,0.496801,0.830981,0.597435,0.694779,0.486343,0.655880,0.516721,0.860812,0.594648,0.685655,0.465361,0.607210,0.464887,0.887717,0.605058,0.570651,0.421148,0.605570,0.516449,0.905303,0.621399,0.621066,0.433968,0.524710,0.477461,0.816212,0.488920
3800,0.419558,0.425305,0.412194,0.390802,0.485297,0.371846,0.765159,0.572377,0.708440,0.498615,0.692363,0.500966,0.846071,0.598612,0.714687,0.490850,0.673241,0.523035,0.878348,0.594749,0.707882,0.469781,0.623260,0.469072,0.916420,0.607917,0.586454,0.421308,0.608751,0.512283,0.929327,0.622576,0.640334,0.436948,0.528130,0.475397,0.846173,0.491433
4000,0.419781,0.424146,0.412796,0.388749,0.493793,0.370145,0.774541,0.573142,0.727095,0.502005,0.709494,0.504039,0.858867,0.597550,0.733356,0.494851,0.689837,0.528671,0.894948,0.595427,0.729591,0.474302,0.638060,0.472631,0.944134,0.610846,0.602399,0.423149,0.613442,0.509606,0.952860,0.623791,0.659355,0.439570,0.531810,0.473634,0.875792,0.493334
4200,0.420868,0.424099,0.414035,0.387332,0.500657,0.368212,0.784745,0.574795,0.744701,0.504878,0.725721,0.506141,0.872528,0.598050,0.751784,0.498419,0.704605,0.533228,0.908935,0.594821,0.751379,0.480022,0.652830,0.476912,0.970946,0.611567,0.618192,0.424772,0.615758,0.505538,0.975595,0.623636,0.677713,0.442934,0.534881,0.471670,0.904296,0.495373
4400,0.421259,0.423567,0.415081,0.386073,0.508318,0.367087,0.792134,0.575231,0.761492,0.507764,0.742138,0.508673,0.883267,0.597550,0.768184,0.501659,0.719735,0.538515,0.924690,0.595790,0.770713,0.483380,0.665892,0.479528,0.997557,0.613175,0.632124,0.424836,0.615703,0.499719,0.997538,0.623449,0.695446,0.446013,0.538206,0.469766,0.932454,0.497970
4600,0.421056,0.422780,0.415288,0.384563,0.514829,0.365930,0.799897,0.575842,0.776623,0.509947,0.756564,0.510650,0.895190,0.598152,0.785236,0.505006,0.732517,0.542282,0.939569,0.595901,0.789870,0.487013,0.678352,0.482327,1.022485,0.614830,0.646824,0.426765,0.617684,0.495611,1.018031,0.624151,0.712857,0.448959,0.540953,0.467862,0.959197,0.500025
4800,0.420922,0.422046,0.414645,0.382768,0.521068,0.364903,0.806102,0.575828,0.790794,0.511616,0.769971,0.511988,0.904029,0.597483,0.799871,0.507639,0.745611,0.546524,0.952751,0.596456,0.808444,0.491074,0.690457,0.485548,1.045298,0.614721,0.660763,0.428135,0.618617,0.490854,1.036813,0.623920,0.729369,0.452474,0.544157,0.466363,0.984538,0.501476
5000,0.421620,0.422215,0.414751,0.381730,0.526135,0.363277,0.810066,0.574978,0.802442,0.512420,0.782076,0.512793,0.913547,0.597202,0.814482,0.510747,0.757591,0.550461,0.964327,0.595709,0.824906,0.493600,0.701030,0.487561,1.066900,0.614565,0.674148,0.429255,0.618598,0.485452,1.053303,0.622975,0.744483,0.454665,0.546169,0.464421,1.008759,0.503051
5200,0.420929,0.421134,0.414292,0.380523,0.530104,0.362036,0.816492,0.576143,0.814514,0.513542,0.793205,0.513222,0.921227,0.596795,0.827718,0.513362,0.768375,0.553449,0.975506,0.595847,0.839816,0.496175,0.710592,0.489359,1.087076,0.614330,0.686708,0.430805,0.619211,0.481336,1.068724,0.621960,0.758780,0.457419,0.548539,0.463094,1.031304,0.504430
5400,0.420664,0.420615,0.413994,0.379559,0.534607,0.361332,0.820389,0.575540,0.824918,0.514437,0.802959,0.513563,0.929778,0.596566,0.839458,0.515581,0.778328,0.556100,0.984705,0.595509,0.854308,0.498906,0.718929,0.490743,1.107059,0.613804,0.697596,0.431593,0.618419,0.476465,1.082957,0.621744,0.772520,0.460003,0.550648,0.461604,1.052295,0.505532
5600,0.420210,0.419938,0.413284,0.378348,0.537516,0.360049,0.823754,0.574768,0.835969,0.515539,0.812152,0.513792,0.936017,0.595547,0.850069,0.517295,0.787149,0.558392,0.993446,0.595004,0.866802,0.500476,0.726797,0.491872,1.125379,0.613301,0.708204,0.432772,0.617951,0.472451,1.095981,0.621211,0.785112,0.462455,0.552077,0.460088,1.071707,0.506636
5800,0.420068,0.419683,0.411970,0.376958,0.540327,0.358963,0.828692,0.575512,0.844819,0.515925,0.820106,0.514049,0.941244,0.595046,0.860291,0.518539,0.794408,0.559504,1.001596,0.594638,0.878797,0.502277,0.733798,0.492501,1.142514,0.613277,0.718150,0.434324,0.617710,0.468826,1.108202,0.620996,0.796749,0.464739,0.553539,0.458468,1.089304,0.507716
6000,0.420185,0.419671,0.410813,0.375714,0.541825,0.357851,0.831467,0.575128,0.852252,0.516394,0.826782,0.514156,0.945547,0.594373,0.868960,0.520154,0.801402,0.561257,1.008250,0.594148,0.889431,0.503809,0.740082,0.493150,1.156904,0.612567,0.727339,0.435672,0.617490,0.465429,1.118757,0.620264,0.807147,0.466505,0.554942,0.456979,1.105682,0.508676
6200,0.419881,0.419260,0.409644,0.374587,0.542254,0.356344,0.834303,0.574892,0.859232,0.516733,0.833341,0.513614,0.950126,0.593861,0.876825,0.521508,0.807818,0.562806,1.014625,0.594058,0.898976,0.505406,0.745747,0.493926,1.170015,0.611804,0.735589,0.437106,0.617628,0.462712,1.128628,0.619637,0.816893,0.468581,0.556612,0.456026,1.120553,0.509350
