step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
4200,0.230524,0.232239,0.633442,0.279972,0.573672,0.278295,0.903599,0.309552,0.683219,0.312002,0.728398,0.357139,0.869927,0.338162,0.609696,0.293669,0.638998,0.353523,0.510726,0.374918,0.532716,0.395233,0.555379,0.420372,0.541866,0.491492,0.485630,0.445931,0.631726,0.536246,0.677007,0.447511,0.613827,0.490751,0.655251,0.568424
4400,0.223214,0.224861,0.654027,0.276171,0.589113,0.274286,0.924322,0.304240,0.704790,0.308800,0.746982,0.353620,0.894015,0.333120,0.627460,0.290734,0.648291,0.347962,0.515945,0.370805,0.540476,0.392753,0.557381,0.414910,0.542604,0.490223,0.488638,0.444504,0.628283,0.530800,0.681962,0.449092,0.617488,0.490787,0.656621,0.568906
4600,0.216618,0.218200,0.673632,0.272750,0.603729,0.270614,0.944668,0.299402,0.725130,0.306154,0.765140,0.350322,0.917401,0.328618,0.645041,0.288057,0.657361,0.342479,0.520189,0.367424,0.547542,0.390133,0.559024,0.410166,0.542933,0.488811,0.492070,0.443186,0.624395,0.525323,0.683422,0.448740,0.620290,0.490547,0.657894,0.569363
4800,0.210660,0.212184,0.692412,0.268777,0.617744,0.267359,0.963562,0.294751,0.744800,0.303358,0.782841,0.347060,0.938737,0.324535,0.661596,0.285225,0.666081,0.337503,0.524180,0.364180,0.554419,0.387745,0.561004,0.405359,0.543070,0.487207,0.494574,0.441608,0.620593,0.519651,0.684902,0.448597,0.622889,0.490489,0.659105,0.569798
5000,0.205343,0.206815,0.709997,0.265397,0.630930,0.264426,0.981326,0.290385,0.763282,0.300708,0.798569,0.344188,0.959687,0.320858,0.677429,0.282409,0.673926,0.332897,0.528442,0.361391,0.560670,0.385624,0.562618,0.401301,0.543575,0.486013,0.498108,0.440794,0.616865,0.514700,0.687137,0.449324,0.624868,0.490582,0.659994,0.570122
5200,0.200576,0.202001,0.726246,0.261784,0.643889,0.261842,0.997724,0.286266,0.780435,0.298082,0.814544,0.341242,0.979217,0.317330,0.692264,0.279978,0.681277,0.328279,0.532311,0.358695,0.566472,0.383710,0.564037,0.397286,0.543984,0.484692,0.501545,0.439847,0.613196,0.509541,0.686994,0.448632,0.625935,0.490331,0.660838,0.570452
5400,0.196409,0.197788,0.741093,0.258727,0.656233,0.259066,1.012926,0.282589,0.796558,0.295742,0.829567,0.338371,0.996292,0.314310,0.705926,0.277628,0.688860,0.324156,0.536161,0.356239,0.572313,0.381708,0.566011,0.393542,0.544098,0.483125,0.505206,0.439391,0.609406,0.504588,0.686750,0.448291,0.626985,0.489984,0.661598,0.570741
5600,0.192631,0.193971,0.754977,0.255490,0.667348,0.256970,1.026627,0.279204,0.811640,0.293128,0.843180,0.335970,1.012581,0.311316,0.718705,0.275195,0.695366,0.320599,0.539131,0.354103,0.577557,0.380099,0.567214,0.390175,0.544077,0.481768,0.508181,0.438636,0.606181,0.500098,0.686623,0.448103,0.627234,0.489343,0.662176,0.570986
5800,0.189268,0.190574,0.767394,0.252501,0.677709,0.254735,1.038472,0.276125,0.825155,0.291150,0.856349,0.333689,1.027868,0.308748,0.730030,0.273134,0.702097,0.317044,0.541980,0.351948,0.582445,0.378627,0.568738,0.387138,0.544680,0.480802,0.510822,0.437973,0.603092,0.495902,0.686520,0.447968,0.627653,0.489085,0.662731,0.571214
6000,0.186321,0.187599,0.778473,0.249977,0.687110,0.253140,1.048244,0.273517,0.837341,0.289133,0.868353,0.331228,1.041154,0.306385,0.740493,0.270944,0.707875,0.313994,0.544797,0.350367,0.586471,0.376935,0.570040,0.384275,0.545333,0.479977,0.513788,0.437730,0.599836,0.491820,0.685866,0.447483,0.627575,0.488414,0.663163,0.571385
6200,0.183725,0.184976,0.788868,0.247512,0.695738,0.251606,1.058332,0.271004,0.848543,0.287217,0.879584,0.329297,1.053312,0.304440,0.749834,0.269248,0.713398,0.310998,0.547187,0.348576,0.590353,0.375426,0.571338,0.381360,0.545627,0.479138,0.516190,0.437189,0.596542,0.487676,0.685382,0.447064,0.627663,0.488024,0.663623,0.571568
6400,0.181457,0.182686,0.797654,0.245217,0.703789,0.250150,1.066179,0.269039,0.858538,0.285494,0.889501,0.327495,1.064187,0.302608,0.758450,0.267745,0.719001,0.308218,0.549308,0.347008,0.593904,0.373920,0.572771,0.378755,0.545721,0.478141,0.518162,0.436653,0.593190,0.483771,0.684642,0.446532,0.627171,0.487322,0.663937,0.571702
6600,0.179474,0.180684,0.805229,0.243171,0.710731,0.248885,1.073648,0.267010,0.867569,0.284043,0.898539,0.325947,1.074062,0.300689,0.766020,0.266194,0.723444,0.306012,0.551049,0.345707,0.596800,0.372725,0.573646,0.376651,0.546044,0.477561,0.520568,0.436423,0.590591,0.480599,0.684162,0.446216,0.626787,0.486772,0.664128,0.571787
6800,0.177756,0.178949,0.811654,0.241283,0.716828,0.247820,1.079766,0.265309,0.875646,0.282632,0.906441,0.324624,1.083126,0.299266,0.772934,0.264937,0.727489,0.303996,0.552830,0.344635,0.599643,0.371688,0.574619,0.374569,0.546109,0.476618,0.522104,0.435808,0.587790,0.477433,0.683653,0.445874,0.626424,0.486373,0.664355,0.571898
7000,0.176247,0.177423,0.817599,0.239753,0.722379,0.246726,1.085901,0.263717,0.882825,0.281439,0.913692,0.323390,1.090835,0.298053,0.778831,0.263824,0.731440,0.302335,0.554432,0.343762,0.601839,0.370818,0.575391,0.372964,0.546250,0.475944,0.523945,0.435672,0.585514,0.474758,0.683682,0.445882,0.626470,0.486367,0.664454,0.571940
7200,0.174914,0.176075,0.822659,0.238253,0.727299,0.245754,1.091024,0.262343,0.889355,0.280254,0.920303,0.322240,1.098092,0.296730,0.784346,0.262683,0.734684,0.300703,0.555812,0.342921,0.603981,0.369928,0.576201,0.371402,0.546628,0.475561,0.525584,0.435530,0.583381,0.472324,0.683569,0.445807,0.626428,0.486306,0.664582,0.572007
7400,0.173715,0.174865,0.827074,0.236923,0.731816,0.244942,1.095446,0.261162,0.895211,0.279192,0.926169,0.321165,1.104571,0.295686,0.789272,0.261790,0.737779,0.299228,0.557006,0.341959,0.605952,0.369079,0.577112,0.369956,0.546805,0.475123,0.526857,0.435236,0.581358,0.469997,0.683807,0.445972,0.626413,0.486183,0.664654,0.572042
7600,0.172624,0.173763,0.831058,0.235649,0.736075,0.244218,1.099830,0.260071,0.900653,0.278227,0.931683,0.320261,1.110493,0.294726,0.793867,0.260952,0.740438,0.297880,0.558439,0.341178,0.607935,0.368304,0.577706,0.368535,0.546903,0.474591,0.528214,0.434963,0.579376,0.467827,0.683486,0.445764,0.626076,0.485895,0.664648,0.572034
7800,0.171608,0.172737,0.834706,0.234482,0.739980,0.243495,1.103352,0.259039,0.905804,0.277256,0.936741,0.319492,1.116162,0.293768,0.798064,0.260118,0.742915,0.296673,0.559592,0.340484,0.609675,0.367519,0.578393,0.367218,0.547210,0.474273,0.529086,0.434577,0.577644,0.465843,0.683336,0.445666,0.625969,0.485809,0.664644,0.572043
8000,0.170640,0.171759,0.838195,0.233348,0.743775,0.242819,1.107049,0.257990,0.910809,0.276376,0.941631,0.318695,1.121699,0.292852,0.802163,0.259267,0.745530,0.295452,0.560695,0.339815,0.611357,0.366807,0.579122,0.365925,0.547283,0.473857,0.530080,0.434247,0.575978,0.463942,0.683173,0.445567,0.625811,0.485687,0.664644,0.572058
