step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L6.qk_lut.T_soft,L6.qk_lut.T_sel,L6.v_lut.T_soft,L6.v_lut.T_sel,L6.out_proj.T_soft,L6.out_proj.T_sel,L7.qk_lut.T_soft,L7.qk_lut.T_sel,L7.v_lut.T_soft,L7.v_lut.T_sel,L7.out_proj.T_soft,L7.out_proj.T_sel,L8.qk_lut.T_soft,L8.qk_lut.T_sel,L8.v_lut.T_soft,L8.v_lut.T_sel,L8.out_proj.T_soft,L8.out_proj.T_sel,L9.qk_lut.T_soft,L9.qk_lut.T_sel,L9.v_lut.T_soft,L9.v_lut.T_sel,L9.out_proj.T_soft,L9.out_proj.T_sel,L10.qk_lut.T_soft,L10.qk_lut.T_sel,L10.v_lut.T_soft,L10.v_lut.T_sel,L10.out_proj.T_soft,L10.out_proj.T_sel,L11.qk_lut.T_soft,L11.qk_lut.T_sel,L11.v_lut.T_soft,L11.v_lut.T_sel,L11.out_proj.T_soft,L11.out_proj.T_sel
2400,0.430423,0.410761,0.374839,0.407420,0.337078,0.320500,0.681172,0.459124,0.527944,0.417162,0.408244,0.349178,0.714900,0.474779,0.549953,0.410997,0.399659,0.350074,0.705473,0.487345,0.532843,0.411632,0.412790,0.349332,0.713386,0.496667,0.549483,0.420970,0.411693,0.350677,0.695078,0.490493,0.504802,0.384803,0.423832,0.415260,0.718900,0.495486,0.552494,0.405507,0.420315,0.404891,0.736098,0.509520,0.578761,0.424093,0.398056,0.351476,0.712208,0.503079,0.486125,0.391829,0.379327,0.359692,0.674992,0.525075,0.532239,0.418843,0.443610,0.428130,0.581837,0.521014,0.516881,0.456520,0.482492,0.481246,0.599958,0.507050,0.528379,0.496808,0.500264,0.496746
2600,0.431257,0.404673,0.369881,0.400754,0.338556,0.304321,0.707287,0.454975,0.552756,0.419209,0.422066,0.336849,0.743271,0.471952,0.580752,0.417755,0.413336,0.339422,0.733560,0.484142,0.560978,0.417184,0.427603,0.340703,0.743877,0.494871,0.579110,0.426399,0.426205,0.342853,0.726344,0.489485,0.531190,0.384322,0.421208,0.407494,0.752576,0.492869,0.582846,0.408832,0.421987,0.397197,0.770525,0.506192,0.612266,0.432228,0.410582,0.340855,0.750492,0.502194,0.510971,0.393187,0.374781,0.343634,0.703134,0.525100,0.557539,0.418338,0.441281,0.419662,0.599831,0.526238,0.534166,0.452685,0.479943,0.477908,0.618707,0.507760,0.537726,0.498043,0.501319,0.496784
2800,0.434460,0.399326,0.368832,0.395509,0.347993,0.288979,0.734120,0.451374,0.579771,0.422842,0.439998,0.326039,0.769744,0.467362,0.613002,0.423015,0.429904,0.329547,0.761714,0.480393,0.590756,0.423265,0.445610,0.335817,0.771653,0.490149,0.610887,0.432743,0.443118,0.336702,0.758432,0.487979,0.560095,0.385575,0.420354,0.399804,0.785486,0.489828,0.614639,0.412988,0.426195,0.389470,0.806161,0.500748,0.647438,0.439165,0.426536,0.332891,0.790568,0.499180,0.538612,0.396828,0.376793,0.330176,0.731600,0.524465,0.584970,0.418753,0.440719,0.409598,0.618698,0.529877,0.555174,0.448863,0.477664,0.474576,0.636784,0.508398,0.546824,0.499328,0.502367,0.496759
3000,0.438028,0.395561,0.371043,0.392184,0.362060,0.275142,0.760361,0.446830,0.607280,0.424099,0.460411,0.316391,0.795741,0.462277,0.646506,0.425931,0.448776,0.321077,0.788243,0.476487,0.621621,0.427656,0.465270,0.331084,0.799710,0.485643,0.643708,0.437777,0.462469,0.332090,0.791522,0.485624,0.588735,0.386588,0.420343,0.391520,0.817121,0.485316,0.648126,0.415704,0.431881,0.381930,0.843904,0.496242,0.684199,0.444032,0.444993,0.326794,0.832696,0.496680,0.567357,0.400947,0.382509,0.317397,0.760119,0.522198,0.613427,0.421083,0.442354,0.400810,0.637072,0.532281,0.579270,0.448435,0.476103,0.471198,0.656533,0.508886,0.557668,0.501312,0.503832,0.496935
3200,0.442478,0.391836,0.374916,0.389043,0.379354,0.263001,0.785589,0.441388,0.635513,0.425739,0.481617,0.309129,0.822777,0.457487,0.681086,0.428089,0.469487,0.314265,0.814273,0.472152,0.653508,0.430574,0.484659,0.327233,0.829575,0.482816,0.676888,0.440092,0.481833,0.328088,0.826079,0.482420,0.618654,0.387673,0.422123,0.384621,0.850737,0.482008,0.682062,0.418351,0.440320,0.375466,0.880443,0.491547,0.721842,0.446096,0.464320,0.321706,0.877035,0.492086,0.597740,0.405343,0.390825,0.306612,0.787605,0.519796,0.644612,0.422574,0.445560,0.392020,0.654035,0.534318,0.604463,0.446982,0.475183,0.468352,0.674874,0.508741,0.567487,0.502842,0.505253,0.497069
3400,0.446974,0.388582,0.380932,0.386659,0.398497,0.252620,0.810744,0.436012,0.663472,0.426236,0.504810,0.302482,0.848589,0.451547,0.717023,0.426861,0.490672,0.308444,0.840784,0.466899,0.684653,0.431708,0.506133,0.324001,0.857432,0.478544,0.711356,0.441539,0.503204,0.325560,0.859592,0.477455,0.649342,0.386903,0.425178,0.378380,0.884146,0.477003,0.716666,0.417869,0.449019,0.368872,0.916509,0.485158,0.760345,0.445281,0.483682,0.316820,0.924182,0.485614,0.629450,0.408773,0.401112,0.296117,0.815885,0.515877,0.674720,0.424180,0.449876,0.384942,0.671355,0.536656,0.630884,0.447173,0.475085,0.466079,0.693565,0.508282,0.578713,0.505107,0.507254,0.497451
3600,0.451873,0.386081,0.388971,0.385058,0.419429,0.243789,0.835059,0.431493,0.693439,0.425578,0.529098,0.295907,0.873840,0.447589,0.753349,0.425597,0.514156,0.303917,0.866982,0.461937,0.715555,0.430739,0.527686,0.320081,0.883819,0.474267,0.745193,0.439865,0.524911,0.322006,0.895704,0.473480,0.681562,0.387411,0.430429,0.371827,0.919493,0.471687,0.752541,0.418037,0.461327,0.363263,0.954109,0.478224,0.800508,0.441951,0.504365,0.311737,0.973803,0.479236,0.662661,0.412406,0.413678,0.287731,0.844257,0.510715,0.705976,0.423865,0.454685,0.377537,0.687501,0.537404,0.657296,0.447449,0.475135,0.463748,0.710913,0.507731,0.589720,0.507441,0.509356,0.497945
3800,0.457148,0.383275,0.398222,0.383714,0.441702,0.236656,0.858725,0.426667,0.724479,0.424719,0.553831,0.290386,0.900188,0.442720,0.790323,0.422836,0.538741,0.299874,0.894215,0.457703,0.746268,0.428441,0.549713,0.315556,0.910866,0.469585,0.779795,0.436580,0.547140,0.317814,0.932679,0.468201,0.714466,0.387243,0.437896,0.366493,0.953003,0.467009,0.789380,0.415897,0.474073,0.357317,0.990474,0.471826,0.841870,0.439835,0.526614,0.309901,1.025481,0.472618,0.696624,0.413874,0.426578,0.279153,0.874092,0.507151,0.738809,0.424674,0.462673,0.370351,0.705586,0.538745,0.685301,0.448372,0.475569,0.461358,0.728339,0.506900,0.600824,0.509837,0.511419,0.498399
4000,0.463143,0.380591,0.406822,0.382352,0.464786,0.231418,0.880278,0.421754,0.752227,0.422414,0.580608,0.285875,0.924415,0.437358,0.828446,0.418478,0.564539,0.295531,0.920740,0.453549,0.779402,0.425866,0.573743,0.312542,0.938120,0.464307,0.815988,0.433088,0.570843,0.314941,0.969105,0.462483,0.747235,0.386328,0.445858,0.361040,0.987021,0.463508,0.826878,0.414060,0.487335,0.352298,1.030315,0.465707,0.883738,0.434328,0.549456,0.306533,1.079960,0.465806,0.730464,0.413546,0.440112,0.271574,0.902391,0.502392,0.771680,0.424663,0.470982,0.363409,0.720558,0.537696,0.714468,0.447382,0.476904,0.459279,0.744006,0.505333,0.612210,0.512313,0.513708,0.498831
4200,0.469049,0.378888,0.416283,0.381237,0.488560,0.226936,0.905301,0.417042,0.779953,0.419884,0.607005,0.280945,0.950068,0.432525,0.867194,0.412709,0.590168,0.291464,0.945092,0.447585,0.812510,0.422079,0.598579,0.308936,0.963836,0.459119,0.852107,0.428445,0.595492,0.310823,1.004924,0.457752,0.780485,0.386032,0.454916,0.356818,1.021057,0.456491,0.864822,0.410973,0.502728,0.346744,1.066241,0.457870,0.927303,0.427837,0.573187,0.302950,1.137490,0.457577,0.767359,0.413149,0.454378,0.264241,0.930813,0.499483,0.804157,0.423279,0.480231,0.356785,0.737546,0.537602,0.743153,0.447664,0.478028,0.456955,0.759568,0.503683,0.623911,0.515341,0.516336,0.499504
4400,0.474667,0.376967,0.425299,0.379729,0.512741,0.222402,0.928823,0.412126,0.808961,0.416998,0.634867,0.277671,0.973006,0.427296,0.906811,0.407770,0.617294,0.288472,0.972151,0.443356,0.843154,0.418665,0.623267,0.306177,0.990934,0.454210,0.887703,0.423993,0.620187,0.307856,1.044786,0.452741,0.814149,0.383234,0.463856,0.351444,1.054076,0.451452,0.902892,0.408359,0.519043,0.342377,1.102499,0.451987,0.969922,0.422187,0.597760,0.299794,1.198393,0.449457,0.804624,0.410718,0.469012,0.258308,0.958456,0.494385,0.837609,0.422118,0.490007,0.349492,0.754092,0.536486,0.773960,0.447952,0.479529,0.454674,0.773075,0.502279,0.633620,0.517642,0.518722,0.500091
4600,0.479010,0.374887,0.435176,0.378079,0.538603,0.218617,0.951267,0.407773,0.838522,0.412610,0.662763,0.273513,0.998457,0.422086,0.946772,0.400804,0.643989,0.284846,0.998095,0.438533,0.875074,0.414185,0.647166,0.302866,1.016700,0.449910,0.924640,0.419478,0.644982,0.304472,1.081147,0.447782,0.846843,0.380032,0.474356,0.346379,1.086076,0.445592,0.942791,0.404165,0.535074,0.337774,1.138919,0.444892,1.014110,0.414201,0.621651,0.296514,1.260430,0.440787,0.842808,0.407980,0.485107,0.252768,0.984917,0.489033,0.873032,0.420252,0.501619,0.342356,0.771640,0.534941,0.805595,0.447828,0.481729,0.451999,0.787654,0.500567,0.644493,0.520253,0.521435,0.500730
4800,0.485333,0.374137,0.444375,0.376650,0.564916,0.215474,0.972151,0.402020,0.866638,0.408134,0.692010,0.268828,1.021026,0.417395,0.987035,0.394028,0.672422,0.280577,1.023326,0.433184,0.906747,0.409679,0.673400,0.299813,1.040409,0.444013,0.959563,0.413087,0.668484,0.300504,1.117425,0.441008,0.880791,0.377302,0.485597,0.341384,1.118950,0.439746,0.981107,0.398910,0.552116,0.332596,1.172112,0.437935,1.059633,0.406927,0.646600,0.293670,1.324873,0.433621,0.881530,0.404692,0.501232,0.247167,1.010926,0.483066,0.906074,0.416576,0.513999,0.335297,0.788423,0.531777,0.836596,0.445113,0.483969,0.449378,0.801871,0.499273,0.655432,0.522709,0.523847,0.501238
5000,0.492484,0.372937,0.454344,0.374915,0.590981,0.212404,0.994157,0.397337,0.895417,0.403547,0.723442,0.264560,1.044606,0.412476,1.027562,0.386935,0.701908,0.277581,1.047806,0.428254,0.936706,0.403940,0.699530,0.296281,1.064920,0.439163,0.993522,0.407504,0.693257,0.297585,1.156058,0.435506,0.915984,0.372766,0.496376,0.336428,1.153051,0.433614,1.020899,0.394805,0.570455,0.328299,1.207459,0.431345,1.107524,0.400298,0.673350,0.290904,1.391652,0.426230,0.921225,0.400518,0.518124,0.242158,1.037552,0.479355,0.941003,0.413490,0.527030,0.328836,0.804767,0.530218,0.867885,0.443900,0.486566,0.446597,0.812940,0.497120,0.664917,0.524520,0.526365,0.501864
5200,0.498109,0.371077,0.464381,0.372984,0.618611,0.209691,1.016289,0.393306,0.923820,0.399557,0.754485,0.262323,1.064084,0.406771,1.070452,0.379085,0.730853,0.273878,1.071672,0.423033,0.968437,0.397297,0.724353,0.291587,1.087728,0.434573,1.027478,0.401304,0.718477,0.294105,1.190757,0.430096,0.950388,0.369419,0.508341,0.332592,1.185551,0.428952,1.061920,0.389422,0.589316,0.323615,1.239317,0.423997,1.153116,0.392121,0.699535,0.287378,1.461579,0.417929,0.962925,0.396520,0.536499,0.238179,1.064403,0.474167,0.975292,0.411183,0.542593,0.323311,0.822968,0.528279,0.899619,0.440602,0.489756,0.444026,0.824232,0.495116,0.674027,0.526150,0.528840,0.502187
5400,0.504241,0.369203,0.472780,0.371191,0.646902,0.207011,1.033380,0.388649,0.949299,0.395039,0.785736,0.259015,1.084121,0.402209,1.114229,0.372021,0.760470,0.270627,1.097710,0.417735,0.999265,0.391437,0.749741,0.287826,1.112402,0.429591,1.062564,0.395315,0.743927,0.290722,1.229359,0.424013,0.984464,0.365048,0.519615,0.328239,1.218494,0.422778,1.102231,0.383766,0.607780,0.319742,1.275035,0.418593,1.199697,0.384754,0.727007,0.284172,1.532945,0.410272,1.002607,0.393006,0.555389,0.234671,1.093288,0.469335,1.011670,0.406620,0.557892,0.317764,0.837349,0.525737,0.930300,0.437627,0.492372,0.440875,0.835073,0.493404,0.682853,0.527539,0.531191,0.502384
5600,0.508907,0.366827,0.482137,0.369074,0.674618,0.203591,1.055373,0.385040,0.975119,0.388980,0.816386,0.254213,1.103866,0.397104,1.156347,0.364637,0.790561,0.266805,1.119995,0.412267,1.030075,0.386382,0.776897,0.284793,1.133230,0.424395,1.098532,0.389402,0.771075,0.287960,1.265591,0.418432,1.019034,0.360038,0.531448,0.323928,1.251773,0.416559,1.144061,0.378046,0.626604,0.315674,1.306278,0.411252,1.246651,0.376198,0.754140,0.280540,1.605753,0.401193,1.044720,0.386792,0.571842,0.230217,1.118142,0.464109,1.045868,0.402700,0.573068,0.311731,0.853245,0.523353,0.961436,0.433823,0.495860,0.437996,0.846189,0.492024,0.693044,0.529933,0.534506,0.503445
5800,0.513634,0.365156,0.491259,0.367052,0.703349,0.200266,1.075367,0.381118,1.000954,0.383832,0.847928,0.249847,1.124476,0.392287,1.199899,0.357067,0.821866,0.262301,1.144574,0.407346,1.060662,0.381271,0.803173,0.281129,1.158352,0.419653,1.135061,0.382266,0.795247,0.283987,1.305483,0.412202,1.054344,0.355203,0.543821,0.319096,1.283039,0.411063,1.187650,0.371844,0.646251,0.312078,1.339077,0.405378,1.295887,0.368376,0.781344,0.277812,1.680897,0.393639,1.087209,0.381534,0.588376,0.226250,1.143566,0.459146,1.082890,0.398604,0.588208,0.306305,0.870104,0.520871,0.992997,0.430221,0.500231,0.435013,0.855922,0.490292,0.703152,0.532032,0.537768,0.504278
6000,0.518290,0.363477,0.500395,0.364616,0.732807,0.197855,1.093441,0.376212,1.025118,0.378969,0.878556,0.246135,1.146314,0.388138,1.242951,0.350170,0.851550,0.259085,1.170286,0.403593,1.088106,0.375950,0.829058,0.277395,1.181049,0.414507,1.168955,0.376002,0.819902,0.280824,1.342726,0.406719,1.088264,0.351324,0.556946,0.314719,1.314359,0.406266,1.228762,0.365393,0.662560,0.307897,1.370097,0.399392,1.345235,0.361190,0.806794,0.273960,1.756129,0.386412,1.130597,0.376119,0.606070,0.222711,1.170454,0.454098,1.117174,0.392631,0.603702,0.301021,0.885725,0.517610,1.024018,0.427495,0.504699,0.431752,0.865360,0.487840,0.713536,0.534158,0.541110,0.505184
6200,0.522125,0.361287,0.509530,0.362451,0.763166,0.194709,1.108817,0.372090,1.048775,0.373811,0.909880,0.242525,1.167266,0.384459,1.285208,0.343635,0.882079,0.255684,1.190518,0.398807,1.114751,0.369682,0.854843,0.272738,1.202583,0.408958,1.201537,0.369705,0.845300,0.277236,1.377975,0.401234,1.121574,0.346131,0.568240,0.310459,1.343181,0.401487,1.271363,0.358311,0.682147,0.303501,1.402806,0.393777,1.391815,0.354666,0.835174,0.271093,1.835166,0.378288,1.175978,0.370068,0.623485,0.218981,1.197409,0.449593,1.152026,0.387566,0.619845,0.295231,0.901380,0.515237,1.054799,0.424178,0.509688,0.428789,0.874386,0.485715,0.723439,0.536243,0.544583,0.506007
6400,0.526242,0.359499,0.517508,0.360097,0.792996,0.191838,1.127222,0.369084,1.075083,0.368347,0.940857,0.238523,1.186810,0.380332,1.325241,0.336584,0.911980,0.251394,1.211971,0.394857,1.142476,0.364036,0.880588,0.268579,1.225353,0.404802,1.231499,0.363137,0.869620,0.272951,1.413821,0.395809,1.154434,0.341179,0.581013,0.306307,1.372551,0.396554,1.311857,0.352246,0.700750,0.298126,1.431349,0.388203,1.440717,0.346960,0.863292,0.266800,1.915549,0.369923,1.222577,0.363673,0.642027,0.215548,1.223104,0.444210,1.186974,0.382305,0.636257,0.289533,0.918230,0.513427,1.083517,0.421005,0.514268,0.425675,0.882970,0.483982,0.732724,0.538231,0.548149,0.506965
