step,module,touch_frac,c_r_mean,c_r_median,c_r_max,frac_eq1,frac_ge8,frac_ge32,frac_ge64
400,L1.qkv_lut,0.8335,153.57,33,3917,0.0597,0.6118,0.4243,0.3182
400,L1.v_lut,0.5474,58.46,10,3151,0.0828,0.3035,0.1646,0.1065
400,L1.out_proj,0.5674,56.39,11,3178,0.0846,0.3249,0.1772,0.1137
400,L1.residual_lut,0.9390,136.32,54,2363,0.0383,0.7810,0.5728,0.4404
400,L2.qkv_lut,0.9424,135.83,59,2226,0.0332,0.7956,0.5957,0.4561
400,L2.v_lut,0.7159,44.70,11,2237,0.0965,0.4192,0.2171,0.1313
400,L2.out_proj,0.1059,302.10,13,7666,0.0180,0.0615,0.0408,0.0325
400,L2.residual_lut,0.6326,202.35,89,2467,0.0166,0.5596,0.4402,0.3672
400,L3.qkv_lut,0.5903,216.83,96,2788,0.0122,0.5314,0.4303,0.3514
400,L3.v_lut,0.4451,71.89,20,2886,0.0393,0.3030,0.1805,0.1223
400,L3.out_proj,0.0175,1833.17,166,8192,0.0012,0.0142,0.0115,0.0102
400,L3.residual_lut,0.3286,389.52,48,6329,0.0332,0.2395,0.1833,0.1560
400,L4.qkv_lut,0.3306,387.21,69,5909,0.0236,0.2541,0.1984,0.1691
400,L4.v_lut,0.1509,212.03,20,7404,0.0200,0.0966,0.0661,0.0523
400,L4.out_proj,0.0111,2872.81,1033,8192,0.0005,0.0097,0.0086,0.0079
400,L4.residual_lut,0.3330,384.38,60,7122,0.0286,0.2480,0.1965,0.1646
400,L5.qkv_lut,0.2775,461.25,55,7620,0.0249,0.2033,0.1587,0.1343
400,L5.v_lut,0.1478,216.50,22,8192,0.0206,0.0947,0.0672,0.0547
400,L5.out_proj,0.0094,3404.47,1662,8192,0.0003,0.0083,0.0077,0.0074
400,L5.residual_lut,0.2935,436.18,49,7412,0.0293,0.2129,0.1633,0.1384
600,L0.qkv_lut,1.0000,128.00,101,694,0.0000,0.9995,0.9658,0.7882
600,L0.v_lut,0.9901,32.32,21,568,0.0111,0.8486,0.3021,0.0920
600,L0.out_proj,0.4637,69.00,9,4317,0.0778,0.2461,0.1344,0.0909
600,L0.residual_lut,0.8726,146.70,37,2795,0.0532,0.6704,0.4600,0.3508
600,L1.qkv_lut,0.8906,143.72,39,3756,0.0511,0.6935,0.4808,0.3631
600,L1.v_lut,0.6307,50.74,11,2374,0.0896,0.3598,0.1876,0.1182
600,L1.out_proj,0.6407,49.94,11,2166,0.0942,0.3654,0.1946,0.1219
600,L1.residual_lut,0.9741,131.40,63,1715,0.0261,0.8552,0.6394,0.4844
600,L2.qkv_lut,0.9753,131.25,67,1797,0.0202,0.8675,0.6546,0.4997
600,L2.v_lut,0.8003,39.99,13,1810,0.0889,0.4866,0.2420,0.1391
600,L2.out_proj,0.1607,199.12,9,7463,0.0305,0.0852,0.0529,0.0403
600,L2.residual_lut,0.6531,196.00,89,2808,0.0134,0.5938,0.4751,0.3760
600,L3.qkv_lut,0.6007,213.07,89,4132,0.0161,0.5405,0.4315,0.3464
600,L3.v_lut,0.4625,69.18,19,3254,0.0408,0.3149,0.1821,0.1187
600,L3.out_proj,0.0174,1836.39,151,8192,0.0010,0.0137,0.0117,0.0103
600,L3.residual_lut,0.3345,382.69,44,7516,0.0291,0.2444,0.1816,0.1489
600,L4.qkv_lut,0.3838,333.52,43,7625,0.0317,0.2882,0.2100,0.1742
600,L4.v_lut,0.1859,172.18,15,6361,0.0270,0.1123,0.0733,0.0565
600,L4.out_proj,0.0108,2962.08,1190,8192,0.0007,0.0091,0.0084,0.0080
600,L4.residual_lut,0.3638,351.87,47,7361,0.0366,0.2668,0.2029,0.1653
600,L5.qkv_lut,0.2827,452.75,43,7688,0.0267,0.2043,0.1520,0.1289
600,L5.v_lut,0.1583,202.14,18,6554,0.0230,0.0988,0.0670,0.0528
600,L5.out_proj,0.0097,3297.41,1576,8192,0.0006,0.0085,0.0077,0.0072
600,L5.residual_lut,0.3032,422.13,53,7450,0.0281,0.2275,0.1707,0.1426
800,L0.qkv_lut,1.0000,128.00,101,697,0.0000,0.9992,0.9663,0.7858
800,L0.v_lut,0.9902,32.32,21,570,0.0107,0.8494,0.3012,0.0917
800,L0.out_proj,0.5388,59.40,9,3962,0.0839,0.2931,0.1553,0.1016
800,L0.residual_lut,0.9148,139.92,42,2406,0.0408,0.7349,0.5110,0.3853
800,L1.qkv_lut,0.9294,137.73,43,2972,0.0430,0.7536,0.5298,0.3924
800,L1.v_lut,0.6949,46.05,11,1997,0.0924,0.4006,0.2040,0.1258
800,L1.out_proj,0.6911,46.30,11,2160,0.0965,0.3961,0.2038,0.1249
800,L1.residual_lut,0.9829,130.23,67,1835,0.0122,0.8892,0.6787,0.5042
800,L2.qkv_lut,0.9810,130.48,69,2045,0.0156,0.8887,0.6836,0.5114
800,L2.v_lut,0.8421,38.00,13,1555,0.0859,0.5192,0.2486,0.1366
800,L2.out_proj,0.2278,140.45,10,6378,0.0421,0.1228,0.0743,0.0551
800,L2.residual_lut,0.7456,171.67,86,2437,0.0330,0.6492,0.5361,0.4277
800,L3.qkv_lut,0.7000,182.85,86,2995,0.0330,0.5983,0.4945,0.4009
800,L3.v_lut,0.5450,58.72,18,2289,0.0503,0.3685,0.2088,0.1311
800,L3.out_proj,0.0221,1450.31,125,8192,0.0013,0.0177,0.0145,0.0132
800,L3.residual_lut,0.4587,279.03,50,5439,0.0293,0.3523,0.2654,0.2129
800,L4.qkv_lut,0.4531,282.48,53,7338,0.0309,0.3560,0.2660,0.2101
800,L4.v_lut,0.2537,126.11,17,4861,0.0326,0.1618,0.1031,0.0762
800,L4.out_proj,0.0100,3187.16,1447,8192,0.0004,0.0089,0.0080,0.0074
800,L4.residual_lut,0.3125,409.60,47,6867,0.0315,0.2219,0.1702,0.1438
800,L5.qkv_lut,0.2671,479.24,50,7896,0.0233,0.1973,0.1509,0.1252
800,L5.v_lut,0.1467,218.12,22,6940,0.0200,0.0955,0.0658,0.0516
800,L5.out_proj,0.0103,3111.50,1277,8192,0.0005,0.0090,0.0082,0.0079
800,L5.residual_lut,0.2964,431.87,49,7549,0.0330,0.2141,0.1621,0.1377
1000,L0.qkv_lut,1.0000,128.00,100,695,0.0000,0.9993,0.9679,0.7837
1000,L0.v_lut,0.9899,32.33,21,559,0.0106,0.8481,0.2998,0.0921
1000,L0.out_proj,0.5830,54.89,10,3751,0.0880,0.3199,0.1672,0.1077
1000,L0.residual_lut,0.9319,137.36,47,2354,0.0369,0.7666,0.5383,0.4050
1000,L1.qkv_lut,0.9412,135.99,48,2851,0.0312,0.7788,0.5522,0.4141
1000,L1.v_lut,0.7229,44.27,12,2000,0.0905,0.4254,0.2134,0.1294
1000,L1.out_proj,0.7346,43.56,11,1933,0.0954,0.4252,0.2164,0.1317
1000,L1.residual_lut,0.9932,128.88,72,1405,0.0125,0.9111,0.7141,0.5322
1000,L2.qkv_lut,0.9855,129.88,75,1625,0.0085,0.9172,0.7192,0.5436
1000,L2.v_lut,0.8707,36.75,13,1457,0.0813,0.5515,0.2613,0.1389
1000,L2.out_proj,0.2495,128.25,9,6780,0.0455,0.1328,0.0775,0.0571
1000,L2.residual_lut,0.7446,171.90,76,2831,0.0293,0.6450,0.5115,0.4070
1000,L3.qkv_lut,0.7026,182.17,75,3475,0.0353,0.5959,0.4740,0.3757
1000,L3.v_lut,0.5443,58.79,17,2644,0.0530,0.3624,0.1970,0.1225
1000,L3.out_proj,0.0266,1203.88,124,8192,0.0020,0.0213,0.0172,0.0153
1000,L3.residual_lut,0.4639,275.94,73,5412,0.0271,0.3740,0.2922,0.2419
1000,L4.qkv_lut,0.4922,260.06,71,3959,0.0319,0.3934,0.3092,0.2544
1000,L4.v_lut,0.2762,115.85,20,4153,0.0327,0.1819,0.1171,0.0858
1000,L4.out_proj,0.0112,2864.96,907,8192,0.0006,0.0095,0.0086,0.0077
1000,L4.residual_lut,0.4924,259.93,51,6435,0.0410,0.3679,0.2791,0.2283
1000,L5.qkv_lut,0.4193,305.29,46,7021,0.0270,0.3247,0.2380,0.1909
1000,L5.v_lut,0.2619,122.20,16,5654,0.0337,0.1624,0.1040,0.0768
1000,L5.out_proj,0.0109,2937.19,1228,8192,0.0006,0.0091,0.0085,0.0080
1000,L5.residual_lut,0.4949,258.65,44,5087,0.0437,0.3669,0.2737,0.2217
1200,L0.qkv_lut,1.0000,128.00,101,701,0.0000,0.9993,0.9668,0.7817
1200,L0.v_lut,0.9902,32.32,21,558,0.0114,0.8483,0.3003,0.0912
1200,L0.out_proj,0.6174,51.83,10,3482,0.0887,0.3418,0.1776,0.1137
1200,L0.residual_lut,0.9409,136.04,48,2190,0.0286,0.7842,0.5530,0.4128
1200,L1.qkv_lut,0.9543,134.13,50,2788,0.0322,0.7925,0.5685,0.4256
1200,L1.v_lut,0.7390,43.30,12,1690,0.0907,0.4371,0.2182,0.1296
1200,L1.out_proj,0.7610,42.05,12,1500,0.0942,0.4494,0.2253,0.1328
1200,L1.residual_lut,0.9922,129.01,73,1387,0.0068,0.9246,0.7297,0.5337
1200,L2.qkv_lut,0.9883,129.52,75,1769,0.0076,0.9258,0.7243,0.5426
1200,L2.v_lut,0.8779,36.45,13,1436,0.0797,0.5588,0.2617,0.1388
1200,L2.out_proj,0.2916,109.74,9,5228,0.0515,0.1555,0.0901,0.0639
1200,L2.residual_lut,0.7939,161.22,82,2455,0.0356,0.6797,0.5491,0.4441
1200,L3.qkv_lut,0.7585,168.76,79,2799,0.0439,0.6309,0.5120,0.4224
1200,L3.v_lut,0.5858,54.63,18,2181,0.0564,0.3954,0.2189,0.1324
1200,L3.out_proj,0.0454,704.69,54,8157,0.0036,0.0344,0.0257,0.0221
1200,L3.residual_lut,0.5339,239.73,94,3814,0.0159,0.4666,0.3745,0.3115
1200,L4.qkv_lut,0.5334,239.99,89,4175,0.0156,0.4611,0.3656,0.3013
1200,L4.v_lut,0.3432,93.23,22,2656,0.0304,0.2381,0.1478,0.1037
1200,L4.out_proj,0.0113,2841.67,736,8192,0.0006,0.0098,0.0088,0.0081
1200,L4.residual_lut,0.3889,329.12,39,6307,0.0330,0.2812,0.2078,0.1667
1200,L5.qkv_lut,0.3454,370.61,48,6515,0.0308,0.2508,0.1912,0.1582
1200,L5.v_lut,0.1951,164.05,17,6756,0.0266,0.1211,0.0799,0.0604
1200,L5.out_proj,0.0094,3393.45,1778,8192,0.0005,0.0083,0.0075,0.0072
1200,L5.residual_lut,0.3672,348.60,55,6167,0.0298,0.2761,0.2136,0.1755
1400,L0.qkv_lut,1.0000,128.00,101,690,0.0002,0.9990,0.9660,0.7819
1400,L0.v_lut,0.9900,32.32,21,607,0.0108,0.8487,0.3007,0.0919
1400,L0.out_proj,0.6411,49.91,10,3360,0.0907,0.3582,0.1839,0.1160
1400,L0.residual_lut,0.9531,134.30,50,2057,0.0361,0.7988,0.5659,0.4231
1400,L1.qkv_lut,0.9557,133.93,52,2555,0.0252,0.8105,0.5848,0.4347
1400,L1.v_lut,0.7538,42.45,12,1685,0.0915,0.4477,0.2223,0.1315
1400,L1.out_proj,0.7943,40.29,12,1323,0.0915,0.4784,0.2330,0.1359
1400,L1.residual_lut,0.9944,128.72,78,1462,0.0083,0.9338,0.7454,0.5576
1400,L2.qkv_lut,0.9904,129.24,79,1527,0.0073,0.9404,0.7446,0.5596
1400,L2.v_lut,0.8963,35.70,14,1475,0.0744,0.5803,0.2709,0.1396
1400,L2.out_proj,0.3321,96.37,8,5472,0.0612,0.1736,0.1002,0.0707
1400,L2.residual_lut,0.7974,160.53,88,2247,0.0398,0.6785,0.5669,0.4587
1400,L3.qkv_lut,0.7603,168.36,81,2679,0.0482,0.6261,0.5251,0.4261
1400,L3.v_lut,0.5877,54.45,20,1627,0.0561,0.4037,0.2308,0.1386
1400,L3.out_proj,0.0531,602.28,38,8088,0.0058,0.0377,0.0283,0.0231
1400,L3.residual_lut,0.5415,236.38,98,4256,0.0100,0.4915,0.4023,0.3262
1400,L4.qkv_lut,0.5448,234.97,86,4328,0.0137,0.4780,0.3804,0.3070
1400,L4.v_lut,0.3597,88.96,22,3326,0.0294,0.2518,0.1538,0.1048
1400,L4.out_proj,0.0112,2864.96,630,8192,0.0009,0.0091,0.0082,0.0078
1400,L4.residual_lut,0.5273,242.73,39,6545,0.0449,0.3943,0.2847,0.2261
1400,L5.qkv_lut,0.4377,292.46,55,6599,0.0327,0.3384,0.2521,0.2088
1400,L5.v_lut,0.2819,113.52,16,5130,0.0410,0.1741,0.1086,0.0803
1400,L5.out_proj,0.0120,2668.13,508,8192,0.0012,0.0096,0.0084,0.0079
1400,L5.residual_lut,0.4077,313.94,44,6545,0.0415,0.3037,0.2256,0.1829
1600,L0.qkv_lut,1.0000,128.00,101,725,0.0000,0.9987,0.9648,0.7840
1600,L0.v_lut,0.9903,32.31,21,527,0.0111,0.8489,0.3014,0.0914
1600,L0.out_proj,0.6577,48.65,10,3204,0.0918,0.3667,0.1868,0.1172
1600,L0.residual_lut,0.9521,134.43,50,2054,0.0305,0.8030,0.5713,0.4292
1600,L1.qkv_lut,0.9580,133.61,53,2596,0.0260,0.8151,0.5892,0.4380
1600,L1.v_lut,0.7577,42.23,12,1577,0.0905,0.4525,0.2250,0.1321
1600,L1.out_proj,0.8135,39.34,12,1421,0.0906,0.4911,0.2388,0.1377
1600,L1.residual_lut,0.9966,128.44,78,1337,0.0073,0.9407,0.7556,0.5581
1600,L2.qkv_lut,0.9920,129.03,80,1539,0.0057,0.9430,0.7554,0.5700
1600,L2.v_lut,0.9030,35.44,14,1278,0.0707,0.5901,0.2729,0.1394
1600,L2.out_proj,0.3510,91.17,9,5158,0.0644,0.1848,0.1043,0.0736
1600,L2.residual_lut,0.8145,157.16,82,2391,0.0425,0.6902,0.5659,0.4619
1600,L3.qkv_lut,0.7715,165.91,76,2920,0.0451,0.6385,0.5236,0.4193
1600,L3.v_lut,0.6048,52.91,17,1865,0.0607,0.4042,0.2246,0.1367
1600,L3.out_proj,0.0690,463.77,35,7929,0.0071,0.0481,0.0353,0.0288
1600,L3.residual_lut,0.5496,232.91,111,3084,0.0063,0.5110,0.4336,0.3555
1600,L4.qkv_lut,0.5542,230.96,104,3757,0.0107,0.5011,0.4069,0.3366
1600,L4.v_lut,0.3832,83.51,25,4000,0.0251,0.2784,0.1718,0.1161
1600,L4.out_proj,0.0111,2872.81,555,8192,0.0006,0.0091,0.0082,0.0076
1600,L4.residual_lut,0.4202,304.64,35,7021,0.0444,0.2852,0.2148,0.1782
1600,L5.qkv_lut,0.4025,318.01,33,6926,0.0369,0.2866,0.2046,0.1672
1600,L5.v_lut,0.2380,134.48,13,7255,0.0370,0.1395,0.0862,0.0638
1600,L5.out_proj,0.0116,2752.17,879,8192,0.0007,0.0096,0.0085,0.0082
1600,L5.residual_lut,0.4709,271.79,48,5164,0.0364,0.3596,0.2656,0.2180
1800,L0.qkv_lut,1.0000,128.00,101,733,0.0000,0.9990,0.9655,0.7801
1800,L0.v_lut,0.9902,32.32,21,571,0.0108,0.8482,0.3003,0.0925
1800,L0.out_proj,0.6791,47.12,10,3064,0.0925,0.3836,0.1950,0.1195
1800,L0.residual_lut,0.9631,132.90,53,2110,0.0286,0.8254,0.5935,0.4380
1800,L1.qkv_lut,0.9640,132.78,54,2545,0.0208,0.8319,0.6042,0.4473
1800,L1.v_lut,0.7770,41.18,12,1296,0.0901,0.4665,0.2303,0.1344
1800,L1.out_proj,0.8292,38.59,12,1191,0.0883,0.5045,0.2449,0.1382
1800,L1.residual_lut,0.9944,128.72,79,1339,0.0039,0.9465,0.7610,0.5688
1800,L2.qkv_lut,0.9915,129.09,80,1399,0.0060,0.9451,0.7573,0.5698
1800,L2.v_lut,0.9039,35.40,14,1157,0.0703,0.5934,0.2750,0.1387
1800,L2.out_proj,0.3826,83.65,8,5043,0.0689,0.1985,0.1115,0.0771
1800,L2.residual_lut,0.8506,150.48,83,2326,0.0388,0.7268,0.5938,0.4758
1800,L3.qkv_lut,0.8158,156.91,75,2613,0.0454,0.6769,0.5496,0.4380
1800,L3.v_lut,0.6424,49.82,18,2275,0.0620,0.4327,0.2381,0.1420
1800,L3.out_proj,0.1041,307.41,21,7469,0.0132,0.0680,0.0460,0.0365
1800,L3.residual_lut,0.5598,228.65,113,3657,0.0066,0.5154,0.4316,0.3574
1800,L4.qkv_lut,0.5710,224.18,91,3868,0.0146,0.5047,0.4147,0.3337
1800,L4.v_lut,0.3822,83.73,24,3305,0.0280,0.2776,0.1698,0.1145
1800,L4.out_proj,0.0110,2896.62,591,8192,0.0006,0.0094,0.0082,0.0076
1800,L4.residual_lut,0.4519,283.25,28,7258,0.0535,0.3086,0.2200,0.1797
1800,L5.qkv_lut,0.3895,328.64,35,7647,0.0480,0.2702,0.2002,0.1637
1800,L5.v_lut,0.2249,142.26,14,5535,0.0349,0.1328,0.0864,0.0651
1800,L5.out_proj,0.0128,2496.61,497,8192,0.0008,0.0107,0.0091,0.0085
1800,L5.residual_lut,0.4814,265.87,45,5611,0.0366,0.3596,0.2659,0.2144
2000,L0.qkv_lut,1.0000,128.00,101,720,0.0000,0.9990,0.9650,0.7799
2000,L0.v_lut,0.9896,32.34,21,548,0.0110,0.8476,0.3008,0.0919
2000,L0.out_proj,0.6820,46.92,10,2912,0.0885,0.3888,0.1973,0.1211
2000,L0.residual_lut,0.9639,132.80,53,1954,0.0283,0.8235,0.5928,0.4412
2000,L1.qkv_lut,0.9670,132.37,55,2535,0.0251,0.8374,0.6097,0.4494
2000,L1.v_lut,0.7767,41.20,12,1400,0.0889,0.4679,0.2309,0.1343
2000,L1.out_proj,0.8385,38.16,12,1242,0.0879,0.5152,0.2461,0.1396
2000,L1.residual_lut,0.9932,128.88,78,1508,0.0024,0.9446,0.7605,0.5635
2000,L2.qkv_lut,0.9922,129.01,81,1454,0.0049,0.9450,0.7570,0.5731
2000,L2.v_lut,0.9077,35.25,14,1169,0.0702,0.5965,0.2740,0.1388
2000,L2.out_proj,0.3816,83.85,8,5230,0.0690,0.1967,0.1104,0.0759
2000,L2.residual_lut,0.8335,153.57,80,2389,0.0374,0.7136,0.5798,0.4634
2000,L3.qkv_lut,0.8027,159.45,70,2795,0.0444,0.6654,0.5386,0.4227
2000,L3.v_lut,0.6298,50.81,17,1988,0.0658,0.4153,0.2279,0.1370
2000,L3.out_proj,0.1018,314.23,23,7750,0.0121,0.0675,0.0468,0.0376
2000,L3.residual_lut,0.5408,236.70,99,4237,0.0142,0.4795,0.3882,0.3196
2000,L4.qkv_lut,0.5493,233.02,75,3931,0.0210,0.4658,0.3656,0.2974
2000,L4.v_lut,0.3466,92.32,21,3173,0.0333,0.2351,0.1473,0.1026
2000,L4.out_proj,0.0110,2896.62,575,8192,0.0006,0.0092,0.0082,0.0075
2000,L4.residual_lut,0.4458,287.12,46,7283,0.0366,0.3296,0.2505,0.1995
2000,L5.qkv_lut,0.4315,296.65,47,7504,0.0365,0.3198,0.2388,0.1951
2000,L5.v_lut,0.2537,126.12,17,4701,0.0345,0.1596,0.1041,0.0778
2000,L5.out_proj,0.0134,2383.13,354,8192,0.0009,0.0107,0.0092,0.0084
2000,L5.residual_lut,0.5295,241.72,44,5418,0.0378,0.3999,0.2920,0.2339
2200,L0.qkv_lut,1.0000,128.00,102,729,0.0000,0.9993,0.9621,0.7769
2200,L0.v_lut,0.9900,32.32,21,590,0.0112,0.8466,0.3008,0.0916
2200,L0.out_proj,0.6954,46.01,11,2759,0.0912,0.3984,0.2011,0.1223
2200,L0.residual_lut,0.9663,132.46,55,1971,0.0281,0.8350,0.6082,0.4502
2200,L1.qkv_lut,0.9660,132.51,58,2382,0.0233,0.8433,0.6102,0.4598
2200,L1.v_lut,0.7878,40.62,12,1419,0.0857,0.4789,0.2354,0.1350
2200,L1.out_proj,0.8436,37.93,13,1289,0.0836,0.5229,0.2508,0.1412
2200,L1.residual_lut,0.9976,128.31,81,1340,0.0059,0.9539,0.7715,0.5789
2200,L2.qkv_lut,0.9915,129.09,81,1410,0.0037,0.9469,0.7650,0.5794
2200,L2.v_lut,0.9162,34.93,15,1149,0.0694,0.6072,0.2778,0.1392
2200,L2.out_proj,0.4162,76.89,8,4938,0.0751,0.2144,0.1216,0.0827
2200,L2.residual_lut,0.8560,149.54,86,2383,0.0408,0.7332,0.5994,0.4858
2200,L3.qkv_lut,0.8244,155.27,76,2126,0.0448,0.6839,0.5573,0.4469
2200,L3.v_lut,0.6573,48.68,17,1779,0.0650,0.4386,0.2415,0.1437
2200,L3.out_proj,0.1093,292.82,24,7230,0.0128,0.0730,0.0510,0.0404
2200,L3.residual_lut,0.5505,232.50,115,3704,0.0061,0.5154,0.4287,0.3574
2200,L4.qkv_lut,0.5656,226.31,103,2432,0.0114,0.5062,0.4147,0.3431
2200,L4.v_lut,0.3779,84.68,25,2716,0.0285,0.2724,0.1715,0.1172
2200,L4.out_proj,0.0102,3148.88,854,8192,0.0006,0.0086,0.0074,0.0070
2200,L4.residual_lut,0.4021,318.33,34,8063,0.0457,0.2783,0.2073,0.1663
2200,L5.qkv_lut,0.3657,349.99,39,6141,0.0352,0.2632,0.1963,0.1606
2200,L5.v_lut,0.1877,170.46,15,7877,0.0288,0.1123,0.0732,0.0556
2200,L5.out_proj,0.0103,3111.50,1555,8192,0.0006,0.0087,0.0081,0.0077
2200,L5.residual_lut,0.3940,324.84,37,7898,0.0327,0.2832,0.2061,0.1707
2400,L0.qkv_lut,1.0000,128.00,102,742,0.0000,0.9989,0.9616,0.7806
2400,L0.v_lut,0.9897,32.33,21,621,0.0108,0.8463,0.3011,0.0915
2400,L0.out_proj,0.7090,45.13,11,2927,0.0896,0.4089,0.2047,0.1238
2400,L0.residual_lut,0.9712,131.80,56,1881,0.0203,0.8445,0.6155,0.4583
2400,L1.qkv_lut,0.9748,131.31,58,2327,0.0218,0.8525,0.6208,0.4621
2400,L1.v_lut,0.7937,40.32,12,1265,0.0873,0.4834,0.2368,0.1369
2400,L1.out_proj,0.8504,37.63,13,1324,0.0823,0.5323,0.2539,0.1407
2400,L1.residual_lut,0.9971,128.38,82,1226,0.0046,0.9534,0.7771,0.5840
2400,L2.qkv_lut,0.9927,128.94,82,1473,0.0041,0.9526,0.7679,0.5781
2400,L2.v_lut,0.9186,34.84,15,1123,0.0651,0.6106,0.2793,0.1390
2400,L2.out_proj,0.4251,75.27,8,4632,0.0760,0.2202,0.1208,0.0800
2400,L2.residual_lut,0.8569,149.37,88,1876,0.0447,0.7314,0.6067,0.5000
2400,L3.qkv_lut,0.8234,155.45,77,2369,0.0435,0.6896,0.5566,0.4538
2400,L3.v_lut,0.6587,48.58,18,1475,0.0653,0.4437,0.2462,0.1442
2400,L3.out_proj,0.1106,289.42,24,7426,0.0137,0.0723,0.0510,0.0398
2400,L3.residual_lut,0.5547,230.76,111,2946,0.0117,0.5107,0.4246,0.3484
2400,L4.qkv_lut,0.5632,227.29,93,3013,0.0143,0.4946,0.3978,0.3289
2400,L4.v_lut,0.3715,86.14,24,3266,0.0312,0.2653,0.1666,0.1133
2400,L4.out_proj,0.0123,2595.49,352,8192,0.0006,0.0104,0.0088,0.0078
2400,L4.residual_lut,0.3921,326.46,36,7605,0.0403,0.2778,0.2034,0.1687
2400,L5.qkv_lut,0.3988,320.99,40,7037,0.0425,0.2847,0.2090,0.1742
2400,L5.v_lut,0.2149,148.93,15,8037,0.0331,0.1292,0.0837,0.0632
2400,L5.out_proj,0.0121,2647.92,536,8192,0.0011,0.0094,0.0083,0.0078
2400,L5.residual_lut,0.4131,309.86,40,6591,0.0449,0.2915,0.2188,0.1777
2600,L0.qkv_lut,1.0000,128.00,101,742,0.0000,0.9993,0.9634,0.7749
2600,L0.v_lut,0.9894,32.34,20,552,0.0107,0.8467,0.3017,0.0914
2600,L0.out_proj,0.7097,45.09,11,2780,0.0884,0.4120,0.2056,0.1244
2600,L0.residual_lut,0.9722,131.66,57,1858,0.0212,0.8496,0.6196,0.4612
2600,L1.qkv_lut,0.9725,131.62,59,2250,0.0215,0.8496,0.6217,0.4688
2600,L1.v_lut,0.7969,40.15,12,1339,0.0862,0.4860,0.2376,0.1359
2600,L1.out_proj,0.8626,37.10,13,1148,0.0826,0.5432,0.2590,0.1412
2600,L1.residual_lut,0.9973,128.34,82,1218,0.0051,0.9553,0.7783,0.5894
2600,L2.qkv_lut,0.9932,128.88,83,1391,0.0028,0.9559,0.7749,0.5913
2600,L2.v_lut,0.9206,34.76,15,1071,0.0642,0.6163,0.2834,0.1398
2600,L2.out_proj,0.4391,72.88,8,4542,0.0806,0.2260,0.1256,0.0842
2600,L2.residual_lut,0.8655,147.90,83,2091,0.0356,0.7417,0.6086,0.4915
2600,L3.qkv_lut,0.8294,154.32,75,2155,0.0506,0.6938,0.5633,0.4473
2600,L3.v_lut,0.6662,48.03,17,1646,0.0667,0.4443,0.2429,0.1433
2600,L3.out_proj,0.1062,301.40,24,7687,0.0135,0.0706,0.0488,0.0389
2600,L3.residual_lut,0.5525,231.68,126,3184,0.0085,0.5183,0.4424,0.3672
2600,L4.qkv_lut,0.5622,227.69,118,2851,0.0065,0.5241,0.4338,0.3636
