step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
5000,0.212412,0.209346,0.189020,0.188890,0.397450,0.208237,0.474741,0.282698,0.894448,0.369229,0.619727,0.339989,0.423693,0.222342,0.622834,0.327488,0.809626,0.418908,0.522014,0.356903,0.374703,0.219030,0.579133,0.413550,0.486661,0.426011,0.411008,0.398640,0.404010,0.268366,0.648795,0.582904,0.517189,0.490101,0.558885,0.520552,0.413714,0.347684,0.939870,0.765478,0.574032,0.423163,0.561383,0.383503,0.412197,0.359361,0.808553,0.643372
5200,0.208459,0.205386,0.184936,0.184789,0.404060,0.205911,0.481691,0.280549,0.900773,0.365895,0.627537,0.337947,0.430650,0.219999,0.634068,0.326622,0.817540,0.416212,0.528647,0.356629,0.379487,0.216546,0.581818,0.410637,0.488520,0.425596,0.410459,0.397650,0.406777,0.266287,0.647876,0.579800,0.516947,0.489796,0.558610,0.520352,0.413363,0.345638,0.941790,0.766370,0.574579,0.422655,0.561945,0.382789,0.411893,0.357782,0.809702,0.643628
5400,0.205220,0.202099,0.181264,0.181099,0.410340,0.203388,0.489148,0.278704,0.906193,0.362849,0.634136,0.336149,0.436682,0.217719,0.644608,0.325979,0.825078,0.414278,0.535221,0.356332,0.384441,0.213995,0.583188,0.407032,0.490304,0.425077,0.409798,0.396713,0.409452,0.264415,0.646651,0.576277,0.515620,0.488304,0.557380,0.518903,0.412557,0.343653,0.943114,0.766996,0.575039,0.422233,0.562357,0.381992,0.411790,0.356756,0.810587,0.643815
5600,0.202193,0.199028,0.178000,0.177819,0.415705,0.201265,0.495661,0.277290,0.910410,0.360049,0.640649,0.334571,0.442459,0.215475,0.654292,0.325183,0.831543,0.412192,0.540831,0.356289,0.388873,0.212110,0.584629,0.404102,0.492386,0.425196,0.409282,0.395888,0.411642,0.262892,0.645590,0.573259,0.514581,0.487052,0.556614,0.518049,0.411812,0.341841,0.944164,0.767510,0.575170,0.421972,0.562796,0.381586,0.411959,0.356058,0.811302,0.643962
5800,0.199555,0.196352,0.175035,0.174847,0.420398,0.199459,0.501897,0.275590,0.914636,0.357213,0.647012,0.332820,0.447586,0.213481,0.663314,0.324639,0.837382,0.410080,0.546056,0.355903,0.393154,0.210363,0.586629,0.401650,0.494054,0.424830,0.408231,0.394489,0.413198,0.260987,0.644029,0.569951,0.513784,0.486155,0.555920,0.517267,0.410760,0.340202,0.945244,0.768084,0.575551,0.421942,0.562797,0.381161,0.411924,0.355252,0.811929,0.644110
6000,0.197081,0.193859,0.172439,0.172241,0.424529,0.197809,0.507368,0.274030,0.917354,0.354707,0.652000,0.331536,0.452004,0.211584,0.671702,0.324116,0.842084,0.408206,0.550990,0.355537,0.396435,0.208450,0.588499,0.399141,0.495387,0.424535,0.407930,0.393925,0.414766,0.259485,0.643040,0.567449,0.513206,0.485457,0.555557,0.516771,0.410417,0.339049,0.946018,0.768409,0.575760,0.421895,0.562709,0.380746,0.411970,0.354576,0.812369,0.644163
6200,0.194923,0.191691,0.170135,0.169933,0.428220,0.196228,0.512699,0.272847,0.920118,0.352630,0.656324,0.330433,0.456075,0.210191,0.679035,0.323516,0.846616,0.406578,0.555575,0.355455,0.399045,0.206762,0.590167,0.397086,0.496560,0.424216,0.407306,0.393064,0.416123,0.257903,0.641618,0.564632,0.512022,0.484121,0.554465,0.515729,0.409352,0.337841,0.946356,0.768649,0.575779,0.421690,0.562616,0.380379,0.411900,0.354040,0.812695,0.644204
6400,0.192906,0.189681,0.168127,0.167920,0.431383,0.194892,0.517197,0.271928,0.921399,0.350404,0.659877,0.329085,0.459621,0.208728,0.685993,0.323295,0.850780,0.405137,0.559189,0.355151,0.401838,0.205397,0.591895,0.395375,0.497906,0.424148,0.407075,0.392551,0.417447,0.256741,0.640480,0.562281,0.511313,0.483275,0.553760,0.514979,0.408463,0.336730,0.946555,0.768745,0.575505,0.421224,0.562385,0.379967,0.411604,0.353348,0.812903,0.644209
6600,0.191155,0.187930,0.166364,0.166149,0.433730,0.193529,0.521262,0.271203,0.923279,0.348704,0.663253,0.327984,0.462630,0.207497,0.692107,0.322978,0.854384,0.403897,0.562650,0.355168,0.404153,0.204320,0.592760,0.393553,0.498384,0.423643,0.406946,0.392183,0.418658,0.255743,0.639106,0.559962,0.510543,0.482417,0.553190,0.514357,0.407600,0.335627,0.946788,0.768930,0.575311,0.420988,0.562156,0.379658,0.411469,0.352912,0.813119,0.644273
6800,0.189615,0.186390,0.164833,0.164612,0.435962,0.192453,0.525068,0.270475,0.924832,0.347043,0.666481,0.327098,0.465817,0.206395,0.697702,0.322677,0.857327,0.402633,0.565934,0.355036,0.406113,0.203272,0.594311,0.392106,0.499324,0.423480,0.406526,0.391575,0.419410,0.254677,0.638128,0.557989,0.509555,0.481201,0.552430,0.513515,0.406990,0.334738,0.946702,0.768893,0.575369,0.420870,0.562230,0.379428,0.411490,0.352658,0.813199,0.644233
7000,0.188354,0.185124,0.163469,0.163245,0.437724,0.191363,0.528553,0.269684,0.925687,0.345520,0.669333,0.326315,0.468518,0.205365,0.702851,0.322595,0.860234,0.401564,0.568712,0.354977,0.407853,0.202377,0.595380,0.390775,0.499952,0.423092,0.406111,0.390926,0.420261,0.253802,0.636822,0.555838,0.508457,0.480066,0.551751,0.512822,0.406195,0.333823,0.946658,0.768926,0.574872,0.420327,0.561846,0.378965,0.411206,0.352283,0.813270,0.644211
7200,0.187205,0.183974,0.162283,0.162055,0.439782,0.190472,0.531665,0.269159,0.926257,0.344153,0.671370,0.325405,0.470891,0.204461,0.707392,0.322408,0.862368,0.400524,0.571238,0.354775,0.409446,0.201517,0.596133,0.389284,0.500687,0.422932,0.406015,0.390631,0.421036,0.253070,0.635807,0.554103,0.507718,0.479203,0.551072,0.512100,0.405501,0.332983,0.946479,0.768853,0.574647,0.420120,0.561623,0.378757,0.411191,0.352113,0.813278,0.644163
7400,0.186145,0.182917,0.161208,0.160977,0.441534,0.189730,0.534602,0.268773,0.927433,0.342941,0.673526,0.324706,0.472742,0.203659,0.711312,0.322320,0.864576,0.399695,0.573573,0.354808,0.410912,0.200712,0.596802,0.388159,0.501179,0.422653,0.405632,0.390147,0.421608,0.252414,0.634870,0.552672,0.507156,0.478515,0.550632,0.511576,0.404848,0.332262,0.946481,0.768888,0.574506,0.419971,0.561527,0.378660,0.411056,0.351922,0.813356,0.644193
7600,0.185193,0.181970,0.160228,0.159993,0.443006,0.188971,0.537305,0.268432,0.927949,0.341856,0.675734,0.324156,0.474663,0.202969,0.715083,0.322146,0.866171,0.398744,0.575623,0.354698,0.412112,0.200005,0.597238,0.387036,0.501616,0.422371,0.405550,0.389887,0.422189,0.251724,0.634018,0.551217,0.506453,0.477716,0.550007,0.510882,0.404162,0.331466,0.946313,0.768840,0.574255,0.419753,0.561379,0.378544,0.410990,0.351786,0.813354,0.644162
7800,0.184304,0.181082,0.159316,0.159080,0.444265,0.188225,0.539693,0.267993,0.929000,0.340940,0.677365,0.323593,0.476470,0.202296,0.718758,0.322139,0.867789,0.397879,0.577563,0.354527,0.413321,0.199382,0.597760,0.385967,0.501973,0.422118,0.405387,0.389602,0.422704,0.251167,0.633165,0.549869,0.505789,0.477025,0.549380,0.510308,0.403600,0.330772,0.946188,0.768825,0.573961,0.419441,0.561194,0.378349,0.410857,0.351636,0.813358,0.644140
8000,0.183457,0.180234,0.158439,0.158199,0.445396,0.187523,0.542110,0.267606,0.929977,0.340011,0.678981,0.322982,0.478187,0.201638,0.722192,0.321948,0.869958,0.397275,0.579472,0.354482,0.414446,0.198702,0.598630,0.385188,0.502500,0.421951,0.405286,0.389326,0.423144,0.250567,0.632359,0.548518,0.505219,0.476316,0.548978,0.509857,0.403115,0.330202,0.945953,0.768738,0.573648,0.419202,0.560957,0.378158,0.410800,0.351524,0.813329,0.644094
