step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out.T_soft,read_out.T_sel
2000,0.411236,0.425951,0.423366,0.428554,0.412716,0.397273,0.619655,0.533969,0.511523,0.446495,0.511525,0.452981,0.642021,0.542091,0.509383,0.429189,0.518305,0.457792,0.662367,0.546695,0.494266,0.420896,0.475151,0.424925,0.659769,0.547045,0.495176,0.430274,0.527995,0.497056,0.608134,0.526265,0.485016,0.457789,0.526826,0.511012,0.579367,0.468941
2200,0.410853,0.423734,0.418491,0.422734,0.416927,0.392162,0.635544,0.538370,0.530684,0.451431,0.530814,0.460272,0.661366,0.548126,0.529944,0.433184,0.535296,0.462220,0.688012,0.553763,0.513618,0.421787,0.488062,0.423487,0.683765,0.552578,0.511737,0.427663,0.535307,0.497200,0.632295,0.535060,0.490364,0.452681,0.530483,0.511326,0.606606,0.470868
2400,0.412170,0.422833,0.414466,0.417342,0.424438,0.387812,0.650943,0.542387,0.551616,0.458039,0.550005,0.467474,0.680141,0.551954,0.551720,0.438032,0.553326,0.468213,0.718016,0.562424,0.534460,0.425327,0.502577,0.422733,0.710225,0.559585,0.530640,0.426814,0.542776,0.497005,0.655721,0.542500,0.499161,0.449043,0.534416,0.511202,0.634922,0.472961
2600,0.413010,0.421328,0.412138,0.412883,0.434040,0.386104,0.664394,0.545184,0.571772,0.464009,0.570351,0.475555,0.695645,0.554598,0.574829,0.444478,0.572177,0.474270,0.743785,0.568116,0.555426,0.429091,0.517035,0.423124,0.735855,0.564311,0.550021,0.426211,0.550567,0.496777,0.677684,0.548753,0.508938,0.445868,0.537564,0.510617,0.663379,0.474786
2800,0.414907,0.420808,0.410014,0.408689,0.442762,0.383713,0.677110,0.547326,0.592038,0.470808,0.592925,0.485973,0.714810,0.559787,0.598457,0.451329,0.591696,0.480691,0.770843,0.573794,0.578336,0.435046,0.533416,0.425258,0.761076,0.569348,0.571288,0.428023,0.560030,0.497538,0.699139,0.554098,0.521844,0.443648,0.540732,0.509794,0.693507,0.477198
3000,0.416909,0.420390,0.408825,0.405027,0.451789,0.381398,0.689230,0.549140,0.612412,0.476394,0.613964,0.493640,0.730495,0.562289,0.620513,0.456498,0.609693,0.485216,0.797071,0.578047,0.600274,0.439329,0.547930,0.424576,0.785222,0.573313,0.591930,0.430515,0.569589,0.498404,0.721865,0.560564,0.533666,0.442206,0.544217,0.509111,0.723681,0.480103
3200,0.418573,0.419595,0.407883,0.401634,0.461336,0.379929,0.701098,0.550620,0.632619,0.482145,0.634789,0.501719,0.744561,0.564316,0.643660,0.462898,0.628780,0.490881,0.824710,0.583333,0.622528,0.444792,0.563160,0.425052,0.808509,0.576242,0.612975,0.433964,0.579566,0.499329,0.743923,0.565739,0.548169,0.442124,0.548176,0.508068,0.754260,0.482196
3400,0.420277,0.419204,0.407798,0.399069,0.471445,0.379031,0.712402,0.552321,0.652776,0.487325,0.654421,0.508701,0.757462,0.565124,0.666279,0.468408,0.647239,0.496109,0.851917,0.587046,0.644963,0.449711,0.578399,0.425307,0.830422,0.578829,0.634085,0.435855,0.588486,0.499531,0.766575,0.571287,0.562215,0.441565,0.550921,0.506505,0.784323,0.484248
3600,0.422105,0.418814,0.407759,0.396688,0.480741,0.377300,0.723520,0.553993,0.672896,0.493429,0.675132,0.516881,0.771304,0.566982,0.688758,0.474437,0.667534,0.503027,0.879515,0.591260,0.667197,0.454410,0.592905,0.424452,0.852656,0.581952,0.655931,0.439297,0.597028,0.499723,0.786905,0.575461,0.578797,0.442439,0.554342,0.505211,0.814738,0.486534
3800,0.423761,0.418440,0.407586,0.394667,0.490272,0.375979,0.733403,0.554963,0.691257,0.498184,0.693827,0.523174,0.783868,0.568012,0.710273,0.480162,0.685528,0.508305,0.904930,0.594268,0.688592,0.458149,0.604825,0.421454,0.873030,0.583226,0.677571,0.443735,0.605605,0.500214,0.808293,0.579704,0.594403,0.444002,0.557224,0.503680,0.844532,0.488506
4000,0.424782,0.417731,0.407021,0.392313,0.497825,0.374269,0.742022,0.555810,0.709712,0.503172,0.712849,0.529646,0.795692,0.569402,0.731210,0.484874,0.702943,0.512856,0.931775,0.597600,0.708987,0.462188,0.617270,0.420534,0.893183,0.584220,0.698449,0.446646,0.613399,0.500448,0.827715,0.583062,0.609309,0.445733,0.560091,0.502396,0.873472,0.490619
4200,0.426254,0.417681,0.406924,0.390434,0.505738,0.372544,0.750967,0.557137,0.726966,0.507309,0.730613,0.535104,0.805625,0.570140,0.751663,0.489188,0.719588,0.516762,0.956281,0.598374,0.728604,0.464918,0.629236,0.418283,0.912917,0.585649,0.718381,0.450191,0.621322,0.501042,0.846286,0.585604,0.624538,0.447555,0.562562,0.500786,0.901896,0.492685
4400,0.427161,0.417013,0.406639,0.388515,0.513516,0.371136,0.757680,0.557378,0.744001,0.511238,0.747511,0.540741,0.816234,0.570972,0.771038,0.493497,0.734164,0.519575,0.980359,0.600759,0.747480,0.467137,0.638104,0.414603,0.929449,0.585727,0.737147,0.452793,0.628778,0.501350,0.864284,0.588290,0.639682,0.449507,0.565395,0.499240,0.929925,0.494792
4600,0.428847,0.417572,0.405811,0.386628,0.520073,0.369630,0.764813,0.557924,0.758436,0.513762,0.762292,0.544385,0.825040,0.571204,0.788904,0.497486,0.748760,0.523234,1.003919,0.602794,0.765745,0.470429,0.647101,0.412519,0.945516,0.586002,0.755907,0.456062,0.635716,0.501734,0.880266,0.590362,0.654026,0.452001,0.567865,0.497707,0.956818,0.496751
4800,0.429190,0.416903,0.405274,0.385082,0.527263,0.368752,0.770953,0.557955,0.772363,0.516528,0.777589,0.548803,0.834063,0.572133,0.806373,0.501326,0.761914,0.525772,1.026264,0.603385,0.782170,0.472183,0.655100,0.409677,0.960867,0.587324,0.773419,0.458471,0.641896,0.501633,0.896473,0.592165,0.667234,0.453969,0.570090,0.496134,0.982180,0.498682
5000,0.429328,0.416057,0.404562,0.383584,0.532106,0.367206,0.776308,0.558019,0.785279,0.518728,0.791076,0.552100,0.842619,0.572851,0.822051,0.504474,0.775536,0.529216,1.046944,0.604482,0.797228,0.474070,0.662362,0.407004,0.975309,0.586964,0.789651,0.460624,0.647321,0.501611,0.911051,0.593732,0.680565,0.455592,0.571464,0.494047,1.006248,0.500260
5200,0.429871,0.416010,0.403629,0.382172,0.535675,0.365531,0.781665,0.558621,0.796616,0.520248,0.802567,0.554352,0.849577,0.573219,0.836541,0.507401,0.787479,0.531946,1.066092,0.605051,0.811618,0.475930,0.669683,0.404965,0.988245,0.587400,0.805561,0.463977,0.652889,0.501793,0.924185,0.594620,0.692582,0.457429,0.573132,0.492573,1.028952,0.501567
5400,0.430084,0.415705,0.402547,0.380746,0.538842,0.364134,0.785393,0.558140,0.807480,0.522222,0.813622,0.557052,0.855988,0.573433,0.849900,0.510143,0.798155,0.534310,1.083565,0.605105,0.824757,0.477453,0.675489,0.402440,1.000649,0.588006,0.819958,0.465844,0.656726,0.501363,0.937061,0.595927,0.703307,0.458967,0.574340,0.490999,1.049526,0.502660
5600,0.430041,0.415385,0.401190,0.379272,0.541392,0.362534,0.788777,0.557765,0.817367,0.523292,0.822839,0.558403,0.862551,0.574097,0.862358,0.512846,0.807501,0.536041,1.099687,0.605230,0.837422,0.479210,0.681174,0.400296,1.011826,0.587954,0.832894,0.467345,0.659777,0.500714,0.948172,0.596571,0.713932,0.461113,0.575543,0.489621,1.068758,0.503874
5800,0.430091,0.415128,0.399878,0.377969,0.543558,0.361091,0.793160,0.558384,0.824937,0.523658,0.830382,0.558933,0.867323,0.574266,0.873046,0.514713,0.815976,0.537162,1.114522,0.605115,0.848757,0.480769,0.686366,0.398641,1.022239,0.588765,0.844780,0.469252,0.663354,0.500468,0.960142,0.598121,0.723750,0.462900,0.576630,0.488181,1.086380,0.504966
6000,0.430043,0.414831,0.398538,0.376631,0.545514,0.360107,0.795873,0.558070,0.832273,0.524480,0.837425,0.559615,0.871485,0.574017,0.883575,0.516774,0.823613,0.538079,1.127562,0.604876,0.859073,0.482267,0.690987,0.397090,1.031533,0.588884,0.855399,0.470819,0.666414,0.500253,0.969471,0.598812,0.732705,0.464766,0.577803,0.486874,1.102770,0.505947
6200,0.429492,0.414214,0.397364,0.375556,0.546004,0.358479,0.797931,0.557720,0.839361,0.525366,0.844206,0.560351,0.875499,0.574162,0.892493,0.518077,0.830223,0.538594,1.138965,0.604544,0.868082,0.483681,0.695310,0.395866,1.039593,0.588747,0.865534,0.472715,0.668899,0.499996,0.977869,0.599416,0.741173,0.466877,0.578822,0.485771,1.117475,0.506796
6400,0.429257,0.413885,0.396020,0.374493,0.547109,0.357400,0.799476,0.557155,0.845028,0.525917,0.849798,0.561018,0.879152,0.574349,0.900687,0.519557,0.836129,0.539400,1.149716,0.603773,0.876473,0.484978,0.699167,0.394363,1.046964,0.588745,0.873962,0.473718,0.670877,0.499530,0.985148,0.599861,0.748071,0.468303,0.579482,0.484604,1.130720,0.507647
6600,0.429169,0.413755,0.394722,0.373467,0.546804,0.356184,0.801605,0.557138,0.849963,0.526421,0.854821,0.561614,0.881578,0.573990,0.907714,0.520876,0.841231,0.540003,1.159027,0.603421,0.883597,0.485596,0.701846,0.392990,1.053600,0.588721,0.881215,0.474465,0.672556,0.499187,0.992505,0.600473,0.754544,0.469787,0.580004,0.483627,1.142457,0.508250
6800,0.429040,0.413700,0.393202,0.372311,0.546526,0.355018,0.803710,0.557246,0.854201,0.526519,0.858366,0.561458,0.884621,0.574186,0.913987,0.521971,0.845939,0.540672,1.167227,0.603009,0.890120,0.486692,0.704960,0.392231,1.059936,0.588746,0.888026,0.475433,0.674009,0.498837,0.998493,0.600768,0.760552,0.471206,0.580561,0.482684,1.152887,0.508879
7000,0.428581,0.413298,0.391895,0.371332,0.546116,0.353946,0.805096,0.557110,0.857629,0.526691,0.862261,0.561778,0.886930,0.574197,0.919868,0.523378,0.850503,0.541652,1.174276,0.602479,0.896322,0.487767,0.707761,0.391308,1.064954,0.588538,0.893909,0.476175,0.675327,0.498513,1.004096,0.600982,0.765758,0.472293,0.580780,0.481622,1.162453,0.509366
7200,0.428226,0.413009,0.390508,0.370338,0.545839,0.353090,0.806170,0.556855,0.861284,0.527039,0.865602,0.561941,0.889355,0.574342,0.924606,0.524137,0.853855,0.541874,1.181170,0.602190,0.901451,0.488428,0.709997,0.390458,1.069585,0.588467,0.899541,0.477107,0.676460,0.498126,1.008998,0.601263,0.770325,0.473321,0.581296,0.480937,1.170853,0.509746
7400,0.427956,0.412832,0.389241,0.369425,0.545179,0.352191,0.806901,0.556550,0.864092,0.527047,0.868328,0.561807,0.891485,0.574479,0.929031,0.524822,0.856886,0.542073,1.187518,0.601853,0.906382,0.489232,0.712122,0.389755,1.073829,0.588504,0.904323,0.477668,0.677557,0.497938,1.013418,0.601733,0.774767,0.474425,0.581688,0.480302,1.178516,0.510187
7600,0.427640,0.412596,0.388088,0.368598,0.544611,0.351393,0.807812,0.556418,0.866762,0.527186,0.870967,0.561776,0.892687,0.574157,0.933190,0.525577,0.859940,0.542446,1.193028,0.601520,0.911157,0.490009,0.713874,0.389051,1.077369,0.588400,0.908784,0.478244,0.678382,0.497696,1.017551,0.601822,0.778569,0.475183,0.581796,0.479548,1.185577,0.510637
7800,0.427339,0.412404,0.387038,0.367875,0.543707,0.350431,0.808744,0.556338,0.869136,0.527248,0.873424,0.561840,0.894603,0.574330,0.936681,0.525949,0.862529,0.542548,1.198216,0.601135,0.915584,0.490849,0.716104,0.388697,1.080788,0.588279,0.913051,0.478884,0.679100,0.497394,1.021341,0.601976,0.782375,0.476131,0.582129,0.478928,1.192275,0.511020
8000,0.427051,0.412222,0.385889,0.367048,0.542930,0.349622,0.809422,0.556175,0.871212,0.527148,0.875404,0.561524,0.896244,0.574380,0.940069,0.526310,0.864677,0.542301,1.203085,0.600929,0.919605,0.491488,0.718071,0.388219,1.084466,0.588289,0.917356,0.479486,0.679935,0.497173,1.024959,0.602235,0.786116,0.477035,0.582376,0.478331,1.198719,0.511461
