step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
6200,0.291985,0.260454,0.481707,0.265823,0.395181,0.245267,0.906656,0.333014,0.427138,0.357454,0.390727,0.357551,0.499508,0.489087,0.459493,0.432361,0.635478,0.584897,0.488331,0.491146,0.597173,0.509289,0.810678,0.636829,0.489499,0.489664,0.610935,0.498872,0.671107,0.582489,0.488249,0.486309,0.635033,0.494230,0.689365,0.576739
6400,0.291868,0.259857,0.485060,0.264928,0.399502,0.245671,0.914853,0.332040,0.428206,0.356478,0.389931,0.355656,0.499747,0.489034,0.459710,0.431144,0.633733,0.582216,0.488654,0.491397,0.597650,0.508338,0.811179,0.636953,0.488667,0.488817,0.611046,0.497241,0.671473,0.582557,0.487210,0.485221,0.635119,0.492384,0.689793,0.576787
6600,0.291660,0.259242,0.487726,0.264043,0.403433,0.246153,0.922077,0.331185,0.429218,0.355573,0.389193,0.353867,0.499499,0.488559,0.460193,0.430134,0.631891,0.579731,0.489143,0.491885,0.597931,0.507393,0.811604,0.637089,0.488499,0.488571,0.610985,0.495693,0.671748,0.582611,0.486308,0.484365,0.635187,0.490990,0.690156,0.576835
6800,0.291617,0.258818,0.490386,0.263117,0.406856,0.246517,0.928963,0.330738,0.430474,0.354976,0.388676,0.352361,0.499382,0.488127,0.460646,0.429366,0.630315,0.577635,0.489418,0.491970,0.598242,0.506819,0.811819,0.637091,0.488500,0.488418,0.610912,0.494269,0.671903,0.582591,0.485712,0.483713,0.635051,0.489541,0.690375,0.576815
7000,0.291656,0.258488,0.492546,0.262478,0.410033,0.247038,0.934910,0.330097,0.431334,0.354292,0.388364,0.351150,0.499348,0.487801,0.460474,0.428258,0.628348,0.575219,0.489849,0.492369,0.598400,0.505912,0.812037,0.637124,0.488172,0.488039,0.610591,0.492735,0.672019,0.582567,0.485266,0.483202,0.634629,0.487866,0.690539,0.576797
7200,0.291749,0.258250,0.494404,0.261730,0.412893,0.247569,0.939839,0.329519,0.432113,0.353631,0.387950,0.349896,0.499240,0.487445,0.460600,0.427429,0.626501,0.572950,0.490484,0.492909,0.598686,0.505147,0.812150,0.637102,0.487516,0.487274,0.610298,0.491554,0.672100,0.582528,0.485156,0.483085,0.634309,0.486475,0.690665,0.576759
7400,0.291677,0.257913,0.496222,0.261137,0.415501,0.248035,0.944566,0.329008,0.432816,0.353123,0.387749,0.348855,0.499112,0.487110,0.460572,0.426588,0.624988,0.571020,0.490708,0.493113,0.598684,0.504440,0.812341,0.637163,0.487175,0.486867,0.610142,0.490560,0.672225,0.582552,0.484747,0.482645,0.633841,0.485019,0.690824,0.576782
7600,0.291710,0.257698,0.497742,0.260595,0.417922,0.248479,0.948795,0.328524,0.433393,0.352487,0.387550,0.347903,0.498843,0.486701,0.460703,0.425973,0.623401,0.569079,0.490965,0.493318,0.598920,0.503937,0.812437,0.637161,0.487068,0.486659,0.609727,0.489393,0.672275,0.582523,0.484454,0.482284,0.633372,0.483746,0.690901,0.576750
7800,0.291517,0.257289,0.499398,0.260101,0.420218,0.248940,0.952819,0.327863,0.434022,0.351968,0.387270,0.346923,0.498703,0.486395,0.460734,0.425291,0.621987,0.567332,0.491313,0.493618,0.598774,0.503125,0.812515,0.637153,0.486958,0.486477,0.609525,0.488421,0.672343,0.582516,0.484033,0.481828,0.632824,0.482563,0.690997,0.576741
8000,0.291482,0.257042,0.500812,0.259605,0.422463,0.249372,0.956892,0.327332,0.434465,0.351412,0.387084,0.345993,0.498767,0.486289,0.460843,0.424707,0.620611,0.565650,0.491462,0.493765,0.599142,0.502783,0.812560,0.637124,0.486733,0.486175,0.609165,0.487483,0.672364,0.582474,0.483755,0.481537,0.632328,0.481355,0.691045,0.576702
