step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
7400,0.422592,0.324684,0.665147,0.258876,1.731674,0.354397,0.862635,0.385518,0.855591,0.316497,1.178848,0.253827,1.758572,0.442724,1.051912,0.232317,1.141514,0.263572,0.973010,0.241105,1.592535,0.307845,1.044477,0.221793,0.901235,0.283536,0.956734,0.223815,1.492778,0.293789,1.048012,0.207859,0.871773,0.299106,0.668955,0.278647,1.238551,0.288638,1.081503,0.206705,0.648973,0.361304,0.532741,0.301162,0.980350,0.287625,1.005910,0.218834
7600,0.423147,0.322097,0.673231,0.255676,1.786119,0.348340,0.863768,0.377789,0.863742,0.313365,1.195366,0.249271,1.810008,0.437028,1.063049,0.228285,1.154914,0.260563,0.990355,0.237262,1.648393,0.305664,1.065083,0.218106,0.906528,0.279625,0.975100,0.220108,1.535514,0.289932,1.069800,0.204206,0.878548,0.295177,0.677380,0.275668,1.270977,0.284858,1.102051,0.203178,0.653471,0.358188,0.539396,0.299139,1.003433,0.284173,1.024321,0.215166
7800,0.423994,0.319558,0.681224,0.253088,1.841625,0.342877,0.866721,0.370397,0.871352,0.310786,1.212174,0.245615,1.861725,0.432082,1.077490,0.224577,1.168104,0.257655,1.007283,0.233696,1.701882,0.302761,1.083681,0.214743,0.913871,0.276543,0.990737,0.216550,1.579123,0.286199,1.088533,0.200875,0.888027,0.291961,0.686115,0.273322,1.302986,0.281476,1.119229,0.199800,0.658629,0.356057,0.546965,0.297306,1.025953,0.280708,1.040312,0.212363
8000,0.425113,0.317552,0.689220,0.250309,1.893850,0.337382,0.868375,0.363895,0.877229,0.308014,1.229086,0.241715,1.915187,0.426443,1.090392,0.220832,1.180148,0.255220,1.023742,0.230469,1.754808,0.300619,1.098529,0.210978,0.922955,0.273716,1.006932,0.213291,1.621117,0.283263,1.107926,0.197963,0.897361,0.289148,0.693721,0.270387,1.333336,0.278268,1.137274,0.196628,0.662892,0.353109,0.553470,0.295745,1.046276,0.277231,1.055367,0.209270
8200,0.425458,0.315308,0.696368,0.247799,1.945971,0.332731,0.873623,0.358061,0.883655,0.305462,1.243665,0.238440,1.966428,0.420650,1.106105,0.217504,1.191695,0.252592,1.038067,0.227112,1.806121,0.298013,1.114567,0.207898,0.930494,0.270773,1.021345,0.210127,1.662573,0.280402,1.126257,0.194896,0.903916,0.285721,0.701874,0.268101,1.361502,0.274799,1.155664,0.193582,0.668585,0.351131,0.559619,0.293749,1.068010,0.274596,1.071834,0.206268
8400,0.425933,0.313417,0.703016,0.245324,1.996277,0.327331,0.876720,0.351921,0.891075,0.303554,1.258733,0.235156,2.017845,0.416640,1.119027,0.214226,1.203686,0.250089,1.052077,0.223815,1.857668,0.295350,1.130283,0.204582,0.937590,0.268025,1.034323,0.207134,1.702603,0.276198,1.144583,0.191802,0.912096,0.282518,0.709465,0.265790,1.393413,0.272695,1.175004,0.190581,0.672380,0.348226,0.565314,0.291732,1.089043,0.272259,1.089939,0.203542
8600,0.427003,0.311830,0.709230,0.242778,2.047708,0.322822,0.878879,0.346015,0.894510,0.300621,1.273151,0.232290,2.067176,0.412044,1.131576,0.211467,1.215484,0.247899,1.068037,0.220824,1.908144,0.292560,1.146478,0.201376,0.945255,0.265593,1.047855,0.204448,1.743666,0.273365,1.162042,0.188794,0.921019,0.279860,0.716030,0.263388,1.423414,0.269819,1.191353,0.187618,0.677497,0.346079,0.573090,0.290645,1.111722,0.270419,1.105529,0.201222
8800,0.427629,0.310053,0.714222,0.240271,2.092365,0.317786,0.882060,0.340029,0.898842,0.298117,1.285474,0.229615,2.115756,0.407684,1.143138,0.208668,1.226123,0.245800,1.083266,0.217886,1.958725,0.290455,1.161783,0.198696,0.952334,0.263115,1.063538,0.201966,1.783369,0.270524,1.175524,0.186323,0.928780,0.277548,0.723780,0.261034,1.452212,0.266821,1.208352,0.185180,0.683109,0.344043,0.578803,0.288990,1.133551,0.267897,1.119980,0.198692
9000,0.428052,0.308205,0.720005,0.237917,2.141429,0.313067,0.884209,0.334336,0.903641,0.295555,1.295324,0.226641,2.160447,0.403003,1.151643,0.205374,1.235893,0.243485,1.097904,0.214852,2.009792,0.287988,1.178117,0.196067,0.958865,0.260454,1.077982,0.199788,1.824621,0.267775,1.190281,0.183718,0.937254,0.275030,0.733200,0.259200,1.481110,0.264293,1.223898,0.182882,0.687229,0.341791,0.585486,0.287916,1.155351,0.265795,1.134782,0.196313
9200,0.428125,0.306342,0.725306,0.235687,2.188148,0.308556,0.885798,0.328896,0.908475,0.293440,1.308427,0.224245,2.205226,0.399244,1.162385,0.202691,1.244745,0.241621,1.112948,0.212145,2.057760,0.285548,1.193335,0.193723,0.964111,0.257791,1.090008,0.197167,1.861278,0.265582,1.207284,0.181534,0.944071,0.272736,0.739103,0.256771,1.509618,0.261789,1.239421,0.180656,0.691471,0.340054,0.591996,0.286576,1.173923,0.263592,1.148216,0.193999
