step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.out_v2d.T,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.out_v2d.T,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.out_v2d.T,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.out_v2d.T,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.out_v2d.T,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.out_v2d.T
5400,0.286426,0.253432,0.540371,0.222304,0.316857,1.257358,0.366689,0.443235,0.316468,0.299442,1.003209,0.374963,0.475193,0.344528,0.279724,0.563039,0.474868,0.453283,0.410517,0.126282,0.554868,0.499497,0.524112,0.508720,0.124340,0.510933,0.493052,0.519228,0.512543,0.111341
5600,0.285895,0.251976,0.548416,0.220138,0.323405,1.278375,0.363433,0.447580,0.315100,0.305534,1.016375,0.373255,0.479441,0.343678,0.285253,0.563176,0.472857,0.452538,0.408109,0.126939,0.554491,0.497964,0.524813,0.508711,0.124680,0.510347,0.491997,0.519563,0.512673,0.111502
5800,0.285477,0.250683,0.556056,0.217943,0.329428,1.296807,0.360683,0.451699,0.313909,0.311138,1.027652,0.370889,0.483176,0.342654,0.290323,0.563465,0.471079,0.452423,0.406104,0.127559,0.554019,0.496302,0.525320,0.508677,0.124980,0.510103,0.491254,0.519383,0.512463,0.111686
6000,0.284897,0.249410,0.562737,0.216070,0.334912,1.313561,0.358108,0.455353,0.312862,0.316239,1.038078,0.369016,0.486643,0.341784,0.294974,0.564590,0.470265,0.451958,0.403890,0.128145,0.553563,0.494706,0.525306,0.508162,0.125237,0.509747,0.490458,0.519657,0.512557,0.111843
6200,0.284714,0.248515,0.568331,0.214211,0.339877,1.329134,0.355693,0.458811,0.311698,0.320866,1.047557,0.367474,0.489910,0.340863,0.299156,0.564275,0.468483,0.452271,0.402371,0.128755,0.553520,0.493647,0.525361,0.507712,0.125508,0.509101,0.489438,0.519232,0.512068,0.111977
6400,0.284255,0.247568,0.573487,0.212637,0.344345,1.342537,0.353607,0.461572,0.310994,0.324996,1.056569,0.366261,0.492703,0.340347,0.302920,0.564727,0.467380,0.452192,0.400843,0.129174,0.553653,0.492702,0.525220,0.507297,0.125678,0.508742,0.488760,0.518938,0.511823,0.112077
6600,0.283956,0.246724,0.578069,0.211273,0.348342,1.354454,0.351685,0.464456,0.310184,0.328702,1.064181,0.365333,0.495161,0.339619,0.306290,0.564990,0.466296,0.452058,0.399507,0.129641,0.553269,0.491807,0.525431,0.507108,0.125863,0.508545,0.488291,0.518880,0.511704,0.112200
6800,0.283643,0.245959,0.582222,0.209886,0.351918,1.365237,0.350111,0.466950,0.309290,0.332043,1.071535,0.364527,0.497458,0.339121,0.309331,0.565519,0.465613,0.451587,0.398022,0.130090,0.553470,0.491342,0.525408,0.506799,0.126033,0.508282,0.487697,0.518823,0.511613,0.112299
7000,0.283425,0.245344,0.585831,0.208772,0.355111,1.375004,0.348769,0.469277,0.308523,0.335020,1.077863,0.363600,0.499537,0.338684,0.312025,0.565495,0.464698,0.451427,0.397004,0.130538,0.553014,0.490415,0.525320,0.506530,0.126201,0.507996,0.487167,0.518765,0.511537,0.112400
7200,0.283147,0.244744,0.588871,0.207773,0.357978,1.383509,0.347234,0.471191,0.307811,0.337694,1.082605,0.362663,0.501209,0.338192,0.314477,0.565672,0.463972,0.451274,0.395984,0.130914,0.553069,0.489978,0.525388,0.506332,0.126350,0.507881,0.486809,0.518640,0.511449,0.112497
7400,0.282922,0.244217,0.591527,0.206839,0.360580,1.390967,0.346066,0.473308,0.307368,0.340125,1.087624,0.362238,0.502843,0.337698,0.316657,0.566067,0.463429,0.451141,0.395053,0.131256,0.553183,0.489551,0.525407,0.506108,0.126495,0.507625,0.486323,0.518634,0.511379,0.112574
7600,0.282729,0.243754,0.594102,0.205972,0.362979,1.397847,0.345004,0.474977,0.306836,0.342364,1.092759,0.361917,0.504324,0.337333,0.318699,0.566107,0.462644,0.451140,0.394289,0.131597,0.552578,0.488578,0.525226,0.505770,0.126637,0.507397,0.485918,0.518488,0.511190,0.112640
7800,0.282534,0.243306,0.596541,0.205239,0.365245,1.404417,0.343970,0.476635,0.306350,0.344481,1.096968,0.361264,0.505826,0.336882,0.320620,0.566239,0.462113,0.451022,0.393568,0.131912,0.552435,0.488068,0.525115,0.505474,0.126763,0.507411,0.485601,0.518532,0.511212,0.112706
8000,0.282294,0.242820,0.598918,0.204367,0.367452,1.410677,0.342777,0.478106,0.305750,0.346541,1.100805,0.360494,0.507081,0.336418,0.322500,0.566270,0.461443,0.450984,0.392888,0.132248,0.552294,0.487544,0.524930,0.505112,0.126894,0.506972,0.484997,0.518360,0.511042,0.112783
