step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.331544,0.329574,0.391691,0.385159,0.340867,0.340040,0.475480,0.418041,0.473625,0.467708,0.484720,0.477947,0.505892,0.506162,0.550604,0.528748,0.687638,0.688980,0.501969,0.500433,0.502445,0.454233,0.713530,0.642626,0.496253,0.495811,0.530630,0.467380,0.712266,0.675391,0.498134,0.496519,0.506614,0.451869,0.696451,0.623143
2200,0.318143,0.315254,0.378605,0.369389,0.326711,0.325028,0.487090,0.409764,0.469068,0.461946,0.479826,0.472706,0.505219,0.505570,0.552657,0.528313,0.705589,0.709177,0.502761,0.500711,0.503851,0.454692,0.742691,0.662717,0.502394,0.501287,0.538327,0.464568,0.726071,0.681659,0.500398,0.497998,0.514777,0.451398,0.706066,0.627817
2400,0.307137,0.302914,0.368392,0.355571,0.315050,0.311892,0.500220,0.402767,0.465301,0.456750,0.475084,0.467582,0.504673,0.504988,0.553544,0.527335,0.720204,0.724185,0.502903,0.501052,0.505774,0.455430,0.767243,0.673461,0.504114,0.502599,0.545835,0.464029,0.737516,0.686714,0.497914,0.493823,0.521991,0.452451,0.713861,0.631632
2600,0.299558,0.293490,0.359443,0.342035,0.304663,0.299372,0.515247,0.396646,0.460514,0.450716,0.469596,0.461769,0.503794,0.504114,0.553311,0.526108,0.733363,0.741640,0.503628,0.501761,0.507500,0.456247,0.785753,0.680730,0.502551,0.501276,0.551987,0.461974,0.747911,0.691231,0.497506,0.493349,0.529919,0.453067,0.719086,0.634204
2800,0.293499,0.285285,0.355051,0.330359,0.296067,0.288055,0.529952,0.390657,0.456425,0.445036,0.463941,0.455765,0.502282,0.502584,0.552280,0.524747,0.742974,0.755068,0.504730,0.502768,0.510132,0.457344,0.801503,0.686729,0.503387,0.501422,0.557437,0.460972,0.757384,0.695445,0.500218,0.495142,0.536327,0.452727,0.723383,0.636456
3000,0.289318,0.278830,0.354399,0.320569,0.289301,0.277530,0.548450,0.385938,0.453302,0.440255,0.458807,0.450170,0.501569,0.501645,0.551904,0.523646,0.751774,0.767480,0.505581,0.503723,0.511358,0.457724,0.811979,0.690738,0.505739,0.503422,0.563810,0.459585,0.764950,0.699066,0.500372,0.494146,0.542136,0.453113,0.726833,0.638375
3200,0.285994,0.273291,0.357715,0.312498,0.285791,0.268390,0.566254,0.381567,0.449333,0.434584,0.453660,0.444437,0.501106,0.501015,0.551482,0.522674,0.759600,0.778957,0.507208,0.505369,0.513989,0.458919,0.821012,0.693770,0.507186,0.504391,0.569439,0.458711,0.770633,0.701630,0.504170,0.497732,0.545461,0.453054,0.729610,0.639920
3400,0.284166,0.269295,0.362978,0.305683,0.284901,0.260215,0.583276,0.377078,0.445736,0.429199,0.448479,0.438732,0.500264,0.500184,0.550866,0.521573,0.765472,0.788741,0.507216,0.505326,0.516949,0.459701,0.828416,0.696428,0.507429,0.504135,0.575953,0.458797,0.776337,0.704340,0.504821,0.498173,0.548299,0.453264,0.732081,0.641352
3600,0.282911,0.265922,0.367887,0.299761,0.286468,0.253291,0.601360,0.374894,0.443550,0.424771,0.444017,0.433753,0.499600,0.499315,0.549943,0.520297,0.769752,0.796090,0.506575,0.504563,0.519246,0.460439,0.833643,0.698346,0.509405,0.505970,0.580694,0.458172,0.780692,0.706335,0.507657,0.500494,0.550344,0.453279,0.733760,0.642303
3800,0.281603,0.262661,0.374592,0.294570,0.289458,0.247376,0.618526,0.371012,0.440334,0.419808,0.439958,0.429138,0.498572,0.498151,0.548436,0.518726,0.773604,0.802527,0.506402,0.504176,0.521193,0.461078,0.839184,0.700368,0.508369,0.504866,0.584007,0.457539,0.784988,0.708442,0.510378,0.502223,0.552265,0.453234,0.735624,0.643435
4000,0.280650,0.259890,0.381008,0.290098,0.294212,0.242732,0.635823,0.369155,0.437819,0.415470,0.435478,0.424080,0.498053,0.497521,0.546998,0.517214,0.776553,0.807175,0.507489,0.505106,0.523512,0.461658,0.843810,0.702099,0.508356,0.504640,0.587561,0.457292,0.788091,0.709889,0.511651,0.502926,0.553789,0.453161,0.737077,0.644302
4200,0.279979,0.257586,0.388368,0.286565,0.299715,0.239207,0.651613,0.367639,0.435827,0.411172,0.431528,0.419697,0.497192,0.496479,0.545704,0.515914,0.779113,0.811612,0.506826,0.504540,0.525603,0.462246,0.847782,0.703656,0.510558,0.506590,0.590322,0.457375,0.790474,0.711081,0.513864,0.505090,0.554999,0.453197,0.738361,0.645103
4400,0.279589,0.255644,0.395156,0.283520,0.305727,0.236545,0.667007,0.365832,0.434251,0.407493,0.427867,0.415449,0.495945,0.494999,0.543281,0.513748,0.779068,0.812334,0.505928,0.504007,0.527513,0.462987,0.851270,0.705077,0.510563,0.506375,0.592631,0.457436,0.792532,0.712121,0.514470,0.505176,0.556197,0.453210,0.739579,0.645872
4600,0.279086,0.253682,0.402162,0.281018,0.311499,0.234301,0.681938,0.364005,0.432142,0.403344,0.424610,0.411707,0.495132,0.493991,0.540941,0.511733,0.779342,0.812972,0.506289,0.504325,0.529003,0.463254,0.854046,0.706171,0.511190,0.507078,0.594149,0.457354,0.793948,0.712824,0.515479,0.505838,0.557126,0.453130,0.740516,0.646461
4800,0.278690,0.252066,0.408209,0.278568,0.317168,0.232804,0.695932,0.362768,0.431134,0.400112,0.421378,0.407989,0.494722,0.493441,0.537824,0.508908,0.778458,0.812143,0.506260,0.504496,0.530343,0.463752,0.856271,0.707072,0.512156,0.508375,0.595193,0.457191,0.795065,0.713338,0.514651,0.504369,0.557953,0.453113,0.741207,0.646879
5000,0.278665,0.250831,0.414252,0.276518,0.323628,0.231699,0.709116,0.361254,0.430024,0.396631,0.418511,0.404455,0.493917,0.492451,0.534688,0.506223,0.777272,0.810649,0.507068,0.505341,0.531378,0.463792,0.858381,0.707984,0.511618,0.508080,0.596064,0.456883,0.796258,0.713972,0.514511,0.503618,0.558449,0.452814,0.742060,0.647440
5200,0.278258,0.249458,0.419912,0.274348,0.329825,0.231041,0.722015,0.359312,0.429596,0.393621,0.415732,0.400935,0.493573,0.491984,0.531674,0.503428,0.775769,0.808407,0.508165,0.506131,0.532763,0.464112,0.860203,0.708737,0.510703,0.507332,0.596820,0.456721,0.797159,0.714401,0.514189,0.502654,0.559060,0.452752,0.742668,0.647812
5400,0.278123,0.248356,0.425063,0.272422,0.335627,0.230626,0.733729,0.357762,0.428855,0.390821,0.413291,0.397751,0.492508,0.490783,0.528339,0.500374,0.773480,0.805219,0.507401,0.505278,0.533396,0.463939,0.861746,0.709437,0.510718,0.507356,0.597454,0.456422,0.798023,0.714846,0.513736,0.502302,0.559481,0.452553,0.743303,0.648225
5600,0.277705,0.247190,0.429740,0.270929,0.340975,0.230596,0.743469,0.356163,0.427922,0.388205,0.411065,0.394916,0.492235,0.490313,0.525557,0.497538,0.772192,0.803177,0.508581,0.506521,0.534514,0.464252,0.862863,0.709896,0.511441,0.507777,0.597895,0.456216,0.798670,0.715154,0.513877,0.501982,0.559945,0.452486,0.743722,0.648480
5800,0.277719,0.246438,0.433724,0.269543,0.345502,0.230473,0.753256,0.355343,0.427456,0.386215,0.409262,0.392619,0.492114,0.489905,0.522755,0.494580,0.770341,0.800389,0.508298,0.506217,0.535432,0.464510,0.863770,0.710299,0.511789,0.507973,0.598292,0.456109,0.799162,0.715383,0.514199,0.501536,0.560324,0.452450,0.744054,0.648695
6000,0.277271,0.245428,0.437536,0.267983,0.350087,0.230619,0.761369,0.354126,0.427079,0.384152,0.407442,0.390274,0.491836,0.489437,0.520635,0.492207,0.768596,0.797449,0.507942,0.505925,0.535846,0.464372,0.864469,0.710595,0.512042,0.507928,0.598568,0.455831,0.799567,0.715550,0.514395,0.501464,0.560634,0.452373,0.744315,0.648844
6200,0.277057,0.244696,0.440952,0.266629,0.354329,0.230977,0.768720,0.353313,0.426759,0.382465,0.405887,0.388120,0.491549,0.488957,0.518867,0.490041,0.766626,0.794588,0.507728,0.505751,0.536444,0.464272,0.865007,0.710797,0.511808,0.507778,0.598877,0.455703,0.799839,0.715631,0.514330,0.501291,0.560953,0.452307,0.744480,0.648919
6400,0.276852,0.244052,0.444201,0.265684,0.358314,0.231437,0.775863,0.352248,0.426485,0.380894,0.404635,0.386295,0.491373,0.488594,0.517356,0.488213,0.764938,0.791908,0.507727,0.505787,0.536877,0.464117,0.865608,0.711097,0.511564,0.507459,0.598996,0.455442,0.800242,0.715850,0.514701,0.501192,0.561140,0.452175,0.744772,0.649117
6600,0.276718,0.243506,0.446856,0.264625,0.361547,0.231648,0.782147,0.351801,0.426422,0.379785,0.403520,0.384679,0.491086,0.488188,0.515987,0.486601,0.763211,0.789451,0.507683,0.505777,0.536960,0.463783,0.866077,0.711334,0.511729,0.507525,0.599153,0.455299,0.800535,0.716002,0.514566,0.500720,0.561286,0.452088,0.744981,0.649258
6800,0.276518,0.242933,0.449093,0.263633,0.364419,0.231939,0.788162,0.351526,0.426252,0.378637,0.402536,0.383335,0.490833,0.487805,0.515131,0.485413,0.761526,0.787053,0.507143,0.505243,0.537240,0.463727,0.866317,0.711417,0.511360,0.507206,0.599302,0.455214,0.800651,0.716021,0.514534,0.500531,0.561484,0.452063,0.745035,0.649273
7000,0.276307,0.242433,0.451324,0.262853,0.367227,0.232283,0.793068,0.351192,0.426115,0.377531,0.401517,0.381843,0.490910,0.487697,0.514055,0.484148,0.759860,0.784624,0.507265,0.505311,0.537433,0.463447,0.866617,0.711574,0.511315,0.507254,0.599329,0.455013,0.800855,0.716130,0.514239,0.500136,0.561551,0.451948,0.745197,0.649383
7200,0.276234,0.242081,0.452954,0.262021,0.369742,0.232757,0.797404,0.350530,0.426035,0.376550,0.400516,0.380427,0.490975,0.487630,0.513475,0.483293,0.758359,0.782549,0.507054,0.505043,0.537568,0.463258,0.866799,0.711648,0.510937,0.506824,0.599312,0.454809,0.800976,0.716178,0.514485,0.500343,0.561644,0.451864,0.745276,0.649424
7400,0.276091,0.241711,0.454672,0.261382,0.372001,0.233066,0.801433,0.350054,0.425939,0.375599,0.399658,0.379176,0.490809,0.487315,0.512959,0.482523,0.756855,0.780438,0.507066,0.505086,0.537607,0.463000,0.866966,0.711727,0.511022,0.506853,0.599300,0.454618,0.801091,0.716229,0.514584,0.500309,0.561699,0.451759,0.745345,0.649462
7600,0.276069,0.241470,0.456224,0.260721,0.374079,0.233357,0.805062,0.349638,0.425811,0.374724,0.398847,0.377972,0.490734,0.487114,0.512290,0.481589,0.755412,0.778425,0.507041,0.505017,0.537791,0.462912,0.867085,0.711773,0.510891,0.506566,0.599244,0.454365,0.801177,0.716255,0.514354,0.500123,0.561723,0.451665,0.745403,0.649492
7800,0.275928,0.241125,0.457658,0.260114,0.376103,0.233789,0.808517,0.349220,0.425930,0.374081,0.398019,0.376808,0.490600,0.486891,0.512145,0.481152,0.754206,0.776692,0.507273,0.505241,0.537830,0.462733,0.867239,0.711852,0.510756,0.506323,0.599177,0.454143,0.801293,0.716315,0.514197,0.499915,0.561728,0.451540,0.745495,0.649556
8000,0.275751,0.240779,0.458905,0.259559,0.378084,0.234173,0.812052,0.348873,0.425866,0.373275,0.397357,0.375790,0.490479,0.486695,0.511629,0.480413,0.752845,0.774926,0.507418,0.505405,0.537794,0.462478,0.867274,0.711842,0.510573,0.506073,0.599173,0.454003,0.801316,0.716298,0.514344,0.499951,0.561825,0.451496,0.745495,0.649539
