gen,trial_id,nap,tph_qkv,tph_op,n_params,val_loss,origin
25,293,4,134,134,496704,2.139197,mutate
25,294,4,134,134,496704,2.176495,mutate
25,295,4,134,134,496704,2.191849,mutate
25,296,4,134,134,496704,2.160238,crossover
25,297,4,134,134,496704,2.187039,crossover
25,298,4,134,134,496704,2.142022,crossover
25,299,4,134,134,496704,2.186059,crossover
25,300,4,134,134,496704,2.156593,random
25,301,4,134,134,496704,2.156975,random
25,302,6,33,33,489536,2.243325,random
25,303,4,134,134,496704,2.188743,random
26,304,4,134,134,496704,2.166964,mutate
26,305,4,134,134,496704,2.169104,mutate
26,306,4,134,134,496704,2.141272,mutate
26,307,4,134,134,496704,2.160497,mutate
26,308,4,134,134,496704,2.223396,crossover
26,309,4,134,134,496704,2.176957,crossover
26,310,4,134,134,496704,2.224074,crossover
26,311,4,134,134,496704,2.143509,crossover
26,312,5,67,67,496704,2.210333,random
26,313,6,33,33,489536,2.260004,random
26,314,4,134,134,496704,2.177398,random
26,315,4,134,134,496704,2.185386,random
27,316,4,134,134,496704,2.149674,mutate
27,317,4,134,134,496704,2.154892,mutate
27,318,4,134,134,496704,2.163528,mutate
27,319,4,134,134,496704,2.175023,mutate
27,320,4,134,134,496704,2.158249,crossover
27,321,4,134,134,496704,2.167112,crossover
27,322,4,134,134,496704,2.198526,crossover
27,323,4,134,134,496704,2.206872,crossover
27,324,4,134,134,496704,2.160926,random
27,325,4,134,134,496704,2.158394,random
27,326,4,134,134,496704,2.153598,random
27,327,4,134,134,496704,2.151516,random
28,328,4,134,134,496704,2.156822,mutate
28,329,4,134,134,496704,2.175098,mutate
28,330,4,134,134,496704,2.164113,mutate
28,331,4,134,134,496704,2.200836,mutate
28,332,4,134,134,496704,2.166447,crossover
28,333,4,134,134,496704,2.167267,crossover
28,334,4,134,134,496704,2.184334,crossover
28,335,4,134,134,496704,2.193907,crossover
28,336,6,33,33,489536,2.238412,random
28,337,5,67,67,496704,2.168169,random
28,338,6,33,33,489536,2.205575,random
28,339,4,134,134,496704,2.184307,random
29,340,4,134,134,496704,2.206513,mutate
29,341,4,134,134,496704,2.176957,mutate
29,342,4,134,134,496704,2.154765,mutate
29,343,4,134,134,496704,2.164591,mutate
29,344,4,134,134,496704,2.180575,crossover
29,345,4,134,134,496704,2.153764,crossover
29,346,4,134,134,496704,2.176357,crossover
29,347,4,134,134,496704,2.172526,crossover
29,348,4,134,134,496704,2.183703,random
29,349,4,134,134,496704,2.176449,random
