step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
2800,0.299997,0.291956,0.377335,0.341608,0.517141,0.397144,0.474732,0.470335,0.508561,0.509133,0.597014,0.540507,0.499247,0.492515,0.519643,0.435388,0.493044,0.489343,0.536261,0.453120,0.494499,0.489852,0.520836,0.448573
3000,0.295622,0.285899,0.375946,0.331747,0.533537,0.393114,0.471917,0.466549,0.507269,0.508076,0.601352,0.538809,0.500377,0.493175,0.524349,0.431983,0.493924,0.489160,0.543370,0.451103,0.493502,0.489000,0.526758,0.447742
3200,0.292419,0.280996,0.376377,0.323005,0.550194,0.388811,0.468836,0.462271,0.507136,0.508102,0.604794,0.536804,0.500703,0.492410,0.529869,0.428536,0.495261,0.488526,0.550385,0.449176,0.493712,0.488038,0.531811,0.445380
3400,0.289651,0.276491,0.379251,0.314940,0.566857,0.385254,0.466265,0.458606,0.505434,0.506390,0.608721,0.535296,0.500709,0.492166,0.535367,0.425848,0.495233,0.488532,0.557715,0.448586,0.495428,0.488271,0.536578,0.443489
3600,0.288113,0.273260,0.383933,0.308066,0.585678,0.383796,0.464528,0.455582,0.505211,0.506253,0.611304,0.533296,0.500155,0.490863,0.540063,0.423027,0.497164,0.487456,0.563265,0.446143,0.494752,0.486744,0.542053,0.441451
3800,0.286508,0.270252,0.389660,0.302791,0.602093,0.380090,0.461704,0.451580,0.504467,0.505665,0.613992,0.530867,0.501446,0.491753,0.544439,0.419382,0.497726,0.487396,0.567378,0.443097,0.495441,0.485720,0.546881,0.440245
4000,0.285321,0.267637,0.395595,0.298593,0.618000,0.377474,0.459333,0.447979,0.504487,0.505701,0.615884,0.527953,0.502871,0.492355,0.547923,0.416168,0.498728,0.486911,0.572992,0.440872,0.495185,0.485269,0.551456,0.439807
4200,0.284862,0.265809,0.401241,0.293900,0.633793,0.375262,0.457168,0.444700,0.503715,0.505028,0.618057,0.526004,0.503404,0.491797,0.551961,0.413420,0.500269,0.487366,0.576423,0.437258,0.495528,0.485088,0.555442,0.438674
4400,0.283920,0.263753,0.408072,0.290359,0.648776,0.373205,0.455552,0.441543,0.502969,0.504339,0.620198,0.524302,0.504216,0.492259,0.555229,0.410310,0.501407,0.487860,0.580814,0.434922,0.496039,0.485431,0.559008,0.437164
4600,0.283573,0.262153,0.414133,0.286820,0.663643,0.371905,0.453485,0.438001,0.502645,0.504157,0.621751,0.522740,0.504888,0.492280,0.558508,0.407803,0.501746,0.486888,0.583386,0.431839,0.496433,0.485537,0.562744,0.435686
4800,0.282920,0.260425,0.420431,0.283994,0.678095,0.371010,0.451327,0.434555,0.501477,0.502870,0.622097,0.520909,0.505582,0.491520,0.560632,0.405026,0.503031,0.487132,0.586216,0.429680,0.496450,0.484909,0.566172,0.433866
5000,0.282715,0.259193,0.426029,0.281508,0.691201,0.369313,0.449776,0.431604,0.500624,0.502303,0.622961,0.519062,0.506125,0.491465,0.561866,0.402498,0.503517,0.486085,0.587973,0.426996,0.497020,0.484432,0.568861,0.432576
5200,0.282684,0.258308,0.431465,0.279226,0.703793,0.367591,0.448119,0.428648,0.499831,0.501573,0.621898,0.516515,0.506286,0.490943,0.563070,0.400036,0.504716,0.486016,0.589666,0.425016,0.497460,0.483871,0.570912,0.430654
5400,0.282370,0.257199,0.436161,0.276859,0.715580,0.366312,0.447066,0.426377,0.499570,0.501224,0.621555,0.514272,0.506151,0.490166,0.563887,0.397898,0.505794,0.486168,0.590997,0.422901,0.498017,0.483485,0.572814,0.429167
5600,0.282047,0.256237,0.440378,0.274942,0.726198,0.365503,0.445634,0.423860,0.498891,0.500777,0.621235,0.512427,0.506215,0.489589,0.563637,0.395594,0.506282,0.485587,0.591574,0.420840,0.498300,0.483034,0.574216,0.427996
5800,0.281839,0.255418,0.444359,0.273341,0.736141,0.364851,0.444494,0.421803,0.498498,0.500504,0.620283,0.510636,0.506577,0.489253,0.563977,0.393909,0.507274,0.485482,0.591836,0.419185,0.498695,0.482710,0.574969,0.426803
6000,0.281557,0.254599,0.447902,0.271685,0.745222,0.363933,0.443457,0.419797,0.497088,0.499316,0.619805,0.509121,0.506825,0.489067,0.563728,0.392042,0.507982,0.485406,0.591941,0.417840,0.499006,0.482138,0.575490,0.425549
6200,0.281131,0.253767,0.451266,0.270214,0.753026,0.363329,0.442477,0.418006,0.496788,0.499099,0.619225,0.507628,0.506813,0.488819,0.563215,0.390268,0.508400,0.485122,0.591698,0.416527,0.499308,0.482120,0.575877,0.424592
6400,0.281017,0.253243,0.454295,0.269006,0.760368,0.362838,0.441815,0.416403,0.496112,0.498390,0.618390,0.506101,0.506906,0.488612,0.562740,0.388739,0.508714,0.485012,0.591682,0.415519,0.499681,0.482038,0.575668,0.423429
6600,0.280752,0.252666,0.456849,0.267898,0.766815,0.362568,0.440953,0.414849,0.495170,0.497625,0.617325,0.504562,0.507051,0.488334,0.562007,0.387386,0.509144,0.484733,0.591118,0.414281,0.499801,0.481770,0.575556,0.422540
6800,0.280500,0.252124,0.458951,0.266850,0.772786,0.361954,0.440551,0.413643,0.494777,0.497171,0.616275,0.503026,0.507063,0.488206,0.561443,0.386268,0.509323,0.484647,0.590622,0.413223,0.500003,0.481624,0.575308,0.421730
7000,0.280468,0.251801,0.461159,0.265934,0.778113,0.361681,0.439853,0.412263,0.494632,0.497038,0.615354,0.501862,0.507105,0.488130,0.560881,0.385329,0.509682,0.484604,0.590120,0.412353,0.500249,0.481378,0.575065,0.421006
7200,0.280418,0.251504,0.462674,0.265054,0.782950,0.361432,0.439385,0.411198,0.494525,0.496921,0.614910,0.500789,0.507149,0.488073,0.560102,0.384244,0.509914,0.484452,0.589761,0.411625,0.500454,0.481311,0.574802,0.420392
7400,0.280175,0.251051,0.464357,0.264304,0.787255,0.361271,0.439076,0.410267,0.493906,0.496313,0.613827,0.499526,0.507194,0.487956,0.559246,0.383258,0.510029,0.484391,0.589339,0.410874,0.500578,0.481166,0.574558,0.419852
7600,0.280170,0.250853,0.465850,0.263620,0.791354,0.361161,0.438575,0.409267,0.493576,0.495957,0.613137,0.498588,0.507277,0.487920,0.558673,0.382513,0.510239,0.484364,0.588815,0.410090,0.500745,0.481096,0.574169,0.419208
7800,0.279932,0.250462,0.467327,0.263035,0.795065,0.360794,0.438164,0.408381,0.493147,0.495571,0.612153,0.497464,0.507346,0.487903,0.558094,0.381760,0.510427,0.484338,0.588380,0.409416,0.500870,0.481104,0.573830,0.418640
8000,0.279846,0.250214,0.468588,0.262514,0.798775,0.360637,0.437678,0.407474,0.492737,0.495013,0.611351,0.496572,0.507290,0.487806,0.557509,0.381037,0.510564,0.484275,0.587936,0.408754,0.501009,0.481069,0.573517,0.418074
