step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out.T_soft,read_out.T_sel
2000,0.416145,0.427485,0.414337,0.417227,0.396515,0.381841,0.636297,0.551923,0.523293,0.454892,0.491238,0.437055,0.637203,0.531628,0.492507,0.422834,0.537786,0.490757,0.644615,0.543747,0.500675,0.422608,0.531018,0.475066,0.640223,0.537817,0.482633,0.439237,0.551591,0.521086,0.652799,0.550270,0.488934,0.436573,0.504998,0.490281,0.590129,0.475152
2200,0.416802,0.425811,0.410115,0.411560,0.399903,0.375105,0.653558,0.557632,0.544330,0.462054,0.509697,0.443587,0.659026,0.537286,0.511247,0.424555,0.551939,0.494638,0.665521,0.548861,0.520362,0.424863,0.546086,0.477902,0.668130,0.547894,0.491374,0.433789,0.559262,0.522150,0.679159,0.558987,0.502652,0.431869,0.506546,0.487654,0.617820,0.477752
2400,0.418820,0.425213,0.407114,0.406290,0.405445,0.369207,0.669575,0.561431,0.565935,0.470020,0.529990,0.451900,0.679485,0.541728,0.531286,0.427365,0.568741,0.500233,0.686872,0.553396,0.542576,0.429700,0.561663,0.481041,0.696420,0.557429,0.503997,0.429633,0.567308,0.523139,0.705236,0.565851,0.518978,0.428736,0.508992,0.485217,0.647339,0.480493
2600,0.421055,0.424522,0.405595,0.401953,0.415107,0.365476,0.683760,0.564534,0.588164,0.477852,0.550427,0.459828,0.699576,0.545454,0.551488,0.430187,0.584276,0.503985,0.708933,0.558109,0.564391,0.435106,0.579103,0.485805,0.724778,0.565638,0.518305,0.427234,0.575311,0.523916,0.731982,0.573104,0.536002,0.427073,0.511349,0.482545,0.676967,0.482987
2800,0.422790,0.423960,0.404065,0.397880,0.423793,0.362066,0.698385,0.567694,0.609617,0.485134,0.571239,0.467709,0.718300,0.547927,0.572409,0.434306,0.602959,0.510280,0.730560,0.562342,0.587482,0.442143,0.596395,0.490760,0.754582,0.574847,0.534681,0.426863,0.583799,0.525114,0.758150,0.578655,0.556026,0.427308,0.514202,0.480182,0.707065,0.485023
3000,0.425103,0.423543,0.404146,0.394881,0.433309,0.358929,0.711053,0.569788,0.631331,0.491899,0.591701,0.474660,0.737746,0.551029,0.593552,0.437786,0.620268,0.514568,0.749728,0.565762,0.611230,0.449141,0.614444,0.494986,0.782970,0.581812,0.549619,0.425884,0.590758,0.525003,0.784098,0.583947,0.576657,0.428333,0.517366,0.477447,0.738626,0.488604
3200,0.427729,0.423377,0.404013,0.391799,0.443390,0.357158,0.722525,0.571604,0.652914,0.499256,0.610504,0.480900,0.756712,0.553988,0.616041,0.442812,0.636606,0.518815,0.766923,0.567382,0.633737,0.454299,0.631317,0.498610,0.810472,0.587834,0.565108,0.426038,0.598237,0.524784,0.809462,0.588884,0.597123,0.430708,0.523126,0.475387,0.770568,0.491434
3400,0.430216,0.423142,0.404795,0.389542,0.454397,0.355628,0.735002,0.573998,0.673787,0.505657,0.630499,0.487821,0.775291,0.556768,0.637877,0.446808,0.653271,0.523140,0.784631,0.568769,0.655342,0.458911,0.647665,0.502055,0.839100,0.593965,0.582250,0.427510,0.604637,0.524020,0.833749,0.591889,0.617489,0.432913,0.527129,0.472775,0.801371,0.493382
3600,0.432081,0.422966,0.405615,0.387314,0.464152,0.352986,0.745905,0.575119,0.694026,0.511817,0.650174,0.494592,0.790605,0.557312,0.659047,0.450934,0.669341,0.527454,0.801623,0.570537,0.677754,0.463517,0.664478,0.505655,0.867364,0.599795,0.599882,0.428774,0.610874,0.522896,0.858115,0.595206,0.638494,0.436277,0.532561,0.471143,0.832525,0.495671
3800,0.433742,0.422465,0.405760,0.384773,0.473343,0.350171,0.753715,0.574655,0.712689,0.516495,0.669395,0.500860,0.806874,0.559198,0.679241,0.454134,0.684686,0.530814,0.817365,0.571849,0.698135,0.467754,0.680215,0.508422,0.894379,0.603770,0.617544,0.430123,0.617136,0.521136,0.880553,0.597872,0.659369,0.440065,0.538139,0.469058,0.862975,0.498051
4000,0.435191,0.421750,0.406695,0.383103,0.481941,0.347629,0.763245,0.575936,0.732631,0.522494,0.687555,0.506169,0.821377,0.560333,0.699030,0.456783,0.698975,0.533444,0.832748,0.573837,0.718685,0.472212,0.695955,0.511554,0.921936,0.606995,0.634064,0.431591,0.622243,0.519264,0.902451,0.600047,0.678944,0.443500,0.543587,0.467489,0.893016,0.500248
4200,0.436259,0.421293,0.407764,0.381955,0.490976,0.346106,0.769977,0.575588,0.749288,0.525600,0.703842,0.509832,0.835066,0.561320,0.718370,0.459405,0.711837,0.535369,0.846431,0.574519,0.738621,0.476400,0.709753,0.513290,0.948215,0.609833,0.650703,0.433487,0.626900,0.516928,0.922625,0.600793,0.697729,0.446872,0.549148,0.465694,0.922829,0.502299
4400,0.438145,0.421617,0.408080,0.380163,0.499221,0.344887,0.777950,0.576163,0.766031,0.528950,0.719255,0.512913,0.847508,0.561607,0.736174,0.461991,0.725348,0.538101,0.860234,0.575846,0.757799,0.480416,0.722631,0.515244,0.973914,0.611739,0.666438,0.435191,0.630608,0.513927,0.942096,0.602429,0.715582,0.449774,0.554065,0.463809,0.951407,0.504327
4600,0.438698,0.420968,0.408210,0.378571,0.504912,0.342305,0.785600,0.576649,0.781274,0.531663,0.733561,0.515813,0.861376,0.562849,0.753050,0.463990,0.737593,0.539735,0.872708,0.576848,0.776403,0.484144,0.734308,0.516560,0.999224,0.614586,0.681184,0.437112,0.634156,0.511445,0.960468,0.603052,0.733324,0.453064,0.558779,0.462220,0.979160,0.506395
4800,0.439187,0.420417,0.408196,0.377217,0.512503,0.341467,0.790836,0.576393,0.795528,0.534170,0.745913,0.517734,0.873145,0.563307,0.769121,0.466029,0.748339,0.541056,0.881969,0.576155,0.792551,0.485801,0.744449,0.516552,1.023001,0.616886,0.695612,0.438777,0.636611,0.508404,0.977897,0.603933,0.749278,0.455680,0.563241,0.460784,1.005097,0.507730
5000,0.439099,0.419773,0.407553,0.375588,0.518027,0.339791,0.796704,0.576924,0.808431,0.536390,0.758410,0.520214,0.883443,0.562935,0.784108,0.467551,0.758223,0.542145,0.892962,0.576915,0.808168,0.488337,0.755480,0.517771,1.043801,0.617766,0.709471,0.440490,0.638515,0.505127,0.993149,0.604257,0.764673,0.458186,0.566527,0.459107,1.029932,0.508975
5200,0.439836,0.419626,0.406884,0.374186,0.521351,0.337695,0.801310,0.576232,0.820074,0.538068,0.768901,0.521790,0.895187,0.563962,0.798143,0.468946,0.767486,0.543449,0.901684,0.577106,0.822666,0.491079,0.764966,0.518642,1.062682,0.617528,0.721650,0.441493,0.639781,0.502027,1.006334,0.603914,0.779168,0.461187,0.570207,0.457935,1.053299,0.510345
5400,0.440020,0.419278,0.406244,0.372752,0.525393,0.336174,0.806026,0.576323,0.831092,0.539883,0.778546,0.523037,0.904450,0.564807,0.811036,0.470811,0.776364,0.544652,0.909810,0.577220,0.836069,0.493374,0.773147,0.518998,1.081115,0.617110,0.733414,0.442702,0.640823,0.498555,1.019678,0.604377,0.792840,0.463916,0.573423,0.456462,1.074859,0.511275
5600,0.440132,0.418853,0.405669,0.371749,0.528397,0.334697,0.809579,0.575928,0.840053,0.540835,0.787181,0.523772,0.912442,0.564452,0.822146,0.471762,0.783549,0.545047,0.917725,0.577620,0.848199,0.495364,0.781119,0.519390,1.098651,0.617456,0.744908,0.443996,0.641594,0.495705,1.032047,0.604776,0.805164,0.466110,0.575832,0.455121,1.094598,0.512017
5800,0.440294,0.418681,0.404064,0.370121,0.530391,0.332827,0.813348,0.576009,0.848535,0.541490,0.794530,0.523997,0.919690,0.564290,0.832347,0.472835,0.790500,0.545450,0.925229,0.577880,0.859184,0.496679,0.787714,0.519033,1.114983,0.617470,0.755088,0.445539,0.642689,0.493048,1.042865,0.604653,0.816126,0.467674,0.577683,0.453511,1.112678,0.513045
6000,0.440105,0.418211,0.402641,0.368721,0.531462,0.331167,0.815920,0.575540,0.855980,0.542287,0.801631,0.524691,0.926095,0.564047,0.841914,0.473918,0.796584,0.545914,0.931295,0.577762,0.869417,0.498127,0.793603,0.518842,1.129530,0.617729,0.764308,0.446847,0.643340,0.490570,1.052688,0.604489,0.826669,0.469554,0.579935,0.452196,1.129398,0.513718
6200,0.440112,0.418082,0.401248,0.367498,0.532175,0.329423,0.818140,0.574790,0.862407,0.542756,0.807170,0.524565,0.932907,0.564318,0.850403,0.474790,0.801468,0.546068,0.937495,0.578020,0.878228,0.499460,0.798678,0.518717,1.142005,0.617050,0.772310,0.447891,0.643839,0.488466,1.060884,0.604461,0.836299,0.471667,0.582326,0.451287,1.144566,0.514297
6400,0.440018,0.417814,0.400120,0.366495,0.533136,0.328221,0.820272,0.574674,0.868018,0.543267,0.812403,0.524914,0.938271,0.564373,0.857875,0.475613,0.805800,0.545993,0.942309,0.578048,0.885967,0.500427,0.802742,0.518115,1.153576,0.616708,0.779937,0.449120,0.644364,0.486292,1.068524,0.604387,0.844908,0.473169,0.583951,0.450234,1.157951,0.514835
6600,0.439787,0.417529,0.398722,0.365329,0.532831,0.326883,0.822641,0.574797,0.873391,0.543841,0.817081,0.525109,0.943404,0.564740,0.864665,0.476308,0.809687,0.545992,0.946528,0.577739,0.893055,0.501464,0.806927,0.517898,1.163888,0.616427,0.786449,0.449777,0.644096,0.484102,1.076072,0.604491,0.852417,0.474559,0.585440,0.449375,1.169986,0.515303
6800,0.439708,0.417457,0.397304,0.364240,0.532426,0.325553,0.824136,0.574575,0.877874,0.544221,0.821065,0.525042,0.947857,0.564737,0.870647,0.476767,0.813002,0.546046,0.950593,0.577688,0.899759,0.502576,0.810737,0.517860,1.173137,0.616091,0.792496,0.450830,0.644284,0.482437,1.082500,0.604539,0.859202,0.475765,0.586544,0.448388,1.180693,0.515759
7000,0.439432,0.417248,0.396063,0.363293,0.531838,0.324352,0.825088,0.574029,0.881904,0.544616,0.824784,0.525138,0.951674,0.564714,0.875620,0.476944,0.815442,0.545623,0.953624,0.577542,0.905413,0.503487,0.814077,0.518006,1.181500,0.615851,0.797847,0.451637,0.644281,0.480812,1.087923,0.604133,0.864992,0.476782,0.587594,0.447562,1.190508,0.516138
7200,0.439186,0.417078,0.394742,0.362347,0.531290,0.323374,0.826318,0.573863,0.885208,0.544850,0.827789,0.525222,0.954941,0.564738,0.880786,0.477811,0.818607,0.545800,0.956655,0.577437,0.910441,0.504062,0.816584,0.517355,1.188811,0.615504,0.802517,0.452236,0.644060,0.479196,1.093275,0.604183,0.870370,0.477935,0.588618,0.446930,1.199160,0.516366
7400,0.438764,0.416719,0.393392,0.361377,0.530395,0.322358,0.826712,0.573301,0.887893,0.544866,0.830222,0.525019,0.957868,0.564590,0.885000,0.478174,0.820688,0.545510,0.960135,0.577693,0.915114,0.504801,0.819044,0.517117,1.195490,0.615168,0.806937,0.452889,0.643953,0.477830,1.097996,0.604380,0.875289,0.478916,0.589476,0.446294,1.207039,0.516784
7600,0.438528,0.416565,0.392100,0.360456,0.529667,0.321504,0.827773,0.573215,0.890731,0.545069,0.832889,0.525112,0.961011,0.564747,0.889164,0.478607,0.822999,0.545423,0.962441,0.577620,0.919137,0.505186,0.820885,0.516521,1.201615,0.614529,0.810826,0.453345,0.643686,0.476602,1.101841,0.604049,0.879713,0.479764,0.590159,0.445676,1.214245,0.517081
7800,0.438224,0.416380,0.391067,0.359710,0.528377,0.320389,0.828068,0.572675,0.893035,0.545221,0.835159,0.525034,0.963519,0.564757,0.893003,0.479011,0.824989,0.545291,0.964682,0.577523,0.923223,0.505973,0.823227,0.516584,1.207266,0.614245,0.814758,0.454066,0.643880,0.475570,1.105633,0.604198,0.883949,0.480583,0.590957,0.445123,1.220965,0.517220
8000,0.437898,0.416142,0.389881,0.358851,0.527238,0.319437,0.828915,0.572600,0.894838,0.545068,0.837401,0.524812,0.966043,0.564756,0.896363,0.479153,0.826713,0.544955,0.967032,0.577555,0.927160,0.506616,0.825317,0.516493,1.212772,0.613944,0.818411,0.454678,0.643924,0.474574,1.109562,0.604222,0.887965,0.481260,0.591525,0.444524,1.227621,0.517568
