step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
4000,0.398578,0.399247,0.412505,0.300712,0.771428,0.441100,0.579762,0.324625,0.595702,0.436259,0.643910,0.367906,0.861414,0.473881,0.672947,0.357926,0.628937,0.401456,0.611272,0.328806,0.708792,0.384764,0.680887,0.345611,0.624004,0.405723,0.492394,0.335348,0.617348,0.393289,0.711411,0.346165,0.533615,0.417960,0.421146,0.344445,0.582440,0.452592,0.665617,0.360342,0.530133,0.431575,0.400333,0.354515,0.470189,0.391365,0.630121,0.365020
4200,0.396755,0.396511,0.416869,0.297871,0.791439,0.440200,0.583893,0.318415,0.597060,0.432225,0.653509,0.364509,0.885926,0.473921,0.678180,0.352238,0.633310,0.396817,0.621003,0.324950,0.725703,0.382069,0.688858,0.340751,0.625975,0.400364,0.497687,0.332235,0.630019,0.390590,0.718658,0.340250,0.534772,0.414443,0.423851,0.341609,0.587004,0.448717,0.671078,0.353915,0.531647,0.428002,0.401638,0.352397,0.469506,0.385250,0.634029,0.358258
4400,0.395009,0.393928,0.421044,0.295325,0.811365,0.439519,0.588417,0.312753,0.598667,0.429098,0.661085,0.360987,0.907988,0.473230,0.683250,0.347176,0.639146,0.392970,0.628914,0.321432,0.743529,0.379760,0.697032,0.335837,0.628429,0.395764,0.502539,0.329707,0.642590,0.389028,0.725565,0.334655,0.536100,0.411484,0.424881,0.338454,0.590636,0.444473,0.676775,0.347916,0.533232,0.424952,0.402479,0.350014,0.468448,0.379219,0.638931,0.351934
4600,0.393875,0.392149,0.424385,0.292640,0.828950,0.437777,0.594009,0.307935,0.599981,0.425990,0.669880,0.358414,0.928103,0.473349,0.689037,0.342932,0.643829,0.389541,0.636881,0.318660,0.760441,0.378499,0.703938,0.331716,0.631217,0.392128,0.508673,0.327617,0.654357,0.387474,0.733067,0.330044,0.536967,0.408275,0.427155,0.335693,0.593152,0.439308,0.680953,0.341978,0.535228,0.422466,0.403897,0.348215,0.467434,0.373930,0.642517,0.346000
4800,0.392428,0.390158,0.426940,0.289914,0.844995,0.436434,0.598860,0.303629,0.600756,0.423193,0.676792,0.355320,0.948354,0.472410,0.693452,0.338695,0.648717,0.386093,0.643746,0.315452,0.776230,0.377143,0.710427,0.327747,0.633124,0.388582,0.513073,0.325437,0.665765,0.385492,0.738867,0.325322,0.538636,0.405986,0.429967,0.333715,0.597290,0.436329,0.685853,0.337211,0.536224,0.419752,0.404748,0.346171,0.467195,0.368651,0.645784,0.340856
5000,0.391052,0.388151,0.429546,0.287676,0.859660,0.435001,0.603255,0.299563,0.600805,0.420204,0.683096,0.352666,0.966792,0.470902,0.697014,0.334593,0.653647,0.383089,0.650155,0.312574,0.790103,0.374858,0.715572,0.323586,0.635452,0.385409,0.518287,0.323845,0.676379,0.384759,0.742677,0.320937,0.539983,0.403687,0.432725,0.331863,0.602156,0.433273,0.689550,0.332228,0.537808,0.417394,0.405800,0.344573,0.467541,0.364422,0.648999,0.335733
5200,0.389346,0.386006,0.430818,0.285581,0.872215,0.432798,0.605967,0.295518,0.601223,0.417396,0.690231,0.350694,0.984837,0.471245,0.699623,0.330642,0.656586,0.380064,0.656607,0.310153,0.803693,0.373224,0.719952,0.319875,0.637677,0.382275,0.523434,0.322476,0.686383,0.383741,0.747992,0.317118,0.540574,0.401338,0.435566,0.330560,0.605962,0.430467,0.693102,0.328171,0.539560,0.415778,0.407439,0.343598,0.468816,0.360965,0.653393,0.332020
5400,0.388524,0.384689,0.431700,0.283553,0.883717,0.430734,0.609100,0.291914,0.601379,0.414911,0.695160,0.348573,1.001030,0.470855,0.702157,0.327161,0.660713,0.377645,0.661709,0.307557,0.815676,0.371221,0.724095,0.316453,0.639756,0.379719,0.527349,0.320728,0.695017,0.382791,0.751837,0.313460,0.541371,0.399339,0.437828,0.329031,0.609304,0.427587,0.696253,0.324511,0.540801,0.413748,0.408541,0.342357,0.468817,0.357034,0.656852,0.328302
5600,0.387269,0.383151,0.432438,0.281695,0.893948,0.429516,0.611336,0.288905,0.601472,0.412647,0.698726,0.346559,1.014846,0.469204,0.703629,0.324023,0.663871,0.375400,0.667288,0.305802,0.827565,0.370344,0.727561,0.313532,0.641654,0.377565,0.531455,0.319427,0.702639,0.381076,0.755639,0.310184,0.542242,0.397372,0.440410,0.327986,0.612833,0.425057,0.698601,0.321058,0.542779,0.412988,0.409521,0.341179,0.469578,0.353843,0.659640,0.324982
5800,0.386364,0.381958,0.432289,0.279672,0.903218,0.427835,0.612438,0.285677,0.602796,0.411212,0.702806,0.344693,1.028050,0.468450,0.705653,0.321102,0.667307,0.373674,0.672059,0.304003,0.838969,0.369190,0.731060,0.310829,0.643225,0.375401,0.534448,0.317938,0.710138,0.379986,0.758524,0.307110,0.543353,0.396041,0.442777,0.327166,0.615352,0.422812,0.701401,0.318017,0.543517,0.411187,0.410129,0.340066,0.470333,0.350890,0.662191,0.321846
6000,0.385642,0.380858,0.432356,0.278097,0.911630,0.426765,0.613546,0.282987,0.602803,0.409459,0.706710,0.343199,1.039632,0.467494,0.706727,0.318392,0.670034,0.372002,0.676033,0.302339,0.848355,0.367782,0.734764,0.308471,0.644353,0.373513,0.538055,0.317124,0.716998,0.379041,0.762049,0.304344,0.543666,0.394183,0.444575,0.326388,0.617323,0.420623,0.703676,0.315395,0.543623,0.409234,0.411268,0.339342,0.470859,0.348435,0.665126,0.319378
6200,0.384514,0.379531,0.432035,0.276688,0.917532,0.424547,0.613835,0.280328,0.602784,0.407806,0.710155,0.341738,1.050150,0.466581,0.706995,0.315918,0.672687,0.370654,0.679687,0.301081,0.857739,0.367304,0.737063,0.306393,0.645575,0.371714,0.541354,0.316586,0.723086,0.378449,0.765229,0.302404,0.544612,0.392969,0.446348,0.325747,0.619762,0.418935,0.705658,0.313121,0.544340,0.408109,0.412664,0.339102,0.472344,0.346805,0.668277,0.317392
6400,0.383982,0.378868,0.431651,0.275330,0.923468,0.423224,0.614206,0.278181,0.602546,0.406374,0.713382,0.340627,1.059970,0.466121,0.708390,0.313909,0.674780,0.369110,0.682620,0.299750,0.865310,0.366082,0.739658,0.304597,0.646223,0.370057,0.543849,0.315851,0.728164,0.377728,0.768177,0.300530,0.545128,0.391750,0.448037,0.325250,0.621257,0.417178,0.707393,0.310986,0.544883,0.407007,0.413838,0.338744,0.473164,0.345004,0.670533,0.315568
6600,0.383187,0.377977,0.431154,0.274096,0.927798,0.421627,0.614728,0.276352,0.602730,0.405304,0.715771,0.339414,1.068266,0.465401,0.709249,0.312092,0.677258,0.368068,0.684872,0.298538,0.872013,0.365239,0.741528,0.302929,0.647203,0.368827,0.545897,0.315040,0.732768,0.377015,0.770201,0.298715,0.545537,0.390616,0.449756,0.324997,0.623574,0.416172,0.708680,0.308996,0.545337,0.405730,0.414854,0.338542,0.474073,0.343500,0.672343,0.313777
6800,0.382659,0.377337,0.430450,0.272937,0.932059,0.420607,0.614737,0.274586,0.602841,0.404344,0.718427,0.338728,1.075356,0.464737,0.709865,0.310491,0.678971,0.366941,0.687237,0.297654,0.877849,0.364410,0.743484,0.301613,0.648288,0.367834,0.548058,0.314601,0.736808,0.376499,0.772606,0.297343,0.546774,0.390197,0.451391,0.324883,0.625463,0.415057,0.709368,0.307219,0.546189,0.405045,0.415586,0.338169,0.475266,0.342284,0.673736,0.312117
7000,0.381961,0.376568,0.429824,0.271917,0.935402,0.419297,0.614217,0.272936,0.602850,0.403392,0.720591,0.337964,1.082424,0.464646,0.710331,0.308975,0.680483,0.365987,0.689527,0.296679,0.882911,0.363532,0.745108,0.300276,0.648671,0.366647,0.550087,0.314172,0.740404,0.376054,0.774375,0.295931,0.546890,0.389162,0.452850,0.324629,0.626965,0.414108,0.710577,0.305724,0.546786,0.404383,0.416315,0.337852,0.475737,0.340870,0.675036,0.310574
7200,0.381371,0.375936,0.429002,0.270925,0.938236,0.418242,0.614076,0.271589,0.602389,0.402310,0.722557,0.337345,1.088235,0.464072,0.710892,0.307725,0.681978,0.365117,0.691538,0.295897,0.887740,0.362828,0.746701,0.299248,0.648991,0.365656,0.551370,0.313639,0.743843,0.375668,0.775257,0.294612,0.547065,0.388352,0.454225,0.324513,0.628247,0.413055,0.711552,0.304377,0.547405,0.403876,0.417015,0.337655,0.476533,0.339826,0.676388,0.309419
7400,0.380678,0.375267,0.428164,0.270055,0.940443,0.417261,0.613796,0.270324,0.602425,0.401612,0.723787,0.336595,1.093572,0.463394,0.711195,0.306589,0.683527,0.364314,0.693480,0.295302,0.892075,0.362243,0.747906,0.298185,0.649622,0.364927,0.552884,0.313318,0.746942,0.375409,0.776452,0.293468,0.547805,0.387930,0.455248,0.324352,0.629509,0.412204,0.712451,0.303279,0.547657,0.403179,0.417763,0.337469,0.476907,0.338699,0.677589,0.308379
7600,0.380360,0.374885,0.427358,0.269226,0.942194,0.416383,0.613937,0.269291,0.602529,0.401009,0.725301,0.336066,1.098582,0.463058,0.711722,0.305659,0.685106,0.363620,0.694829,0.294684,0.895884,0.361748,0.748962,0.297202,0.649769,0.363968,0.554448,0.313059,0.749586,0.375159,0.777420,0.292449,0.547939,0.387269,0.456579,0.324424,0.630547,0.411378,0.713055,0.302151,0.547987,0.402665,0.418596,0.337447,0.477403,0.337860,0.678398,0.307302
7800,0.379909,0.374409,0.426633,0.268512,0.943298,0.415277,0.613654,0.268167,0.602335,0.400243,0.726595,0.335530,1.103374,0.462893,0.712052,0.304685,0.686281,0.362939,0.696210,0.294107,0.899517,0.361267,0.750171,0.296442,0.650397,0.363401,0.555687,0.312765,0.752148,0.374939,0.778347,0.291495,0.548094,0.386676,0.457497,0.324251,0.631738,0.410646,0.713711,0.301146,0.548463,0.402291,0.418993,0.337192,0.477742,0.337015,0.679213,0.306344
8000,0.379386,0.373880,0.425774,0.267705,0.944509,0.414162,0.613278,0.267101,0.602356,0.399617,0.727687,0.334883,1.108041,0.462553,0.712329,0.303782,0.687344,0.362341,0.697614,0.293536,0.903234,0.360885,0.751411,0.295679,0.650965,0.362773,0.557025,0.312503,0.755006,0.374850,0.779374,0.290594,0.548393,0.386145,0.458319,0.324033,0.632645,0.409915,0.714547,0.300221,0.548700,0.401746,0.419648,0.337117,0.478410,0.336180,0.680163,0.305413
