step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
4000,0.323232,0.342419,0.423250,0.296102,0.847491,0.442383,0.624490,0.310634,0.461705,0.405103,0.719066,0.358946,0.840318,0.425887,0.710365,0.346674,0.470692,0.382361,0.513705,0.339672,0.721162,0.449976,0.711378,0.354778,0.480313,0.402467,0.506085,0.332131,0.724123,0.460270,0.692579,0.363264,0.470727,0.406458,0.412721,0.365793,0.729608,0.569450,0.668604,0.378057,0.461689,0.449675,0.467097,0.349842,0.493111,0.365816,0.650072,0.377108
4200,0.319098,0.338246,0.428608,0.292661,0.872251,0.441251,0.634168,0.305341,0.462523,0.402846,0.732958,0.355387,0.867827,0.426671,0.719457,0.342092,0.475767,0.380183,0.523790,0.336671,0.732952,0.444853,0.718775,0.349441,0.482623,0.399858,0.512381,0.329089,0.735186,0.454734,0.697909,0.356504,0.472252,0.403574,0.412353,0.362265,0.734840,0.566745,0.672063,0.370886,0.460325,0.447438,0.471894,0.347341,0.499115,0.361707,0.653629,0.370071
4400,0.316337,0.335314,0.432981,0.290028,0.896301,0.440248,0.640814,0.299924,0.462686,0.400522,0.745346,0.352178,0.893910,0.428421,0.728154,0.337314,0.481375,0.378394,0.531252,0.333341,0.743596,0.439232,0.727050,0.343548,0.483791,0.397370,0.519115,0.326591,0.746237,0.450262,0.704512,0.350445,0.474310,0.402258,0.411081,0.358106,0.736309,0.561491,0.675506,0.363992,0.458895,0.445179,0.478007,0.345776,0.505717,0.358182,0.657523,0.363606
4600,0.313073,0.331914,0.437258,0.287297,0.919428,0.437636,0.648295,0.295323,0.463404,0.398587,0.755604,0.349329,0.918276,0.429251,0.736167,0.332727,0.487105,0.377234,0.539612,0.331228,0.754741,0.433982,0.734058,0.338533,0.485025,0.394821,0.526092,0.324885,0.756195,0.445890,0.709750,0.344877,0.475920,0.400423,0.411170,0.355692,0.739780,0.558290,0.679211,0.357965,0.458526,0.443954,0.484301,0.344443,0.513329,0.355493,0.661880,0.358106
4800,0.310328,0.329224,0.441143,0.284440,0.940161,0.435779,0.654472,0.290914,0.463604,0.396240,0.765989,0.346582,0.941588,0.430768,0.743488,0.328954,0.492267,0.376009,0.547720,0.329149,0.765564,0.428732,0.739562,0.334170,0.485934,0.392714,0.531162,0.322523,0.764822,0.441277,0.714753,0.340073,0.478095,0.399170,0.411176,0.352887,0.742761,0.555312,0.682758,0.352394,0.458029,0.442706,0.489095,0.343261,0.519014,0.352254,0.665421,0.352977
5000,0.308069,0.326867,0.444004,0.281802,0.959567,0.434078,0.661065,0.287240,0.463906,0.394372,0.774381,0.343551,0.963458,0.430536,0.750012,0.325140,0.496754,0.374999,0.554224,0.327165,0.775344,0.424108,0.745696,0.329939,0.486837,0.390531,0.536175,0.320627,0.772710,0.436876,0.718982,0.335077,0.478299,0.396934,0.410888,0.350299,0.745665,0.551836,0.684360,0.346621,0.457416,0.441533,0.492124,0.341104,0.525139,0.349465,0.668806,0.348017
5200,0.305812,0.324492,0.446070,0.279530,0.976053,0.431463,0.664693,0.283053,0.465380,0.393474,0.783086,0.341529,0.983732,0.431427,0.755185,0.321687,0.501440,0.374213,0.560968,0.325467,0.784453,0.420787,0.750427,0.325874,0.488535,0.389379,0.541450,0.318908,0.781500,0.433338,0.723854,0.331004,0.480083,0.395797,0.411306,0.348298,0.748065,0.548745,0.687763,0.342402,0.457047,0.440443,0.496095,0.340059,0.531753,0.347525,0.672665,0.344176
5400,0.304122,0.322712,0.447268,0.277467,0.992241,0.429666,0.669499,0.279764,0.466410,0.392511,0.789780,0.339122,1.001844,0.431014,0.759979,0.318361,0.506014,0.373730,0.566596,0.323616,0.792126,0.417219,0.755253,0.322599,0.489100,0.387514,0.546852,0.317961,0.789722,0.430709,0.727487,0.327225,0.481825,0.394942,0.411443,0.346236,0.749545,0.545370,0.689575,0.338093,0.456700,0.439515,0.498949,0.338548,0.537332,0.345927,0.675901,0.340397
5600,0.302352,0.320922,0.448014,0.275455,1.006668,0.427649,0.673380,0.276942,0.467063,0.391278,0.796658,0.337117,1.019715,0.431293,0.763165,0.315408,0.509963,0.373099,0.572279,0.322301,0.799782,0.414006,0.757939,0.319459,0.490763,0.386481,0.551455,0.316715,0.796013,0.427299,0.729635,0.323781,0.483099,0.394002,0.412661,0.345187,0.752042,0.542805,0.691693,0.334529,0.456202,0.438368,0.502450,0.337683,0.543192,0.344859,0.678897,0.336733
5800,0.300910,0.319488,0.448512,0.273519,1.018851,0.425300,0.676458,0.273961,0.467457,0.390233,0.802776,0.335270,1.035636,0.431827,0.767154,0.312915,0.514142,0.372867,0.577395,0.320683,0.807116,0.410756,0.761304,0.316503,0.492377,0.385864,0.556162,0.315652,0.802524,0.424874,0.732074,0.320534,0.483584,0.392685,0.412999,0.343604,0.752373,0.539493,0.693445,0.331015,0.455887,0.437455,0.505654,0.336906,0.547231,0.343226,0.681012,0.333263
