step,lambda,train_ce,imitation_mse,reg_mse,mse_b0,mse_b1,mse_b2,mse_b3,mse_b4,mse_b5,dense_bpb,swapin_bpb
14200,0.88750,3.698356,0.030545,0.030545,0.002286,0.002919,0.004991,0.005260,0.005832,0.009257,1.183470,1.366651
14400,0.90000,3.686928,0.030024,0.030024,0.002238,0.002870,0.004901,0.005182,0.005731,0.009102,1.183333,1.368233
14600,0.91250,3.675152,0.029571,0.029571,0.002198,0.002824,0.004838,0.005090,0.005639,0.008981,1.182929,1.367383
14800,0.92500,3.677515,0.029064,0.029064,0.002157,0.002784,0.004741,0.005015,0.005537,0.008830,1.182113,1.367976
15000,0.93750,3.681958,0.028641,0.028641,0.002123,0.002725,0.004669,0.004948,0.005460,0.008716,1.181000,1.367089
15200,0.95000,3.669205,0.028253,0.028253,0.002099,0.002703,0.004611,0.004879,0.005374,0.008588,1.180466,1.367782
15400,0.96250,3.677944,0.027883,0.027883,0.002067,0.002664,0.004565,0.004807,0.005296,0.008484,1.180032,1.368075
15600,0.97500,3.701311,0.027452,0.027452,0.002037,0.002622,0.004483,0.004724,0.005215,0.008371,1.179641,1.367858
15800,0.98750,3.688507,0.027113,0.027113,0.002002,0.002589,0.004420,0.004663,0.005160,0.008278,1.180025,1.370209
16000,1.00000,3.667212,0.026819,0.026819,0.001983,0.002558,0.004388,0.004621,0.005097,0.008173,1.179253,1.368423
