step,layer,train_mse,val_mse,val_rel_err,val_fvu,elapsed_s
3500,3,1.884141e-02,1.905103e-02,0.348515,0.374464,498.9
3500,4,2.935710e-02,2.953988e-02,0.315727,0.340886,498.9
3500,5,7.789951e-02,7.726907e-02,0.151160,0.163357,498.9
4000,0,8.944354e-03,8.884062e-03,0.109123,0.122453,568.2
4000,1,7.405859e-03,7.453506e-03,0.176438,0.200451,568.2
4000,2,1.118113e-02,1.115827e-02,0.331571,0.399439,568.2
4000,3,1.897825e-02,1.903294e-02,0.348184,0.374108,568.2
4000,4,2.991593e-02,2.958727e-02,0.316233,0.341433,568.2
4000,5,7.744604e-02,7.739629e-02,0.151408,0.163626,568.2
4500,0,9.019543e-03,8.869345e-03,0.108942,0.122250,637.7
4500,1,7.445107e-03,7.437146e-03,0.176050,0.200011,637.7
4500,2,1.115907e-02,1.117609e-02,0.332101,0.400077,637.7
4500,3,1.899348e-02,1.903711e-02,0.348260,0.374190,637.7
4500,4,2.964727e-02,2.967335e-02,0.317153,0.342426,637.7
4500,5,7.893997e-02,7.770104e-02,0.152005,0.164270,637.7
5000,0,9.243444e-03,8.843648e-03,0.108627,0.121896,707.0
5000,1,7.369929e-03,7.405017e-03,0.175290,0.199147,707.0
5000,2,1.115574e-02,1.117222e-02,0.331986,0.399939,707.0
5000,3,1.883526e-02,1.902066e-02,0.347959,0.373867,707.0
5000,4,2.913523e-02,2.967712e-02,0.317194,0.342470,707.0
5000,5,7.934979e-02,7.787187e-02,0.152339,0.164631,707.0
5500,0,9.317749e-03,8.841347e-03,0.108598,0.121864,776.2
5500,1,7.390572e-03,7.401082e-03,0.175197,0.199041,776.2
5500,2,1.111010e-02,1.119932e-02,0.332791,0.400909,776.2
5500,3,1.898573e-02,1.902678e-02,0.348071,0.373987,776.2
5500,4,2.898008e-02,2.973174e-02,0.317777,0.343100,776.2
5500,5,7.950742e-02,7.843368e-02,0.153438,0.165819,776.2
6000,0,9.344989e-03,8.847628e-03,0.108676,0.121951,845.7
6000,1,7.396676e-03,7.392736e-03,0.174999,0.198817,845.7
6000,2,1.118785e-02,1.120984e-02,0.333104,0.401285,845.7
6000,3,1.902759e-02,1.902094e-02,0.347964,0.373872,845.7
6000,4,2.933348e-02,2.973899e-02,0.317855,0.343184,845.7
6000,5,8.012389e-02,7.841183e-02,0.153395,0.165773,845.7
6500,0,9.082253e-03,8.829828e-03,0.108457,0.121706,914.8
6500,1,7.427810e-03,7.376064e-03,0.174604,0.198369,914.8
6500,2,1.120353e-02,1.120363e-02,0.332920,0.401063,914.8
6500,3,1.888546e-02,1.897938e-02,0.347204,0.373055,914.8
6500,4,2.959766e-02,2.970991e-02,0.317544,0.342848,914.8
6500,5,7.976527e-02,7.875425e-02,0.154065,0.166497,914.8
7000,0,8.922844e-03,8.822834e-03,0.108371,0.121609,984.1
7000,1,7.233895e-03,7.368207e-03,0.174418,0.198157,984.1
7000,2,1.117086e-02,1.121511e-02,0.333261,0.401474,984.1
7000,3,1.886563e-02,1.897272e-02,0.347082,0.372924,984.1
7000,4,2.973460e-02,2.971944e-02,0.317646,0.342958,984.1
7000,5,8.014307e-02,7.877868e-02,0.154113,0.166549,984.1
7500,0,8.865600e-03,8.819449e-03,0.108329,0.121563,1053.9
7500,1,7.278904e-03,7.358954e-03,0.174199,0.197909,1053.9
7500,2,1.122690e-02,1.122465e-02,0.333544,0.401816,1053.9
7500,3,1.889390e-02,1.894873e-02,0.346643,0.372453,1053.9
7500,4,2.973542e-02,2.969125e-02,0.317345,0.342633,1053.9
7500,5,7.838644e-02,7.906654e-02,0.154676,0.167157,1053.9
8000,0,9.112014e-03,8.816903e-03,0.108298,0.121527,1125.4
8000,1,7.229749e-03,7.356480e-03,0.174141,0.197842,1125.4
8000,2,1.127370e-02,1.122734e-02,0.333624,0.401912,1125.4
8000,3,1.881962e-02,1.893933e-02,0.346471,0.372268,1125.4
8000,4,2.959942e-02,2.970376e-02,0.317478,0.342777,1125.4
8000,5,7.871721e-02,7.914192e-02,0.154823,0.167317,1125.4
8500,0,9.077007e-03,8.815347e-03,0.108279,0.121506,1197.8
8500,1,7.362971e-03,7.357509e-03,0.174165,0.197870,1197.8
8500,2,1.126020e-02,1.123745e-02,0.333925,0.402274,1197.8
8500,3,1.892453e-02,1.892622e-02,0.346231,0.372010,1197.8
8500,4,2.977703e-02,2.971618e-02,0.317611,0.342920,1197.8
8500,5,8.022487e-02,7.927419e-02,0.155082,0.167596,1197.8
9000,0,8.889276e-03,8.811032e-03,0.108226,0.121446,1269.9
9000,1,7.225669e-03,7.356653e-03,0.174145,0.197847,1269.9
9000,2,1.119121e-02,1.123843e-02,0.333954,0.402309,1269.9
9000,3,1.887764e-02,1.890499e-02,0.345843,0.371593,1269.9
9000,4,2.979941e-02,2.970990e-02,0.317544,0.342848,1269.9
9000,5,7.996300e-02,7.941664e-02,0.155361,0.167897,1269.9
9500,0,9.087486e-03,8.809705e-03,0.108210,0.121428,1342.2
9500,1,7.292425e-03,7.359318e-03,0.174208,0.197918,1342.2
9500,2,1.126103e-02,1.124395e-02,0.334118,0.402507,1342.2
9500,3,1.880020e-02,1.888535e-02,0.345484,0.371207,1342.2
9500,4,2.971744e-02,2.969544e-02,0.317390,0.342681,1342.2
9500,5,8.025277e-02,7.944810e-02,0.155422,0.167964,1342.2
10000,0,9.123591e-03,8.804600e-03,0.108147,0.121358,1411.6
10000,1,7.391152e-03,7.360218e-03,0.174229,0.197943,1411.6
10000,2,1.129390e-02,1.124906e-02,0.334269,0.402689,1411.6
10000,3,1.899714e-02,1.887878e-02,0.345363,0.371078,1411.6
10000,4,2.978375e-02,2.969661e-02,0.317402,0.342695,1411.6
10000,5,8.168149e-02,7.955573e-02,0.155633,0.168191,1411.6
10500,0,9.008115e-03,8.803260e-03,0.108131,0.121339,1483.0
10500,1,7.332780e-03,7.362114e-03,0.174274,0.197993,1483.0
10500,2,1.129821e-02,1.125151e-02,0.334342,0.402777,1483.0
10500,3,1.870022e-02,1.886324e-02,0.345079,0.370772,1483.0
10500,4,2.980474e-02,2.968801e-02,0.317310,0.342595,1483.0
10500,5,8.069277e-02,7.970160e-02,0.155918,0.168500,1483.0
11000,0,8.978383e-03,8.801989e-03,0.108115,0.121322,1555.0
11000,1,7.316359e-03,7.368726e-03,0.174431,0.198171,1555.0
11000,2,1.121085e-02,1.125425e-02,0.334424,0.402875,1555.0
11000,3,1.880435e-02,1.884985e-02,0.344834,0.370509,1555.0
11000,4,2.979046e-02,2.967505e-02,0.317172,0.342446,1555.0
11000,5,8.068532e-02,7.964625e-02,0.155810,0.168383,1555.0
11500,0,8.918471e-03,8.795971e-03,0.108041,0.121239,1626.8
11500,1,7.262474e-03,7.370548e-03,0.174474,0.198220,1626.8
11500,2,1.123845e-02,1.125615e-02,0.334480,0.402943,1626.8
11500,3,1.873135e-02,1.883430e-02,0.344550,0.370204,1626.8
11500,4,2.940674e-02,2.966635e-02,0.317079,0.342345,1626.8
11500,5,7.892908e-02,7.976593e-02,0.156044,0.168636,1626.8
12000,0,8.972917e-03,8.789620e-03,0.107963,0.121151,1698.6
12000,1,7.327950e-03,7.366656e-03,0.174382,0.198116,1698.6
12000,2,1.118309e-02,1.125131e-02,0.334336,0.402770,1698.6
12000,3,1.868903e-02,1.881959e-02,0.344281,0.369915,1698.6
12000,4,2.942109e-02,2.963341e-02,0.316727,0.341965,1698.6
12000,5,7.974235e-02,7.968442e-02,0.155885,0.168463,1698.6
12500,0,9.045356e-03,8.776224e-03,0.107798,0.120967,1770.4
12500,1,7.313961e-03,7.367566e-03,0.174403,0.198140,1770.4
12500,2,1.118254e-02,1.125100e-02,0.334327,0.402759,1770.4
12500,3,1.895430e-02,1.880396e-02,0.343995,0.369607,1770.4
12500,4,2.960253e-02,2.962315e-02,0.316617,0.341847,1770.4
12500,5,8.085521e-02,7.960282e-02,0.155725,0.168291,1770.4
13000,0,8.875531e-03,8.787294e-03,0.107934,0.121119,1839.7
13000,1,7.299797e-03,7.370834e-03,0.174481,0.198228,1839.7
13000,2,1.109988e-02,1.126002e-02,0.334595,0.403082,1839.7
13000,3,1.853655e-02,1.880203e-02,0.343959,0.369569,1839.7
13000,4,2.922639e-02,2.961678e-02,0.316549,0.341773,1839.7
13000,5,8.142483e-02,7.975961e-02,0.156032,0.168622,1839.7
13500,0,8.907844e-03,8.779439e-03,0.107838,0.121011,1909.1
13500,1,7.326679e-03,7.373285e-03,0.174539,0.198294,1909.1
13500,2,1.115855e-02,1.126099e-02,0.334624,0.403116,1909.1
13500,3,1.876746e-02,1.879840e-02,0.343893,0.369498,1909.1
13500,4,2.940923e-02,2.961520e-02,0.316532,0.341755,1909.1
13500,5,8.012194e-02,7.978182e-02,0.156075,0.168669,1909.1
14000,0,8.995579e-03,8.772656e-03,0.107755,0.120918,1978.6
14000,1,7.289040e-03,7.374138e-03,0.174559,0.198317,1978.6
14000,2,1.117113e-02,1.126106e-02,0.334626,0.403119,1978.6
14000,3,1.882615e-02,1.878924e-02,0.343725,0.369318,1978.6
14000,4,2.941647e-02,2.960518e-02,0.316425,0.341639,1978.6
14000,5,8.089370e-02,7.978703e-02,0.156085,0.168680,1978.6
14500,0,8.806343e-03,8.772404e-03,0.107752,0.120914,2047.9
14500,1,7.230229e-03,7.375982e-03,0.174603,0.198366,2047.9
14500,2,1.110454e-02,1.126118e-02,0.334630,0.403123,2047.9
14500,3,1.847966e-02,1.878359e-02,0.343622,0.369207,2047.9
14500,4,2.932128e-02,2.959902e-02,0.316359,0.341568,2047.9
14500,5,7.959722e-02,7.979048e-02,0.156092,0.168688,2047.9
15000,0,8.961725e-03,8.776077e-03,0.107797,0.120965,2117.3
15000,1,7.210067e-03,7.380532e-03,0.174710,0.198489,2117.3
15000,2,1.118784e-02,1.126452e-02,0.334729,0.403243,2117.3
15000,3,1.871709e-02,1.877902e-02,0.343538,0.369117,2117.3
15000,4,2.925063e-02,2.960201e-02,0.316391,0.341603,2117.3
15000,5,7.955451e-02,7.982819e-02,0.156166,0.168767,2117.3
15500,0,9.032714e-03,8.772651e-03,0.107755,0.120917,2186.8
15500,1,7.336241e-03,7.379717e-03,0.174691,0.198467,2186.8
15500,2,1.120161e-02,1.126754e-02,0.334819,0.403351,2186.8
15500,3,1.870204e-02,1.877418e-02,0.343450,0.369022,2186.8
15500,4,2.947035e-02,2.958900e-02,0.316252,0.341453,2186.8
15500,5,8.064769e-02,7.980108e-02,0.156113,0.168710,2186.8
16000,0,9.102059e-03,8.771479e-03,0.107740,0.120901,2256.1
16000,1,7.365129e-03,7.381756e-03,0.174739,0.198522,2256.1
16000,2,1.121682e-02,1.127175e-02,0.334944,0.403502,2256.1
16000,3,1.878407e-02,1.876942e-02,0.343363,0.368928,2256.1
16000,4,2.927900e-02,2.959254e-02,0.316290,0.341494,2256.1
16000,5,8.201272e-02,7.984915e-02,0.156207,0.168812,2256.1
