step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.361672,0.357186,0.439924,0.375568,0.478782,0.409536,0.564293,0.421825,0.465066,0.394131,0.543727,0.426994,0.560160,0.397221,0.445251,0.403878,0.585286,0.446013,0.526668,0.401527,0.460492,0.428424,0.607989,0.458259,0.527175,0.418735,0.452080,0.423339,0.628927,0.464579,0.492653,0.449396,0.485056,0.469479,0.619837,0.481056
2200,0.355109,0.345713,0.454319,0.370515,0.481401,0.400087,0.580537,0.417660,0.480533,0.391038,0.557630,0.421876,0.580118,0.391843,0.448097,0.396596,0.601831,0.441489,0.544521,0.395271,0.458805,0.419846,0.625616,0.453898,0.538416,0.412181,0.446661,0.413357,0.648425,0.458033,0.494999,0.441817,0.478647,0.461744,0.632955,0.474043
2400,0.350452,0.335287,0.469956,0.367486,0.485285,0.390574,0.597514,0.413401,0.498014,0.388183,0.571097,0.416110,0.599799,0.385855,0.453489,0.390265,0.618705,0.436785,0.563406,0.389029,0.458068,0.411476,0.643695,0.448330,0.552854,0.406021,0.441826,0.403181,0.667064,0.451915,0.498424,0.434774,0.471275,0.453226,0.646196,0.466694
2600,0.349540,0.326895,0.486830,0.366353,0.488761,0.382982,0.614476,0.408668,0.514669,0.385489,0.583621,0.412555,0.620746,0.380837,0.460745,0.383273,0.632287,0.433010,0.582104,0.382852,0.457974,0.403363,0.659207,0.443837,0.566972,0.401160,0.438760,0.395082,0.682901,0.445365,0.504064,0.429694,0.465139,0.445643,0.658492,0.459595
2800,0.348259,0.319334,0.503668,0.365501,0.493279,0.374613,0.630931,0.403842,0.532368,0.384860,0.597268,0.408213,0.642480,0.375981,0.468868,0.377813,0.648576,0.428718,0.604226,0.379436,0.460019,0.396777,0.676220,0.439259,0.581847,0.397202,0.436261,0.387172,0.700754,0.439062,0.510720,0.424396,0.457619,0.437163,0.672257,0.452723
3000,0.348743,0.312658,0.519720,0.363187,0.498514,0.366937,0.647272,0.400015,0.551310,0.384979,0.609482,0.403701,0.664614,0.370660,0.478212,0.373741,0.664398,0.424108,0.624634,0.375225,0.462701,0.390936,0.692559,0.434603,0.598228,0.393228,0.434962,0.379754,0.718846,0.433498,0.517976,0.420591,0.449994,0.428399,0.685667,0.445754
3200,0.350712,0.306761,0.536634,0.361329,0.504147,0.359048,0.662459,0.394998,0.569222,0.383440,0.624089,0.399251,0.686549,0.365999,0.489276,0.370980,0.681836,0.419438,0.646923,0.372332,0.467091,0.385880,0.710381,0.429603,0.615124,0.390677,0.435826,0.374523,0.737698,0.427708,0.525981,0.416546,0.442971,0.419814,0.700669,0.438511
3400,0.353428,0.301027,0.553526,0.359469,0.509921,0.352301,0.676596,0.391022,0.588327,0.383973,0.637405,0.395439,0.707300,0.361195,0.497641,0.367088,0.699047,0.414929,0.665565,0.368881,0.471686,0.380806,0.727215,0.424589,0.630057,0.387582,0.434766,0.367497,0.755451,0.422074,0.534162,0.413665,0.436741,0.411882,0.712546,0.431625
3600,0.355511,0.295377,0.569496,0.358530,0.515748,0.346393,0.691438,0.386887,0.607023,0.384634,0.650706,0.392682,0.728766,0.357170,0.508098,0.363808,0.714896,0.411700,0.684569,0.365349,0.476840,0.376098,0.743443,0.420177,0.644208,0.384333,0.436154,0.362375,0.772998,0.417161,0.541925,0.411009,0.430233,0.403816,0.723614,0.424997
3800,0.358022,0.290813,0.585654,0.356315,0.522091,0.340114,0.704350,0.382646,0.624306,0.384212,0.663753,0.388018,0.749566,0.353571,0.518728,0.361070,0.731472,0.407344,0.704138,0.362957,0.481890,0.372139,0.760818,0.415568,0.657735,0.381745,0.436553,0.356553,0.791175,0.411425,0.548790,0.407643,0.424267,0.396053,0.736405,0.418169
4000,0.360496,0.286341,0.600048,0.353924,0.528423,0.333622,0.717427,0.378248,0.641557,0.383484,0.676666,0.383130,0.768402,0.349006,0.529303,0.359189,0.747375,0.402698,0.723737,0.360168,0.488632,0.369723,0.778318,0.410818,0.672734,0.379786,0.439147,0.352201,0.809900,0.407006,0.557029,0.404945,0.419622,0.389413,0.750559,0.412873
4200,0.363257,0.282219,0.613855,0.352211,0.535422,0.328556,0.729167,0.374146,0.658129,0.382876,0.689553,0.380016,0.786691,0.345696,0.539454,0.356986,0.762128,0.399611,0.741453,0.357232,0.493027,0.365788,0.794278,0.406741,0.686333,0.377763,0.440489,0.347794,0.825259,0.402236,0.566864,0.404045,0.415208,0.383364,0.761336,0.407135
4400,0.365365,0.278546,0.627000,0.350522,0.541567,0.323763,0.740209,0.370314,0.672894,0.381531,0.701322,0.376270,0.803646,0.342307,0.549343,0.354502,0.776316,0.395843,0.759096,0.355115,0.498697,0.363550,0.809275,0.402420,0.699682,0.375831,0.441507,0.343683,0.840989,0.396968,0.574594,0.402107,0.411234,0.377698,0.772293,0.401636
4600,0.367459,0.275212,0.637624,0.348264,0.547464,0.318938,0.750920,0.367026,0.688663,0.381818,0.711696,0.372752,0.819795,0.339083,0.558893,0.352871,0.788754,0.392266,0.775330,0.352596,0.503910,0.361271,0.824002,0.398825,0.711691,0.373732,0.444755,0.341051,0.856517,0.393249,0.582801,0.400946,0.407836,0.372617,0.783602,0.397035
4800,0.369041,0.271916,0.649040,0.346774,0.553119,0.314564,0.760591,0.363994,0.703108,0.380818,0.721520,0.369650,0.835514,0.335936,0.568300,0.351845,0.801588,0.389330,0.791166,0.350488,0.507135,0.357745,0.837074,0.394903,0.723818,0.372266,0.448583,0.338581,0.871509,0.389572,0.590889,0.400200,0.404357,0.367851,0.793469,0.392650
5000,0.370559,0.268960,0.659634,0.344884,0.558878,0.311260,0.768267,0.360768,0.715448,0.379562,0.730694,0.366937,0.850300,0.332614,0.576280,0.349985,0.811730,0.385898,0.805353,0.348177,0.512186,0.356000,0.848776,0.391488,0.735496,0.370947,0.451103,0.336145,0.883990,0.385969,0.597675,0.398947,0.401035,0.363095,0.802826,0.388279
5200,0.371482,0.266137,0.668036,0.342660,0.563567,0.307629,0.776233,0.357847,0.727248,0.379057,0.739162,0.363716,0.864033,0.329956,0.584036,0.348572,0.821442,0.382977,0.818630,0.345678,0.517266,0.355082,0.860736,0.388576,0.745005,0.369491,0.453487,0.334190,0.897332,0.382916,0.604181,0.397984,0.398587,0.359286,0.812820,0.384945
5400,0.371981,0.263780,0.676598,0.340719,0.568395,0.304235,0.784044,0.355581,0.738522,0.378879,0.747136,0.361185,0.876844,0.327531,0.590478,0.346491,0.830907,0.380534,0.830865,0.343970,0.521585,0.353363,0.871658,0.386023,0.754903,0.368085,0.456049,0.332426,0.908452,0.379942,0.609683,0.397041,0.395528,0.355064,0.819912,0.381371
5600,0.372020,0.261556,0.683972,0.338496,0.572270,0.301596,0.789577,0.352778,0.748445,0.377771,0.754035,0.358966,0.888310,0.325713,0.597221,0.345050,0.839393,0.378174,0.841321,0.342132,0.525723,0.351918,0.879691,0.382890,0.763221,0.366744,0.458322,0.330732,0.918302,0.376834,0.615175,0.396581,0.393824,0.351753,0.827530,0.378762
5800,0.371590,0.259207,0.690617,0.336660,0.576222,0.298855,0.795925,0.351004,0.758031,0.377304,0.760548,0.357060,0.899397,0.323829,0.603569,0.343826,0.847078,0.376017,0.851387,0.340717,0.529645,0.350727,0.888431,0.380568,0.771039,0.365656,0.460054,0.328859,0.927710,0.374355,0.620628,0.395964,0.391671,0.348476,0.835172,0.375902
6000,0.371021,0.257042,0.696016,0.335099,0.578818,0.296176,0.800382,0.348943,0.766371,0.376505,0.766376,0.354927,0.908865,0.321785,0.608514,0.342824,0.855096,0.373809,0.860429,0.339309,0.533212,0.349854,0.897448,0.378094,0.777585,0.364600,0.461788,0.327563,0.937009,0.372308,0.625474,0.395464,0.390130,0.345837,0.842295,0.373469
6200,0.370431,0.255254,0.700007,0.333268,0.582020,0.293929,0.804394,0.347112,0.773486,0.376071,0.771915,0.353058,0.917970,0.320628,0.613642,0.342310,0.861985,0.372222,0.869110,0.338239,0.536114,0.348780,0.904328,0.376287,0.784891,0.364390,0.464288,0.326980,0.944344,0.370257,0.629940,0.394801,0.388645,0.343358,0.848062,0.371114
6400,0.369635,0.253598,0.703571,0.331625,0.584644,0.291971,0.807975,0.345210,0.779918,0.375499,0.776436,0.351461,0.925976,0.319089,0.617891,0.341535,0.868329,0.370723,0.876701,0.337316,0.538333,0.347802,0.911246,0.374325,0.790293,0.363361,0.465716,0.325798,0.951545,0.368475,0.634385,0.394872,0.388323,0.341764,0.853385,0.369422
6600,0.368814,0.252102,0.706742,0.330310,0.586772,0.290219,0.811132,0.343854,0.784909,0.374752,0.780457,0.349910,0.932894,0.317983,0.621619,0.340753,0.873363,0.369030,0.883825,0.336659,0.540452,0.346937,0.917081,0.372573,0.795693,0.362834,0.467181,0.324969,0.958270,0.366932,0.638300,0.394727,0.387143,0.339815,0.858089,0.367489
6800,0.367350,0.250436,0.709912,0.329042,0.588423,0.288623,0.814333,0.342565,0.790205,0.374119,0.783947,0.348521,0.939130,0.317030,0.625005,0.340134,0.877939,0.367721,0.889236,0.335609,0.542158,0.346164,0.921953,0.371124,0.800337,0.362515,0.468497,0.324073,0.964210,0.365474,0.641843,0.394752,0.386521,0.338325,0.862570,0.366017
7000,0.366134,0.249073,0.712040,0.327814,0.590151,0.287128,0.816430,0.341295,0.794647,0.373531,0.787251,0.347208,0.944313,0.316146,0.628057,0.339599,0.882789,0.366497,0.894432,0.334836,0.544026,0.345607,0.927132,0.369774,0.804198,0.362055,0.469520,0.323272,0.969532,0.364133,0.644571,0.394501,0.385740,0.336915,0.866205,0.364547
7200,0.364917,0.247802,0.714254,0.326653,0.591755,0.285933,0.818398,0.340282,0.798679,0.373092,0.790106,0.346216,0.949285,0.315193,0.630856,0.339091,0.886742,0.365482,0.899017,0.334276,0.545758,0.345174,0.931444,0.368592,0.807302,0.361435,0.470316,0.322485,0.974019,0.362788,0.647452,0.394563,0.385351,0.335815,0.869482,0.363324
7400,0.363795,0.246717,0.715458,0.325612,0.593227,0.284870,0.820294,0.339279,0.802154,0.372578,0.792677,0.345331,0.953661,0.314460,0.633465,0.338813,0.889972,0.364373,0.903047,0.333688,0.547151,0.344618,0.935232,0.367612,0.810695,0.361233,0.471352,0.321974,0.977925,0.361709,0.649848,0.394299,0.384831,0.334715,0.872200,0.362243
7600,0.362894,0.245791,0.716965,0.324732,0.594313,0.283866,0.821647,0.338326,0.805423,0.372131,0.795232,0.344632,0.957756,0.313654,0.635724,0.338428,0.893249,0.363627,0.906815,0.332985,0.548335,0.344067,0.938691,0.366516,0.813503,0.360865,0.472289,0.321561,0.981542,0.360615,0.651913,0.394037,0.384275,0.333636,0.874723,0.361056
7800,0.361842,0.244809,0.718100,0.323719,0.595141,0.282788,0.823251,0.337528,0.808504,0.371768,0.797275,0.343826,0.961417,0.313042,0.637592,0.337978,0.896230,0.362681,0.910264,0.332600,0.549833,0.343761,0.941901,0.365645,0.816125,0.360616,0.473242,0.321233,0.985052,0.359696,0.654204,0.394028,0.383835,0.332709,0.877464,0.360152
8000,0.360775,0.243856,0.719054,0.322852,0.595932,0.281797,0.824747,0.336791,0.811465,0.371551,0.799047,0.342845,0.964982,0.312438,0.639382,0.337604,0.899229,0.361840,0.913901,0.332243,0.550928,0.343285,0.945357,0.364853,0.818619,0.360256,0.473792,0.320688,0.988746,0.358948,0.656493,0.394047,0.383245,0.331672,0.880194,0.359340
