step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.out_v2d.T,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.out_v2d.T,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.out_v2d.T,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.out_v2d.T,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.out_v2d.T,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.out_v2d.T
5600,0.290085,0.266713,0.468471,0.256987,0.300075,1.011366,0.405509,0.409535,0.364745,0.247641,0.671157,0.421556,0.445528,0.409741,0.203595,0.571130,0.542924,0.480901,0.459955,0.141756,0.516946,0.508381,0.527744,0.519229,0.107604,0.507567,0.505975,0.547752,0.524354,0.093808
5800,0.289429,0.265637,0.472674,0.255501,0.305537,1.023174,0.403921,0.410500,0.363981,0.251763,0.676855,0.420789,0.446089,0.409223,0.206633,0.570040,0.541724,0.481060,0.459426,0.142963,0.516605,0.507963,0.527836,0.519255,0.107704,0.506901,0.505771,0.548209,0.524621,0.093600
6000,0.289105,0.264931,0.476497,0.254199,0.310429,1.033054,0.402510,0.411241,0.363301,0.255387,0.681230,0.420008,0.446262,0.408497,0.209304,0.570304,0.541698,0.480256,0.458183,0.144030,0.516882,0.508052,0.527927,0.519274,0.107768,0.507808,0.506220,0.548487,0.524839,0.093421
6200,0.288636,0.264101,0.479717,0.252859,0.314950,1.042270,0.400836,0.412272,0.362708,0.258837,0.685470,0.419481,0.446862,0.408116,0.211854,0.570529,0.541542,0.479911,0.457201,0.145229,0.516837,0.507754,0.527845,0.519181,0.107842,0.507030,0.505606,0.548517,0.524880,0.093345
6400,0.288392,0.263540,0.482553,0.251656,0.318942,1.050709,0.399943,0.412991,0.362228,0.261864,0.689300,0.418611,0.446788,0.407346,0.213981,0.570201,0.541094,0.479565,0.456279,0.146241,0.516470,0.507341,0.527955,0.519165,0.107906,0.506653,0.505139,0.548505,0.524728,0.093089
6600,0.288007,0.262915,0.485220,0.250430,0.322574,1.058158,0.398836,0.413749,0.361754,0.264643,0.692461,0.418003,0.447040,0.406905,0.216027,0.570097,0.540829,0.479204,0.455540,0.147181,0.516338,0.507137,0.528219,0.519405,0.107985,0.506558,0.505237,0.548753,0.524868,0.092986
6800,0.287964,0.262627,0.487465,0.249544,0.325792,1.064599,0.397753,0.414238,0.361310,0.267067,0.696061,0.418030,0.447160,0.406483,0.217762,0.569830,0.540440,0.479080,0.454956,0.148016,0.515708,0.506514,0.528173,0.519337,0.108035,0.506506,0.505311,0.548660,0.524744,0.092860
7000,0.287544,0.262019,0.489734,0.248709,0.328689,1.070575,0.396782,0.414937,0.360903,0.269306,0.698601,0.417368,0.447395,0.406121,0.219440,0.569377,0.539888,0.478572,0.454117,0.148905,0.515217,0.506120,0.528338,0.519443,0.108094,0.506237,0.505165,0.548671,0.524750,0.092766
7200,0.287353,0.261653,0.491662,0.247890,0.331299,1.076158,0.395875,0.415495,0.360451,0.271339,0.700537,0.416639,0.447642,0.405858,0.220908,0.569047,0.539534,0.478418,0.453675,0.149660,0.515000,0.505854,0.528135,0.519256,0.108138,0.506136,0.505028,0.548915,0.524965,0.092807
7400,0.287155,0.261298,0.493422,0.247269,0.333661,1.080988,0.395028,0.416024,0.360124,0.273179,0.702606,0.416129,0.447690,0.405496,0.222240,0.569014,0.539417,0.478515,0.453437,0.150321,0.514678,0.505464,0.528148,0.519314,0.108181,0.505976,0.504835,0.549006,0.525047,0.092850
7600,0.286989,0.260970,0.494631,0.246508,0.335843,1.085530,0.394344,0.416564,0.359872,0.274876,0.704630,0.415881,0.448019,0.405392,0.223510,0.568751,0.539052,0.478436,0.453089,0.150953,0.514728,0.505519,0.528125,0.519314,0.108244,0.505721,0.504440,0.549074,0.525150,0.092883
7800,0.286725,0.260583,0.496154,0.245928,0.337905,1.089597,0.393512,0.417076,0.359576,0.276474,0.706048,0.415241,0.448043,0.405011,0.224700,0.568669,0.538895,0.478291,0.452675,0.151601,0.514657,0.505339,0.528005,0.519270,0.108275,0.506019,0.504652,0.549045,0.525171,0.092923
8000,0.286676,0.260388,0.497546,0.245377,0.339902,1.093844,0.392841,0.417497,0.359240,0.278035,0.707640,0.414812,0.448137,0.404749,0.225836,0.568384,0.538576,0.478314,0.452487,0.152216,0.514351,0.504998,0.527962,0.519195,0.108316,0.506029,0.504645,0.549001,0.525138,0.092958
