step,L0.qkv_joint.T_soft,L0.qkv_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_joint.T_soft,L1.qkv_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_joint.T_soft,L2.qkv_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_joint.T_soft,L3.qkv_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_joint.T_soft,L4.qkv_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_joint.T_soft,L5.qkv_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.748420,0.749994,0.478632,0.400862,0.388805,0.390269,0.410943,0.404918,0.512311,0.439149,0.379896,0.375173,0.453282,0.451462,0.602004,0.519054,0.588321,0.556053,0.578172,0.579325,0.593711,0.564481,0.670299,0.663668,0.577979,0.572217,0.621044,0.591424,0.639146,0.582344,0.580676,0.578558,0.613519,0.591982,0.558755,0.551272
2200,0.783381,0.785132,0.492780,0.395631,0.378301,0.379414,0.404183,0.395841,0.529978,0.434878,0.367898,0.361325,0.448782,0.445763,0.619116,0.517468,0.587502,0.549886,0.586186,0.587267,0.603786,0.569907,0.689331,0.675707,0.589407,0.580825,0.635381,0.601239,0.653394,0.584846,0.593786,0.587067,0.622681,0.596515,0.560117,0.552276
2400,0.818695,0.820615,0.509364,0.391769,0.368608,0.369131,0.399833,0.388025,0.548347,0.431258,0.357795,0.349020,0.443784,0.439375,0.635387,0.515686,0.585965,0.543569,0.594952,0.595460,0.616108,0.575631,0.710643,0.685588,0.598412,0.584411,0.650008,0.609759,0.667264,0.586779,0.607738,0.592290,0.631083,0.600272,0.561284,0.553102
2600,0.853044,0.855089,0.526866,0.387825,0.358989,0.358875,0.396016,0.380358,0.568467,0.427863,0.348860,0.337007,0.439184,0.432864,0.651411,0.513081,0.584481,0.536979,0.600847,0.600395,0.627777,0.581005,0.729456,0.693951,0.609211,0.589160,0.666823,0.618005,0.679037,0.588582,0.617844,0.598029,0.640030,0.603630,0.562586,0.554012
2800,0.887868,0.890038,0.544521,0.385696,0.350705,0.349781,0.393326,0.373529,0.588953,0.425074,0.341803,0.326429,0.434822,0.426968,0.665470,0.510406,0.582378,0.530286,0.608127,0.607078,0.639174,0.586723,0.748112,0.699722,0.622860,0.591673,0.682918,0.625431,0.691247,0.589920,0.631445,0.600932,0.650026,0.607210,0.563645,0.554699
3000,0.922808,0.925071,0.561389,0.382160,0.342733,0.340802,0.393248,0.369000,0.610416,0.422890,0.336952,0.317070,0.431484,0.421684,0.681343,0.508098,0.580200,0.523876,0.612115,0.610330,0.648886,0.590824,0.764962,0.703871,0.633204,0.592264,0.698907,0.631944,0.701118,0.590965,0.644504,0.602674,0.659685,0.610285,0.564581,0.555294
3200,0.957323,0.959682,0.579450,0.380240,0.335496,0.332389,0.393468,0.363836,0.631941,0.420838,0.334798,0.309396,0.428177,0.415811,0.695956,0.506316,0.578035,0.517988,0.616283,0.613647,0.660249,0.595618,0.779171,0.707967,0.643795,0.590786,0.714419,0.636255,0.708849,0.591910,0.657146,0.602393,0.668877,0.613005,0.565534,0.555897
3400,0.990200,0.992651,0.597009,0.377341,0.329399,0.324840,0.393840,0.358669,0.654047,0.418357,0.332812,0.301969,0.424994,0.410263,0.711052,0.503486,0.575318,0.511409,0.618982,0.615765,0.668407,0.598510,0.795171,0.712459,0.654851,0.590224,0.731621,0.640119,0.716049,0.592702,0.668113,0.602324,0.677289,0.615201,0.566337,0.556384
3600,1.022834,1.025348,0.613987,0.374728,0.324564,0.318248,0.395552,0.355104,0.676504,0.417557,0.333200,0.295779,0.422187,0.404799,0.724558,0.500873,0.572156,0.504969,0.621139,0.616990,0.677171,0.600756,0.807916,0.715563,0.668076,0.589198,0.748171,0.643878,0.723256,0.593438,0.681211,0.601338,0.685491,0.617262,0.567119,0.556853
3800,1.051557,1.054133,0.629374,0.371861,0.319291,0.311125,0.396369,0.351458,0.698609,0.414815,0.334945,0.290120,0.420378,0.400007,0.738276,0.498066,0.569397,0.499040,0.622171,0.617100,0.684580,0.602339,0.819051,0.718308,0.680863,0.587143,0.763068,0.646067,0.730018,0.594105,0.693460,0.600030,0.692561,0.619307,0.567892,0.557314
4000,1.079037,1.081660,0.643590,0.369562,0.315660,0.305719,0.397772,0.348177,0.719828,0.412857,0.336996,0.285402,0.419183,0.395931,0.751373,0.495177,0.566159,0.492826,0.622141,0.616394,0.692715,0.603335,0.828006,0.720459,0.691325,0.586571,0.779807,0.648871,0.735937,0.594580,0.704978,0.598955,0.698266,0.620762,0.568466,0.557610
4200,1.104818,1.107493,0.657785,0.367480,0.311556,0.299943,0.399817,0.345618,0.740039,0.411208,0.340688,0.281657,0.417637,0.391127,0.764462,0.492236,0.563231,0.487212,0.623663,0.617276,0.700820,0.604214,0.836214,0.722608,0.702789,0.585829,0.794508,0.649602,0.741174,0.595099,0.717077,0.597478,0.704747,0.622022,0.569071,0.557961
4400,1.129145,1.131857,0.671268,0.365552,0.308813,0.295133,0.402453,0.343611,0.760510,0.409266,0.345300,0.278193,0.417651,0.387977,0.776459,0.490212,0.559847,0.481218,0.623536,0.616332,0.707002,0.603791,0.844169,0.724594,0.713381,0.584469,0.809113,0.650619,0.746189,0.595562,0.726540,0.596807,0.710972,0.623314,0.569657,0.558267
4600,1.151634,1.154372,0.684890,0.363478,0.305827,0.290072,0.405361,0.341805,0.780076,0.407291,0.350261,0.275778,0.417094,0.384442,0.786862,0.487803,0.556658,0.475759,0.623252,0.615621,0.711787,0.602681,0.850114,0.726295,0.722485,0.583174,0.821679,0.650806,0.750557,0.595948,0.738790,0.594457,0.716563,0.624126,0.570168,0.558517
4800,1.170724,1.173442,0.695925,0.360514,0.303788,0.285962,0.408509,0.340559,0.798364,0.405442,0.354726,0.273381,0.418054,0.382065,0.795982,0.485593,0.553529,0.470740,0.622557,0.614606,0.715558,0.601303,0.854859,0.727587,0.732110,0.582027,0.835422,0.650678,0.754234,0.596223,0.749846,0.593763,0.721153,0.624753,0.570535,0.558672
5000,1.189549,1.192261,0.706583,0.358863,0.301988,0.282249,0.411717,0.339297,0.815214,0.403645,0.359337,0.271957,0.418544,0.379461,0.805509,0.483198,0.550379,0.465978,0.621739,0.613454,0.719001,0.600333,0.859486,0.729015,0.739718,0.581296,0.846176,0.650417,0.757398,0.596580,0.760283,0.592472,0.725094,0.625451,0.570983,0.558928
5200,1.206921,1.209658,0.715401,0.355911,0.301128,0.279386,0.414280,0.338098,0.830461,0.401942,0.363341,0.270312,0.419330,0.377422,0.814555,0.481128,0.547433,0.461469,0.621161,0.612523,0.720747,0.598631,0.862552,0.729940,0.747813,0.580686,0.855573,0.648849,0.759834,0.596800,0.768410,0.591551,0.727940,0.625730,0.571287,0.559072
5400,1.221105,1.223819,0.724844,0.354270,0.300126,0.276500,0.417500,0.337452,0.845226,0.399952,0.367815,0.269549,0.420413,0.375190,0.821747,0.479208,0.544369,0.457139,0.619489,0.610680,0.721438,0.596297,0.864295,0.730737,0.753289,0.580130,0.864271,0.646515,0.762090,0.597052,0.776169,0.590929,0.730331,0.626127,0.571597,0.559249
5600,1.232425,1.235159,0.732311,0.352363,0.299598,0.274121,0.419791,0.336541,0.858793,0.398174,0.372567,0.269019,0.421636,0.373765,0.828326,0.477076,0.541751,0.453256,0.618421,0.609495,0.721952,0.594040,0.865631,0.731340,0.757971,0.578719,0.872778,0.643452,0.764355,0.597308,0.783098,0.590263,0.732460,0.626377,0.571903,0.559419
5800,1.242701,1.245407,0.738874,0.350897,0.299040,0.271815,0.422610,0.336056,0.870778,0.396811,0.376669,0.268543,0.423090,0.372543,0.833738,0.475252,0.538885,0.449515,0.616942,0.607818,0.720010,0.590994,0.865688,0.731611,0.762645,0.578273,0.879898,0.641881,0.765971,0.597421,0.790431,0.589487,0.734304,0.626436,0.572045,0.559467
