step,anchor_tau,L0.qk_lut.T_sign,L0.qk_lut.T_sel,L0.v_lut.T_sign,L0.v_lut.T_sel,L0.out_proj.T_sign,L0.out_proj.T_sel,L0.residual_lut.T_sign,L0.residual_lut.T_sel,L1.qk_lut.T_sign,L1.qk_lut.T_sel,L1.v_lut.T_sign,L1.v_lut.T_sel,L1.out_proj.T_sign,L1.out_proj.T_sel,L1.residual_lut.T_sign,L1.residual_lut.T_sel,L2.qk_lut.T_sign,L2.qk_lut.T_sel,L2.v_lut.T_sign,L2.v_lut.T_sel,L2.out_proj.T_sign,L2.out_proj.T_sel,L2.residual_lut.T_sign,L2.residual_lut.T_sel,L3.qk_lut.T_sign,L3.qk_lut.T_sel,L3.v_lut.T_sign,L3.v_lut.T_sel,L3.out_proj.T_sign,L3.out_proj.T_sel,L3.residual_lut.T_sign,L3.residual_lut.T_sel,L4.qk_lut.T_sign,L4.qk_lut.T_sel,L4.v_lut.T_sign,L4.v_lut.T_sel,L4.out_proj.T_sign,L4.out_proj.T_sel,L4.residual_lut.T_sign,L4.residual_lut.T_sel,L5.qk_lut.T_sign,L5.qk_lut.T_sel,L5.v_lut.T_sign,L5.v_lut.T_sel,L5.out_proj.T_sign,L5.out_proj.T_sel,L5.residual_lut.T_sign,L5.residual_lut.T_sel
2000,0.038388,0.459667,0.426665,0.420425,0.358419,0.510384,0.414690,0.464100,0.395492,0.558453,0.475667,0.484738,0.405607,0.547757,0.438034,0.517180,0.406667,0.542080,0.453769,0.444108,0.397250,0.552636,0.472715,0.559480,0.430953,0.526866,0.458803,0.444248,0.424479,0.559395,0.505585,0.559589,0.446351,0.525003,0.466648,0.447289,0.431239,0.519293,0.481853,0.539469,0.453240,0.515478,0.483797,0.466222,0.463675,0.488149,0.469363,0.531568,0.469237
2200,0.027708,0.460519,0.422323,0.426996,0.348865,0.535553,0.420013,0.472727,0.386938,0.571180,0.473683,0.501059,0.404366,0.573861,0.443080,0.535538,0.402904,0.558797,0.451236,0.452306,0.390127,0.568089,0.467661,0.578352,0.425670,0.536695,0.454452,0.443394,0.416595,0.569370,0.501214,0.568912,0.436154,0.533596,0.463201,0.443154,0.422675,0.521886,0.475148,0.543366,0.442614,0.519524,0.480804,0.462121,0.457706,0.486822,0.463221,0.535556,0.460492
2400,0.020000,0.462246,0.418368,0.434674,0.339315,0.561054,0.425788,0.482409,0.379424,0.581773,0.469597,0.518577,0.402842,0.600154,0.447507,0.551940,0.398153,0.574962,0.447680,0.462310,0.383050,0.584853,0.462191,0.593059,0.417600,0.546686,0.449472,0.443455,0.408363,0.581287,0.498730,0.578422,0.426215,0.540551,0.458650,0.441115,0.415139,0.525334,0.467860,0.547104,0.431265,0.523700,0.477727,0.457771,0.451977,0.484140,0.455534,0.537775,0.450937
2600,0.017971,0.464421,0.415615,0.441601,0.331559,0.587017,0.432280,0.491991,0.372154,0.591854,0.466685,0.535983,0.400912,0.627720,0.451360,0.567184,0.392856,0.588965,0.442895,0.472458,0.377720,0.601443,0.456749,0.607503,0.411019,0.555638,0.445232,0.443829,0.401371,0.591946,0.494131,0.585286,0.417237,0.549291,0.454027,0.438395,0.407976,0.528718,0.460766,0.551346,0.421075,0.527328,0.474482,0.455264,0.447181,0.483778,0.449261,0.540681,0.441755
2800,0.016147,0.465089,0.411955,0.447699,0.324304,0.613233,0.437837,0.498577,0.364285,0.602612,0.463562,0.552752,0.398759,0.656061,0.456727,0.580727,0.387322,0.603637,0.439483,0.482844,0.372132,0.616613,0.450830,0.619962,0.404373,0.564460,0.441822,0.444583,0.394698,0.603498,0.488930,0.589388,0.407624,0.556433,0.449919,0.436187,0.401233,0.530744,0.452308,0.555557,0.411352,0.532889,0.472356,0.452347,0.442317,0.483604,0.443511,0.543814,0.433467
3000,0.014509,0.464751,0.408202,0.452277,0.317310,0.639018,0.442039,0.504377,0.357232,0.611442,0.460550,0.569158,0.396015,0.685159,0.461801,0.593392,0.381606,0.617503,0.435008,0.492624,0.367584,0.634070,0.445605,0.631512,0.397356,0.573484,0.438147,0.446433,0.388610,0.614000,0.484309,0.596470,0.399660,0.564348,0.445566,0.435342,0.395189,0.533994,0.444789,0.558923,0.401879,0.538142,0.470503,0.450026,0.438032,0.483738,0.436864,0.546462,0.424612
3200,0.013037,0.465006,0.405381,0.458233,0.311613,0.664323,0.444995,0.511482,0.349906,0.618180,0.456827,0.583540,0.392537,0.713249,0.464876,0.604144,0.374757,0.630673,0.430940,0.502918,0.362599,0.652156,0.441474,0.642133,0.388590,0.580386,0.432996,0.448521,0.383284,0.625543,0.480661,0.601273,0.390495,0.570706,0.441704,0.434587,0.388922,0.538557,0.438337,0.563055,0.392668,0.542191,0.468210,0.447315,0.433653,0.486209,0.432542,0.549700,0.416615
3400,0.011714,0.464037,0.401711,0.464723,0.305943,0.689586,0.447834,0.516485,0.342609,0.625222,0.453295,0.598078,0.389515,0.739954,0.467886,0.616061,0.369684,0.642286,0.427004,0.512106,0.357787,0.669020,0.435213,0.650466,0.380604,0.586389,0.428758,0.451469,0.378032,0.637475,0.477391,0.605958,0.382960,0.576725,0.436928,0.434709,0.383811,0.543271,0.432140,0.567150,0.384612,0.545447,0.466347,0.445901,0.429952,0.489859,0.428067,0.552875,0.409392
3600,0.010525,0.464516,0.399229,0.470713,0.301162,0.713466,0.449313,0.522756,0.336654,0.630049,0.449306,0.608972,0.384955,0.765980,0.468665,0.624886,0.363495,0.654474,0.423116,0.521690,0.354193,0.686693,0.431114,0.659163,0.373311,0.592135,0.424100,0.453670,0.373136,0.649592,0.474809,0.609795,0.375855,0.583467,0.433494,0.435120,0.379518,0.550325,0.427102,0.572291,0.376890,0.546551,0.462068,0.444196,0.426112,0.491256,0.423399,0.556352,0.402716
3800,0.009457,0.464049,0.396525,0.476082,0.296840,0.736417,0.450624,0.526437,0.329580,0.632447,0.444462,0.620816,0.381551,0.790984,0.469703,0.633627,0.357243,0.664643,0.419079,0.530851,0.349852,0.702077,0.426624,0.666899,0.365970,0.598214,0.420512,0.457411,0.369172,0.659725,0.470666,0.614943,0.369771,0.589259,0.429803,0.436343,0.375568,0.555183,0.421517,0.577122,0.369856,0.551639,0.461135,0.442680,0.422432,0.494667,0.419778,0.559618,0.395901
4000,0.008498,0.463666,0.393930,0.481839,0.292838,0.757400,0.450460,0.531118,0.323894,0.636944,0.441945,0.632698,0.379024,0.816495,0.471727,0.642118,0.351976,0.674850,0.415066,0.540002,0.346272,0.720244,0.423778,0.672823,0.359540,0.603820,0.416899,0.460816,0.364977,0.670217,0.467817,0.620349,0.364488,0.594289,0.426186,0.436988,0.371318,0.559480,0.416293,0.582597,0.363951,0.554002,0.458626,0.441242,0.419148,0.498361,0.415423,0.563003,0.390475
4200,0.007636,0.462686,0.391097,0.486509,0.288758,0.777418,0.450521,0.535406,0.318272,0.639870,0.438451,0.642785,0.375913,0.839669,0.471774,0.648836,0.346884,0.685186,0.410955,0.548746,0.343133,0.736535,0.420392,0.679668,0.354007,0.608028,0.412989,0.463726,0.361111,0.679581,0.464745,0.622719,0.358473,0.599676,0.423287,0.438906,0.368458,0.565943,0.412200,0.585415,0.357285,0.556162,0.456444,0.439931,0.415996,0.501736,0.411481,0.566794,0.385821
4400,0.006861,0.461617,0.388607,0.491394,0.285762,0.797020,0.449686,0.538940,0.313335,0.644511,0.436436,0.652365,0.373109,0.863653,0.472710,0.654207,0.341670,0.693712,0.407355,0.555737,0.340022,0.750864,0.416436,0.686056,0.349229,0.612860,0.410446,0.468425,0.358575,0.689252,0.462304,0.626716,0.353371,0.602651,0.419416,0.440458,0.365821,0.571053,0.407414,0.589501,0.351561,0.558074,0.454495,0.439679,0.413773,0.506343,0.408816,0.569044,0.380518
4600,0.006165,0.460904,0.386597,0.494555,0.282340,0.815390,0.447988,0.542320,0.308262,0.647817,0.434024,0.660576,0.370797,0.885225,0.473870,0.660738,0.337386,0.702237,0.404150,0.563706,0.337421,0.765624,0.413171,0.691594,0.344453,0.616318,0.406973,0.471595,0.355868,0.697377,0.458387,0.630178,0.348685,0.607336,0.416803,0.442556,0.363698,0.576344,0.404005,0.594208,0.346812,0.559087,0.452237,0.439482,0.411709,0.509844,0.406411,0.571727,0.375905
4800,0.005539,0.460098,0.384659,0.497468,0.279436,0.832384,0.446879,0.546540,0.304119,0.650440,0.431609,0.669009,0.369023,0.905393,0.474680,0.665417,0.333459,0.709856,0.400983,0.570130,0.335394,0.779905,0.411139,0.697080,0.340275,0.620933,0.404662,0.475414,0.354010,0.706324,0.456468,0.634260,0.344961,0.610756,0.414194,0.443729,0.361283,0.579922,0.399822,0.597320,0.342257,0.561310,0.450923,0.439222,0.409743,0.513170,0.404268,0.574328,0.372096
5000,0.004977,0.459232,0.382659,0.500586,0.276669,0.848249,0.445929,0.549558,0.300282,0.652852,0.429682,0.675652,0.366890,0.924089,0.474346,0.670052,0.329866,0.716526,0.398013,0.575631,0.332898,0.791547,0.407521,0.702637,0.336994,0.623833,0.401951,0.478841,0.351584,0.713159,0.453950,0.634742,0.340319,0.613816,0.411439,0.445755,0.359835,0.584225,0.396618,0.599853,0.337678,0.562722,0.449127,0.438864,0.407902,0.517359,0.402595,0.576923,0.368318
5200,0.004472,0.458683,0.381066,0.503351,0.274335,0.861932,0.444957,0.550950,0.296222,0.653256,0.426836,0.681789,0.364862,0.941743,0.474826,0.673446,0.326600,0.723298,0.395539,0.582450,0.331068,0.802158,0.404896,0.707058,0.333586,0.625561,0.398733,0.482282,0.350095,0.720115,0.451536,0.637928,0.337346,0.616550,0.409202,0.447342,0.358560,0.588576,0.394027,0.602990,0.333952,0.563685,0.447514,0.438777,0.406397,0.520790,0.400712,0.579752,0.365367
5400,0.004018,0.457616,0.379229,0.505530,0.272042,0.874726,0.443209,0.554043,0.293092,0.655217,0.425170,0.687846,0.363401,0.957936,0.474631,0.676484,0.323438,0.729191,0.392887,0.587765,0.329304,0.812764,0.402504,0.708771,0.330015,0.628580,0.396955,0.485240,0.348841,0.726140,0.449501,0.640284,0.334125,0.618632,0.406915,0.449233,0.357383,0.591419,0.390882,0.605826,0.330693,0.565097,0.446380,0.438696,0.404979,0.523492,0.398489,0.581373,0.362231
5600,0.003611,0.456979,0.377975,0.506728,0.269917,0.885807,0.441948,0.556571,0.290254,0.656271,0.423393,0.693382,0.362230,0.972949,0.475003,0.678874,0.320628,0.734396,0.390739,0.592472,0.327714,0.822523,0.400057,0.712037,0.327369,0.631075,0.394984,0.487923,0.347373,0.731107,0.447232,0.641801,0.331600,0.620332,0.404588,0.450751,0.356149,0.595224,0.388346,0.607755,0.327639,0.566072,0.445258,0.439305,0.404225,0.526519,0.397001,0.582140,0.359162
5800,0.003244,0.456234,0.376752,0.506969,0.267693,0.895664,0.440889,0.558243,0.287500,0.657308,0.422026,0.697185,0.360574,0.986100,0.474723,0.680253,0.318035,0.740284,0.389027,0.596902,0.326160,0.831118,0.397954,0.714039,0.324645,0.633888,0.393766,0.490229,0.345896,0.736125,0.445572,0.643413,0.329066,0.622898,0.403326,0.452300,0.355275,0.598590,0.386135,0.609558,0.324604,0.567072,0.444489,0.439599,0.403416,0.529245,0.395654,0.583687,0.356315
6000,0.002915,0.455928,0.375823,0.507408,0.265870,0.904206,0.439792,0.558968,0.285077,0.658046,0.420368,0.700437,0.359252,0.997150,0.474064,0.681956,0.315906,0.744554,0.387274,0.601309,0.324647,0.838869,0.396386,0.716316,0.322280,0.635107,0.391813,0.492621,0.344878,0.740442,0.443714,0.645114,0.326716,0.624647,0.401980,0.453608,0.354374,0.601505,0.384221,0.611292,0.322026,0.568079,0.443736,0.440082,0.402865,0.531623,0.394655,0.585613,0.354479
6200,0.002619,0.455095,0.374665,0.507553,0.264187,0.910929,0.438023,0.559955,0.282791,0.658788,0.418896,0.704029,0.358270,1.008196,0.473905,0.683366,0.313990,0.748117,0.385712,0.605112,0.323632,0.846257,0.394999,0.718307,0.320294,0.637096,0.390738,0.494563,0.344156,0.744716,0.442275,0.646194,0.324766,0.626401,0.400972,0.455051,0.353811,0.604045,0.382612,0.612884,0.319988,0.568904,0.443056,0.440146,0.401987,0.533761,0.393470,0.586949,0.352673
6400,0.002354,0.454431,0.373734,0.507729,0.262684,0.917155,0.436501,0.560696,0.280909,0.659259,0.417750,0.707981,0.357781,1.018009,0.474123,0.684815,0.312330,0.750964,0.384155,0.607761,0.322521,0.852206,0.393262,0.720083,0.318475,0.637467,0.388743,0.496792,0.343745,0.748250,0.441176,0.647112,0.322888,0.627639,0.399803,0.456210,0.353262,0.606693,0.381286,0.614735,0.318195,0.569867,0.442672,0.440621,0.401671,0.535553,0.392243,0.587471,0.350699
6600,0.002115,0.453832,0.372829,0.507660,0.261410,0.923067,0.435567,0.561705,0.279321,0.659803,0.416725,0.710451,0.356864,1.026777,0.473907,0.686150,0.310904,0.753977,0.383000,0.610700,0.321761,0.857378,0.391534,0.721650,0.316823,0.639406,0.387988,0.498673,0.343079,0.750739,0.440039,0.647560,0.321258,0.629062,0.398808,0.457182,0.352621,0.608874,0.380085,0.615869,0.316529,0.570389,0.441949,0.440664,0.400972,0.537356,0.391507,0.588033,0.348966
6800,0.001900,0.453144,0.371971,0.507318,0.260212,0.927973,0.434653,0.562376,0.277818,0.660346,0.415953,0.712423,0.355998,1.033836,0.473859,0.687257,0.309593,0.756894,0.382062,0.612792,0.320798,0.862129,0.390247,0.722760,0.315360,0.640463,0.386948,0.500233,0.342502,0.752525,0.438529,0.648612,0.320036,0.630350,0.397990,0.458063,0.352209,0.610694,0.378970,0.617397,0.315216,0.571147,0.441656,0.440970,0.400615,0.538793,0.390846,0.588814,0.347389
7000,0.001707,0.452745,0.371399,0.507085,0.259175,0.932384,0.433790,0.563187,0.276493,0.660540,0.415130,0.714663,0.355547,1.040546,0.473808,0.688759,0.308685,0.759297,0.381158,0.615036,0.320144,0.865999,0.389009,0.723318,0.314015,0.641275,0.386025,0.501827,0.342226,0.755199,0.437767,0.649016,0.318813,0.631974,0.397563,0.459020,0.351886,0.612443,0.377893,0.618222,0.313857,0.571811,0.441231,0.441223,0.400365,0.539869,0.390048,0.589543,0.346046
7200,0.001534,0.452369,0.370907,0.506411,0.258138,0.935893,0.432831,0.563588,0.275230,0.661014,0.414575,0.716052,0.354763,1.046578,0.473789,0.689280,0.307544,0.761702,0.380400,0.616902,0.319512,0.869829,0.388084,0.724238,0.312876,0.642060,0.385246,0.503262,0.342017,0.757358,0.437063,0.649661,0.317720,0.632440,0.396632,0.460142,0.351836,0.614467,0.377264,0.619372,0.312832,0.572227,0.440827,0.441343,0.399899,0.541027,0.389428,0.589830,0.344936
7400,0.001378,0.451962,0.370366,0.505690,0.257203,0.939019,0.431834,0.564216,0.274286,0.660824,0.413698,0.717139,0.354104,1.051696,0.473239,0.689845,0.306625,0.763665,0.379618,0.618722,0.319014,0.873372,0.387367,0.724990,0.311885,0.643218,0.384841,0.504420,0.341614,0.758658,0.436058,0.650096,0.316678,0.633462,0.396222,0.460883,0.351492,0.615815,0.376552,0.619830,0.311778,0.572417,0.440263,0.441773,0.399803,0.542270,0.388915,0.590227,0.343940
7600,0.001239,0.451460,0.369838,0.504798,0.256232,0.941936,0.431139,0.564761,0.273377,0.661179,0.413149,0.718674,0.353721,1.056470,0.473039,0.690703,0.305851,0.765236,0.378859,0.620224,0.318495,0.875879,0.386376,0.725468,0.310863,0.643427,0.383981,0.505320,0.341219,0.760166,0.435346,0.649934,0.315582,0.634417,0.395804,0.461720,0.351421,0.617075,0.375765,0.620383,0.310742,0.572494,0.439780,0.441725,0.399336,0.543454,0.388362,0.590604,0.342911
7800,0.001113,0.451123,0.369433,0.504238,0.255453,0.943888,0.430024,0.565076,0.272454,0.661523,0.412745,0.719745,0.353176,1.061102,0.473098,0.691233,0.304968,0.766619,0.378074,0.621848,0.318109,0.878868,0.385700,0.726278,0.310098,0.644156,0.383433,0.506359,0.340987,0.761973,0.434833,0.650367,0.314738,0.634826,0.395182,0.462370,0.351221,0.618166,0.375024,0.621006,0.309899,0.572666,0.439295,0.442212,0.399356,0.544455,0.387976,0.590947,0.342010
8000,0.001000,0.450796,0.369044,0.503581,0.254643,0.945738,0.429104,0.565197,0.271528,0.661719,0.412241,0.720824,0.352697,1.065467,0.472996,0.691276,0.304035,0.768414,0.377563,0.623359,0.317785,0.881681,0.385072,0.727404,0.309481,0.645023,0.382964,0.507304,0.340768,0.763582,0.434204,0.650670,0.313897,0.635456,0.394742,0.462772,0.350854,0.619258,0.374305,0.621548,0.309003,0.573049,0.438973,0.442530,0.399218,0.545705,0.387723,0.591312,0.341191
