step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lm_g_L0,lm_g_L1,lm_g_L2,lm_g_L3,lm_g_L4,lm_g_L5,lm_beta_L0,lm_beta_L1,lm_beta_L2,lm_beta_L3,lm_beta_L4,lm_beta_L5,lm_gamma_L0,lm_gamma_L1,lm_gamma_L2,lm_gamma_L3,lm_gamma_L4,lm_gamma_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
10500,4.029459,1.235845,14.063554,23.006235,25.069967,25.592884,27.523497,27.139147,0.713717,1.172254,1.277470,1.305183,1.403646,1.383793,15.580467,19.663260,18.421062,19.278294,22.749790,21.301903,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.03016007,2.78594804,3.30861473,3.27659512,3.24062920,2.47929001,4.26902533,4.17552710,3.68946671,3.58070207,3.99848342,2.18850064,4.16496784e-02,2.35320721e-02,4.22548130e-02,4.44936529e-02,4.36210744e-02,4.64048684e-02,4.95915897e-02
11000,3.974448,1.232089,14.050407,23.092041,25.185308,25.728249,27.699703,27.307772,0.713030,1.176564,1.283301,1.312073,1.412617,1.392374,15.540522,19.660704,18.413340,19.287071,22.798157,21.346481,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.02846992,2.80366349,3.32640815,3.31045175,3.26394224,2.46409750,4.28518105,4.23542309,3.76686621,3.70572114,4.14832544,2.25365472,4.21097468e-02,2.36584228e-02,4.26719002e-02,4.49832119e-02,4.41041626e-02,4.69676405e-02,5.02731428e-02
11500,3.965014,1.227512,14.039877,23.168245,25.280090,25.848650,27.851431,27.463539,0.712523,1.180396,1.288084,1.318198,1.420351,1.400302,15.522009,19.662317,18.410002,19.294718,22.843584,21.384562,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.02705836,2.82300448,3.34043860,3.34374619,3.27544522,2.45746970,4.29448557,4.28031683,3.83767009,3.81695008,4.28394318,2.30751467,4.24715175e-02,2.37464234e-02,4.29973453e-02,4.53548543e-02,4.44872491e-02,4.74111624e-02,5.08320704e-02
12000,3.962889,1.225025,14.036918,23.215439,25.356070,25.950533,27.981352,27.592772,0.712366,1.182763,1.291913,1.323380,1.426969,1.406882,15.503567,19.660494,18.407932,19.306005,22.883112,21.418566,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.02638996,2.82514501,3.34335566,3.36375117,3.27989936,2.44427896,4.30151320,4.32733679,3.90323853,3.92357349,4.40818977,2.36340070,4.27489523e-02,2.38256417e-02,4.32378463e-02,4.56428826e-02,4.47810814e-02,4.77492027e-02,5.12570590e-02
12500,3.940850,1.222336,14.032345,23.258387,25.421064,26.044500,28.097969,27.710005,0.712165,1.184919,1.295196,1.328165,1.432911,1.412850,15.493625,19.659075,18.408903,19.316633,22.917763,21.450682,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.02626967,2.83099389,3.34725380,3.39484549,3.29145098,2.43711162,4.30368328,4.35906553,3.95556092,4.00696993,4.52037334,2.41206503,4.29603122e-02,2.38849744e-02,4.34125587e-02,4.58543785e-02,4.49999422e-02,4.80162129e-02,5.15938066e-02
13000,3.928311,1.219832,14.031584,23.299746,25.485432,26.126451,28.202885,27.812243,0.712120,1.186998,1.298446,1.332338,1.438257,1.418056,15.480320,19.654465,18.409412,19.327276,22.947683,21.477900,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.02608240,2.83853126,3.35865617,3.42192340,3.30757761,2.43011093,4.31063557,4.38821220,3.99396873,4.08090830,4.61526251,2.45564795,4.31189767e-02,2.39181146e-02,4.35392037e-02,4.60100509e-02,4.51657847e-02,4.82242554e-02,5.18564507e-02
13500,3.924465,1.217398,14.034272,23.336111,25.538744,26.196966,28.289408,27.898249,0.712233,1.188824,1.301140,1.335928,1.442660,1.422433,15.472240,19.653194,18.410475,19.334074,22.972950,21.500584,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.02637923,2.84884739,3.37257814,3.44613051,3.31388092,2.42162013,4.31262350,4.40567207,4.02156973,4.14528131,4.70028305,2.49563646,4.32346277e-02,2.39402354e-02,4.36245836e-02,4.61184010e-02,4.52898629e-02,4.83775586e-02,5.20571247e-02
14000,3.905549,1.214872,14.030989,23.369757,25.585073,26.256727,28.367361,27.973078,0.712074,1.190512,1.303482,1.338969,1.446632,1.426243,15.467693,19.653635,18.409479,19.340149,22.994169,21.521711,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.02577484,2.85765386,3.38616872,3.46667624,3.32611275,2.41466451,4.31745386,4.42469168,4.05052662,4.20279932,4.77532148,2.53238821,4.33217349e-02,2.39495188e-02,4.36792560e-02,4.62008715e-02,4.53812368e-02,4.85004708e-02,5.22190556e-02
14500,3.893274,1.213313,14.019265,23.391870,25.622116,26.309593,28.433222,28.038160,0.711479,1.191620,1.305349,1.341659,1.449988,1.429560,15.462749,19.653728,18.410990,19.346273,23.013266,21.540403,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.02413690,2.86095786,3.39212441,3.48620582,3.33296132,2.40922070,4.32605171,4.43816328,4.07700872,4.25180531,4.83873940,2.56406426,4.33888944e-02,2.39573270e-02,4.37232926e-02,4.62627560e-02,4.54511568e-02,4.85942774e-02,5.23445569e-02
15000,3.896709,1.212386,14.017831,23.415810,25.653347,26.357450,28.494583,28.098656,0.711392,1.192823,1.306924,1.344093,1.453116,1.432638,15.455598,19.652927,18.411999,19.353350,23.030588,21.556206,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.02414358,2.86766505,3.39665985,3.50590515,3.34543061,2.40653419,4.32674789,4.44808102,4.09832239,4.29132462,4.89580202,2.59186840,4.34455207e-02,2.39602402e-02,4.37552482e-02,4.63132113e-02,4.55101579e-02,4.86749448e-02,5.24593219e-02
15500,3.887742,1.210654,14.020920,23.439798,25.682535,26.400749,28.549416,28.154215,0.711550,1.194027,1.308398,1.346298,1.455909,1.435468,15.455229,19.651703,18.413689,19.360384,23.047953,21.570908,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.02455747,2.87362051,3.40351677,3.52290606,3.35514498,2.40430117,4.32492399,4.45442963,4.11438608,4.32974243,4.95129490,2.61743617,4.34933693e-02,2.39608083e-02,4.37825732e-02,4.63552102e-02,4.55586016e-02,4.87438068e-02,5.25592156e-02
16000,3.884105,1.210356,14.015688,23.456663,25.710114,26.440729,28.602278,28.207771,0.711298,1.194871,1.309786,1.348333,1.458604,1.438196,15.458031,19.651953,18.416204,19.366430,23.062801,21.584902,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.02355134,2.87661624,3.40861392,3.53742766,3.36522937,2.40397215,4.32927036,4.46290350,4.13124943,4.37067795,5.00434208,2.64188552,4.35381423e-02,2.39634868e-02,4.38091420e-02,4.63933423e-02,4.56010550e-02,4.88088168e-02,5.26530109e-02
