step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5
29000,3.649240,1.157841,19.661636,19.548536,19.613630,19.571201,19.504480,18.706289,1.003022,0.996658,0.999772,0.997636,0.994257,0.952585,9.268777,15.715838,21.333763,19.772182,19.485956,24.117323
29500,3.636017,1.156272,19.661625,19.547729,19.613102,19.570555,19.503504,18.698420,1.003020,0.996609,0.999724,0.997596,0.994200,0.952165,9.260316,15.711525,21.359823,19.797613,19.508831,24.156637
30000,3.622861,1.155710,19.661999,19.546829,19.613024,19.570116,19.503798,18.691273,1.003040,0.996561,0.999719,0.997564,0.994216,0.951777,9.255289,15.705140,21.390215,19.816725,19.533104,24.199480
30500,3.631815,1.153994,19.662468,19.546665,19.613050,19.569605,19.503027,18.684387,1.003061,0.996548,0.999709,0.997519,0.994163,0.951401,9.254338,15.699103,21.417267,19.835793,19.556957,24.238287
31000,3.618397,1.153751,19.662800,19.546093,19.613369,19.568727,19.501297,18.678040,1.003077,0.996515,0.999724,0.997470,0.994064,0.951055,9.250092,15.695581,21.444811,19.855593,19.584503,24.280087
31500,3.618141,1.152661,19.663389,19.545168,19.613087,19.567863,19.499666,18.671774,1.003106,0.996463,0.999699,0.997415,0.993969,0.950716,9.245866,15.690722,21.472151,19.879766,19.607159,24.321629
32000,3.614742,1.151254,19.662838,19.544312,19.612951,19.567383,19.499586,18.666275,1.003071,0.996413,0.999682,0.997381,0.993956,0.950416,9.247584,15.688391,21.497747,19.897308,19.631880,24.360680
32500,3.605365,1.150692,19.662846,19.543900,19.613155,19.567003,19.499025,18.661915,1.003074,0.996381,0.999695,0.997357,0.993926,0.950180,9.249104,15.686551,21.523598,19.916073,19.655476,24.397316
33000,3.589579,1.150175,19.662947,19.543806,19.613297,19.566828,19.498318,18.656313,1.003074,0.996374,0.999697,0.997344,0.993880,0.949881,9.248899,15.683047,21.550507,19.940424,19.680040,24.434122
33500,3.580208,1.149682,19.662714,19.544138,19.612947,19.567944,19.496946,18.651249,1.003063,0.996386,0.999669,0.997392,0.993795,0.949613,9.254508,15.683329,21.572405,19.961542,19.702755,24.470203
34000,3.580061,1.148687,19.662691,19.543716,19.613482,19.566813,19.496410,18.647120,1.003061,0.996367,0.999700,0.997330,0.993758,0.949382,9.260527,15.685509,21.600672,19.984283,19.727230,24.505522
34500,3.573653,1.147669,19.663137,19.543528,19.613359,19.567499,19.496077,18.641567,1.003083,0.996351,0.999682,0.997360,0.993736,0.949080,9.263820,15.687344,21.624887,20.003595,19.750780,24.539303
35000,3.580329,1.147030,19.663389,19.543802,19.613394,19.566536,19.495630,18.638739,1.003098,0.996362,0.999684,0.997304,0.993713,0.948926,9.268750,15.687888,21.649889,20.026804,19.772718,24.570431
35500,3.571658,1.146533,19.663597,19.543552,19.613150,19.566467,19.495043,18.634396,1.003108,0.996345,0.999670,0.997294,0.993680,0.948690,9.279475,15.688929,21.675737,20.044176,19.794630,24.601940
36000,3.566487,1.145553,19.664074,19.543650,19.613207,19.566549,19.494452,18.631298,1.003132,0.996349,0.999665,0.997297,0.993644,0.948520,9.287147,15.692673,21.697153,20.064703,19.817347,24.630913
36500,3.581269,1.144558,19.664280,19.542976,19.612968,19.565996,19.493887,18.628181,1.003141,0.996314,0.999651,0.997263,0.993605,0.948346,9.292784,15.693900,21.721340,20.084036,19.838600,24.662722
37000,3.550011,1.144489,19.664110,19.543306,19.613058,19.565767,19.493616,18.625032,1.003131,0.996331,0.999648,0.997247,0.993588,0.948175,9.299592,15.695909,21.741507,20.102200,19.857405,24.691923
37500,3.561445,1.143741,19.664206,19.542845,19.613354,19.565886,19.493818,18.622555,1.003135,0.996299,0.999661,0.997255,0.993597,0.948040,9.309413,15.700399,21.761549,20.117836,19.876842,24.718807
38000,3.550835,1.142631,19.664103,19.542503,19.613102,19.565685,19.493130,18.619259,1.003127,0.996281,0.999648,0.997240,0.993556,0.947864,9.317456,15.701749,21.783321,20.136618,19.896719,24.745445
38500,3.542855,1.142058,19.664228,19.542385,19.612984,19.565596,19.492647,18.616541,1.003133,0.996270,0.999637,0.997230,0.993527,0.947717,9.324899,15.704007,21.803146,20.152945,19.914833,24.771015
39000,3.531054,1.141967,19.664148,19.542654,19.613291,19.565374,19.491903,18.614780,1.003130,0.996285,0.999652,0.997218,0.993477,0.947619,9.333786,15.708945,21.822517,20.171518,19.933502,24.795637
39500,3.531219,1.141630,19.664303,19.542646,19.613274,19.565275,19.491629,18.612200,1.003137,0.996280,0.999650,0.997210,0.993463,0.947477,9.343065,15.712448,21.841213,20.186655,19.951115,24.820728
40000,3.536690,1.141021,19.664320,19.542736,19.613611,19.565031,19.491413,18.610052,1.003138,0.996288,0.999664,0.997195,0.993451,0.947364,9.348281,15.716897,21.859577,20.204155,19.967070,24.842010
40500,3.517839,1.140460,19.663975,19.542486,19.613201,19.564863,19.491720,18.607967,1.003121,0.996270,0.999643,0.997186,0.993468,0.947250,9.358968,15.719712,21.878614,20.219231,19.984001,24.863888
41000,3.524140,1.139548,19.663979,19.542368,19.613155,19.565048,19.491117,18.606617,1.003121,0.996263,0.999638,0.997192,0.993435,0.947176,9.369332,15.724452,21.895744,20.234335,20.000305,24.884069
41500,3.541619,1.139073,19.663862,19.542532,19.613235,19.564747,19.490812,18.604528,1.003115,0.996275,0.999643,0.997173,0.993413,0.947060,9.375868,15.727885,21.911860,20.247272,20.015545,24.904512
42000,3.512389,1.138738,19.663712,19.542652,19.613068,19.564552,19.490448,18.603094,1.003107,0.996278,0.999630,0.997162,0.993392,0.946981,9.384093,15.731479,21.926504,20.261917,20.029451,24.924244
42500,3.509612,1.138059,19.663778,19.542307,19.613100,19.564266,19.490522,18.601820,1.003110,0.996259,0.999630,0.997146,0.993395,0.946912,9.393565,15.736317,21.941366,20.273794,20.043676,24.941305
43000,3.527402,1.137987,19.663698,19.542259,19.612923,19.564363,19.490297,18.600441,1.003105,0.996255,0.999620,0.997150,0.993384,0.946838,9.400771,15.739403,21.956024,20.285812,20.058067,24.959425
43500,3.506407,1.137927,19.663830,19.542185,19.613001,19.564629,19.490078,18.598639,1.003111,0.996249,0.999622,0.997166,0.993369,0.946742,9.407868,15.741556,21.970715,20.298326,20.071228,24.976065
44000,3.498846,1.137683,19.663958,19.542324,19.612989,19.564753,19.489319,18.597805,1.003116,0.996257,0.999621,0.997168,0.993323,0.946696,9.416132,15.745294,21.982855,20.310581,20.082766,24.992678
44500,3.510435,1.137418,19.663883,19.542206,19.613199,19.564447,19.489216,18.596699,1.003112,0.996251,0.999634,0.997152,0.993315,0.946635,9.423862,15.749200,21.997272,20.321428,20.095430,25.009508
45000,3.494712,1.137328,19.663824,19.542324,19.612991,19.564419,19.488844,18.595272,1.003108,0.996257,0.999619,0.997148,0.993295,0.946558,9.431376,15.753009,22.009058,20.333916,20.107929,25.024433
45500,3.487747,1.137141,19.663837,19.542488,19.613010,19.564402,19.489071,18.594185,1.003111,0.996263,0.999620,0.997146,0.993307,0.946498,9.438107,15.756912,22.022316,20.345589,20.118782,25.039896
46000,3.504777,1.136857,19.663876,19.542475,19.612791,19.564480,19.489246,18.593279,1.003114,0.996261,0.999607,0.997149,0.993316,0.946448,9.446609,15.760295,22.034128,20.356960,20.130249,25.053495
46500,3.492584,1.136676,19.663799,19.542461,19.612928,19.564440,19.488914,18.592083,1.003108,0.996263,0.999615,0.997147,0.993297,0.946382,9.453835,15.764016,22.047068,20.366842,20.142094,25.068005
47000,3.500262,1.136782,19.663778,19.542618,19.612844,19.564283,19.488680,18.591198,1.003107,0.996269,0.999610,0.997136,0.993283,0.946333,9.459741,15.767612,22.058954,20.377232,20.153551,25.082500
47500,3.493156,1.136756,19.663710,19.542429,19.613064,19.564226,19.488689,18.590248,1.003103,0.996260,0.999618,0.997131,0.993282,0.946281,9.467191,15.771457,22.070208,20.387241,20.164015,25.096474
48000,3.492052,1.136588,19.663704,19.542578,19.613047,19.564020,19.488642,18.589487,1.003102,0.996265,0.999618,0.997122,0.993281,0.946238,9.473571,15.775313,22.081486,20.396605,20.175312,25.109827
