step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,final_residual_lut.T_soft,final_residual_lut.T_sel
2400,0.530656,0.548842,0.393610,0.382083,0.387844,0.337763,0.750917,0.648592,0.542638,0.430987,0.480603,0.378505,0.751537,0.633304,0.519254,0.416988,0.587943,0.501539,0.755704,0.621168,0.512217,0.430836,0.641839,0.576366,0.739375,0.625869,0.558929,0.494827,0.757883,0.716078,0.766034,0.645395,0.542924,0.431997,0.620180,0.557767,0.738055,0.512746
2600,0.533154,0.551785,0.396458,0.380645,0.398031,0.333837,0.765377,0.648773,0.561192,0.434541,0.498726,0.379146,0.768819,0.632879,0.531755,0.414461,0.599818,0.501069,0.778278,0.619182,0.516911,0.424530,0.646635,0.572115,0.755505,0.621702,0.562769,0.491251,0.780741,0.730630,0.785437,0.642951,0.549519,0.426035,0.626895,0.554529,0.752718,0.503658
2800,0.536377,0.555270,0.398429,0.379245,0.407360,0.329806,0.780223,0.649361,0.578419,0.437813,0.517582,0.379997,0.784149,0.631107,0.543392,0.412801,0.614177,0.502831,0.796918,0.615521,0.523315,0.419419,0.651764,0.568577,0.772835,0.618894,0.566437,0.487775,0.802323,0.743713,0.799661,0.637414,0.558434,0.421184,0.633465,0.551183,0.766270,0.493676
3000,0.537765,0.557097,0.400461,0.377861,0.417890,0.327122,0.792075,0.648086,0.595777,0.441534,0.534733,0.380987,0.800305,0.630099,0.556483,0.411027,0.625874,0.502288,0.816536,0.611101,0.530474,0.415948,0.655276,0.564124,0.785550,0.614452,0.568669,0.482891,0.820782,0.752610,0.814251,0.632999,0.566517,0.417741,0.641074,0.549550,0.778153,0.483768
3200,0.538300,0.558265,0.402872,0.376838,0.429317,0.324709,0.801844,0.646038,0.613146,0.443580,0.552759,0.380099,0.814211,0.628062,0.571742,0.411210,0.638551,0.502900,0.835160,0.604026,0.538044,0.412302,0.659685,0.559949,0.797020,0.607608,0.571671,0.478438,0.840640,0.762306,0.823234,0.624056,0.575239,0.413941,0.646718,0.545474,0.791377,0.473073
3400,0.539181,0.559200,0.406944,0.376983,0.440511,0.322743,0.812281,0.644840,0.627443,0.445080,0.570000,0.380678,0.824048,0.623708,0.585758,0.410099,0.651155,0.502871,0.853088,0.597399,0.545109,0.408195,0.662656,0.554887,0.809376,0.603379,0.573190,0.474035,0.856813,0.768963,0.834848,0.617963,0.582498,0.410084,0.650588,0.540422,0.802364,0.462985
3600,0.538179,0.558465,0.409601,0.376217,0.450690,0.320587,0.819305,0.642024,0.641886,0.446431,0.586612,0.380558,0.834277,0.619563,0.598161,0.409119,0.663158,0.502703,0.870290,0.591003,0.552376,0.404116,0.664466,0.548533,0.820849,0.597762,0.575414,0.469785,0.874780,0.777058,0.842029,0.609010,0.590431,0.406856,0.656187,0.536733,0.812640,0.453513
3800,0.539276,0.560111,0.411776,0.375311,0.459695,0.318143,0.827163,0.640049,0.657578,0.449145,0.602615,0.380800,0.842698,0.614742,0.610046,0.408216,0.673777,0.502134,0.884988,0.583797,0.561056,0.402314,0.667806,0.543739,0.828839,0.591573,0.577042,0.464959,0.887608,0.780641,0.851487,0.603212,0.598423,0.403886,0.659639,0.531500,0.821443,0.444058
4000,0.538220,0.559304,0.414288,0.374798,0.468388,0.315891,0.833149,0.638085,0.668876,0.449309,0.618778,0.380928,0.850279,0.610744,0.622569,0.408042,0.683873,0.501512,0.897768,0.576306,0.569342,0.400114,0.670194,0.538517,0.835903,0.585352,0.579402,0.461057,0.901034,0.784578,0.859448,0.596557,0.606389,0.401778,0.665112,0.528444,0.831193,0.435493
4200,0.539042,0.560400,0.416687,0.374561,0.476249,0.313801,0.836748,0.634189,0.680922,0.450238,0.632714,0.380023,0.855915,0.605933,0.632280,0.406427,0.692426,0.499944,0.909277,0.568197,0.576612,0.397532,0.672465,0.533636,0.843561,0.579950,0.580259,0.456954,0.911028,0.785998,0.864385,0.589183,0.613572,0.399377,0.670891,0.525516,0.839653,0.427554
4400,0.537289,0.559113,0.418621,0.374205,0.484109,0.312230,0.842408,0.631760,0.690830,0.450705,0.647394,0.379864,0.863272,0.602386,0.642535,0.405052,0.702071,0.498888,0.922282,0.561967,0.583992,0.395600,0.673081,0.527990,0.848302,0.573785,0.582097,0.452972,0.919367,0.785847,0.868223,0.581676,0.621187,0.397091,0.674488,0.521153,0.848874,0.419624
4600,0.538047,0.560064,0.420242,0.373722,0.490275,0.310035,0.844593,0.627718,0.698919,0.449508,0.659523,0.378710,0.867859,0.597651,0.651220,0.404406,0.709561,0.497843,0.932701,0.555441,0.590646,0.394302,0.674965,0.523914,0.853399,0.568228,0.583046,0.449272,0.927579,0.785926,0.871576,0.575014,0.628921,0.395569,0.679164,0.518166,0.857646,0.412430
4800,0.536839,0.559257,0.421542,0.373089,0.495936,0.308110,0.846840,0.624794,0.707285,0.449501,0.670819,0.378135,0.872097,0.593855,0.660489,0.404016,0.716641,0.496450,0.942490,0.549726,0.597622,0.393010,0.676711,0.519581,0.858822,0.563528,0.584031,0.445496,0.932951,0.783939,0.875227,0.569611,0.634301,0.393447,0.682007,0.514492,0.865721,0.405838
5000,0.535520,0.557818,0.422528,0.372431,0.500175,0.305624,0.850073,0.622735,0.714303,0.449006,0.681627,0.377523,0.876741,0.590891,0.667532,0.402819,0.722580,0.495389,0.950363,0.543529,0.604141,0.391467,0.677410,0.514754,0.860521,0.557678,0.583854,0.440980,0.937015,0.780957,0.877811,0.564017,0.640446,0.391481,0.685456,0.511306,0.872274,0.399551
5200,0.535104,0.557643,0.423327,0.371853,0.502151,0.302992,0.851438,0.619689,0.721211,0.448727,0.692156,0.376908,0.878806,0.586982,0.675186,0.402636,0.729432,0.494344,0.958337,0.538312,0.610496,0.390692,0.678488,0.511259,0.862978,0.552953,0.585106,0.438309,0.940646,0.779253,0.878865,0.558125,0.646228,0.390800,0.689440,0.509737,0.879674,0.394242
5400,0.534591,0.557567,0.423061,0.370830,0.504186,0.300658,0.852385,0.616919,0.726364,0.448270,0.701168,0.376395,0.881076,0.583733,0.681388,0.401986,0.734749,0.493076,0.965984,0.533810,0.616372,0.390236,0.679531,0.507698,0.866080,0.549019,0.586463,0.435855,0.944041,0.776880,0.880873,0.553267,0.651721,0.389552,0.691955,0.506676,0.885158,0.389330
5600,0.533223,0.556521,0.423162,0.370028,0.506546,0.298921,0.852349,0.614080,0.731467,0.448156,0.710055,0.375501,0.883117,0.580709,0.687359,0.401337,0.739125,0.491564,0.972001,0.529156,0.621808,0.389608,0.679951,0.504075,0.868133,0.545095,0.587629,0.433626,0.946207,0.774138,0.881674,0.548503,0.655466,0.387966,0.692879,0.503242,0.890448,0.384854
5800,0.533328,0.556751,0.423382,0.369518,0.506694,0.296576,0.852837,0.611987,0.735678,0.447509,0.717103,0.374859,0.885781,0.578574,0.693293,0.401224,0.743675,0.490731,0.978162,0.525642,0.627010,0.388993,0.680552,0.500652,0.871161,0.542124,0.587262,0.430716,0.944999,0.769591,0.884195,0.544888,0.659814,0.387227,0.694868,0.500844,0.895505,0.380577
6000,0.532535,0.556168,0.422882,0.368697,0.506551,0.294579,0.853486,0.610215,0.738819,0.446926,0.723522,0.374257,0.886953,0.576128,0.698631,0.401232,0.747557,0.489964,0.982362,0.521546,0.631275,0.388226,0.680339,0.497342,0.871973,0.538556,0.587925,0.428570,0.945278,0.766143,0.884953,0.541254,0.663749,0.386539,0.696785,0.498703,0.900746,0.376596
6200,0.531701,0.555499,0.422545,0.367931,0.504871,0.292254,0.853436,0.608029,0.740944,0.446091,0.728567,0.372918,0.887868,0.573625,0.702618,0.400867,0.750898,0.488927,0.986324,0.517945,0.635832,0.388377,0.681281,0.495260,0.873325,0.535946,0.589617,0.427536,0.947658,0.765054,0.885398,0.537713,0.667466,0.386176,0.698814,0.497283,0.904996,0.373301
6400,0.530776,0.554733,0.422269,0.367360,0.503808,0.290493,0.852834,0.605894,0.743533,0.445806,0.733577,0.372641,0.888850,0.571453,0.706211,0.400589,0.753623,0.487718,0.989413,0.514701,0.638785,0.387798,0.680873,0.492600,0.874624,0.533254,0.589664,0.425910,0.947084,0.762249,0.885801,0.534761,0.670070,0.385523,0.699631,0.495447,0.908644,0.370367
6600,0.530537,0.554687,0.421887,0.366713,0.502321,0.288689,0.852268,0.604047,0.744443,0.444798,0.737388,0.371650,0.889969,0.569700,0.709433,0.400363,0.756376,0.486839,0.993260,0.512308,0.642429,0.387982,0.681876,0.490977,0.875871,0.530716,0.590195,0.424604,0.946500,0.759395,0.886185,0.532219,0.672538,0.384999,0.700273,0.493641,0.911851,0.367715
6800,0.530088,0.554393,0.421113,0.365947,0.500100,0.286877,0.851467,0.602306,0.745936,0.444377,0.741012,0.370989,0.890399,0.568188,0.712746,0.400268,0.758392,0.485899,0.996728,0.509963,0.645303,0.387825,0.682132,0.489058,0.876366,0.528502,0.590779,0.423391,0.945444,0.756536,0.886583,0.529959,0.675012,0.384607,0.700870,0.492031,0.914902,0.365369
7000,0.529575,0.554091,0.420664,0.365375,0.498035,0.285215,0.851059,0.601050,0.746935,0.443827,0.744020,0.370301,0.890827,0.566881,0.715911,0.400290,0.760258,0.485167,0.999404,0.508030,0.648102,0.387769,0.682452,0.487446,0.876723,0.526418,0.591019,0.422153,0.944428,0.754011,0.886733,0.527782,0.677722,0.384549,0.702138,0.491033,0.917591,0.363233
7200,0.529038,0.553649,0.420136,0.364822,0.496102,0.283744,0.850478,0.599685,0.747548,0.443222,0.746976,0.369843,0.890459,0.565168,0.718180,0.400277,0.762329,0.484721,1.001386,0.505954,0.650360,0.387551,0.682147,0.485751,0.876960,0.524552,0.591406,0.421205,0.943756,0.751823,0.886585,0.525781,0.679659,0.384244,0.702723,0.489899,0.919933,0.361401
7400,0.528432,0.553078,0.419507,0.364221,0.494206,0.282435,0.849487,0.598250,0.748107,0.442618,0.749424,0.369294,0.891562,0.564460,0.719846,0.399993,0.763521,0.483902,1.003364,0.504200,0.652271,0.387404,0.682277,0.484473,0.877966,0.523164,0.591779,0.420289,0.942885,0.749652,0.887099,0.524234,0.681678,0.384161,0.703319,0.488944,0.922187,0.359702
7600,0.528131,0.552830,0.419023,0.363731,0.492585,0.281272,0.849026,0.597237,0.748481,0.442133,0.751962,0.368986,0.891547,0.563270,0.721622,0.399905,0.764656,0.483297,1.005535,0.502651,0.654104,0.387237,0.681836,0.482922,0.878115,0.521752,0.592384,0.419642,0.942416,0.747948,0.886872,0.522548,0.683382,0.383937,0.703877,0.488006,0.923938,0.358213
7800,0.527632,0.552375,0.418443,0.363215,0.490621,0.280013,0.848856,0.596469,0.748991,0.441743,0.754022,0.368549,0.891524,0.562111,0.723312,0.399772,0.765980,0.482656,1.007460,0.501233,0.656129,0.387277,0.682010,0.481743,0.878848,0.520501,0.592846,0.418906,0.941696,0.746177,0.887211,0.521178,0.685007,0.383779,0.704581,0.487271,0.925663,0.356821
8000,0.527263,0.552118,0.417768,0.362605,0.488611,0.278794,0.848386,0.595507,0.748890,0.441099,0.755809,0.367991,0.891833,0.561216,0.725299,0.399894,0.767311,0.482223,1.009416,0.500029,0.658009,0.387329,0.682172,0.480703,0.879097,0.519265,0.593396,0.418348,0.941298,0.744691,0.887410,0.520002,0.686677,0.383662,0.705242,0.486509,0.927416,0.355449
