step,module,frac_flipped_vs_init,mean_max_softmax_w
600,L0.out_proj,0.005697,0.388717
600,L0.residual_lut,0.007487,0.431859
600,L1.qk_lut,0.004313,0.425191
600,L1.v_lut,0.004210,0.422183
600,L1.out_proj,0.005778,0.388635
600,L1.residual_lut,0.006836,0.424262
600,L2.qk_lut,0.004395,0.424435
600,L2.v_lut,0.003038,0.423952
600,L2.out_proj,0.002360,0.386298
600,L2.residual_lut,0.005208,0.417843
600,L3.qk_lut,0.003499,0.426386
600,L3.v_lut,0.004861,0.424819
600,L3.out_proj,0.004395,0.388141
600,L3.residual_lut,0.005208,0.429510
600,L4.qk_lut,0.003988,0.425475
600,L4.v_lut,0.003168,0.424013
600,L4.out_proj,0.002767,0.388411
600,L4.residual_lut,0.005859,0.421955
600,L5.qk_lut,0.003011,0.423572
600,L5.v_lut,0.002648,0.424653
600,L5.out_proj,0.002686,0.387432
600,L5.residual_lut,0.004232,0.419364
800,L0.qk_lut,0.010010,0.558739
800,L0.v_lut,0.008333,0.558924
800,L0.out_proj,0.010417,0.532581
800,L0.residual_lut,0.011393,0.568266
800,L1.qk_lut,0.006348,0.562818
800,L1.v_lut,0.007465,0.558813
800,L1.out_proj,0.011068,0.531904
800,L1.residual_lut,0.008789,0.559110
800,L2.qk_lut,0.006836,0.561358
800,L2.v_lut,0.006076,0.561013
800,L2.out_proj,0.006104,0.530605
800,L2.residual_lut,0.008464,0.551690
800,L3.qk_lut,0.006348,0.563949
800,L3.v_lut,0.007986,0.561429
800,L3.out_proj,0.006917,0.532316
800,L3.residual_lut,0.011068,0.566088
800,L4.qk_lut,0.006999,0.563059
800,L4.v_lut,0.005165,0.560933
800,L4.out_proj,0.004476,0.533291
800,L4.residual_lut,0.009766,0.555713
800,L5.qk_lut,0.005452,0.560755
800,L5.v_lut,0.005252,0.561837
800,L5.out_proj,0.005941,0.532012
800,L5.residual_lut,0.007161,0.555211
1000,L0.qk_lut,0.013346,0.672061
1000,L0.v_lut,0.011936,0.670714
1000,L0.out_proj,0.015951,0.653846
1000,L0.residual_lut,0.012044,0.680297
1000,L1.qk_lut,0.009359,0.677966
1000,L1.v_lut,0.011328,0.673247
1000,L1.out_proj,0.015299,0.652634
1000,L1.residual_lut,0.012370,0.671179
1000,L2.qk_lut,0.010091,0.675728
1000,L2.v_lut,0.008290,0.676074
1000,L2.out_proj,0.010173,0.653296
1000,L2.residual_lut,0.011393,0.663663
1000,L3.qk_lut,0.008789,0.679153
1000,L3.v_lut,0.011285,0.675908
1000,L3.out_proj,0.011556,0.655050
1000,L3.residual_lut,0.013021,0.678930
1000,L4.qk_lut,0.009440,0.678770
1000,L4.v_lut,0.007812,0.676124
1000,L4.out_proj,0.007568,0.656821
1000,L4.residual_lut,0.010742,0.666869
1000,L5.qk_lut,0.009359,0.676068
1000,L5.v_lut,0.009158,0.677296
1000,L5.out_proj,0.011149,0.655339
1000,L5.residual_lut,0.008138,0.669250
1200,L0.qk_lut,0.017008,0.758370
1200,L0.v_lut,0.014757,0.755117
1200,L0.out_proj,0.020182,0.745891
1200,L0.residual_lut,0.015299,0.764117
1200,L1.qk_lut,0.012533,0.765475
1200,L1.v_lut,0.013845,0.760734
1200,L1.out_proj,0.019368,0.744339
1200,L1.residual_lut,0.018229,0.756063
1200,L2.qk_lut,0.012288,0.762935
1200,L2.v_lut,0.010851,0.764043
1200,L2.out_proj,0.012126,0.746891
1200,L2.residual_lut,0.016276,0.749493
1200,L3.qk_lut,0.012207,0.766970
1200,L3.v_lut,0.014019,0.763436
1200,L3.out_proj,0.014567,0.749241
1200,L3.residual_lut,0.015299,0.763583
1200,L4.qk_lut,0.010824,0.767484
1200,L4.v_lut,0.010286,0.764337
1200,L4.out_proj,0.010335,0.751530
1200,L4.residual_lut,0.011719,0.751490
1200,L5.qk_lut,0.012451,0.764530
1200,L5.v_lut,0.010764,0.765817
1200,L5.out_proj,0.012777,0.749837
1200,L5.residual_lut,0.011393,0.756195
1400,L0.qk_lut,0.018880,0.821285
1400,L0.v_lut,0.017318,0.816026
1400,L0.out_proj,0.023519,0.812508
1400,L0.residual_lut,0.021810,0.823786
1400,L1.qk_lut,0.015218,0.829331
1400,L1.v_lut,0.016059,0.824936
1400,L1.out_proj,0.021647,0.811218
1400,L1.residual_lut,0.020182,0.817478
1400,L2.qk_lut,0.014486,0.826806
1400,L2.v_lut,0.013542,0.828478
1400,L2.out_proj,0.015788,0.814909
1400,L2.residual_lut,0.021810,0.812163
1400,L3.qk_lut,0.014323,0.831223
1400,L3.v_lut,0.016276,0.827613
1400,L3.out_proj,0.018148,0.817989
1400,L3.residual_lut,0.018880,0.824172
1400,L4.qk_lut,0.012777,0.832558
1400,L4.v_lut,0.011979,0.829057
1400,L4.out_proj,0.012044,0.820813
1400,L4.residual_lut,0.016927,0.813602
1400,L5.qk_lut,0.014323,0.829695
1400,L5.v_lut,0.012674,0.830845
1400,L5.out_proj,0.016439,0.818682
1400,L5.residual_lut,0.015625,0.819276
1600,L0.qk_lut,0.021240,0.866248
1600,L0.v_lut,0.020139,0.858853
1600,L0.out_proj,0.026286,0.860005
1600,L0.residual_lut,0.021810,0.865413
1600,L1.qk_lut,0.018148,0.874888
1600,L1.v_lut,0.018663,0.871369
1600,L1.out_proj,0.023926,0.859098
1600,L1.residual_lut,0.022786,0.860846
1600,L2.qk_lut,0.016276,0.872961
1600,L2.v_lut,0.016189,0.874954
1600,L2.out_proj,0.020345,0.863605
1600,L2.residual_lut,0.022135,0.856720
1600,L3.qk_lut,0.017334,0.877521
1600,L3.v_lut,0.019227,0.874089
1600,L3.out_proj,0.021240,0.867270
1600,L3.residual_lut,0.021159,0.866848
1600,L4.qk_lut,0.014974,0.879651
1600,L4.v_lut,0.013585,0.875876
1600,L4.out_proj,0.014404,0.870390
1600,L4.residual_lut,0.019206,0.858119
1600,L5.qk_lut,0.016683,0.876813
1600,L5.v_lut,0.014453,0.877753
1600,L5.out_proj,0.019206,0.868028
1600,L5.residual_lut,0.018229,0.863994
1800,L0.qk_lut,0.022786,0.898193
1800,L0.v_lut,0.021918,0.888429
1800,L0.out_proj,0.028890,0.893431
1800,L0.residual_lut,0.026693,0.893712
1800,L1.qk_lut,0.020101,0.907155
1800,L1.v_lut,0.021094,0.904552
1800,L1.out_proj,0.027669,0.893431
1800,L1.residual_lut,0.023112,0.890908
1800,L2.qk_lut,0.018636,0.906197
1800,L2.v_lut,0.017882,0.908174
1800,L2.out_proj,0.022542,0.897978
1800,L2.residual_lut,0.021159,0.887546
1800,L3.qk_lut,0.018555,0.910740
1800,L3.v_lut,0.020877,0.907412
1800,L3.out_proj,0.024007,0.902175
1800,L3.residual_lut,0.026367,0.895859
1800,L4.qk_lut,0.016439,0.913356
1800,L4.v_lut,0.014800,0.909541
1800,L4.out_proj,0.016764,0.905693
1800,L4.residual_lut,0.021159,0.888912
1800,L5.qk_lut,0.018473,0.910434
1800,L5.v_lut,0.016189,0.911327
1800,L5.out_proj,0.021891,0.903616
1800,L5.residual_lut,0.021159,0.894447
2000,L0.qk_lut,0.023519,0.920645
2000,L0.v_lut,0.022396,0.908848
2000,L0.out_proj,0.031169,0.916611
2000,L0.residual_lut,0.028971,0.912700
2000,L1.qk_lut,0.022298,0.930144
2000,L1.v_lut,0.022439,0.928031
2000,L1.out_proj,0.030518,0.917678
2000,L1.residual_lut,0.026693,0.911096
2000,L2.qk_lut,0.020915,0.929898
2000,L2.v_lut,0.019965,0.931697
2000,L2.out_proj,0.025716,0.922250
2000,L2.residual_lut,0.024414,0.908634
2000,L3.qk_lut,0.020671,0.934446
2000,L3.v_lut,0.022309,0.931269
2000,L3.out_proj,0.025716,0.926702
2000,L3.residual_lut,0.026693,0.915290
2000,L4.qk_lut,0.018555,0.937073
2000,L4.v_lut,0.016927,0.933798
2000,L4.out_proj,0.018880,0.930543
2000,L4.residual_lut,0.024414,0.909907
2000,L5.qk_lut,0.020426,0.934293
2000,L5.v_lut,0.018099,0.935265
2000,L5.out_proj,0.023275,0.929138
2000,L5.residual_lut,0.023438,0.915320
2200,L0.qk_lut,0.025635,0.936573
2200,L0.v_lut,0.025304,0.922455
2200,L0.out_proj,0.034342,0.932692
2200,L0.residual_lut,0.029622,0.924785
2200,L1.qk_lut,0.023600,0.946567
2200,L1.v_lut,0.023698,0.945002
2200,L1.out_proj,0.031657,0.934714
2200,L1.residual_lut,0.026042,0.923454
2200,L2.qk_lut,0.023438,0.946956
2200,L2.v_lut,0.021875,0.948407
2200,L2.out_proj,0.029622,0.939213
2200,L2.residual_lut,0.027995,0.922332
2200,L3.qk_lut,0.022380,0.951071
2200,L3.v_lut,0.023481,0.948357
2200,L3.out_proj,0.027344,0.944148
2200,L3.residual_lut,0.030273,0.927818
2200,L4.qk_lut,0.020508,0.953781
2200,L4.v_lut,0.018229,0.951169
2200,L4.out_proj,0.020589,0.948281
2200,L4.residual_lut,0.025716,0.923910
2200,L5.qk_lut,0.022380,0.951555
2200,L5.v_lut,0.019618,0.952564
2200,L5.out_proj,0.024170,0.947407
2200,L5.residual_lut,0.027995,0.929527
2400,L0.qk_lut,0.028076,0.947661
2400,L0.v_lut,0.027344,0.931225
2400,L0.out_proj,0.038818,0.943568
2400,L0.residual_lut,0.037109,0.932407
2400,L1.qk_lut,0.025553,0.958337
2400,L1.v_lut,0.025955,0.957174
2400,L1.out_proj,0.034912,0.946478
2400,L1.residual_lut,0.029297,0.931579
2400,L2.qk_lut,0.024251,0.958854
2400,L2.v_lut,0.024002,0.960346
2400,L2.out_proj,0.030924,0.950693
2400,L2.residual_lut,0.032227,0.931000
2400,L3.qk_lut,0.024414,0.962690
2400,L3.v_lut,0.025304,0.960772
2400,L3.out_proj,0.028402,0.956738
2400,L3.residual_lut,0.033854,0.935313
2400,L4.qk_lut,0.022380,0.965672
2400,L4.v_lut,0.019575,0.963717
2400,L4.out_proj,0.022217,0.960790
2400,L4.residual_lut,0.030599,0.932886
2400,L5.qk_lut,0.023682,0.963977
2400,L5.v_lut,0.022266,0.964952
2400,L5.out_proj,0.026204,0.960774
2400,L5.residual_lut,0.031576,0.937651
2600,L0.qk_lut,0.029541,0.943243
2600,L0.v_lut,0.028125,0.924576
2600,L0.out_proj,0.040527,0.938644
2600,L0.residual_lut,0.038086,0.924816
2600,L1.qk_lut,0.027832,0.956167
2600,L1.v_lut,0.028082,0.955008
2600,L1.out_proj,0.037598,0.941955
2600,L1.residual_lut,0.034505,0.924198
2600,L2.qk_lut,0.025146,0.956380
2600,L2.v_lut,0.024826,0.958449
2600,L2.out_proj,0.032633,0.947039
2600,L2.residual_lut,0.031901,0.922007
2600,L3.qk_lut,0.025798,0.961523
2600,L3.v_lut,0.027214,0.959584
2600,L3.out_proj,0.031413,0.954371
2600,L3.residual_lut,0.034505,0.927544
2600,L4.qk_lut,0.022624,0.964585
2600,L4.v_lut,0.020573,0.962857
2600,L4.out_proj,0.024251,0.959599
2600,L4.residual_lut,0.033854,0.924628
2600,L5.qk_lut,0.024984,0.963612
2600,L5.v_lut,0.022569,0.964227
2600,L5.out_proj,0.027588,0.960152
2600,L5.residual_lut,0.033854,0.929868
2800,L0.qk_lut,0.031494,0.940852
2800,L0.v_lut,0.028255,0.921665
2800,L0.out_proj,0.039632,0.934817
2800,L0.residual_lut,0.039062,0.920856
2800,L1.qk_lut,0.029215,0.954415
2800,L1.v_lut,0.029123,0.953154
2800,L1.out_proj,0.039225,0.939004
2800,L1.residual_lut,0.033203,0.918421
2800,L2.qk_lut,0.026611,0.954519
2800,L2.v_lut,0.026259,0.956737
2800,L2.out_proj,0.036051,0.944571
2800,L2.residual_lut,0.036133,0.917159
2800,L3.qk_lut,0.026693,0.959919
2800,L3.v_lut,0.028299,0.958397
2800,L3.out_proj,0.034180,0.952831
2800,L3.residual_lut,0.038411,0.922415
2800,L4.qk_lut,0.024007,0.963813
2800,L4.v_lut,0.022352,0.962194
2800,L4.out_proj,0.025716,0.958281
2800,L4.residual_lut,0.035156,0.919383
2800,L5.qk_lut,0.026774,0.963399
2800,L5.v_lut,0.023481,0.963847
2800,L5.out_proj,0.029541,0.959621
2800,L5.residual_lut,0.032552,0.925223
3000,L0.qk_lut,0.031250,0.939079
3000,L0.v_lut,0.028776,0.919929
3000,L0.out_proj,0.043050,0.932477
3000,L0.residual_lut,0.039388,0.918704
3000,L1.qk_lut,0.030924,0.953342
3000,L1.v_lut,0.030773,0.951867
3000,L1.out_proj,0.040934,0.936553
3000,L1.residual_lut,0.033854,0.916146
3000,L2.qk_lut,0.028483,0.953126
3000,L2.v_lut,0.027127,0.955496
3000,L2.out_proj,0.039144,0.942715
3000,L2.residual_lut,0.035156,0.914080
3000,L3.qk_lut,0.028809,0.958899
3000,L3.v_lut,0.028776,0.957570
3000,L3.out_proj,0.034749,0.951142
3000,L3.residual_lut,0.037760,0.919345
3000,L4.qk_lut,0.025228,0.962877
3000,L4.v_lut,0.022656,0.961842
3000,L4.out_proj,0.026204,0.957398
3000,L4.residual_lut,0.036784,0.916081
3000,L5.qk_lut,0.027588,0.963126
3000,L5.v_lut,0.024219,0.963547
3000,L5.out_proj,0.030436,0.959032
3000,L5.residual_lut,0.037435,0.922421
3200,L0.qk_lut,0.032959,0.937879
3200,L0.v_lut,0.028255,0.918784
3200,L0.out_proj,0.042969,0.930443
3200,L0.residual_lut,0.042318,0.917533
3200,L1.qk_lut,0.030518,0.952338
3200,L1.v_lut,0.031684,0.950772
3200,L1.out_proj,0.041178,0.934655
3200,L1.residual_lut,0.031901,0.914063
3200,L2.qk_lut,0.030843,0.951937
3200,L2.v_lut,0.028038,0.954619
3200,L2.out_proj,0.041423,0.941203
3200,L2.residual_lut,0.035482,0.912131
3200,L3.qk_lut,0.028564,0.957921
3200,L3.v_lut,0.029774,0.956616
3200,L3.out_proj,0.035563,0.950162
3200,L3.residual_lut,0.038737,0.917374
3200,L4.qk_lut,0.026693,0.962393
3200,L4.v_lut,0.023438,0.961287
3200,L4.out_proj,0.027181,0.956543
3200,L4.residual_lut,0.042318,0.913511
3200,L5.qk_lut,0.028402,0.962840
3200,L5.v_lut,0.024740,0.963310
3200,L5.out_proj,0.032715,0.958300
3200,L5.residual_lut,0.038737,0.920494
3400,L0.qk_lut,0.031820,0.936845
3400,L0.v_lut,0.028168,0.917929
3400,L0.out_proj,0.044352,0.928968
3400,L0.residual_lut,0.041341,0.915494
3400,L1.qk_lut,0.031576,0.951556
3400,L1.v_lut,0.032509,0.949909
3400,L1.out_proj,0.041504,0.933242
3400,L1.residual_lut,0.035156,0.913161
3400,L2.qk_lut,0.030192,0.950841
3400,L2.v_lut,0.028819,0.954000
3400,L2.out_proj,0.042399,0.939917
3400,L2.residual_lut,0.036133,0.910619
3400,L3.qk_lut,0.030273,0.957240
3400,L3.v_lut,0.031684,0.955938
3400,L3.out_proj,0.037028,0.949201
3400,L3.residual_lut,0.037109,0.915450
3400,L4.qk_lut,0.027100,0.961952
3400,L4.v_lut,0.024349,0.961030
3400,L4.out_proj,0.028158,0.955817
3400,L4.residual_lut,0.039714,0.912302
3400,L5.qk_lut,0.029378,0.962564
3400,L5.v_lut,0.025998,0.962981
3400,L5.out_proj,0.033122,0.957908
3400,L5.residual_lut,0.039714,0.918873
3600,L0.qk_lut,0.032715,0.936542
3600,L0.v_lut,0.029731,0.917261
3600,L0.out_proj,0.044352,0.927500
3600,L0.residual_lut,0.039388,0.914883
3600,L1.qk_lut,0.032308,0.950744
3600,L1.v_lut,0.032552,0.949472
3600,L1.out_proj,0.043457,0.932262
3600,L1.residual_lut,0.036784,0.912562
3600,L2.qk_lut,0.031901,0.949942
3600,L2.v_lut,0.029731,0.953461
3600,L2.out_proj,0.043701,0.938965
3600,L2.residual_lut,0.034505,0.909808
3600,L3.qk_lut,0.032227,0.956744
3600,L3.v_lut,0.031727,0.955186
3600,L3.out_proj,0.038411,0.948508
3600,L3.residual_lut,0.037435,0.914688
3600,L4.qk_lut,0.028890,0.961517
3600,L4.v_lut,0.024957,0.960729
3600,L4.out_proj,0.028402,0.955552
3600,L4.residual_lut,0.039714,0.911310
3600,L5.qk_lut,0.030111,0.962623
3600,L5.v_lut,0.026432,0.962874
3600,L5.out_proj,0.033610,0.957566
3600,L5.residual_lut,0.039388,0.917449
3800,L0.qk_lut,0.033203,0.936230
3800,L0.v_lut,0.029514,0.916918
3800,L0.out_proj,0.044027,0.927052
3800,L0.residual_lut,0.036458,0.914695
3800,L1.qk_lut,0.032633,0.950217
3800,L1.v_lut,0.033030,0.948854
3800,L1.out_proj,0.043701,0.931115
3800,L1.residual_lut,0.039714,0.912175
3800,L2.qk_lut,0.032064,0.949469
3800,L2.v_lut,0.030599,0.953118
3800,L2.out_proj,0.042562,0.938241
3800,L2.residual_lut,0.034180,0.908811
3800,L3.qk_lut,0.032064,0.956305
3800,L3.v_lut,0.032378,0.954901
3800,L3.out_proj,0.038493,0.947809
3800,L3.residual_lut,0.037760,0.914178
3800,L4.qk_lut,0.029378,0.961005
3800,L4.v_lut,0.025260,0.960563
3800,L4.out_proj,0.029053,0.955047
3800,L4.residual_lut,0.040039,0.910618
3800,L5.qk_lut,0.030599,0.962641
3800,L5.v_lut,0.027561,0.962951
3800,L5.out_proj,0.033610,0.957375
3800,L5.residual_lut,0.043945,0.916576
4000,L0.qk_lut,0.031982,0.935766
4000,L0.v_lut,0.029557,0.916395
4000,L0.out_proj,0.045003,0.925973
4000,L0.residual_lut,0.039062,0.913714
4000,L1.qk_lut,0.033040,0.949569
4000,L1.v_lut,0.033116,0.948452
4000,L1.out_proj,0.044027,0.930133
4000,L1.residual_lut,0.037435,0.911953
4000,L2.qk_lut,0.033691,0.949226
4000,L2.v_lut,0.030599,0.952755
4000,L2.out_proj,0.043132,0.937612
4000,L2.residual_lut,0.036784,0.908688
4000,L3.qk_lut,0.032145,0.955811
4000,L3.v_lut,0.033507,0.954689
4000,L3.out_proj,0.038900,0.947055
4000,L3.residual_lut,0.036458,0.913767
4000,L4.qk_lut,0.030111,0.960828
4000,L4.v_lut,0.025304,0.960404
4000,L4.out_proj,0.030111,0.954738
4000,L4.residual_lut,0.037435,0.909204
4000,L5.qk_lut,0.031169,0.962389
4000,L5.v_lut,0.028255,0.962953
4000,L5.out_proj,0.034993,0.957268
4000,L5.residual_lut,0.042318,0.916252
