step,anchor_tau,L0.qk_lut.T_sign,L0.qk_lut.T_sel,L0.v_lut.T_sign,L0.v_lut.T_sel,L0.out_proj.T_sign,L0.out_proj.T_sel,L0.residual_lut.T_sign,L0.residual_lut.T_sel,L1.qk_lut.T_sign,L1.qk_lut.T_sel,L1.v_lut.T_sign,L1.v_lut.T_sel,L1.out_proj.T_sign,L1.out_proj.T_sel,L1.residual_lut.T_sign,L1.residual_lut.T_sel,L2.qk_lut.T_sign,L2.qk_lut.T_sel,L2.v_lut.T_sign,L2.v_lut.T_sel,L2.out_proj.T_sign,L2.out_proj.T_sel,L2.residual_lut.T_sign,L2.residual_lut.T_sel,L3.qk_lut.T_sign,L3.qk_lut.T_sel,L3.v_lut.T_sign,L3.v_lut.T_sel,L3.out_proj.T_sign,L3.out_proj.T_sel,L3.residual_lut.T_sign,L3.residual_lut.T_sel,L4.qk_lut.T_sign,L4.qk_lut.T_sel,L4.v_lut.T_sign,L4.v_lut.T_sel,L4.out_proj.T_sign,L4.out_proj.T_sel,L4.residual_lut.T_sign,L4.residual_lut.T_sel,L5.qk_lut.T_sign,L5.qk_lut.T_sel,L5.v_lut.T_sign,L5.v_lut.T_sel,L5.out_proj.T_sign,L5.out_proj.T_sel,L5.residual_lut.T_sign,L5.residual_lut.T_sel
2000,0.038388,0.453362,0.419473,0.417024,0.359807,0.509259,0.415021,0.469722,0.396970,0.554680,0.480899,0.484525,0.406823,0.543080,0.434275,0.514125,0.402738,0.533331,0.450102,0.457185,0.411388,0.561838,0.479103,0.540135,0.424685,0.565292,0.473229,0.443134,0.406006,0.516856,0.449980,0.568800,0.438082,0.512001,0.463090,0.438204,0.430581,0.539135,0.503942,0.547887,0.460103,0.504985,0.483504,0.467462,0.465537,0.519858,0.495629,0.533293,0.472189
2200,0.027708,0.455957,0.415809,0.421719,0.349680,0.534567,0.420322,0.479038,0.387598,0.565736,0.478167,0.501836,0.405614,0.569607,0.439733,0.534011,0.398276,0.547229,0.446700,0.465040,0.402389,0.577153,0.474766,0.554383,0.417996,0.577929,0.470389,0.446010,0.397746,0.526716,0.444393,0.582403,0.427418,0.517263,0.457788,0.432087,0.421363,0.540968,0.496231,0.554461,0.449680,0.508556,0.481336,0.462662,0.460012,0.522228,0.492873,0.536640,0.461713
2400,0.020000,0.456429,0.410657,0.427383,0.341061,0.560036,0.425841,0.488114,0.379802,0.577323,0.475615,0.520042,0.404413,0.596628,0.444328,0.551326,0.392434,0.561926,0.443615,0.473011,0.394744,0.592625,0.469307,0.568358,0.410670,0.588425,0.465690,0.450857,0.390107,0.538033,0.438536,0.594633,0.416738,0.523493,0.452537,0.426008,0.412440,0.545977,0.490359,0.558957,0.438352,0.509425,0.476712,0.457111,0.454054,0.523745,0.488888,0.538336,0.450254
2600,0.020000,0.456976,0.406871,0.432719,0.333022,0.585961,0.432426,0.496882,0.372507,0.585240,0.472796,0.537990,0.403329,0.624811,0.449853,0.567075,0.386737,0.575551,0.440111,0.482679,0.387120,0.606474,0.462491,0.579466,0.402988,0.599431,0.462820,0.455991,0.383075,0.550856,0.433562,0.606182,0.406808,0.530898,0.448422,0.421274,0.404743,0.549229,0.483569,0.564267,0.427834,0.511703,0.474055,0.452487,0.448724,0.526616,0.485901,0.541207,0.440216
2800,0.020000,0.457771,0.403467,0.437497,0.325468,0.611052,0.436341,0.502003,0.364488,0.592228,0.469450,0.553644,0.400674,0.651371,0.453652,0.580166,0.380423,0.589514,0.435890,0.491888,0.380810,0.623383,0.457927,0.591064,0.395701,0.606303,0.457774,0.461368,0.376950,0.562217,0.427859,0.616141,0.398227,0.537033,0.444493,0.416406,0.396706,0.551986,0.476221,0.568693,0.418269,0.514563,0.471703,0.448361,0.443830,0.530061,0.483577,0.542644,0.430748
3000,0.020000,0.456763,0.399690,0.442470,0.317993,0.636254,0.440204,0.506913,0.357015,0.597549,0.465525,0.567985,0.397857,0.679084,0.457937,0.594028,0.374181,0.600945,0.432094,0.501706,0.374914,0.638408,0.453349,0.601145,0.389212,0.614251,0.452657,0.465711,0.370660,0.575465,0.423165,0.624213,0.389733,0.544307,0.440187,0.412339,0.389271,0.555146,0.468145,0.572433,0.409077,0.518737,0.470576,0.445258,0.439692,0.531968,0.480265,0.544581,0.421353
3200,0.020000,0.455758,0.396109,0.447010,0.312298,0.661049,0.443046,0.512074,0.349574,0.604832,0.462666,0.582002,0.394765,0.706534,0.460670,0.606655,0.367162,0.612938,0.428671,0.510989,0.369236,0.655512,0.450058,0.609144,0.381390,0.621586,0.449015,0.470359,0.365193,0.589275,0.418816,0.632159,0.380700,0.551498,0.436270,0.409725,0.382706,0.557694,0.461124,0.578164,0.400133,0.518820,0.466065,0.441223,0.434903,0.535168,0.476705,0.548027,0.412701
3400,0.020000,0.455012,0.392829,0.452195,0.306639,0.685220,0.444940,0.517344,0.342955,0.610030,0.459848,0.596486,0.392360,0.733693,0.464640,0.617193,0.360853,0.625123,0.425097,0.520281,0.363511,0.670580,0.446612,0.617491,0.374772,0.626577,0.443992,0.476157,0.359491,0.601788,0.413818,0.639510,0.372527,0.557473,0.432815,0.407032,0.375829,0.559537,0.453342,0.581980,0.391690,0.521090,0.463941,0.437417,0.430402,0.538913,0.473031,0.549918,0.404249
3600,0.020000,0.454143,0.389881,0.457278,0.301656,0.708270,0.446143,0.521794,0.336267,0.614190,0.456891,0.608340,0.388860,0.759734,0.465720,0.628143,0.355293,0.636225,0.421191,0.529199,0.358990,0.686623,0.442363,0.625677,0.368589,0.632418,0.439047,0.481238,0.355101,0.615403,0.410103,0.645503,0.365032,0.563944,0.429474,0.406174,0.370825,0.564580,0.447612,0.586516,0.383803,0.523595,0.461764,0.434277,0.426285,0.541687,0.469676,0.552395,0.396303
3800,0.020000,0.452935,0.386651,0.462005,0.297631,0.730906,0.446871,0.523881,0.329054,0.616760,0.453256,0.619117,0.385570,0.785329,0.468270,0.636391,0.349013,0.646337,0.417443,0.536568,0.353818,0.702196,0.438967,0.633242,0.363172,0.635911,0.433935,0.487043,0.350884,0.630328,0.407339,0.652989,0.358473,0.568473,0.426258,0.404861,0.365581,0.567986,0.441115,0.591947,0.376700,0.524283,0.458407,0.431727,0.422722,0.542921,0.465845,0.555752,0.388927
4000,0.020000,0.452466,0.384244,0.465696,0.293370,0.751895,0.446386,0.525936,0.322765,0.620469,0.450455,0.629961,0.382109,0.809664,0.468754,0.644099,0.342996,0.655358,0.413203,0.545135,0.349676,0.718596,0.436993,0.638144,0.356840,0.639492,0.429275,0.493471,0.347957,0.643067,0.404814,0.659524,0.352084,0.574632,0.423389,0.404577,0.361479,0.570197,0.435119,0.596489,0.370436,0.527638,0.457346,0.428799,0.418997,0.544817,0.462713,0.559107,0.382956
