step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out_lut.T_soft,read_out_lut.T_sel
5800,0.428143,0.401093,0.477765,0.334109,0.856878,0.447573,0.708844,0.473278,0.675863,0.369006,1.196487,0.577451,0.863989,0.465123,0.563973,0.336453,1.022051,0.592394,0.874781,0.458343,0.649221,0.340949,1.032607,0.555504,0.913922,0.448413,0.719617,0.339580,1.027654,0.447358,1.080034,0.453938,0.756933,0.355239,0.836546,0.327675,0.958018,0.359315
6000,0.427635,0.400414,0.478256,0.333029,0.865262,0.447948,0.710033,0.471955,0.682904,0.369048,1.210834,0.577550,0.871772,0.463466,0.569908,0.335875,1.024823,0.587354,0.879454,0.456987,0.656230,0.340564,1.041606,0.554349,0.918329,0.446382,0.727643,0.338423,1.039151,0.446183,1.087774,0.450380,0.764512,0.354201,0.848216,0.327353,0.964321,0.355369
6200,0.426451,0.399122,0.478472,0.332142,0.872568,0.447836,0.710967,0.470730,0.688765,0.368837,1.223832,0.576874,0.878291,0.462104,0.575412,0.335586,1.027615,0.582763,0.882185,0.455082,0.662436,0.340192,1.049251,0.553166,0.920487,0.444143,0.734514,0.337806,1.049900,0.445759,1.094633,0.447208,0.771762,0.353714,0.859189,0.327629,0.969554,0.351856
6400,0.426213,0.398800,0.478862,0.331578,0.878461,0.447732,0.712209,0.469773,0.694328,0.368991,1.236149,0.577195,0.884424,0.460442,0.579929,0.335182,1.029078,0.578407,0.884706,0.453560,0.667719,0.339838,1.056270,0.551909,0.922638,0.442095,0.740513,0.336773,1.058853,0.444367,1.100402,0.444437,0.777880,0.352944,0.868538,0.327608,0.974235,0.348802
6600,0.425514,0.398113,0.478838,0.330878,0.883265,0.447687,0.713403,0.469186,0.698828,0.368942,1.246801,0.577234,0.889839,0.459106,0.584187,0.335052,1.030315,0.574655,0.887205,0.452563,0.672213,0.339445,1.061982,0.550608,0.924825,0.440372,0.745794,0.336026,1.067884,0.443597,1.105450,0.441977,0.783289,0.352218,0.876840,0.327366,0.977753,0.346114
6800,0.424917,0.397544,0.478693,0.330244,0.887052,0.447390,0.714372,0.468635,0.703020,0.369057,1.256395,0.577160,0.895141,0.458213,0.587800,0.334833,1.032412,0.571580,0.889329,0.451508,0.676571,0.339354,1.066968,0.549344,0.926318,0.438667,0.750486,0.335415,1.075397,0.442499,1.108806,0.439830,0.788078,0.351728,0.884525,0.327400,0.981319,0.343705
7000,0.424217,0.396864,0.478368,0.329570,0.890190,0.446943,0.714339,0.467516,0.706474,0.369168,1.264682,0.577187,0.898978,0.457233,0.591403,0.334920,1.033579,0.568818,0.890675,0.450358,0.680543,0.339269,1.071811,0.548701,0.927901,0.437287,0.754582,0.334936,1.081925,0.441957,1.111625,0.437969,0.792755,0.351475,0.891397,0.327354,0.984474,0.341495
7200,0.423611,0.396343,0.478189,0.329105,0.892582,0.446378,0.714677,0.466825,0.709654,0.369127,1.272196,0.577226,0.902405,0.456205,0.594450,0.334819,1.034737,0.566279,0.892098,0.449471,0.683725,0.338999,1.074952,0.547714,0.928642,0.435988,0.758227,0.334347,1.087879,0.441265,1.114436,0.436071,0.796554,0.350954,0.897442,0.327529,0.987070,0.339537
7400,0.423292,0.396086,0.477874,0.328622,0.894767,0.445980,0.714990,0.466186,0.712227,0.369035,1.278455,0.576533,0.905662,0.455440,0.597207,0.334761,1.035781,0.564100,0.893358,0.448732,0.686393,0.338549,1.078446,0.546726,0.929397,0.434853,0.761452,0.333842,1.092880,0.440671,1.116351,0.434508,0.799761,0.350428,0.902982,0.327667,0.989419,0.337839
7600,0.422807,0.395687,0.477491,0.328141,0.896199,0.445414,0.715198,0.465652,0.714889,0.369157,1.285007,0.576783,0.908641,0.454515,0.599870,0.334816,1.037289,0.562268,0.894584,0.448041,0.689213,0.338369,1.081076,0.545623,0.930472,0.434015,0.764326,0.333342,1.097779,0.440297,1.117905,0.432951,0.803069,0.350142,0.908005,0.327650,0.991228,0.336250
7800,0.422161,0.395138,0.477020,0.327652,0.896845,0.444597,0.715308,0.465077,0.716807,0.368956,1.290624,0.576709,0.911718,0.453722,0.602228,0.334859,1.038519,0.560425,0.895555,0.447249,0.691781,0.338111,1.084409,0.545071,0.930928,0.433018,0.767137,0.332893,1.102102,0.439579,1.119913,0.431637,0.806217,0.349913,0.912664,0.327804,0.993259,0.334811
8000,0.421850,0.394880,0.476633,0.327229,0.897168,0.443753,0.715851,0.464798,0.718710,0.368852,1.296095,0.576586,0.914253,0.452774,0.604412,0.334785,1.039942,0.558668,0.896511,0.446599,0.694338,0.338046,1.087917,0.544585,0.931441,0.432091,0.769594,0.332523,1.106556,0.439299,1.121579,0.430398,0.809040,0.349483,0.917265,0.327913,0.995007,0.333329
