step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
18500,3.884800,1.209512,14.159384,17.494904,17.164339,16.759106,16.235231,15.808827,0.721507,0.892074,0.875065,0.854530,0.827656,0.803163,12.728106,20.508089,18.072927,18.687540,19.596745,25.260002,9.18418393e-02,5.53787798e-02,9.58766416e-02,9.87043977e-02,9.88773108e-02,9.69958082e-02,1.05218098e-01
19000,3.877764,1.208629,14.003795,17.453743,17.105534,16.683746,16.147074,15.705356,0.713533,0.889968,0.872033,0.850656,0.823128,0.797735,12.691572,20.560907,18.073671,18.695442,19.621159,25.354788,9.38699072e-02,5.61976284e-02,9.82186720e-02,1.00961111e-01,1.01088874e-01,9.91198048e-02,1.07633352e-01
19500,3.882568,1.207538,13.858240,17.413960,17.051229,16.615011,16.065397,15.609083,0.706049,0.887919,0.869247,0.847127,0.818932,0.792683,12.650677,20.608660,18.071445,18.708345,19.651789,25.449429,9.58240144e-02,5.69309294e-02,1.00449227e-01,1.03160523e-01,1.03246704e-01,1.01176403e-01,1.09980300e-01
20000,3.869055,1.205208,13.711478,17.375814,16.995844,16.547894,15.984327,15.513083,0.698471,0.885957,0.866389,0.843683,0.814763,0.787626,12.617455,20.660889,18.083374,18.714222,19.681839,25.540407,9.77011193e-02,5.76129220e-02,1.02628581e-01,1.05274051e-01,1.05320819e-01,1.03152126e-01,1.12218216e-01
20500,3.865095,1.204698,13.572584,17.340763,16.944349,16.481733,15.905820,15.423519,0.691327,0.884156,0.863751,0.840301,0.810739,0.782920,12.592135,20.711197,18.086990,18.727493,19.709743,25.634918,9.95025747e-02,5.82369268e-02,1.04731947e-01,1.07317977e-01,1.07303403e-01,1.05025560e-01,1.14399634e-01
21000,3.871541,1.202052,13.438510,17.307159,16.895777,16.417776,15.825246,15.331805,0.684426,0.882425,0.861248,0.837022,0.806611,0.778103,12.564988,20.757162,18.095259,18.739605,19.740307,25.721670,1.01220939e-01,5.87709472e-02,1.06764354e-01,1.09265924e-01,1.09200135e-01,1.06828965e-01,1.16495311e-01
21500,3.844931,1.201389,13.310253,17.275497,16.849556,16.356176,15.752945,15.244091,0.677821,0.880801,0.858872,0.833854,0.802901,0.773508,12.546785,20.803659,18.108633,18.749928,19.770935,25.807621,1.02875395e-01,5.92870712e-02,1.08712599e-01,1.11179613e-01,1.11036599e-01,1.08565837e-01,1.18470654e-01
22000,3.848721,1.199269,13.193597,17.245960,16.803587,16.296902,15.680091,15.160686,0.671812,0.879269,0.856500,0.830808,0.799139,0.769124,12.533696,20.856142,18.120226,18.763010,19.799446,25.891701,1.04460527e-01,5.97729422e-02,1.10609725e-01,1.12989649e-01,1.12793848e-01,1.10244237e-01,1.20352760e-01
22500,3.834988,1.198921,13.081278,17.217991,16.760458,16.241573,15.608492,15.077965,0.666020,0.877826,0.854276,0.827965,0.795455,0.764791,12.518349,20.901815,18.130116,18.780144,19.829861,25.975712,1.05980699e-01,6.02360740e-02,1.12430245e-01,1.14744164e-01,1.14473164e-01,1.11828886e-01,1.22171663e-01
23000,3.828023,1.198743,12.971782,17.192812,16.720188,16.187752,15.541463,14.999398,0.660370,0.876525,0.852211,0.825203,0.792012,0.760660,12.511153,20.947586,18.146511,18.796114,19.860207,26.058691,1.07421074e-01,6.06268421e-02,1.14156023e-01,1.16416037e-01,1.16086245e-01,1.13339365e-01,1.23901933e-01
23500,3.816430,1.196475,12.872163,17.167461,16.678988,16.135195,15.475497,14.920979,0.655217,0.875213,0.850085,0.822499,0.788634,0.756538,12.503338,20.992710,18.159426,18.813883,19.894243,26.134111,1.08790189e-01,6.10093847e-02,1.15821429e-01,1.17981464e-01,1.17606066e-01,1.14762805e-01,1.25559986e-01
24000,3.806843,1.195626,12.772346,17.147594,16.642065,16.084248,15.414361,14.846202,0.650049,0.874185,0.848176,0.819872,0.785497,0.752623,12.501226,21.037848,18.171671,18.830061,19.925247,26.211777,1.10100134e-01,6.13570362e-02,1.17448665e-01,1.19489416e-01,1.19068824e-01,1.16139196e-01,1.27097666e-01
24500,3.816197,1.195058,12.680261,17.125654,16.607609,16.035898,15.353927,14.773517,0.645318,0.873058,0.846393,0.817383,0.782402,0.748795,12.502851,21.083855,18.189974,18.849276,19.958761,26.287685,1.11334482e-01,6.16756901e-02,1.18977636e-01,1.20934047e-01,1.20442949e-01,1.17417395e-01,1.28559172e-01
25000,3.794063,1.193189,12.596756,17.108440,16.574158,15.990801,15.296526,14.702294,0.640981,0.872181,0.844675,0.815069,0.779451,0.745054,12.502117,21.126120,18.207472,18.867638,19.988783,26.362204,1.12511105e-01,6.19741380e-02,1.20432496e-01,1.22307956e-01,1.21763900e-01,1.18643753e-01,1.29944384e-01
25500,3.794311,1.192215,12.508831,17.090212,16.542961,15.947912,15.240269,14.634034,0.636434,0.871241,0.843076,0.812874,0.776556,0.741444,12.508032,21.169949,18.233402,18.883789,20.021418,26.434069,1.13620486e-01,6.22430816e-02,1.21815883e-01,1.23591892e-01,1.23012595e-01,1.19806536e-01,1.31252930e-01
26000,3.810922,1.190872,12.434323,17.073681,16.514227,15.907020,15.187282,14.568479,0.632586,0.870382,0.841595,0.810786,0.773836,0.737987,12.511471,21.211018,18.248657,18.908140,20.048801,26.506468,1.14674115e-01,6.25112504e-02,1.23130895e-01,1.24828048e-01,1.24182165e-01,1.20890580e-01,1.32501751e-01
26500,3.780057,1.190268,12.360877,17.058681,16.486395,15.867758,15.134648,14.506587,0.628770,0.869611,0.840160,0.808770,0.771126,0.734761,12.519559,21.252300,18.272688,18.922905,20.082182,26.571768,1.15663526e-01,6.27396628e-02,1.24375112e-01,1.26013860e-01,1.25294447e-01,1.21910617e-01,1.33647457e-01
27000,3.774464,1.189345,12.294810,17.048447,16.459967,15.829579,15.085321,14.445935,0.625365,0.869077,0.838806,0.806813,0.768578,0.731556,12.530252,21.294674,18.290836,18.944607,20.113390,26.639709,1.16598499e-01,6.29568025e-02,1.25599444e-01,1.27118573e-01,1.26342431e-01,1.22882836e-01,1.34690911e-01
27500,3.786427,1.188367,12.232853,17.036060,16.435598,15.794113,15.037380,14.388162,0.622152,0.868428,0.837545,0.804991,0.766119,0.728541,12.543037,21.334820,18.314962,18.963812,20.144493,26.708130,1.17476131e-01,6.31536841e-02,1.26728848e-01,1.28154695e-01,1.27321437e-01,1.23787850e-01,1.35710269e-01
28000,3.767936,1.187820,12.175174,17.025238,16.412693,15.759985,14.993187,14.333072,0.619160,0.867857,0.836367,0.803239,0.763858,0.725654,12.553900,21.371355,18.333580,18.987957,20.173592,26.768936,1.18302671e-01,6.33314103e-02,1.27788588e-01,1.29132614e-01,1.28251076e-01,1.24642909e-01,1.36669427e-01
28500,3.755745,1.187067,12.122483,17.015450,16.390451,15.728318,14.951353,14.279095,0.616427,0.867349,0.835220,0.801606,0.761706,0.722812,12.565662,21.408058,18.354862,19.009212,20.205420,26.832247,1.19071885e-01,6.34991452e-02,1.28792882e-01,1.30048633e-01,1.29112288e-01,1.25438645e-01,1.37539715e-01
29000,3.761903,1.185274,12.072052,17.008429,16.369234,15.698886,14.910001,14.226319,0.613812,0.866978,0.834121,0.800089,0.759580,0.720047,12.583908,21.442919,18.377371,19.028864,20.237835,26.890198,1.19797288e-01,6.36525378e-02,1.29763737e-01,1.30917951e-01,1.29932880e-01,1.26173154e-01,1.38343468e-01
29500,3.748503,1.184592,12.025734,17.001137,16.352018,15.669526,14.869784,14.175419,0.611417,0.866608,0.833217,0.798566,0.757519,0.717381,12.599156,21.478247,18.397707,19.048958,20.268446,26.949797,1.20464534e-01,6.37972951e-02,1.30655363e-01,1.31728947e-01,1.30678073e-01,1.26847401e-01,1.39080122e-01
30000,3.737183,1.183582,11.983897,16.995377,16.334623,15.642590,14.833207,14.126234,0.609250,0.866308,0.832321,0.797189,0.755645,0.714790,12.617554,21.512495,18.419209,19.070560,20.297113,27.005871,1.21097183e-01,6.39268681e-02,1.31501436e-01,1.32492810e-01,1.31390691e-01,1.27501845e-01,1.39769450e-01
