step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,final_residual_lut.T_soft,final_residual_lut.T_sel
4400,0.501873,0.528694,0.408574,0.357433,0.490284,0.323688,0.850503,0.654067,0.674705,0.458603,0.682046,0.412127,0.898253,0.568046,0.670589,0.402010,0.650340,0.429310,0.924351,0.568742,0.600145,0.403212,0.633335,0.472035,0.857172,0.581682,0.511784,0.467543,0.915229,0.812662,0.839619,0.614758,0.627059,0.396091,0.745907,0.599305,0.875478,0.426967
4600,0.501600,0.528575,0.409331,0.356154,0.495828,0.321379,0.853048,0.651005,0.683815,0.459707,0.695171,0.412396,0.903600,0.562615,0.681341,0.401185,0.660031,0.427905,0.933424,0.562479,0.609408,0.402756,0.638265,0.469413,0.864496,0.576783,0.510817,0.464513,0.922374,0.814789,0.843316,0.609867,0.633935,0.394268,0.749365,0.596069,0.883844,0.419559
4800,0.500914,0.527902,0.410450,0.355219,0.501244,0.319168,0.856515,0.648870,0.690927,0.459931,0.707142,0.412388,0.909227,0.557857,0.690995,0.400405,0.669979,0.426891,0.942440,0.557143,0.617027,0.401878,0.641933,0.466019,0.872263,0.572765,0.508834,0.460569,0.926015,0.813608,0.846169,0.605634,0.640599,0.392341,0.752348,0.592868,0.891168,0.412988
5000,0.500078,0.526966,0.410963,0.354128,0.504937,0.317017,0.856802,0.644740,0.698808,0.460314,0.718192,0.411845,0.913597,0.552927,0.699657,0.398949,0.676178,0.424763,0.948505,0.551728,0.624850,0.401177,0.645075,0.462910,0.877366,0.567843,0.508000,0.457635,0.931092,0.814289,0.849000,0.601760,0.647208,0.390343,0.754481,0.588828,0.896944,0.406622
5200,0.499027,0.526073,0.410878,0.352879,0.506854,0.314443,0.858473,0.641873,0.704504,0.459913,0.727280,0.410764,0.916556,0.548297,0.708801,0.398200,0.684776,0.424284,0.954602,0.546933,0.631968,0.401144,0.649148,0.461155,0.882286,0.563435,0.506551,0.454636,0.933298,0.812878,0.850749,0.597422,0.653254,0.388983,0.756742,0.585972,0.902843,0.400904
5400,0.498852,0.526000,0.410892,0.351813,0.509356,0.312574,0.859312,0.638688,0.710551,0.460382,0.736055,0.410095,0.921106,0.545240,0.715523,0.397077,0.690412,0.422828,0.960890,0.542211,0.638204,0.400515,0.651617,0.458499,0.886132,0.559204,0.505632,0.452321,0.935515,0.811702,0.853107,0.593960,0.658609,0.387546,0.758308,0.582755,0.908377,0.395967
5600,0.497736,0.525041,0.410706,0.350680,0.510256,0.310395,0.860057,0.636448,0.714722,0.459851,0.744048,0.409560,0.923565,0.541325,0.720948,0.395785,0.695878,0.421484,0.965159,0.537702,0.644216,0.400040,0.653361,0.455544,0.889548,0.555263,0.505171,0.450205,0.936732,0.809959,0.854924,0.590692,0.663251,0.386127,0.758969,0.579375,0.912447,0.391360
5800,0.497302,0.524700,0.409893,0.349506,0.510853,0.308291,0.860117,0.633824,0.719099,0.459872,0.751225,0.409105,0.927385,0.538677,0.727216,0.395109,0.700912,0.420360,0.969817,0.533985,0.649897,0.399888,0.655975,0.453453,0.893634,0.552150,0.503754,0.447639,0.936323,0.807189,0.855703,0.587101,0.667173,0.384639,0.759501,0.576225,0.917061,0.387077
6000,0.496706,0.524197,0.409880,0.348857,0.510454,0.306320,0.859382,0.630976,0.722836,0.459811,0.757825,0.408601,0.928975,0.535428,0.731677,0.394325,0.704966,0.419279,0.973045,0.529900,0.654973,0.399584,0.658399,0.451396,0.896081,0.548667,0.503303,0.445813,0.936254,0.804793,0.855843,0.583905,0.671293,0.383708,0.759989,0.573704,0.921401,0.383063
6200,0.495649,0.523184,0.409456,0.348049,0.508590,0.303906,0.858888,0.628736,0.725971,0.459681,0.763336,0.407927,0.930717,0.532875,0.736421,0.393835,0.709302,0.418580,0.975891,0.526594,0.659687,0.399743,0.660933,0.450089,0.898273,0.545882,0.503163,0.444461,0.936713,0.802996,0.856305,0.581309,0.675482,0.383326,0.760923,0.571705,0.925073,0.379651
6400,0.494813,0.522428,0.408593,0.347079,0.507612,0.302052,0.859201,0.627162,0.729065,0.459752,0.768354,0.407629,0.931672,0.530129,0.740570,0.393517,0.712923,0.417763,0.978396,0.523634,0.663409,0.399603,0.662085,0.448286,0.901080,0.543661,0.502531,0.442923,0.935693,0.800694,0.856667,0.578842,0.678634,0.382681,0.760789,0.569403,0.928950,0.376635
6600,0.494375,0.522195,0.407896,0.346263,0.506060,0.300206,0.859158,0.625626,0.730822,0.459316,0.772199,0.406926,0.932822,0.527897,0.744053,0.392885,0.715551,0.416621,0.980683,0.521164,0.666704,0.399431,0.663681,0.447030,0.902470,0.541382,0.502586,0.441875,0.935550,0.799207,0.856549,0.576391,0.681408,0.381897,0.760661,0.567154,0.931869,0.373952
6800,0.493961,0.521879,0.406958,0.345347,0.504118,0.298458,0.858359,0.623827,0.732777,0.459010,0.775802,0.406324,0.933943,0.525915,0.747269,0.392431,0.718084,0.415785,0.982784,0.518896,0.669740,0.399422,0.665014,0.446026,0.904164,0.539505,0.502376,0.440781,0.934556,0.797147,0.857121,0.574649,0.684362,0.381508,0.760967,0.565448,0.934583,0.371632
7000,0.493479,0.521416,0.406291,0.344680,0.502296,0.296950,0.857926,0.622401,0.734246,0.458861,0.779118,0.405851,0.934788,0.524313,0.750234,0.392072,0.720252,0.415017,0.983875,0.516587,0.672533,0.399389,0.665902,0.444756,0.905203,0.537591,0.502144,0.439807,0.933749,0.795424,0.857216,0.573055,0.686694,0.381221,0.761048,0.563936,0.937054,0.369476
7200,0.493033,0.521153,0.405209,0.343757,0.500638,0.295596,0.857169,0.620834,0.735320,0.458523,0.782055,0.405445,0.935493,0.522802,0.752356,0.391752,0.722325,0.414421,0.985582,0.514844,0.674752,0.399211,0.666753,0.443817,0.905991,0.535915,0.501887,0.438876,0.932405,0.793199,0.856820,0.571168,0.688890,0.380937,0.761263,0.562593,0.939256,0.367625
7400,0.492461,0.520615,0.404297,0.343000,0.498903,0.294323,0.856827,0.619807,0.736044,0.457984,0.784228,0.404784,0.936551,0.521648,0.754351,0.391379,0.723775,0.413684,0.986843,0.513102,0.676890,0.399175,0.667512,0.442892,0.907091,0.534616,0.501734,0.438145,0.931479,0.791535,0.857608,0.570072,0.690685,0.380596,0.761296,0.561225,0.941122,0.366013
7600,0.492399,0.520638,0.403467,0.342364,0.497169,0.293088,0.856501,0.618739,0.737161,0.457943,0.786654,0.404540,0.936633,0.520127,0.756419,0.391189,0.725496,0.413239,0.988347,0.511672,0.678995,0.399232,0.668309,0.442088,0.907976,0.533160,0.501481,0.437357,0.930068,0.789625,0.857450,0.568786,0.692241,0.380239,0.761240,0.559975,0.942646,0.364509
7800,0.492173,0.520554,0.402673,0.341734,0.495268,0.291818,0.855791,0.617572,0.737969,0.457780,0.789163,0.404400,0.937317,0.519056,0.758428,0.390946,0.727358,0.412751,0.989444,0.510237,0.681038,0.399175,0.669023,0.441247,0.908594,0.531892,0.501434,0.436690,0.929227,0.788165,0.857282,0.567404,0.694021,0.380063,0.761542,0.559097,0.944396,0.363097
8000,0.491569,0.519993,0.401901,0.341089,0.493491,0.290645,0.855295,0.616573,0.738470,0.457479,0.791215,0.404060,0.937845,0.517945,0.760103,0.390620,0.728876,0.412230,0.990806,0.509023,0.682992,0.399205,0.669718,0.440524,0.909319,0.530692,0.501191,0.435968,0.928241,0.786642,0.857622,0.566419,0.695664,0.379870,0.761792,0.558091,0.945980,0.361696
