step,mse,ema,lr,elapsed_s
5850,0.01808382,0.01838741,1.485476e-04,459.5
5875,0.01849381,0.01839836,1.473790e-04,461.5
5900,0.01838577,0.01838416,1.462116e-04,463.4
5925,0.01810372,0.01837967,1.450457e-04,465.3
5950,0.01843543,0.01837201,1.438813e-04,467.2
5975,0.01835948,0.01836688,1.427186e-04,469.1
6000,0.01841931,0.01836881,1.415575e-04,471.0
6025,0.01816433,0.01836916,1.403982e-04,472.9
6050,0.01861018,0.01837725,1.392408e-04,474.8
6075,0.01845773,0.01835958,1.380853e-04,476.7
6100,0.01831361,0.01836637,1.369319e-04,478.6
6125,0.01823847,0.01835691,1.357807e-04,480.5
6150,0.01870939,0.01837294,1.346316e-04,482.4
6175,0.01835446,0.01837071,1.334849e-04,484.3
6200,0.01862044,0.01836031,1.323405e-04,486.2
6225,0.01830839,0.01835435,1.311987e-04,488.1
6250,0.01844539,0.01835773,1.300594e-04,490.0
6275,0.01854285,0.01836303,1.289228e-04,491.9
6300,0.01852733,0.01836913,1.277890e-04,493.8
6325,0.01823354,0.01837925,1.266579e-04,495.7
6350,0.01846410,0.01835809,1.255298e-04,497.6
6375,0.01828992,0.01834671,1.244047e-04,499.5
6400,0.01830110,0.01834504,1.232827e-04,501.5
6425,0.01838986,0.01834425,1.221639e-04,503.4
6450,0.01847494,0.01834233,1.210483e-04,505.3
6475,0.01853574,0.01834561,1.199361e-04,507.2
6500,0.01830250,0.01834283,1.188273e-04,509.1
6525,0.01815364,0.01832164,1.177220e-04,511.0
6550,0.01841970,0.01833298,1.166203e-04,512.9
6575,0.01846527,0.01835476,1.155223e-04,514.8
6600,0.01847991,0.01836546,1.144281e-04,516.7
6625,0.01817002,0.01835598,1.133377e-04,518.6
6650,0.01846601,0.01834747,1.122513e-04,520.6
6675,0.01858931,0.01833486,1.111689e-04,522.5
6700,0.01830333,0.01831798,1.100906e-04,524.4
6725,0.01839396,0.01831552,1.090164e-04,526.3
6750,0.01832347,0.01831791,1.079465e-04,528.2
6775,0.01835994,0.01831472,1.068810e-04,530.2
6800,0.01830751,0.01831455,1.058199e-04,532.1
6825,0.01830522,0.01831516,1.047633e-04,534.0
6850,0.01855636,0.01831197,1.037113e-04,535.9
6875,0.01819629,0.01832222,1.026639e-04,537.8
6900,0.01843552,0.01831928,1.016213e-04,539.7
6925,0.01837850,0.01831803,1.005836e-04,541.6
6950,0.01837468,0.01830328,9.955070e-05,543.5
6975,0.01830911,0.01831977,9.852282e-05,545.4
7000,0.01842237,0.01830960,9.750000e-05,547.3
7025,0.01836542,0.01832029,9.648232e-05,549.2
7050,0.01840825,0.01831491,9.546986e-05,551.1
7075,0.01845406,0.01832381,9.446269e-05,553.0
7100,0.01832560,0.01831207,9.346090e-05,555.0
7125,0.01856462,0.01833307,9.246455e-05,556.9
7150,0.01845507,0.01832898,9.147373e-05,558.8
7175,0.01829540,0.01830201,9.048851e-05,560.7
7200,0.01805561,0.01829784,8.950896e-05,562.6
7225,0.01841140,0.01830478,8.853516e-05,564.5
7250,0.01839009,0.01828852,8.756718e-05,566.5
7275,0.01847007,0.01827388,8.660510e-05,568.4
7300,0.01823209,0.01827804,8.564899e-05,570.3
7325,0.01825378,0.01829601,8.469892e-05,572.2
7350,0.01832491,0.01828346,8.375497e-05,574.1
7375,0.01834643,0.01829224,8.281721e-05,576.0
7400,0.01811718,0.01829869,8.188570e-05,577.9
7425,0.01851095,0.01831594,8.096052e-05,579.8
7450,0.01854588,0.01830728,8.004175e-05,581.7
7475,0.01809591,0.01830322,7.912944e-05,583.6
7500,0.01809517,0.01829740,7.822367e-05,585.5
7525,0.01839486,0.01830709,7.732451e-05,587.4
7550,0.01836900,0.01829943,7.643203e-05,589.3
7575,0.01842728,0.01829491,7.554629e-05,591.2
7600,0.01821862,0.01830918,7.466737e-05,593.1
7625,0.01837911,0.01830737,7.379532e-05,595.2
7650,0.01842955,0.01829980,7.293022e-05,597.1
7675,0.01802581,0.01827767,7.207213e-05,599.0
7700,0.01836250,0.01828517,7.122112e-05,600.9
7725,0.01834697,0.01828563,7.037725e-05,602.8
7750,0.01832605,0.01827577,6.954058e-05,604.7
7775,0.01830367,0.01828041,6.871119e-05,606.6
7800,0.01820882,0.01827124,6.788913e-05,608.5
7825,0.01827834,0.01828179,6.707446e-05,610.4
7850,0.01819168,0.01828489,6.626725e-05,612.3
7875,0.01843534,0.01827914,6.546756e-05,614.3
7900,0.01822734,0.01828028,6.467545e-05,616.2
7925,0.01837306,0.01827887,6.389098e-05,618.1
7950,0.01817188,0.01826376,6.311421e-05,620.0
7975,0.01835279,0.01827826,6.234519e-05,621.9
8000,0.01841087,0.01829556,6.158400e-05,623.8
8025,0.01836369,0.01829509,6.083068e-05,625.7
8050,0.01829895,0.01829026,6.008530e-05,627.6
8075,0.01829849,0.01827983,5.934790e-05,629.6
8100,0.01809635,0.01828183,5.861855e-05,631.5
8125,0.01840889,0.01828096,5.789730e-05,633.4
8150,0.01806877,0.01827033,5.718421e-05,635.3
8175,0.01845965,0.01830077,5.647932e-05,637.2
8200,0.01825080,0.01830220,5.578271e-05,639.1
8225,0.01828616,0.01830064,5.509441e-05,641.0
8250,0.01816590,0.01827569,5.441447e-05,642.9
8275,0.01799632,0.01827017,5.374296e-05,644.9
8300,0.01808623,0.01827444,5.307993e-05,646.7
8325,0.01818998,0.01827948,5.242541e-05,648.7
8350,0.01832028,0.01828820,5.177947e-05,650.6
8375,0.01861318,0.01827178,5.114215e-05,652.5
8400,0.01826824,0.01826328,5.051351e-05,654.5
8425,0.01838142,0.01827124,4.989358e-05,656.4
8450,0.01822170,0.01826482,4.928241e-05,658.2
8475,0.01831092,0.01827188,4.868006e-05,660.1
8500,0.01814887,0.01825970,4.808657e-05,662.0
8525,0.01828847,0.01825295,4.750198e-05,664.0
8550,0.01834362,0.01826069,4.692634e-05,665.9
8575,0.01814824,0.01826610,4.635969e-05,667.8
8600,0.01806269,0.01826105,4.580207e-05,669.7
8625,0.01822042,0.01826982,4.525354e-05,671.6
8650,0.01816331,0.01826225,4.471412e-05,673.5
8675,0.01824739,0.01825064,4.418386e-05,675.6
8700,0.01836561,0.01824322,4.366280e-05,677.5
8725,0.01812336,0.01825234,4.315099e-05,679.5
8750,0.01826372,0.01826519,4.264845e-05,681.4
8775,0.01824464,0.01827601,4.215523e-05,683.3
8800,0.01847991,0.01827250,4.167136e-05,685.2
8825,0.01804608,0.01825641,4.119689e-05,687.2
