step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.out_v2d.T,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.out_v2d.T,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.out_v2d.T,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.out_v2d.T,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.out_v2d.T,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.out_v2d.T
2000,0.338819,0.335525,0.411720,0.413028,0.363515,0.347499,0.651496,0.616488,0.457338,0.462427,0.459261,0.435290,0.432784,0.571363,0.516421,0.464581,0.456668,0.451744,0.451359,0.444157,0.569856,0.540312,0.527903,0.495759,0.492296,0.499057,0.496549,0.524627,0.508612,0.498883,0.505770,0.504688,0.505541,0.502939,0.522966,0.505355,0.499168,0.508994,0.508192,0.507450,0.503480,0.525819
2200,0.327324,0.322821,0.397447,0.398875,0.355966,0.334103,0.676283,0.641352,0.453395,0.458307,0.454336,0.427598,0.424029,0.585017,0.523697,0.462677,0.452626,0.447127,0.446945,0.438205,0.586550,0.546104,0.532308,0.494746,0.491074,0.499311,0.496517,0.525454,0.510381,0.500562,0.506533,0.505359,0.506411,0.503527,0.523654,0.505406,0.499530,0.510322,0.509448,0.508797,0.504474,0.526849
2400,0.318446,0.312394,0.384567,0.386119,0.352849,0.323891,0.699906,0.665542,0.450367,0.455619,0.450865,0.422098,0.417125,0.598495,0.529419,0.459138,0.449067,0.443098,0.442701,0.432216,0.602870,0.548579,0.533611,0.492907,0.488937,0.499270,0.496454,0.525882,0.512497,0.501757,0.507241,0.505961,0.507214,0.504062,0.524092,0.504421,0.499914,0.511538,0.510686,0.510168,0.505397,0.525389
2600,0.311172,0.303328,0.371226,0.372872,0.352410,0.314543,0.726772,0.690504,0.446547,0.452565,0.446850,0.416635,0.409795,0.613600,0.536928,0.457104,0.444941,0.438636,0.439407,0.427235,0.619926,0.552096,0.535861,0.491909,0.487740,0.499510,0.496347,0.526299,0.513568,0.502835,0.507556,0.506344,0.508068,0.504642,0.524828,0.504791,0.499934,0.512781,0.511838,0.511453,0.506303,0.525309
2800,0.304976,0.295186,0.357661,0.359360,0.354359,0.307568,0.756111,0.717248,0.443764,0.449625,0.442634,0.410893,0.401850,0.628853,0.546634,0.454756,0.440923,0.433849,0.435948,0.421582,0.637337,0.553457,0.536142,0.490662,0.486241,0.499512,0.495948,0.526552,0.515206,0.503948,0.507382,0.506182,0.508511,0.504960,0.525720,0.504820,0.500508,0.513971,0.513038,0.512706,0.507133,0.525770
3000,0.301156,0.289429,0.345972,0.347725,0.357802,0.302831,0.782779,0.742557,0.440626,0.446856,0.439090,0.407706,0.396526,0.643846,0.553349,0.452076,0.438022,0.430339,0.433278,0.417098,0.652607,0.555509,0.537011,0.488022,0.483584,0.499204,0.495593,0.526786,0.514571,0.502573,0.507761,0.506621,0.509156,0.505345,0.526161,0.504644,0.500702,0.514759,0.513753,0.513579,0.507421,0.523836
3200,0.297664,0.283850,0.333679,0.335432,0.362588,0.298547,0.810639,0.768056,0.436943,0.444558,0.435710,0.404001,0.390489,0.659052,0.561017,0.449517,0.434716,0.426609,0.431301,0.412901,0.669439,0.556571,0.536795,0.486251,0.481602,0.499248,0.495248,0.526943,0.515425,0.503346,0.507668,0.506627,0.509693,0.505722,0.526715,0.505328,0.501629,0.515575,0.514650,0.514592,0.507975,0.521736
3400,0.295571,0.279656,0.322770,0.324509,0.367888,0.295208,0.836800,0.791722,0.434917,0.442640,0.432818,0.401661,0.385955,0.673727,0.570713,0.448594,0.432267,0.423718,0.430291,0.409939,0.686107,0.558079,0.537258,0.484609,0.479732,0.498835,0.494675,0.527028,0.514834,0.501986,0.507662,0.506605,0.510095,0.505951,0.527029,0.506114,0.502489,0.515920,0.515066,0.515171,0.508200,0.518957
3600,0.294199,0.276318,0.312640,0.314392,0.373899,0.292406,0.865202,0.816328,0.432341,0.441603,0.430484,0.399992,0.381690,0.689757,0.579975,0.447976,0.430245,0.421319,0.429769,0.407268,0.701522,0.559432,0.538180,0.482217,0.477286,0.498637,0.494227,0.527143,0.514885,0.501797,0.507518,0.506519,0.510618,0.506263,0.527637,0.506173,0.502368,0.516276,0.515492,0.515765,0.508421,0.517561
3800,0.292536,0.272776,0.303030,0.304766,0.380621,0.289534,0.893861,0.840265,0.429536,0.440914,0.428366,0.398540,0.377493,0.706554,0.589169,0.447106,0.428373,0.418710,0.428949,0.404301,0.716516,0.560520,0.537948,0.480864,0.475759,0.498802,0.493987,0.527072,0.516018,0.502470,0.507792,0.506739,0.511077,0.506575,0.528120,0.506179,0.503047,0.516578,0.515895,0.516259,0.508435,0.515469
4000,0.291771,0.270125,0.294265,0.295988,0.387068,0.287304,0.922485,0.862933,0.426082,0.440279,0.426149,0.397258,0.373248,0.723529,0.597040,0.444984,0.426180,0.416066,0.428468,0.401796,0.732758,0.560887,0.537056,0.478475,0.473247,0.498221,0.493211,0.527082,0.515792,0.502007,0.507704,0.506668,0.511527,0.506906,0.528644,0.505750,0.502382,0.516967,0.516363,0.516840,0.508660,0.514259
4200,0.291556,0.268194,0.286220,0.287934,0.393193,0.285597,0.948336,0.883439,0.423285,0.439707,0.424324,0.397102,0.370481,0.738371,0.606250,0.444818,0.424135,0.413742,0.428476,0.400155,0.747170,0.562332,0.537571,0.476486,0.471200,0.497642,0.492479,0.527082,0.515963,0.501793,0.507782,0.506700,0.511813,0.507090,0.528919,0.505329,0.501775,0.517163,0.516664,0.517210,0.508746,0.511797
4400,0.290387,0.265616,0.278624,0.280314,0.399635,0.283935,0.975246,0.904173,0.420285,0.439446,0.422778,0.396959,0.367243,0.754570,0.613110,0.443443,0.422782,0.411713,0.428423,0.398182,0.761450,0.561792,0.536283,0.474539,0.469281,0.497785,0.492244,0.527046,0.515926,0.501614,0.507436,0.506406,0.512029,0.507315,0.529436,0.505015,0.501653,0.517315,0.516867,0.517480,0.508822,0.510916
4600,0.290355,0.264089,0.271721,0.273385,0.405092,0.282516,1.000203,0.923056,0.418175,0.439323,0.421337,0.397117,0.364774,0.769805,0.619444,0.441959,0.421306,0.409695,0.428691,0.396879,0.775276,0.562099,0.535785,0.473334,0.467959,0.497352,0.491566,0.526882,0.515397,0.500763,0.508099,0.506976,0.512435,0.507546,0.529599,0.505121,0.501499,0.517620,0.517166,0.517812,0.508897,0.508762
4800,0.290421,0.262771,0.265880,0.267518,0.410309,0.281151,1.024421,0.940996,0.415552,0.439751,0.420358,0.397418,0.362492,0.784281,0.626077,0.440774,0.419977,0.408015,0.428892,0.395431,0.788102,0.561781,0.534825,0.471608,0.466223,0.496895,0.490883,0.526697,0.515785,0.500782,0.507761,0.506666,0.512452,0.507538,0.529848,0.505111,0.501464,0.517703,0.517295,0.517965,0.508889,0.507524
5000,0.289963,0.261176,0.260351,0.261975,0.415694,0.279590,1.048391,0.958521,0.412997,0.439790,0.419005,0.398103,0.360470,0.798679,0.632226,0.440188,0.419030,0.406501,0.429004,0.394054,0.799798,0.562127,0.534447,0.469251,0.463985,0.496519,0.490221,0.526454,0.515550,0.500818,0.507721,0.506685,0.512801,0.507759,0.530242,0.505500,0.501611,0.517707,0.517393,0.518094,0.508891,0.506550
5200,0.289628,0.259916,0.255422,0.257036,0.420528,0.278250,1.070211,0.973952,0.410533,0.440562,0.418449,0.398712,0.358662,0.812786,0.637630,0.438705,0.418922,0.405782,0.429767,0.393235,0.811410,0.561752,0.533505,0.468343,0.463015,0.496059,0.489517,0.526335,0.515778,0.500826,0.507587,0.506562,0.512940,0.507811,0.530476,0.505774,0.501813,0.517721,0.517534,0.518246,0.508919,0.505585
5400,0.289569,0.258958,0.251035,0.252630,0.425047,0.276969,1.091367,0.988942,0.407873,0.441087,0.417579,0.399601,0.357075,0.825654,0.642580,0.437490,0.418198,0.404682,0.429949,0.391883,0.822327,0.562165,0.533401,0.466613,0.461291,0.495651,0.488804,0.526328,0.515523,0.500409,0.507173,0.506277,0.513000,0.507889,0.530817,0.505732,0.501440,0.518020,0.517802,0.518402,0.508953,0.504655
5600,0.289587,0.258102,0.247190,0.248771,0.429254,0.275872,1.110675,1.002104,0.405730,0.441895,0.417312,0.400802,0.356146,0.837334,0.647114,0.436373,0.417730,0.403912,0.430373,0.391271,0.832042,0.562823,0.533149,0.465705,0.460424,0.495506,0.488436,0.526211,0.515248,0.499890,0.507259,0.506277,0.513072,0.507942,0.531037,0.505484,0.501185,0.517888,0.517695,0.518437,0.508927,0.504339
5800,0.289296,0.257047,0.243730,0.245292,0.433426,0.274942,1.129184,1.015552,0.404174,0.442647,0.416874,0.402132,0.355216,0.848941,0.651620,0.435747,0.417176,0.403057,0.430548,0.390440,0.840450,0.562764,0.532699,0.464403,0.459146,0.495225,0.487961,0.526202,0.515381,0.499833,0.507075,0.506102,0.513136,0.507992,0.531199,0.505308,0.501119,0.517818,0.517709,0.518480,0.508902,0.503790
6000,0.289013,0.256133,0.240612,0.242154,0.436679,0.274006,1.144898,1.025981,0.402417,0.443636,0.416664,0.403174,0.354355,0.858736,0.655229,0.434606,0.417070,0.402598,0.431014,0.389861,0.848481,0.562756,0.532371,0.463962,0.458558,0.494971,0.487435,0.526065,0.515312,0.499597,0.507013,0.506090,0.513142,0.507969,0.531341,0.505331,0.501093,0.517769,0.517674,0.518429,0.508875,0.503655
6200,0.289095,0.255617,0.238051,0.239585,0.439722,0.273065,1.159566,1.035329,0.400525,0.444240,0.416406,0.404351,0.353673,0.868328,0.658875,0.434205,0.416941,0.402216,0.431195,0.389216,0.856243,0.562144,0.531619,0.463352,0.457864,0.494766,0.487006,0.526052,0.515159,0.499520,0.507113,0.506144,0.513096,0.507971,0.531532,0.505156,0.500825,0.517796,0.517727,0.518498,0.508896,0.503400
