step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,final_residual_lut.T_soft,final_residual_lut.T_sel
2000,0.545828,0.565139,0.392034,0.386108,0.391116,0.352498,0.714615,0.645792,0.537193,0.436930,0.463445,0.385415,0.713998,0.614939,0.484728,0.416837,0.576306,0.502281,0.694142,0.609827,0.502810,0.433749,0.634592,0.583057,0.717067,0.633039,0.562576,0.508137,0.693812,0.660124,0.687754,0.626989,0.556621,0.487625,0.683286,0.639827,0.696108,0.528105
2200,0.548806,0.569415,0.392135,0.382881,0.400675,0.346106,0.732380,0.650252,0.559661,0.444391,0.481573,0.385632,0.736916,0.615027,0.494620,0.411713,0.586844,0.498273,0.717077,0.612478,0.510892,0.426906,0.641722,0.580341,0.742577,0.634157,0.567051,0.504786,0.713972,0.671664,0.708339,0.632528,0.562668,0.482880,0.701948,0.648314,0.714739,0.519166
2400,0.552444,0.574238,0.394421,0.380977,0.411886,0.340914,0.752779,0.655470,0.582906,0.451809,0.501439,0.386918,0.758982,0.613588,0.508400,0.409989,0.598291,0.495534,0.737427,0.612830,0.519023,0.421213,0.646875,0.575125,0.766866,0.631962,0.570290,0.501125,0.731183,0.680599,0.725879,0.634163,0.568727,0.479170,0.719385,0.655718,0.730365,0.508594
2600,0.553611,0.576666,0.398135,0.380295,0.425577,0.338563,0.769318,0.658129,0.604632,0.457001,0.521513,0.387486,0.777733,0.610093,0.521257,0.407320,0.610060,0.491364,0.756207,0.611564,0.528391,0.416325,0.653054,0.570555,0.787021,0.628349,0.574888,0.498085,0.748359,0.689029,0.738919,0.632181,0.572848,0.474372,0.735667,0.661185,0.744240,0.498826
2800,0.556198,0.580220,0.400699,0.378477,0.437758,0.335219,0.783378,0.658158,0.625403,0.461160,0.541123,0.388153,0.797503,0.606428,0.535642,0.406582,0.623372,0.488880,0.772990,0.608585,0.539461,0.413016,0.658783,0.567184,0.805737,0.624556,0.577408,0.493839,0.764179,0.695755,0.752722,0.630964,0.577404,0.469438,0.749995,0.665015,0.757838,0.488359
3000,0.556583,0.581699,0.403695,0.377738,0.450910,0.332647,0.797913,0.658703,0.647159,0.465389,0.560888,0.388645,0.817414,0.602822,0.548411,0.404843,0.635134,0.485280,0.789778,0.605073,0.551185,0.410681,0.665541,0.563702,0.821673,0.619203,0.580269,0.489673,0.778632,0.700924,0.766397,0.628195,0.579993,0.464241,0.761538,0.666488,0.770349,0.477980
3200,0.557682,0.583665,0.407091,0.377155,0.463580,0.330385,0.812400,0.659044,0.668059,0.468549,0.580150,0.387960,0.833636,0.597281,0.564157,0.405139,0.648288,0.483052,0.805360,0.601063,0.562718,0.407580,0.669297,0.557753,0.835768,0.612506,0.583037,0.485696,0.791902,0.705486,0.777220,0.624609,0.585313,0.459903,0.774980,0.668619,0.783079,0.467131
3400,0.557509,0.584494,0.410042,0.376415,0.476057,0.328053,0.822439,0.658286,0.686853,0.470465,0.599358,0.388611,0.850005,0.591705,0.577205,0.404139,0.660188,0.480028,0.821097,0.597122,0.574511,0.404578,0.673021,0.552923,0.852340,0.606087,0.585539,0.481574,0.802877,0.708279,0.786137,0.620895,0.589282,0.455760,0.785349,0.669006,0.795200,0.457311
3600,0.557329,0.585052,0.413318,0.376023,0.488033,0.325784,0.830834,0.655307,0.705962,0.473039,0.618380,0.389553,0.867097,0.585657,0.589840,0.402973,0.673782,0.475632,0.834710,0.591276,0.585987,0.402417,0.677201,0.548082,0.863115,0.597424,0.587439,0.476840,0.812911,0.709529,0.793466,0.615812,0.593639,0.451387,0.794345,0.668072,0.806483,0.447691
3800,0.556895,0.585447,0.416009,0.375467,0.499001,0.323176,0.837792,0.652399,0.722545,0.474999,0.636911,0.390419,0.880491,0.579937,0.602961,0.401721,0.683700,0.471780,0.845065,0.584887,0.599201,0.401526,0.682803,0.544457,0.874679,0.590578,0.588934,0.472548,0.821855,0.710719,0.801571,0.610741,0.597820,0.447188,0.803255,0.666792,0.816935,0.438753
4000,0.555736,0.584928,0.418553,0.375053,0.509885,0.320772,0.845722,0.651356,0.738460,0.475962,0.654189,0.389985,0.892835,0.574275,0.616075,0.401570,0.695159,0.469037,0.858084,0.580470,0.610681,0.400219,0.687886,0.541304,0.887563,0.584909,0.590820,0.468610,0.829243,0.711272,0.808891,0.606657,0.601802,0.443792,0.811901,0.666012,0.827074,0.430160
4200,0.555960,0.585836,0.421398,0.374801,0.520424,0.319117,0.851055,0.648390,0.752137,0.476239,0.669924,0.389638,0.903171,0.567652,0.627205,0.400488,0.702499,0.464447,0.867845,0.574617,0.620057,0.397443,0.690288,0.535763,0.893959,0.576740,0.591642,0.464240,0.835931,0.710777,0.813014,0.600993,0.604010,0.439654,0.816164,0.662548,0.836766,0.422278
4400,0.554621,0.584972,0.423055,0.374098,0.529104,0.316717,0.853817,0.644680,0.766137,0.476767,0.685601,0.389927,0.913016,0.561788,0.638112,0.399777,0.710149,0.460235,0.876513,0.568966,0.629351,0.395766,0.694642,0.532380,0.901226,0.570356,0.591946,0.459808,0.839962,0.708637,0.817489,0.595755,0.607321,0.436330,0.820936,0.660004,0.846553,0.414682
4600,0.554668,0.585550,0.424686,0.373410,0.536608,0.314317,0.857869,0.641612,0.779095,0.477535,0.700736,0.390763,0.922303,0.555940,0.649041,0.399642,0.719473,0.456678,0.883604,0.563545,0.637728,0.394221,0.696896,0.527369,0.907911,0.564302,0.592897,0.456400,0.844432,0.707343,0.821585,0.590908,0.610451,0.433486,0.826034,0.657803,0.856415,0.407473
4800,0.553934,0.585231,0.425402,0.372482,0.543404,0.311769,0.860660,0.638292,0.789757,0.477351,0.714531,0.390773,0.930621,0.550959,0.658829,0.399312,0.726566,0.453696,0.891175,0.558793,0.646881,0.393124,0.700122,0.523793,0.913235,0.558666,0.594950,0.453741,0.848215,0.705738,0.826064,0.586942,0.612441,0.430090,0.828109,0.653639,0.865005,0.401230
5000,0.553074,0.584862,0.426290,0.371707,0.548242,0.309109,0.863090,0.635621,0.798959,0.475989,0.727326,0.390004,0.938234,0.546818,0.668055,0.398831,0.732562,0.450638,0.897319,0.553710,0.655240,0.391681,0.702104,0.519820,0.919984,0.553712,0.596449,0.450790,0.851107,0.703566,0.828048,0.582351,0.615751,0.427247,0.830941,0.650177,0.872735,0.395038
5200,0.551729,0.584080,0.426770,0.370771,0.552137,0.306698,0.864176,0.632072,0.807518,0.474625,0.739202,0.388859,0.944693,0.542059,0.676818,0.398918,0.740085,0.448724,0.903436,0.549376,0.663489,0.391384,0.705386,0.517733,0.924469,0.549200,0.598192,0.447993,0.854025,0.701947,0.829918,0.578073,0.618323,0.425070,0.832793,0.646903,0.880595,0.389875
5400,0.550597,0.583223,0.426936,0.370002,0.555156,0.304086,0.864531,0.628553,0.814317,0.473497,0.748833,0.387532,0.952393,0.538511,0.684222,0.398490,0.745316,0.445891,0.908036,0.545642,0.671218,0.390909,0.707908,0.515214,0.927567,0.544832,0.599738,0.445777,0.856630,0.699938,0.831791,0.573833,0.620518,0.423070,0.834406,0.643881,0.887066,0.385002
5600,0.549366,0.582322,0.427056,0.369308,0.557913,0.302074,0.865298,0.625810,0.819514,0.471679,0.757870,0.386326,0.957963,0.534249,0.690492,0.397527,0.748843,0.442524,0.912244,0.541986,0.677799,0.390173,0.708951,0.512063,0.930351,0.540711,0.601545,0.444121,0.857828,0.697622,0.833499,0.569795,0.623245,0.421586,0.836314,0.641487,0.892968,0.380739
5800,0.548280,0.581429,0.426970,0.368594,0.558591,0.299590,0.866530,0.623581,0.824608,0.470684,0.766201,0.385682,0.963565,0.530714,0.696602,0.397219,0.753076,0.439956,0.916716,0.538572,0.683725,0.389464,0.710096,0.509321,0.933314,0.537027,0.602114,0.441813,0.858029,0.695072,0.836370,0.567389,0.625097,0.419544,0.836671,0.638215,0.898478,0.376700
6000,0.547758,0.581342,0.426413,0.367620,0.558896,0.297545,0.866823,0.621233,0.829288,0.469702,0.773372,0.384793,0.968346,0.527425,0.702228,0.397149,0.756814,0.437962,0.919766,0.535457,0.689300,0.389310,0.711655,0.506992,0.934915,0.533352,0.603361,0.440249,0.858612,0.693150,0.837159,0.564309,0.627028,0.418097,0.837251,0.635557,0.904069,0.372982
6200,0.547285,0.581069,0.426083,0.366874,0.557783,0.295119,0.867049,0.619260,0.832623,0.468493,0.779812,0.383726,0.971309,0.524589,0.708387,0.397903,0.760877,0.436798,0.922719,0.533016,0.694461,0.389261,0.713581,0.505397,0.936979,0.530595,0.604622,0.438953,0.859316,0.691312,0.838205,0.561979,0.629118,0.417168,0.838092,0.633413,0.908424,0.369887
6400,0.546356,0.580301,0.425588,0.366078,0.556599,0.293249,0.867334,0.617601,0.836474,0.468007,0.785824,0.383299,0.975628,0.521981,0.712490,0.397495,0.763161,0.435175,0.924847,0.530249,0.698545,0.388676,0.713821,0.503246,0.939474,0.528175,0.605547,0.437774,0.859107,0.689214,0.839506,0.559923,0.630410,0.416117,0.837873,0.631096,0.912686,0.367110
6600,0.545221,0.579335,0.425131,0.365394,0.555279,0.291438,0.867361,0.616054,0.837790,0.466636,0.790007,0.382321,0.977722,0.519401,0.716123,0.397167,0.765025,0.433593,0.927044,0.528032,0.702922,0.388783,0.714964,0.501838,0.940878,0.525556,0.606474,0.436595,0.859083,0.687416,0.840455,0.558160,0.632233,0.415328,0.838257,0.629251,0.916072,0.364585
6800,0.545067,0.579431,0.424405,0.364619,0.553674,0.289791,0.866193,0.613959,0.839379,0.465686,0.793945,0.381463,0.981139,0.517730,0.719778,0.397098,0.766883,0.432095,0.929213,0.526171,0.706461,0.388627,0.715644,0.500367,0.942182,0.523654,0.607531,0.435695,0.858898,0.685877,0.840800,0.556223,0.633489,0.414473,0.838033,0.627307,0.919434,0.362369
7000,0.544342,0.578865,0.423908,0.364045,0.551535,0.288149,0.865799,0.612660,0.840879,0.464960,0.797688,0.380894,0.983274,0.515857,0.723032,0.397032,0.768714,0.430922,0.930782,0.524307,0.709585,0.388535,0.716392,0.499198,0.942913,0.521769,0.608373,0.434909,0.858557,0.684316,0.840765,0.554271,0.634787,0.413867,0.838105,0.625595,0.922506,0.360280
7200,0.543742,0.578443,0.423327,0.363380,0.549784,0.286776,0.865376,0.611408,0.841481,0.463871,0.800934,0.380299,0.985161,0.514232,0.726010,0.396969,0.770277,0.429785,0.931901,0.522791,0.712293,0.388301,0.716820,0.497861,0.943709,0.520176,0.608918,0.434074,0.857973,0.682616,0.841067,0.552522,0.635793,0.413206,0.837762,0.623815,0.925097,0.358488
7400,0.542906,0.577643,0.422751,0.362844,0.547834,0.285403,0.865272,0.610397,0.842361,0.463198,0.803362,0.379647,0.987200,0.512874,0.728711,0.396989,0.771703,0.428797,0.932994,0.521218,0.714902,0.388255,0.717352,0.496905,0.944673,0.518720,0.609429,0.433290,0.857284,0.681082,0.841780,0.551437,0.636772,0.412596,0.837530,0.622328,0.927587,0.356960
7600,0.542528,0.577399,0.421992,0.362175,0.546045,0.284203,0.864494,0.609084,0.843721,0.462733,0.806176,0.379281,0.988799,0.511481,0.730678,0.396779,0.772258,0.427623,0.934088,0.519760,0.717340,0.388254,0.717651,0.495802,0.945494,0.517500,0.610042,0.432739,0.856901,0.679904,0.842151,0.550143,0.637475,0.411998,0.836811,0.620633,0.929651,0.355521
7800,0.542294,0.577267,0.421566,0.361767,0.543990,0.282938,0.864645,0.608337,0.844413,0.462143,0.808623,0.378760,0.990685,0.510328,0.732679,0.396575,0.773048,0.426648,0.935437,0.518751,0.719667,0.388218,0.718356,0.495026,0.946252,0.516234,0.610399,0.432139,0.856419,0.678758,0.842266,0.548937,0.638200,0.411420,0.836683,0.619428,0.931535,0.354175
8000,0.542027,0.577133,0.420801,0.361103,0.542088,0.281767,0.864241,0.607313,0.844104,0.461056,0.810612,0.378042,0.992521,0.509220,0.734522,0.396444,0.774027,0.425710,0.936488,0.517673,0.721782,0.388081,0.718589,0.493983,0.947168,0.515191,0.611071,0.431690,0.856426,0.677894,0.842315,0.547856,0.639079,0.410981,0.836406,0.618134,0.933548,0.352798
