step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,tau_L0,tau_L1,tau_L2,tau_L3,tau_L4,tau_L5
17500,3.705032,1.170426,14.041133,17.120708,17.614849,17.837093,18.349798,19.789469,0.716142,0.873046,0.898229,0.909699,0.935884,1.009111,10.518488,18.341091,15.385535,18.234753,18.826576,24.704365,0.18545777,0.35876769,0.38250929,0.42913634,0.52242506,0.77932209
18000,3.698463,1.168948,13.930693,17.066242,17.565969,17.791018,18.307060,19.773651,0.710492,0.870248,0.895711,0.907333,0.933684,1.008277,10.392985,18.324215,15.317012,18.235836,18.829960,24.797005,0.18278195,0.35550690,0.37938133,0.42514753,0.52208376,0.77227980
18500,3.688598,1.167483,13.833797,17.011589,17.522396,17.744066,18.267450,19.763508,0.705537,0.867435,0.893467,0.904918,0.931650,1.007722,10.277152,18.306067,15.255484,18.236073,18.833092,24.887936,0.17966764,0.35237703,0.37599206,0.41920745,0.51431799,0.76783186
19000,3.680967,1.166202,13.745546,16.957287,17.484789,17.704950,18.229914,19.746437,0.701014,0.864641,0.891524,0.902903,0.929709,1.006815,10.174017,18.291746,15.196052,18.243298,18.836435,24.972063,0.17662577,0.35036701,0.37292194,0.41638735,0.50915235,0.75961632
19500,3.683265,1.165051,13.657195,16.906935,17.444679,17.664959,18.198034,19.734222,0.696499,0.862057,0.889464,0.900848,0.928070,1.006156,10.076612,18.279270,15.138619,18.253826,18.837461,25.060093,0.17354779,0.34614959,0.36654642,0.41387698,0.50233215,0.75357014
20000,3.667587,1.163139,13.567548,16.863302,17.406572,17.627268,18.165295,19.727026,0.691913,0.859810,0.887505,0.898905,0.926385,1.005761,9.978789,18.267447,15.083419,18.258221,18.845297,25.142807,0.17143957,0.34330195,0.36279616,0.41054431,0.49817365,0.74553132
20500,3.659608,1.163384,13.489562,16.815819,17.368898,17.589693,18.132328,19.717051,0.687919,0.857361,0.885558,0.896974,0.924685,1.005220,9.895594,18.258436,15.031533,18.271311,18.852718,25.226126,0.16954559,0.33958569,0.36083314,0.40468970,0.49422464,0.73689801
21000,3.664474,1.160948,13.408702,16.775211,17.327839,17.560173,18.101526,19.709576,0.683778,0.855275,0.883444,0.895449,0.923106,1.004819,9.814084,18.248283,14.988925,18.270269,18.860855,25.308849,0.16710207,0.33483800,0.35838833,0.40008530,0.48877299,0.73218215
21500,3.634216,1.160393,13.341573,16.737795,17.301163,17.531630,18.076975,19.702337,0.680329,0.853348,0.882057,0.893973,0.921839,1.004423,9.736341,18.240179,14.942621,18.277176,18.866894,25.384544,0.16369459,0.33313358,0.35347411,0.39413032,0.48292619,0.72329533
22000,3.638597,1.159909,13.283208,16.699076,17.274565,17.501308,18.051645,19.694111,0.677349,0.851350,0.880685,0.892418,0.920527,1.003971,9.667006,18.230448,14.905168,18.283089,18.875004,25.460064,0.16126381,0.33093631,0.35061878,0.38925770,0.47581267,0.71709991
22500,3.621239,1.158431,13.221450,16.663561,17.246151,17.475592,18.032707,19.690771,0.674179,0.849520,0.879213,0.891094,0.919542,1.003780,9.603019,18.224436,14.867381,18.291298,18.887030,25.531624,0.15905270,0.32911375,0.34773174,0.38562796,0.47182733,0.71078539
23000,3.612690,1.158336,13.160698,16.632536,17.218058,17.450525,18.011591,19.686457,0.671074,0.847912,0.877754,0.889805,0.918458,1.003530,9.545834,18.220371,14.833748,18.305859,18.899960,25.607113,0.15766032,0.32413238,0.34448352,0.38351503,0.46968770,0.70630527
23500,3.599214,1.156788,13.108013,16.601595,17.204145,17.431549,17.996384,19.681427,0.668386,0.846330,0.877039,0.888820,0.917668,1.003244,9.490321,18.214024,14.806375,18.314901,18.907440,25.679399,0.15465128,0.32077783,0.34091696,0.37715653,0.46495500,0.70067078
24000,3.587146,1.156620,13.057957,16.574869,17.185308,17.409985,17.978979,19.681761,0.665829,0.844939,0.876058,0.887708,0.916767,1.003234,9.442715,18.211861,14.769018,18.322453,18.921478,25.750452,0.15216891,0.31835419,0.33679128,0.37329414,0.46058664,0.69522625
24500,3.593784,1.154298,13.014713,16.549068,17.169773,17.397940,17.961700,19.676340,0.663597,0.843615,0.875251,0.887084,0.915875,1.002933,9.395103,18.209059,14.742131,18.344265,18.935417,25.814615,0.14979170,0.31534493,0.33295381,0.36859578,0.45734566,0.68889976
25000,3.569142,1.153474,12.977281,16.527382,17.149700,17.376228,17.951946,19.676834,0.661693,0.842497,0.874217,0.885962,0.915364,1.002939,9.354174,18.206121,14.719037,18.357149,18.946209,25.887201,0.14810963,0.31334242,0.32986310,0.36651969,0.44994318,0.68244827
