step,module,frac_anchors_changed_vs_init
2600,L3.residual_lut,0.033203
2600,L4.qk_lut,0.062012
2600,L4.v_lut,0.060894
2600,L4.out_proj,0.059082
2600,L4.residual_lut,0.031901
2600,L5.qk_lut,0.058187
2600,L5.v_lut,0.041406
2600,L5.out_proj,0.057048
2600,L5.residual_lut,0.042643
2800,L0.qk_lut,0.055664
2800,L0.v_lut,0.048438
2800,L0.out_proj,0.045085
2800,L0.residual_lut,0.041341
2800,L1.qk_lut,0.060872
2800,L1.v_lut,0.054644
2800,L1.out_proj,0.054281
2800,L1.residual_lut,0.035156
2800,L2.qk_lut,0.059408
2800,L2.v_lut,0.056901
2800,L2.out_proj,0.051839
2800,L2.residual_lut,0.041341
2800,L3.qk_lut,0.062988
2800,L3.v_lut,0.058247
2800,L3.out_proj,0.056722
2800,L3.residual_lut,0.032552
2800,L4.qk_lut,0.063395
2800,L4.v_lut,0.060590
2800,L4.out_proj,0.057943
2800,L4.residual_lut,0.035156
2800,L5.qk_lut,0.060465
2800,L5.v_lut,0.042882
2800,L5.out_proj,0.059977
2800,L5.residual_lut,0.041992
3000,L0.qk_lut,0.057536
3000,L0.v_lut,0.048828
3000,L0.out_proj,0.044108
3000,L0.residual_lut,0.039388
3000,L1.qk_lut,0.059570
3000,L1.v_lut,0.057075
3000,L1.out_proj,0.052816
3000,L1.residual_lut,0.036458
3000,L2.qk_lut,0.061198
3000,L2.v_lut,0.057335
3000,L2.out_proj,0.051188
3000,L2.residual_lut,0.037435
3000,L3.qk_lut,0.064535
3000,L3.v_lut,0.058203
3000,L3.out_proj,0.055013
3000,L3.residual_lut,0.033529
3000,L4.qk_lut,0.065999
3000,L4.v_lut,0.059766
3000,L4.out_proj,0.060465
3000,L4.residual_lut,0.037109
3000,L5.qk_lut,0.063232
3000,L5.v_lut,0.045356
3000,L5.out_proj,0.062337
3000,L5.residual_lut,0.047201
3200,L0.qk_lut,0.059245
3200,L0.v_lut,0.050694
3200,L0.out_proj,0.048177
3200,L0.residual_lut,0.042969
3200,L1.qk_lut,0.060221
3200,L1.v_lut,0.059115
3200,L1.out_proj,0.053141
3200,L1.residual_lut,0.037109
3200,L2.qk_lut,0.059326
3200,L2.v_lut,0.061024
3200,L2.out_proj,0.051839
3200,L2.residual_lut,0.036458
3200,L3.qk_lut,0.063802
3200,L3.v_lut,0.059766
3200,L3.out_proj,0.056071
3200,L3.residual_lut,0.039062
3200,L4.qk_lut,0.065674
3200,L4.v_lut,0.062934
3200,L4.out_proj,0.061849
3200,L4.residual_lut,0.038086
3200,L5.qk_lut,0.065511
3200,L5.v_lut,0.047483
3200,L5.out_proj,0.063314
3200,L5.residual_lut,0.049479
3400,L0.qk_lut,0.060791
3400,L0.v_lut,0.051476
3400,L0.out_proj,0.050537
3400,L0.residual_lut,0.034180
3400,L1.qk_lut,0.062826
3400,L1.v_lut,0.060547
3400,L1.out_proj,0.055990
3400,L1.residual_lut,0.034180
3400,L2.qk_lut,0.059814
3400,L2.v_lut,0.061849
3400,L2.out_proj,0.052734
3400,L2.residual_lut,0.041992
3400,L3.qk_lut,0.066650
3400,L3.v_lut,0.059766
3400,L3.out_proj,0.057617
3400,L3.residual_lut,0.035807
3400,L4.qk_lut,0.068604
3400,L4.v_lut,0.063845
3400,L4.out_proj,0.066650
3400,L4.residual_lut,0.039062
3400,L5.qk_lut,0.067139
3400,L5.v_lut,0.047700
3400,L5.out_proj,0.063883
3400,L5.residual_lut,0.052734
