step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
4000,0.405623,0.327053,0.390106,0.292627,0.726424,0.429453,0.622144,0.306952,0.827685,0.378935,0.584525,0.334621,0.760379,0.452805,0.705912,0.371928,0.927169,0.386460,0.660533,0.341623,0.745857,0.407303,0.814339,0.384213,1.000970,0.377490,0.546122,0.334970,0.592372,0.331054,0.791923,0.384390,0.949203,0.392610,0.539416,0.317907,0.553935,0.321534,0.671217,0.345695,0.772215,0.376008,0.368710,0.317039,0.408732,0.290933,0.617215,0.343292
4200,0.414118,0.322306,0.401689,0.287874,0.766825,0.432315,0.650136,0.301263,0.851891,0.371486,0.607526,0.330336,0.799558,0.453563,0.730036,0.365061,0.961661,0.377436,0.690227,0.337366,0.785869,0.407918,0.847131,0.376311,1.049703,0.368391,0.568394,0.332379,0.622643,0.327697,0.821861,0.377169,0.990666,0.384002,0.563422,0.315176,0.582549,0.318785,0.688986,0.337970,0.791105,0.369011,0.370188,0.311385,0.425579,0.283393,0.628848,0.335432
4400,0.421654,0.316782,0.413938,0.282602,0.808640,0.433687,0.677273,0.295600,0.875654,0.364126,0.634111,0.326178,0.840089,0.453999,0.753388,0.359162,0.994570,0.370046,0.720008,0.333521,0.827323,0.409510,0.878395,0.369396,1.099930,0.360736,0.592859,0.330033,0.655327,0.324614,0.851679,0.370011,1.030171,0.376037,0.588149,0.313789,0.612415,0.317391,0.707074,0.330252,0.811485,0.362220,0.373369,0.307209,0.444638,0.277916,0.642736,0.327755
4600,0.430491,0.312864,0.427037,0.277943,0.851384,0.433656,0.703703,0.289934,0.899698,0.356908,0.659522,0.321128,0.883102,0.454046,0.779355,0.353169,1.025659,0.361296,0.751649,0.329053,0.870504,0.408408,0.912186,0.361894,1.150934,0.352525,0.617527,0.327282,0.689697,0.322446,0.883129,0.362354,1.070983,0.369094,0.614615,0.311114,0.643628,0.315610,0.726560,0.322261,0.833418,0.356170,0.377654,0.302869,0.463756,0.272670,0.656112,0.320614
4800,0.438389,0.308398,0.439566,0.273971,0.895498,0.432352,0.733912,0.284691,0.927285,0.349147,0.685895,0.316658,0.927165,0.453931,0.806166,0.346896,1.056910,0.353365,0.782802,0.323652,0.914981,0.406294,0.947653,0.353251,1.202844,0.344263,0.642379,0.324836,0.725226,0.320864,0.916638,0.354942,1.109962,0.360453,0.640637,0.308791,0.674792,0.313344,0.746786,0.314426,0.854556,0.349728,0.382530,0.299216,0.485351,0.269263,0.669448,0.312884
5000,0.447829,0.303967,0.453579,0.270249,0.943095,0.430850,0.761565,0.279576,0.952424,0.342969,0.710832,0.312059,0.972973,0.453463,0.830699,0.340859,1.087750,0.345581,0.814721,0.318317,0.961137,0.404166,0.981311,0.346110,1.257701,0.335305,0.668842,0.322501,0.761822,0.318205,0.948753,0.348488,1.150727,0.353248,0.667130,0.305998,0.707932,0.311081,0.766391,0.308046,0.876141,0.343753,0.387707,0.295986,0.509151,0.265650,0.681309,0.306372
5200,0.457820,0.300323,0.466991,0.266703,0.990929,0.430176,0.788858,0.274443,0.977755,0.336054,0.737124,0.307859,1.020530,0.451400,0.857089,0.335041,1.121711,0.338578,0.848298,0.313183,1.009651,0.403068,1.017854,0.339312,1.315210,0.328352,0.696311,0.319917,0.800721,0.315440,0.982238,0.341524,1.192850,0.346258,0.695461,0.303799,0.742833,0.309770,0.787068,0.300980,0.897986,0.338334,0.394718,0.293289,0.531757,0.263603,0.694936,0.300200
5400,0.464888,0.295810,0.480641,0.262694,1.041128,0.427348,0.819225,0.269927,1.004306,0.329312,0.761904,0.303548,1.071572,0.450419,0.884484,0.329137,1.154635,0.331321,0.879405,0.308570,1.062177,0.401059,1.051606,0.331591,1.373691,0.320958,0.723140,0.317471,0.840779,0.312914,1.015303,0.333926,1.237659,0.338933,0.722498,0.301646,0.780374,0.308375,0.808937,0.294422,0.921893,0.331517,0.403401,0.291778,0.556408,0.261246,0.709789,0.293637
5600,0.473419,0.291802,0.493131,0.259325,1.092824,0.424614,0.847500,0.265555,1.030692,0.322673,0.789100,0.299039,1.122774,0.447538,0.909899,0.323991,1.188279,0.324483,0.911011,0.303332,1.113625,0.399272,1.085082,0.324895,1.435862,0.313113,0.752893,0.314755,0.882602,0.310272,1.047202,0.327661,1.281586,0.331525,0.751331,0.298690,0.817122,0.306027,0.830843,0.288683,0.947992,0.326474,0.410347,0.289832,0.581735,0.258402,0.723799,0.288056
5800,0.483156,0.288294,0.506165,0.255668,1.147616,0.421481,0.873969,0.261649,1.059488,0.316521,0.814097,0.294704,1.175903,0.445050,0.934230,0.319433,1.219420,0.318374,0.942327,0.298354,1.168566,0.397504,1.120142,0.318661,1.499998,0.305422,0.781165,0.311794,0.925898,0.306129,1.081405,0.321410,1.326066,0.324676,0.779421,0.296454,0.855202,0.303569,0.850432,0.283074,0.966852,0.320400,0.418553,0.287945,0.609136,0.257263,0.738521,0.282425
