step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.ffn_lut.T_soft,L0.ffn_lut.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.ffn_lut.T_soft,L1.ffn_lut.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.ffn_lut.T_soft,L2.ffn_lut.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.ffn_lut.T_soft,L3.ffn_lut.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.ffn_lut.T_soft,L4.ffn_lut.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.ffn_lut.T_soft,L5.ffn_lut.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.342880,0.341415,0.365237,0.365415,0.322705,0.319734,0.339171,0.329649,0.413957,0.410810,0.577085,0.424055,0.386302,0.369304,0.337819,0.332524,0.363283,0.349706,0.448068,0.423733,0.522071,0.464955,0.432719,0.431260,0.375487,0.359146,0.397917,0.391799,0.539770,0.517554,0.445118,0.444465,0.447367,0.446105,0.444090,0.443513,0.444418,0.424704,0.601911,0.594304,0.481758,0.469140,0.478929,0.468000,0.459647,0.459069,0.461473,0.446160,0.585917,0.568425,0.487828,0.490502,0.491561,0.491739,0.501718,0.501576,0.505591,0.504750,0.661170,0.647171
2200,0.329293,0.327681,0.351965,0.352100,0.308808,0.303854,0.332679,0.315169,0.404858,0.400333,0.594440,0.420320,0.388479,0.361898,0.327019,0.317396,0.355887,0.336790,0.441119,0.411931,0.528914,0.462626,0.427338,0.425047,0.364091,0.344480,0.390926,0.378926,0.540519,0.513884,0.446763,0.446681,0.448872,0.447583,0.444304,0.444137,0.445323,0.418232,0.613138,0.599974,0.480636,0.466665,0.478877,0.466677,0.457202,0.456388,0.461644,0.441286,0.589028,0.569554,0.486279,0.487380,0.488890,0.488451,0.498456,0.498310,0.502587,0.500789,0.664594,0.648815
2400,0.315554,0.313859,0.338507,0.338670,0.297897,0.289625,0.331179,0.302686,0.396404,0.390041,0.611630,0.417377,0.395165,0.356332,0.320657,0.303886,0.351702,0.324873,0.436202,0.400754,0.537029,0.460679,0.422357,0.419259,0.354583,0.331394,0.385068,0.367011,0.541857,0.511212,0.446619,0.446598,0.448719,0.447601,0.444585,0.443952,0.445843,0.410782,0.628169,0.604984,0.480970,0.465992,0.479882,0.466477,0.456001,0.455113,0.461537,0.435475,0.591738,0.570160,0.484396,0.485959,0.487291,0.487149,0.497378,0.497166,0.501804,0.499600,0.666760,0.649695
2600,0.303083,0.301274,0.326212,0.326413,0.293089,0.277615,0.336427,0.292398,0.389180,0.380367,0.627636,0.413942,0.404511,0.352989,0.320970,0.291853,0.352101,0.314571,0.434265,0.390951,0.545576,0.459405,0.418583,0.414316,0.348325,0.320806,0.381839,0.357629,0.542477,0.507966,0.444352,0.445001,0.444981,0.443501,0.442547,0.440973,0.443236,0.401211,0.643749,0.608863,0.482054,0.466646,0.481864,0.467639,0.456719,0.455673,0.463327,0.429219,0.594266,0.570651,0.484585,0.484932,0.486877,0.485950,0.496545,0.496398,0.501173,0.498792,0.668887,0.650472
2800,0.292456,0.290493,0.314817,0.315010,0.293315,0.267387,0.342794,0.284190,0.382681,0.370995,0.642613,0.410876,0.415819,0.351166,0.325950,0.281806,0.356063,0.305808,0.435183,0.382490,0.553863,0.457955,0.415137,0.409604,0.342007,0.310044,0.379743,0.349382,0.542970,0.504790,0.443462,0.444307,0.443836,0.442045,0.441669,0.439065,0.442263,0.397165,0.655631,0.611928,0.483665,0.467040,0.483641,0.468112,0.455901,0.454710,0.463161,0.422026,0.596562,0.571143,0.484682,0.483881,0.486143,0.484848,0.495669,0.495608,0.500144,0.497504,0.671060,0.651288
3000,0.282672,0.280569,0.304205,0.304410,0.296433,0.259191,0.351790,0.278174,0.377731,0.362798,0.658239,0.407705,0.426400,0.349738,0.333405,0.273789,0.362135,0.299134,0.437881,0.375283,0.561864,0.456428,0.411969,0.405054,0.337797,0.300985,0.379029,0.341961,0.544301,0.502660,0.444107,0.444958,0.443346,0.441335,0.441026,0.437500,0.441991,0.395325,0.665265,0.614438,0.484879,0.468878,0.484494,0.469577,0.458391,0.457016,0.466207,0.417424,0.598427,0.571533,0.484935,0.483472,0.486321,0.484374,0.495374,0.495364,0.499790,0.496935,0.672909,0.651972
3200,0.273259,0.271092,0.294264,0.294470,0.301704,0.253030,0.360541,0.272965,0.373243,0.354480,0.669137,0.403638,0.437429,0.348780,0.341671,0.266865,0.370485,0.292793,0.442526,0.367434,0.570408,0.455137,0.409925,0.401236,0.334625,0.292528,0.379629,0.335302,0.544935,0.499801,0.442815,0.442986,0.442301,0.440092,0.439917,0.435769,0.441399,0.394051,0.673133,0.616123,0.485359,0.469378,0.485513,0.470440,0.459120,0.457642,0.467604,0.411859,0.600028,0.571749,0.484575,0.482756,0.485822,0.483752,0.494811,0.494838,0.499253,0.496131,0.674811,0.652544
3400,0.264504,0.262253,0.284837,0.285045,0.307441,0.247746,0.370107,0.268729,0.369838,0.347140,0.682407,0.399776,0.449817,0.347868,0.350405,0.261033,0.379666,0.288285,0.449238,0.361741,0.580754,0.454515,0.407273,0.397001,0.332011,0.284770,0.380937,0.329175,0.545357,0.496977,0.442831,0.442909,0.441860,0.439932,0.439313,0.434134,0.441054,0.393004,0.680951,0.618255,0.485987,0.470620,0.486448,0.471840,0.461796,0.460244,0.470706,0.408324,0.601479,0.572061,0.484206,0.482140,0.485315,0.483173,0.494365,0.494442,0.498799,0.495509,0.676504,0.653181
3600,0.256704,0.254341,0.275991,0.276203,0.313648,0.243690,0.379139,0.264886,0.367954,0.340829,0.692566,0.396075,0.460214,0.347376,0.359661,0.255772,0.388571,0.283928,0.455989,0.356532,0.587674,0.452621,0.406069,0.394044,0.331027,0.278234,0.383015,0.324323,0.545441,0.493850,0.442652,0.442806,0.441404,0.439559,0.438869,0.432325,0.440588,0.391981,0.685488,0.619531,0.486042,0.470925,0.486637,0.472149,0.462621,0.461058,0.472265,0.403627,0.602759,0.572300,0.484059,0.481608,0.484946,0.482652,0.493951,0.494069,0.498367,0.494957,0.677854,0.653636
3800,0.249389,0.246932,0.267793,0.267985,0.320406,0.239693,0.389249,0.261806,0.366494,0.333944,0.701818,0.391727,0.469584,0.346481,0.368679,0.251325,0.398616,0.279644,0.465162,0.352499,0.596613,0.451619,0.405671,0.391637,0.331025,0.272206,0.386293,0.319693,0.546403,0.491232,0.442485,0.442384,0.441021,0.439279,0.438038,0.430174,0.439861,0.390859,0.689223,0.620742,0.486108,0.471180,0.486913,0.472540,0.463786,0.462154,0.474965,0.398434,0.604110,0.572581,0.483555,0.480978,0.484431,0.482042,0.493395,0.493537,0.497865,0.494283,0.679350,0.654154
