step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
4000,0.564822,0.587661,0.394764,0.348413,0.673304,0.426501,0.562203,0.374808,0.833214,0.627974,0.632202,0.421741,0.759908,0.488907,0.653426,0.402539,0.816639,0.529030,0.546123,0.381935,0.631140,0.427441,0.661467,0.404489,0.776875,0.527785,0.450829,0.358665,0.581978,0.456688,0.639295,0.410479,0.713314,0.548199,0.424695,0.355784,0.552739,0.440737,0.625403,0.405894,0.688356,0.520029,0.424305,0.420435,0.562959,0.504903,0.620581,0.453804
4200,0.564329,0.587384,0.397191,0.347407,0.686103,0.425512,0.565070,0.369876,0.837430,0.623141,0.639646,0.420396,0.774091,0.488518,0.661099,0.399849,0.822084,0.522054,0.552545,0.380192,0.640053,0.424290,0.669009,0.400879,0.780468,0.521028,0.455482,0.356765,0.585118,0.452352,0.643831,0.405661,0.717042,0.544459,0.427661,0.353768,0.556826,0.437162,0.630300,0.400819,0.694942,0.517295,0.421951,0.417594,0.564445,0.503142,0.623154,0.448442
4400,0.562711,0.586099,0.398870,0.346030,0.697238,0.423368,0.565832,0.364591,0.841362,0.618858,0.645958,0.419092,0.786815,0.488136,0.668057,0.397522,0.827510,0.515451,0.559415,0.379059,0.649307,0.421592,0.676706,0.398100,0.784280,0.515131,0.460263,0.355820,0.590187,0.449448,0.649130,0.401511,0.718188,0.539608,0.431202,0.352499,0.559578,0.433131,0.635418,0.396512,0.699679,0.513464,0.419629,0.414911,0.565399,0.501055,0.624982,0.443302
4600,0.562456,0.586058,0.399923,0.344742,0.707417,0.421775,0.567018,0.359805,0.841982,0.613370,0.652260,0.417936,0.797716,0.486657,0.673449,0.394575,0.833680,0.509704,0.565350,0.377568,0.658321,0.419266,0.682873,0.394632,0.786886,0.509432,0.465404,0.354948,0.595112,0.445693,0.654757,0.397512,0.722451,0.537144,0.434275,0.351193,0.562262,0.429950,0.640568,0.392274,0.703735,0.509741,0.417944,0.412952,0.566752,0.499724,0.627964,0.439146
4800,0.561800,0.585662,0.400546,0.343307,0.714694,0.419006,0.568571,0.355658,0.844130,0.609031,0.657929,0.416341,0.807915,0.485080,0.677846,0.391784,0.836902,0.504224,0.571306,0.377032,0.667613,0.418185,0.688588,0.392009,0.789860,0.504639,0.470398,0.354208,0.598933,0.442563,0.659324,0.394281,0.722513,0.532954,0.436936,0.349739,0.564845,0.426699,0.645433,0.388554,0.708224,0.506527,0.416536,0.411042,0.567051,0.497814,0.629293,0.434646
5000,0.559952,0.584071,0.401139,0.342110,0.722191,0.416976,0.569810,0.351936,0.845589,0.605135,0.662853,0.415021,0.816268,0.483134,0.682821,0.389397,0.841204,0.499224,0.576337,0.375766,0.673425,0.415084,0.693494,0.388659,0.792353,0.499979,0.474901,0.353150,0.602653,0.439453,0.662308,0.390545,0.723466,0.529283,0.440953,0.349281,0.567425,0.424446,0.648830,0.384802,0.711696,0.503302,0.414821,0.408959,0.567632,0.495786,0.630220,0.429552
5200,0.558736,0.583085,0.401423,0.341038,0.727703,0.414762,0.569217,0.347800,0.844523,0.600141,0.668000,0.414319,0.826048,0.482098,0.686892,0.387279,0.844434,0.494945,0.581224,0.375236,0.680292,0.413099,0.698082,0.386059,0.795024,0.496181,0.479165,0.352973,0.605488,0.437110,0.665970,0.387724,0.723991,0.525644,0.444569,0.349014,0.569760,0.421737,0.653003,0.381862,0.715675,0.501256,0.413047,0.406967,0.568025,0.494286,0.632317,0.426478
5400,0.557646,0.582127,0.401608,0.340057,0.731945,0.412366,0.569157,0.344007,0.845825,0.597372,0.671391,0.412856,0.833381,0.480260,0.690527,0.385427,0.847878,0.490941,0.585764,0.374387,0.686462,0.410971,0.702388,0.383943,0.797793,0.492800,0.482816,0.352444,0.608470,0.434365,0.668644,0.384910,0.725325,0.523186,0.447580,0.348557,0.572330,0.419443,0.655866,0.378629,0.718264,0.498904,0.412319,0.405657,0.568510,0.492574,0.633903,0.422883
5600,0.556401,0.581005,0.401408,0.339037,0.735767,0.410403,0.568576,0.340768,0.845650,0.593980,0.674657,0.411818,0.839868,0.478598,0.693153,0.383728,0.849599,0.486764,0.589280,0.373731,0.691306,0.408632,0.705244,0.381672,0.798862,0.489098,0.486076,0.352019,0.610307,0.431558,0.671048,0.381750,0.725980,0.520266,0.450539,0.348407,0.574666,0.417443,0.658840,0.375638,0.720399,0.496134,0.411622,0.404549,0.568625,0.490780,0.635801,0.419797
5800,0.555106,0.579751,0.400708,0.337707,0.738761,0.408271,0.567356,0.337616,0.846221,0.591296,0.678024,0.410928,0.846043,0.477433,0.695645,0.382072,0.852781,0.484159,0.593100,0.373107,0.695967,0.407067,0.708639,0.379641,0.800779,0.486208,0.489803,0.351918,0.612178,0.428867,0.673908,0.379269,0.726446,0.517690,0.453542,0.348370,0.577156,0.416002,0.661764,0.373215,0.722783,0.493935,0.410943,0.403416,0.568474,0.489050,0.636866,0.416952
