#{"t_start": 1785186932.7995453, "env_id": "Walker2d-v5"}
r,l,t
6.917505,18,1.011195
-2.751623,23,1.01415
-2.777577,33,1.018434
-4.177658,28,1.0228
9.737679,38,1.027735
-0.628023,19,1.030234
7.711332,20,1.032818
3.46719,28,1.03743
3.098921,18,1.040002
-0.075757,17,1.042182
-6.232674,30,1.045852
8.422933,25,1.049746
2.469324,25,1.052932
-2.753223,20,1.05537
1.504664,20,1.057975
-2.02271,15,1.060883
-3.901306,25,1.064139
-2.927835,11,1.065588
-1.312503,11,1.06699
2.030418,14,1.069422
5.053375,18,1.071788
-1.738879,12,1.073351
-0.908946,11,1.07479
1.654998,13,1.07701
0.877349,12,1.078584
2.001643,14,1.080371
3.663012,38,1.085136
-5.633086,20,1.088319
0.492939,24,1.09145
1.661989,28,1.095162
9.724166,40,1.100348
-2.71309,16,1.103013
2.36915,23,1.105963
0.011781,25,1.109255
-8.269788,14,1.111104
1.898539,17,1.114128
-0.439739,18,1.116462
5.102636,27,1.119911
-4.101403,10,1.121245
-4.223359,10,1.12336
5.843686,35,1.127911
2.46728,14,1.129682
2.229219,23,1.132668
-1.325946,16,1.135684
0.222461,10,1.136964
-1.637924,28,1.140474
-1.833429,38,1.145408
-0.839805,34,1.150415
-3.549531,23,1.153333
-5.069263,26,1.156901
0.808439,12,1.158436
-0.340132,12,1.160918
11.757699,40,1.166197
-4.463587,31,1.170229
3.080435,19,1.172749
10.400224,23,1.176736
12.113335,25,1.180004
0.219228,17,1.182223
-6.821023,24,1.185249
-6.320212,23,1.189111
-1.710585,28,1.192596
8.963215,27,1.196076
0.853517,13,1.197751
1.996061,22,1.201263
0.929583,11,1.202661
6.076578,25,1.205822
-0.852828,14,1.20763
5.992936,19,1.210901
0.193387,16,1.213048
9.670755,24,1.216042
-2.918509,28,1.219632
1.584472,28,1.224324
5.68322,22,1.227276
3.613962,31,1.231266
-6.888032,10,1.232464
-1.497376,21,1.236255
5.486027,26,1.239693
1.692092,12,1.24116
1.712198,34,1.245515
-0.209748,22,1.249353
-5.072888,27,1.252802
-3.550995,15,1.254745
-2.503003,13,1.256437
16.493649,33,1.261629
6.096976,26,1.265079
-1.376731,11,1.266515
-3.449717,13,1.268228
-1.019713,20,1.271908
4.102709,40,1.277267
-3.857026,15,1.279151
4.299669,28,1.282727
-1.458114,16,1.285743
2.509301,30,1.289583
2.983763,18,1.291933
0.915939,14,1.293653
-1.055772,10,1.295907
-1.308844,14,1.297808
-0.67733,17,1.300042
1.145838,13,1.301718
4.406088,28,1.305962
2.156888,18,1.30831
3.326727,21,1.311024
4.8964,19,1.313464
-1.718691,19,1.316907
-2.187487,11,1.318381
1.824895,13,1.320044
1.705898,20,1.32267
-0.801629,15,1.325224
7.089841,30,1.329252
-7.409095,21,1.332016
-2.613516,13,1.333688
0.9583,16,1.336709
-4.56616,11,1.338159
-5.05038,12,1.339738
-1.069702,15,1.341636
33.585635,49,1.348703
9.385408,35,1.353374
2.74734,17,1.355684
-3.794658,13,1.357467
4.865143,17,1.360592
-0.569787,12,1.362253
0.42151,30,1.366153
-0.180045,24,1.369273
1.414706,39,1.374803
14.959953,40,1.379966
0.124534,15,1.381839
1.511894,20,1.384482
4.054354,17,1.387361
-0.329789,14,1.389089
4.804776,28,1.393004
-2.886285,25,1.396141
-5.8043,19,1.399168
6.554619,32,1.403324
1.456932,39,1.408433
1.806328,16,1.410484
5.181457,27,1.414477
9.843605,27,1.417986
9.236907,39,1.422883
3.619353,16,1.424922
6.880161,25,1.429053
5.923138,26,1.432532
8.328089,57,1.439935
-4.919482,16,1.441952
4.06315,26,1.446308
-1.697903,20,1.448855
-4.929474,16,1.450803
-3.686501,24,1.45379
4.779518,24,1.457977
9.817337,25,1.46124
1.973801,15,1.46324
1.830669,28,1.466797
1.16008,19,1.470309
-0.601966,16,1.472487
6.133123,37,1.477266
-2.532313,25,1.480486
-5.913151,25,1.484529
7.368243,48,1.490685
4.719606,21,1.493445
5.044442,25,1.496718
-2.507787,19,1.500108
-5.833579,15,1.502148
1.867059,39,1.507261
13.971177,27,1.510874
0.619466,15,1.513416
3.236936,14,1.515274
-2.510217,19,1.517767
-3.060065,29,1.521509
8.080562,23,1.524851
4.149433,43,1.530447
-3.338581,10,1.531793
-1.28097,15,1.53372
14.20385,24,1.537974
9.778072,31,1.541954
15.454021,42,1.547264
8.297698,20,1.549847
3.541822,34,1.555048
3.824114,23,1.55796
1.464989,18,1.560336
-2.147565,12,1.561894
-0.81597,23,1.565581
0.836764,13,1.567296
-1.211966,14,1.569115
2.801149,20,1.571716
-0.417821,13,1.574251
-3.391187,9,1.575495
2.797555,28,1.579103
-0.840662,15,1.581061
-4.316444,16,1.583979
-3.002509,18,1.586289
-3.830889,11,1.587713
-2.5979,9,1.588854
-2.067375,12,1.591452
-0.43051,29,1.595356
12.696514,34,1.5999
2.91312,17,1.602099
1.296909,23,1.606019
4.224377,38,1.610876
5.336005,23,1.613842
-2.572321,25,1.617075
-2.640341,9,1.619151
2.029039,25,1.622329
-1.988372,20,1.624963
-2.302242,13,1.626897
-1.567328,19,1.630342
1.213138,35,1.634898
2.41187,23,1.637848
7.949032,49,1.644251
-4.924099,12,1.646799
-2.729057,11,1.648324
-3.726768,17,1.650556
6.628674,21,1.653278
17.236374,26,1.657624
-2.9977,35,1.66213
3.894676,19,1.664645
-3.464017,19,1.667099
2.786516,15,1.670048
24.054114,51,1.676753
3.795959,20,1.679379
0.528515,28,1.683012
-6.835844,18,1.686263
7.098795,18,1.688572
6.34558,30,1.692435
4.144644,21,1.695136
6.245771,18,1.69855
-2.359084,16,1.700638
2.097591,15,1.702573
8.321411,21,1.705327
14.9736,31,1.710284
3.413448,27,1.713803
-3.972879,11,1.715233
-1.106229,28,1.71892
-1.812626,21,1.722452
25.609066,38,1.727375
0.805063,19,1.72979
-3.569384,26,1.733142
-9.124548,15,1.736056
-1.675449,13,1.737819
-2.863624,10,1.73911
7.864044,30,1.74326
3.076356,19,1.746539
11.552446,24,1.749682
1.642451,17,1.751776
0.354506,17,1.753997
3.369195,20,1.757247
5.226532,19,1.759689
-6.854068,22,1.762488
0.883273,26,1.765747
-1.893042,14,1.768542
5.060873,23,1.771642
12.220348,22,1.774508
6.344923,34,1.77902
4.048845,18,1.782298
6.605561,19,1.784852
0.029773,16,1.786974
9.650231,28,1.790613
12.010521,31,1.795853
2.84581,21,1.798594
-5.703538,20,1.801093
1.117773,15,1.803073
-0.080972,21,1.806508
-10.876692,15,1.808449
5.42098,19,1.810896
-3.601167,18,1.81324
-1.420505,11,1.815486
4.285563,19,1.817999
6.235184,31,1.822199
5.36455,29,1.826051
2.63546,38,1.831639
5.160036,23,1.834697
0.180373,12,1.836248
-0.815421,17,1.83838
4.388461,27,1.842733
-4.171924,15,1.844637
0.189534,24,1.847811
1.378135,12,1.849296
-3.12373,10,1.851213
1.625851,12,1.852706
5.107091,20,1.855282
5.963949,23,1.858197
-3.707951,16,1.861047
5.450344,23,1.864215
9.481698,34,1.868513
1.799108,26,1.871891
-1.047726,10,1.874092
10.780822,25,1.877529
-4.936211,20,1.880074
-1.012129,14,1.881893
-0.223635,14,1.884376
-4.170763,14,1.886221
-0.185263,14,1.887981
1.140138,21,1.890795
4.765839,28,1.89524
0.139048,21,1.897938
1.02862,17,1.900129
7.059257,29,1.903908
-2.491777,12,1.906528
7.572933,27,1.910181
-0.481962,17,1.912355
10.040823,25,1.915644
-7.89558,14,1.918322
-0.854254,14,1.920091
0.792367,14,1.921931
11.55555,25,1.925209
-1.832497,13,1.927778
1.874184,17,1.929953
14.063449,31,1.934042
3.823914,14,1.93582
1.078949,17,1.939022
1.089549,13,1.940753
0.255729,25,1.943854
-1.240353,12,1.945455
4.906122,24,2.283638
0.225648,12,2.341484
6.923177,32,2.496118
14.26836,47,2.723833
-2.709739,27,2.854729
12.231636,25,2.975432
6.780494,34,3.139586
1.149031,13,3.201979
-0.061046,27,3.332922
47.246013,67,3.656613
7.174012,70,3.989073
3.420431,23,4.097453
1.266951,21,4.198263
21.238059,36,4.369953
6.979758,24,4.48372
-2.774621,27,4.611932
2.559363,12,4.669207
2.025834,36,4.840445
22.293543,57,5.110486
22.040834,44,5.318782
-17.155272,80,5.708758
-19.22151,69,6.044449
6.674636,103,6.542814
-31.554653,100,7.026933
14.398608,127,7.642028
-27.73898,91,8.081548
38.132925,160,8.84656
-36.176509,94,9.291394
-10.381249,111,9.817512
3.333532,124,10.405025
-8.480095,83,10.798015
3.46734,95,11.248311
12.6036,144,11.930806
18.537667,134,12.568673
22.988941,153,13.29712
133.614028,325,14.839406
331.261283,202,15.812284
353.837115,223,16.885156
292.810048,177,17.706773
287.670034,167,18.569698
246.803309,144,19.308304
455.149838,317,21.117865
315.900987,197,22.223221
221.884022,129,22.95417
255.788767,137,23.729027
278.170428,156,24.519171
272.204666,156,25.308182
441.662791,302,26.829217
269.72811,153,27.605531
273.47021,165,28.456516
281.990577,174,29.34396
246.368657,130,30.006258
290.197584,175,30.895539
391.690461,269,32.256746
668.518077,756,36.080221
250.780915,150,36.837061
136.22363,177,37.7725
102.331742,191,38.861606
357.634717,222,40.115613
200.96211,137,40.895888
271.320903,146,41.582271
271.122955,177,42.359797
563.718875,467,44.421944
328.488466,201,45.305957
372.744823,331,46.859511
259.707458,161,47.621258
76.075952,278,48.848094
185.320842,135,49.450124
167.670749,159,50.204409
220.024663,178,51.068364
220.807669,158,51.823391
314.393263,230,52.896399
734.924198,655,55.971428
60.439066,155,56.825709
248.138238,137,57.582505
351.676342,205,58.71678
356.620142,231,60.003927
338.192746,205,61.154155
357.310598,218,62.341073
344.347727,200,63.460855
17.723088,110,64.027444
240.645165,127,64.675853
201.904706,101,65.195547
406.817592,245,66.455365
238.560282,131,67.147193
217.713843,105,67.697789
911.101597,864,72.273165
224.323711,105,72.831078
187.95139,109,73.396817
197.394254,101,73.939493
148.999298,88,74.404964
256.636291,140,75.155682
242.704803,117,75.784683
182.016759,96,76.2981
216.352887,119,76.934827
202.205083,111,77.520128
251.571063,159,78.804225
234.51187,131,79.440601
256.20132,132,80.097598
245.673227,127,80.741745
150.790188,92,81.214231
246.524112,124,81.7909
128.659748,269,83.068763
222.441017,127,83.692759
187.455727,100,84.181555
143.700797,82,84.581943
219.429938,106,85.102958
194.22811,120,85.698028
256.801194,156,86.470794
274.759168,143,87.177168
217.403956,149,87.911514
289.134202,144,88.637184
337.572336,187,89.681117
329.858143,267,91.172555
249.649921,125,91.880543
241.744311,121,92.558455
193.640818,158,93.43636
62.474152,225,94.710778
310.03191,186,95.693018
340.448909,197,96.669137
323.744386,278,97.900047
317.195377,309,99.30407
289.991361,139,99.959692
84.625049,179,100.831113
287.165173,127,101.404077
319.701153,171,102.159012
53.984489,271,103.351772
286.579681,159,104.057028
336.037246,187,104.888664
403.632608,257,106.042369
244.244884,112,106.549684
369.672892,192,107.399098
324.553034,165,108.127414
232.511265,116,108.63853
327.401298,144,109.2704
351.547723,172,110.026266
370.42288,166,110.757003
67.73101,171,111.512164
419.913568,214,112.458721
372.774515,184,113.271116
233.653053,114,113.774696
360.210598,165,114.507961
206.073295,96,114.931638
377.501896,159,115.660164
417.089982,194,116.624172
371.657743,179,117.495375
382.026237,194,118.499268
431.954736,215,119.529843
418.686551,212,120.660287
465.075277,277,122.146275
328.192398,171,123.061055
323.177823,145,123.840564
331.025992,163,124.720001
288.297155,131,125.421721
331.710372,163,126.296454
425.984612,228,127.530361
182.032576,87,127.99914
271.087501,125,128.67974
357.818,191,129.707538
339.408514,170,130.61688
429.633833,255,131.99549
495.940845,307,133.694508
273.731593,125,134.395332
287.915421,118,135.054362
199.028122,100,135.611558
279.102066,114,136.252028
266.980202,122,136.931051
274.322064,142,137.722208
364.450304,189,138.766386
297.840665,153,139.626325
279.236593,123,140.312948
383.275802,165,141.239304
324.516368,158,142.124551
446.234376,272,143.647571
358.521204,156,144.517726
289.539278,127,145.228933
434.637592,241,146.571326
366.651252,198,147.681374
194.03722,96,148.218501
288.984488,131,148.95157
492.488406,463,151.406905
337.201858,175,152.298154
120.106354,67,152.639485
186.313682,90,153.090291
228.208629,101,153.601682
377.119855,168,154.452806
288.677644,131,155.104826
287.420054,132,155.760984
264.967369,124,156.38157
285.505621,133,157.097953
362.525132,175,158.079635
588.5116,444,160.526539
294.863579,141,161.279181
431.66408,235,162.528624
279.825398,129,163.212198
418.845592,229,164.432867
419.900522,219,165.626795
229.409297,104,166.175479
343.347985,184,167.142948
83.007201,280,168.620644
272.995522,120,169.254326
277.173366,120,169.889397
233.71242,107,170.451484
306.13322,135,171.167861
334.573511,167,172.068396
264.285685,123,172.730773
386.101464,205,173.830533
298.664106,131,174.535385
279.326072,122,175.194403
369.363349,160,176.046661
275.738579,123,176.70105
204.460938,94,177.207845
309.152963,137,177.946285
298.853646,142,178.720166
421.983671,286,180.244925
366.507001,173,181.161581
337.742587,160,182.044632
330.931585,159,182.884217
390.041982,181,183.846491
341.664651,171,184.751168
303.594333,146,185.52278
-21.499883,128,186.200912
401.616864,219,187.366586
347.537674,496,190.030581
263.052845,119,190.652719
260.44276,137,191.27165
89.80186,57,191.525762
409.955407,213,192.467577
291.75189,141,193.092116
401.75773,202,194.000276
242.588593,113,194.581987
473.582777,265,195.907135
280.219602,132,196.525508
407.615625,210,197.454238
267.842572,136,198.057821
345.530672,182,198.856444
274.963288,132,199.438926
362.329588,180,200.30483
1133.980347,953,204.68127
314.373476,159,205.854706
950.724206,409,207.726663
365.061647,174,208.492566
53.14316,141,209.101498
316.888769,153,209.764968
370.715153,191,210.588277
335.694959,140,211.190252
303.145523,146,211.859935
314.122621,152,212.604268
299.484414,140,213.286671
306.543437,148,214.00586
344.70466,179,214.848114
273.922313,128,215.465768
277.021248,128,216.16781
450.359624,227,217.35103
635.150275,298,218.954679
371.934748,186,219.946655
455.686259,246,221.263491
541.822792,261,222.678821
451.588341,208,223.803287
384.691218,185,224.79772
629.501044,310,226.454794
393.538775,239,227.797523
563.808901,251,229.188318
398.729087,162,230.094308
395.92651,164,231.012096
235.386478,108,231.616147
403.736776,182,232.633158
360.114527,147,233.454504
474.18561,218,234.711367
372.692847,169,235.647866
252.159773,115,236.296355
389.729935,171,237.225804
490.147927,203,238.4023
547.150425,259,239.871318
476.421369,221,241.122191
488.176237,213,242.360898
292.088417,136,243.132124
416.393357,183,244.165417
599.772675,305,245.865325
177.940494,106,246.457835
344.029378,170,247.407627
434.921296,194,248.489871
552.618874,246,249.684445
465.02226,206,250.671278
594.497021,316,252.201961
472.034618,206,253.206398
31.132593,128,253.835503
102.620124,216,254.901404
96.551767,121,255.492969
71.597954,91,255.953506
11.215203,29,256.093777
353.125231,187,257.060575
227.730624,106,257.658958
390.60275,192,258.742087
116.711312,75,259.164976
83.776654,189,260.215205
424.769245,280,261.712145
371.749922,168,262.642614
22.274698,217,263.841492
370.236137,186,264.889343
309.764547,146,265.711551
493.255445,241,267.059348
371.475369,176,268.046294
325.634765,164,268.9627
373.905179,168,269.899223
502.903001,209,271.070522
246.863944,121,271.750783
369.100701,172,272.71183
280.330025,123,273.401458
253.690468,123,274.090679
265.725759,128,274.804908
277.42987,127,275.515749
321.661278,149,276.356692
338.32579,141,277.148361
293.216187,141,277.936621
352.613255,177,278.923463
471.441034,249,280.318761
233.200049,110,280.932802
419.064087,182,281.947311
306.415412,142,282.741778
384.017334,201,283.865869
407.52163,182,284.892666
329.938951,145,285.700602
472.687908,247,287.070064
338.148742,159,287.887764
380.789331,186,288.800705
306.453837,137,289.469005
370.844004,160,290.247789
371.075304,149,291.007726
434.83583,178,291.902847
431.388998,170,292.770907
478.290029,221,293.801357
283.9782,121,294.36018
244.724513,115,294.925377
504.997036,213,295.881522
419.420144,190,296.724427
440.780156,173,297.489925
471.666058,208,298.461345
335.619215,149,299.122368
455.141778,185,299.944053
369.41785,154,300.642205
327.958652,142,301.275065
319.936167,141,301.897541
386.650971,166,302.636194
534.234313,208,303.559122
497.884499,227,304.55592
377.620664,165,305.288452
479.050245,200,306.158237
411.299081,184,306.968469
376.565612,165,307.700023
343.611304,184,308.564591
252.529043,116,309.13033
321.408263,160,309.915236
335.565441,176,310.775458
358.252533,166,311.580456
374.845348,189,312.500377
377.443664,196,313.459869
255.340385,123,314.061765
373.552788,269,315.382574
380.128509,158,316.157051
383.492549,200,317.132148
331.826256,145,317.839662
344.022378,154,318.593442
414.31364,180,319.473776
360.780839,156,320.236729
568.843105,250,321.456112
502.130253,240,322.759425
534.984742,226,324.073069
463.107739,207,325.275079
480.275571,239,326.629941
322.40996,157,327.517807
468.743732,195,328.623341
444.745831,198,329.769456
465.517701,198,330.897719
496.335626,190,331.976491
538.765855,215,333.180358
445.472683,175,334.160678
287.552192,148,334.988863
484.516572,184,336.620091
464.622672,180,337.477098
469.317919,184,338.441396
499.924547,197,339.499184
678.236111,236,340.774954
425.015031,181,341.741182
440.770658,177,342.696937
352.929052,161,343.56293
521.485347,222,344.754681
519.958167,218,345.926622
343.720597,164,346.804952
273.068,129,347.504497
453.726775,190,348.571782
484.908887,172,349.531727
454.011203,300,351.209721
443.479635,199,352.322477
-21.312905,143,353.121436
449.674998,224,354.377537
618.082838,230,355.665783
448.563466,192,356.742659
506.123907,205,357.888258
325.970922,151,358.732621
459.946498,227,360.001393
558.966502,268,361.497634
732.145032,308,363.146795
240.958808,121,363.799225
491.046491,262,365.182559
177.265995,94,365.678112
324.769623,155,366.512172
-29.666959,212,367.644139
150.340739,81,368.075524
254.415313,124,368.73309
345.754398,170,369.63389
236.719719,108,370.216556
490.522031,269,371.658796
267.998056,132,372.360181
329.562915,161,373.217223
496.422656,211,374.357889
391.733142,161,375.215618
339.635476,149,376.001576
281.715294,126,376.660528
372.891065,164,377.557833
347.356623,170,378.502112
413.220187,176,379.442818
355.808844,169,380.352277
432.813194,189,381.410637
431.19322,194,382.509264
461.096861,209,383.709928
553.842576,234,385.023069
478.631521,203,386.172443
470.617662,209,387.349525
492.328083,205,388.497225
424.708203,212,389.721315
515.172364,205,390.759441
519.76476,209,391.78616
600.393245,237,392.853197
539.965176,233,393.928531
542.889706,267,395.186709
486.134591,208,396.169977
540.908494,236,397.232353
510.006103,204,398.241424
524.318021,258,399.501494
413.750044,180,400.317374
413.151871,194,401.275679
545.29103,247,402.474082
576.986989,289,403.875973
446.140124,192,404.812509
557.074449,212,405.860941
530.463454,241,407.041457
415.081819,186,407.972627
498.753127,209,408.995496
504.075977,274,410.333568
434.619991,209,411.356775
557.494453,249,412.647345
321.783439,144,413.47249
664.74088,296,415.125453
589.043607,332,416.957048
433.377355,223,418.128899
442.450199,208,419.230396
596.687557,258,420.603939
304.669431,163,421.488229
333.371048,150,422.297083
412.263684,199,423.36708
472.532068,232,424.608064
572.437057,225,425.816795
309.710327,157,426.656972
393.968303,166,427.553464
376.690565,195,428.629787
389.820211,199,429.746079
344.642193,142,430.53096
490.946303,250,431.856723
589.237325,225,433.118553
383.90889,155,433.987058
483.797258,205,435.132467
347.937283,142,435.924811
423.353823,187,436.965433
333.259251,159,437.848479
535.017285,224,438.964161
474.751014,197,439.854107
656.187773,227,440.866541
427.100782,197,441.750494
288.393335,130,442.34159
345.75068,163,443.14033
242.98361,119,443.722914
499.081805,246,444.921812
416.560318,196,445.879758
282.416997,130,446.514619
528.021313,207,447.516285
430.301605,190,448.439511
470.765184,198,449.412263
532.458816,209,450.43679
554.873548,224,451.53571
434.343722,185,452.436248
476.202489,287,453.851537
522.328026,223,454.940197
617.89028,222,456.021238
278.226735,157,456.759029
768.3893,280,458.024713
624.213017,250,459.158235
270.21273,135,459.768681
324.296396,168,460.526652
286.848432,150,461.204108
667.75005,337,462.729462
639.493849,282,464.007748
606.719879,257,465.171386
659.990565,231,466.956595
543.164683,260,468.09868
498.713316,253,469.248634
218.809007,117,469.811645
414.358062,199,470.739727
567.417384,223,471.754801
249.055476,125,472.312484
633.195727,257,473.44861
578.275553,281,474.700325
295.753576,156,475.445292
388.20585,172,476.275476
421.362127,161,477.042896
419.675869,192,477.981407
723.915211,266,479.166536
503.277357,252,480.31815
355.481065,132,480.917904
781.690121,290,482.210799
507.283038,195,483.117317
481.424449,183,483.959172
357.91838,168,484.788022
521.942597,225,485.908962
620.473827,222,486.987263
602.646637,221,487.957837
259.406966,125,488.55411
805.858796,292,490.201154
936.555729,330,492.051231
647.307445,242,493.418828
1068.320724,795,497.885192
204.859166,111,498.507143
669.843847,233,499.767267
1128.048135,386,501.465207
748.417816,278,502.694508
396.4341,173,503.459105
699.84024,275,504.68233
1089.441338,372,506.322325
642.970415,256,507.455776
460.047063,180,508.246968
925.73893,311,509.636683
520.025987,187,510.477257
493.704311,206,511.376931
194.750838,109,511.852586
323.89225,265,513.032601
422.548178,178,513.830779
670.892278,285,515.113324
626.483676,255,516.238056
496.08784,182,517.114511
762.791271,380,518.912061
641.867825,261,520.051639
530.017728,237,521.078963
959.431711,324,522.551611
817.967118,306,524.001282
221.514839,122,524.578769
845.340976,290,525.976933
712.913479,316,527.535674
303.959571,158,528.309333
383.986496,176,529.115739
504.000943,254,530.266775
549.450354,199,531.129321
702.806467,249,532.221776
472.673122,192,533.063069
199.291001,159,533.764655
455.915828,175,534.520902
737.937206,272,535.730658
777.683396,289,537.027004
1006.912145,358,538.610106
533.133238,225,539.62188
854.986091,542,542.150977
740.694864,326,543.662556
636.878676,281,545.026878
13.375397,137,545.693523
802.006511,314,547.228041
695.880615,272,548.573888
1074.801245,387,550.431535
968.985904,333,552.057886
555.472578,290,553.441513
595.782173,241,554.517287
679.293408,243,555.603336
668.574896,260,556.770693
210.068968,122,557.343002
606.435425,272,558.681664
684.108991,268,560.002594
551.518111,225,561.125831
658.366707,247,562.500137
432.718443,191,563.576741
287.540871,143,564.372501
200.278502,211,565.507207
823.281967,309,567.146893
241.91695,119,567.773297
754.264053,302,569.654723
275.332952,130,570.586033
574.259718,236,572.266663
1362.709087,443,575.431715
934.56911,313,577.372416
523.371756,197,578.618307
1087.053991,378,581.032512
732.757001,275,582.774926
674.842763,244,584.117809
591.15224,229,585.224483
394.112931,374,587.049358
1308.009239,494,590.832471
1151.849864,554,593.528697
447.829197,173,594.371252
1387.244831,481,596.706661
1328.596205,541,599.327514
729.69795,285,600.686122
1073.181749,440,603.038823
1335.092372,508,605.919199
5.451792,160,606.803698
961.953932,386,608.968005
1269.070839,1000,616.112097
2227.20151,791,622.218699
1272.614535,484,626.076687
1213.164374,476,630.263946
39.802624,146,631.56212
860.939962,594,636.214427
435.37994,207,637.835016
703.637469,258,639.851486
1115.82056,402,642.928419
1364.214165,1000,650.40893
1548.581623,571,654.685856
433.046229,175,656.026533
667.507948,221,657.757951
941.245398,296,660.059367
746.786976,244,661.968369
747.352899,238,663.832451
1056.165185,326,666.379108
671.078336,242,668.24831
683.455873,263,670.296815
1270.003381,444,673.755675
769.913122,242,675.655045
741.640374,229,677.447315
833.184122,285,679.703658
1112.542712,349,682.45149
1297.004099,413,685.684988
600.31503,227,687.411866
1137.952118,351,690.173237
350.171665,150,691.355803
834.735518,308,693.767369
888.500302,391,696.816984
697.38362,245,698.712709
629.176574,245,700.594711
618.303989,227,702.306492
166.607804,102,703.054931
834.618862,335,705.598222
720.21279,263,707.64954
620.31697,234,709.453381
701.854584,282,711.646224
583.111328,193,713.144052
689.404879,217,714.819867
833.428177,339,717.483114
824.353014,278,719.653042
572.234594,271,721.776932
278.007326,119,722.715289
672.44525,260,724.761944
210.465873,154,725.954806
1564.363733,506,729.750714
658.961007,223,731.307757
806.311856,292,733.423337
621.58526,200,734.900409
1596.516105,538,739.103071
1296.412871,435,742.339611
954.607259,344,745.008334
826.971703,318,747.499532
636.840737,219,749.219021
754.017014,261,751.285453
332.773189,142,752.38868
673.852947,282,754.554408
2187.458459,1000,762.21684
1348.982034,427,765.569438
495.805807,202,767.155728
681.4415,248,769.096195
962.354153,398,772.213486
601.108905,223,773.959238
704.760352,258,778.82199
1119.789689,413,782.02445
646.48204,235,783.816834
969.19185,301,786.088825
