step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
2800,0.408110,0.412709,0.408354,0.372089,0.717318,0.502228,0.441739,0.370253,0.716465,0.480669,0.421334,0.360822,0.784703,0.505753,0.405263,0.351038,0.664930,0.503539,0.480981,0.475015,0.573605,0.517645,0.502061,0.498127
3000,0.407986,0.410543,0.410829,0.367458,0.743643,0.507764,0.455689,0.372419,0.743621,0.484913,0.430246,0.359325,0.818072,0.511631,0.414561,0.349972,0.687949,0.506259,0.479288,0.472063,0.585855,0.520711,0.501358,0.497071
3200,0.408279,0.408874,0.415386,0.363729,0.768177,0.511990,0.468832,0.374851,0.770227,0.487970,0.440849,0.359535,0.850766,0.515830,0.425480,0.349915,0.710323,0.508131,0.477333,0.468839,0.600307,0.524155,0.500348,0.495614
3400,0.408855,0.407436,0.420570,0.360979,0.792197,0.516196,0.481669,0.376996,0.796061,0.490003,0.450852,0.359293,0.882671,0.519303,0.436755,0.351129,0.732680,0.509828,0.475688,0.465744,0.614199,0.527406,0.499168,0.493991
3600,0.409360,0.405957,0.423050,0.356520,0.814552,0.518903,0.495422,0.380263,0.820262,0.492027,0.460542,0.359153,0.914124,0.521152,0.448470,0.352169,0.754178,0.511793,0.474964,0.463275,0.628296,0.530704,0.498249,0.492653
3800,0.409641,0.404440,0.427452,0.353434,0.836221,0.520339,0.507880,0.382098,0.842813,0.492303,0.469786,0.358396,0.944470,0.523760,0.459795,0.353721,0.774911,0.513023,0.474214,0.460947,0.642037,0.533537,0.497102,0.491087
4000,0.409537,0.402706,0.430703,0.349582,0.856461,0.521938,0.520595,0.383939,0.866432,0.493577,0.479779,0.358462,0.973112,0.524560,0.470354,0.354978,0.795821,0.515330,0.474460,0.459079,0.656455,0.536426,0.496034,0.489514
4200,0.409575,0.401512,0.434691,0.346659,0.874680,0.522318,0.532030,0.385495,0.888631,0.493409,0.489916,0.359076,1.000298,0.523642,0.481301,0.356388,0.815725,0.516006,0.474146,0.456841,0.670664,0.539201,0.494660,0.487718
4400,0.409138,0.399680,0.438465,0.343568,0.891190,0.521758,0.542511,0.386364,0.909330,0.494127,0.499948,0.359893,1.026344,0.523582,0.491083,0.357461,0.835942,0.517512,0.473930,0.454578,0.685026,0.541996,0.493259,0.485839
4600,0.409020,0.398609,0.440866,0.340523,0.907965,0.522257,0.552945,0.388182,0.929102,0.493949,0.508540,0.359412,1.050446,0.522793,0.500323,0.358550,0.854492,0.518493,0.474175,0.452796,0.698590,0.544474,0.492029,0.484118
4800,0.408126,0.397145,0.443660,0.337813,0.922550,0.522062,0.562238,0.388642,0.946961,0.494298,0.516967,0.360042,1.075068,0.522794,0.509627,0.360025,0.871731,0.518946,0.474676,0.451282,0.711615,0.546509,0.490829,0.482437
5000,0.408131,0.396318,0.446335,0.335387,0.934663,0.520747,0.571292,0.389649,0.962833,0.492546,0.523727,0.358795,1.095905,0.522164,0.517785,0.360938,0.889057,0.519633,0.475058,0.449621,0.725216,0.548817,0.489539,0.480635
5200,0.407557,0.395222,0.447532,0.332763,0.947368,0.520052,0.579147,0.389747,0.979019,0.492611,0.530832,0.359201,1.116177,0.519933,0.525433,0.361418,0.904774,0.520746,0.475972,0.448467,0.736822,0.550528,0.488513,0.479142
5400,0.406674,0.394099,0.448438,0.330191,0.958155,0.519504,0.586931,0.390609,0.993899,0.492177,0.537178,0.358792,1.133842,0.518088,0.532219,0.361846,0.918384,0.521288,0.476206,0.447235,0.747763,0.552126,0.487645,0.477847
5600,0.406066,0.393192,0.450196,0.328267,0.966428,0.518516,0.593387,0.390411,1.005861,0.490752,0.542965,0.358400,1.150004,0.516505,0.538842,0.362516,0.931180,0.521732,0.476419,0.446102,0.757435,0.553402,0.486747,0.476557
5800,0.405054,0.392157,0.451320,0.326299,0.972914,0.517128,0.598802,0.390298,1.017525,0.490358,0.548167,0.358130,1.165165,0.515285,0.544963,0.363261,0.943389,0.522095,0.476693,0.444926,0.766817,0.554673,0.485823,0.475245
6000,0.404057,0.391229,0.451855,0.324578,0.978796,0.515664,0.603847,0.390072,1.027436,0.489474,0.552480,0.357448,1.178545,0.514255,0.550202,0.363876,0.953904,0.522187,0.477245,0.444013,0.775479,0.555617,0.485057,0.474055
6200,0.403027,0.390281,0.451526,0.322394,0.984039,0.514318,0.608139,0.389621,1.036930,0.489100,0.557032,0.357501,1.190488,0.513124,0.554779,0.364262,0.963692,0.522504,0.478018,0.443375,0.783664,0.556718,0.484474,0.473028
6400,0.401886,0.389292,0.451464,0.320685,0.989321,0.513625,0.612299,0.389875,1.044844,0.488352,0.560477,0.357193,1.201837,0.512510,0.559185,0.364854,0.972369,0.522767,0.478554,0.442667,0.791150,0.557647,0.483784,0.471998
6600,0.400920,0.388431,0.451352,0.319266,0.994204,0.512948,0.615654,0.389686,1.052269,0.488002,0.563591,0.356890,1.210938,0.511405,0.562957,0.365058,0.979936,0.522954,0.478936,0.442021,0.797470,0.558255,0.483121,0.471061
6800,0.399915,0.387652,0.451026,0.317844,0.998280,0.512143,0.617947,0.389193,1.059278,0.487859,0.566714,0.356898,1.219858,0.510921,0.566242,0.365464,0.987050,0.523320,0.479210,0.441407,0.803078,0.558832,0.482607,0.470267
7000,0.398837,0.386764,0.450741,0.316632,1.001466,0.511316,0.620675,0.389304,1.064570,0.487236,0.568846,0.356415,1.227313,0.510287,0.569208,0.365723,0.993118,0.523277,0.479417,0.440785,0.808193,0.559328,0.482132,0.469508
7200,0.398088,0.386212,0.450618,0.315635,1.004168,0.510603,0.622865,0.388920,1.069747,0.486891,0.570808,0.355944,1.233932,0.509467,0.572140,0.366174,0.998562,0.523477,0.479747,0.440344,0.812737,0.559739,0.481726,0.468857
7400,0.397175,0.385556,0.450734,0.314886,1.006364,0.509757,0.624721,0.388437,1.074421,0.486476,0.572822,0.355683,1.240008,0.508737,0.574287,0.366150,1.003422,0.523555,0.479909,0.439941,0.816756,0.560043,0.481406,0.468330
7600,0.396420,0.385000,0.450568,0.314063,1.009048,0.509169,0.626801,0.388320,1.078556,0.486032,0.574644,0.355547,1.245325,0.508131,0.576340,0.366150,1.008008,0.523292,0.479963,0.439423,0.820750,0.560421,0.481089,0.467774
7800,0.395742,0.384520,0.450112,0.313099,1.011059,0.508554,0.628647,0.388145,1.083053,0.486126,0.576613,0.355615,1.250764,0.507841,0.578362,0.366357,1.012204,0.523358,0.480170,0.439041,0.824419,0.560715,0.480771,0.467252
8000,0.394965,0.383958,0.449546,0.312152,1.013062,0.508064,0.630316,0.387768,1.087085,0.485971,0.578370,0.355535,1.255694,0.507371,0.580259,0.366369,1.016143,0.523363,0.480399,0.438705,0.827893,0.561026,0.480495,0.466764
