step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.out_v2d.T,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.out_v2d.T,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.out_v2d.T,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.out_v2d.T,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.out_v2d.T,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.out_v2d.T
2400,0.316971,0.310753,0.343574,0.316672,0.153115,0.674618,0.457612,0.439055,0.436071,0.129882,0.535940,0.479243,0.435787,0.419366,0.130275,0.550736,0.532682,0.492358,0.489097,0.107568,0.515397,0.510577,0.517484,0.512839,0.105643,0.497024,0.494462,0.514640,0.504390,0.097810
2600,0.310421,0.302318,0.346287,0.307731,0.159768,0.700601,0.455371,0.433152,0.428897,0.133993,0.543866,0.478390,0.432781,0.413974,0.134005,0.554242,0.534079,0.492132,0.488501,0.108087,0.517520,0.512374,0.519296,0.514287,0.105752,0.496050,0.492518,0.516792,0.505692,0.097507
2800,0.304688,0.294623,0.352206,0.300713,0.166998,0.727851,0.452441,0.427059,0.421292,0.138585,0.549738,0.476363,0.429843,0.408578,0.138599,0.558592,0.536743,0.491435,0.487289,0.108701,0.520487,0.515238,0.521253,0.515754,0.106423,0.498365,0.494523,0.520264,0.508281,0.097290
3000,0.300847,0.288857,0.359068,0.296209,0.173752,0.751653,0.449735,0.423117,0.415890,0.142704,0.557121,0.475022,0.428384,0.404470,0.143336,0.561052,0.537788,0.490841,0.486289,0.109068,0.521230,0.515700,0.522689,0.516944,0.106340,0.496336,0.492602,0.523390,0.510348,0.097173
3200,0.297361,0.283445,0.366552,0.292740,0.180620,0.776363,0.447188,0.419513,0.410792,0.146893,0.564174,0.472831,0.427481,0.400463,0.148180,0.561681,0.537031,0.490507,0.485285,0.109502,0.522371,0.516320,0.523780,0.517830,0.106255,0.495604,0.491840,0.525108,0.511185,0.096814
3400,0.295439,0.279521,0.374453,0.289675,0.187448,0.799528,0.444526,0.416376,0.406182,0.150697,0.571025,0.471268,0.427058,0.397601,0.152929,0.565415,0.539017,0.489591,0.483912,0.109886,0.523709,0.517478,0.524738,0.518500,0.106125,0.493857,0.490666,0.527015,0.512134,0.096390
3600,0.294091,0.276219,0.383061,0.286957,0.194563,0.823968,0.442764,0.413977,0.402129,0.155072,0.579095,0.470488,0.426931,0.394992,0.157384,0.567557,0.539911,0.488665,0.482439,0.110258,0.524625,0.518477,0.526271,0.519553,0.106222,0.493005,0.489049,0.528544,0.512953,0.095861
3800,0.292345,0.272826,0.391691,0.284344,0.201525,0.846808,0.439966,0.411680,0.398128,0.159435,0.586533,0.469252,0.426972,0.392273,0.162222,0.569459,0.540295,0.487941,0.481162,0.110638,0.525096,0.518848,0.526945,0.520028,0.106005,0.492324,0.487138,0.530127,0.513921,0.095542
4000,0.291480,0.270242,0.399857,0.282146,0.208521,0.868925,0.437177,0.409498,0.394172,0.163805,0.592391,0.467910,0.426697,0.389848,0.166897,0.571354,0.541001,0.487409,0.479850,0.111001,0.525587,0.518893,0.527650,0.520567,0.106125,0.492157,0.486477,0.531264,0.514415,0.094968
4200,0.290720,0.268087,0.407705,0.280310,0.215212,0.889320,0.434286,0.408143,0.391337,0.168011,0.597751,0.465998,0.426735,0.387680,0.171118,0.570121,0.539318,0.486267,0.478122,0.111338,0.525799,0.519019,0.528139,0.520930,0.105977,0.490949,0.485545,0.532157,0.514604,0.094526
4400,0.290064,0.265936,0.415236,0.278439,0.221791,0.909243,0.431152,0.406817,0.388167,0.172046,0.603021,0.464241,0.427129,0.385877,0.175253,0.570933,0.538997,0.485173,0.476714,0.111538,0.526598,0.519580,0.529118,0.521655,0.106129,0.490685,0.485439,0.533026,0.514768,0.094068
4600,0.289697,0.264192,0.421636,0.276496,0.228073,0.926942,0.428838,0.406223,0.385995,0.175952,0.607891,0.462975,0.427089,0.384264,0.179351,0.571460,0.538410,0.484184,0.475155,0.111759,0.526931,0.519971,0.529742,0.522041,0.106155,0.490293,0.484839,0.534143,0.515317,0.093772
4800,0.289465,0.262803,0.428467,0.274787,0.234129,0.944803,0.426588,0.405601,0.383677,0.179896,0.611661,0.460191,0.427992,0.382953,0.183279,0.571776,0.537973,0.483096,0.473490,0.112020,0.525994,0.518671,0.530204,0.522396,0.106191,0.490640,0.484881,0.534545,0.515148,0.093367
5000,0.288967,0.261340,0.434255,0.272787,0.239890,0.960774,0.423760,0.405259,0.381722,0.183459,0.616512,0.459774,0.429049,0.382190,0.186953,0.572237,0.537354,0.482826,0.472506,0.112279,0.525596,0.518187,0.530714,0.522720,0.106381,0.489937,0.484201,0.534809,0.515052,0.093026
5200,0.288545,0.260071,0.439893,0.271153,0.245351,0.976110,0.421730,0.405013,0.379941,0.187005,0.619833,0.457709,0.429653,0.381199,0.190392,0.571808,0.536191,0.482892,0.471680,0.112547,0.525548,0.517948,0.531265,0.523067,0.106463,0.489227,0.483300,0.535045,0.514985,0.092709
5400,0.288237,0.258969,0.445122,0.269718,0.250476,0.990814,0.419510,0.404874,0.378210,0.190348,0.624028,0.456417,0.430374,0.380346,0.193587,0.571776,0.535792,0.482937,0.471036,0.112860,0.525315,0.517639,0.531614,0.523318,0.106605,0.489417,0.483118,0.535395,0.514994,0.092268
5600,0.288155,0.258085,0.450126,0.268516,0.255216,1.002655,0.417029,0.404966,0.376932,0.193418,0.628283,0.455859,0.431082,0.379787,0.196593,0.571629,0.535020,0.481832,0.469529,0.113059,0.524869,0.517313,0.531864,0.523478,0.106768,0.489639,0.483566,0.535657,0.515013,0.091998
5800,0.287915,0.257195,0.454252,0.267119,0.259624,1.015351,0.415496,0.405254,0.375921,0.196336,0.631326,0.454849,0.431632,0.379033,0.199415,0.570607,0.533627,0.481425,0.468632,0.113267,0.524507,0.516974,0.532262,0.523695,0.106773,0.488748,0.482196,0.535916,0.515138,0.091642
6000,0.287509,0.256261,0.458164,0.266012,0.263611,1.025509,0.413823,0.405576,0.375122,0.198982,0.634696,0.454236,0.431824,0.378173,0.201886,0.570176,0.532824,0.480458,0.467394,0.113444,0.524386,0.516692,0.532418,0.523695,0.106841,0.488784,0.482106,0.535858,0.514966,0.091295
6200,0.287300,0.255544,0.461757,0.264880,0.267254,1.035230,0.411865,0.405791,0.374156,0.201452,0.637780,0.453543,0.432613,0.377855,0.204259,0.570436,0.532595,0.480039,0.466625,0.113644,0.524451,0.516924,0.532420,0.523720,0.106914,0.488838,0.481483,0.536051,0.514996,0.090984
6400,0.287196,0.254991,0.464623,0.263776,0.270455,1.043379,0.410652,0.405952,0.373412,0.203500,0.640722,0.453166,0.433007,0.377370,0.206411,0.569990,0.531757,0.479807,0.466094,0.113819,0.524467,0.516944,0.532585,0.523816,0.106953,0.489040,0.482046,0.536074,0.514942,0.090706
6600,0.286913,0.254377,0.467330,0.262701,0.273376,1.051239,0.409477,0.406241,0.372808,0.205456,0.643090,0.452564,0.433641,0.377113,0.208221,0.569345,0.530866,0.479032,0.464917,0.113994,0.523696,0.516271,0.532789,0.523984,0.107000,0.489168,0.482062,0.536083,0.514891,0.090404
6800,0.286825,0.253941,0.469364,0.261825,0.275941,1.057872,0.408621,0.406357,0.372232,0.207145,0.645037,0.452235,0.433893,0.376773,0.209829,0.569286,0.530592,0.479075,0.464573,0.114126,0.523733,0.516334,0.532892,0.524045,0.107053,0.488769,0.481604,0.536139,0.514921,0.090171
7000,0.286624,0.253469,0.471623,0.261045,0.278278,1.064423,0.407986,0.406608,0.371812,0.208727,0.646522,0.451597,0.434263,0.376484,0.211295,0.568996,0.530086,0.478592,0.463774,0.114280,0.523771,0.516372,0.533075,0.524168,0.107090,0.488264,0.481243,0.536155,0.514893,0.089964
7200,0.286581,0.253161,0.473483,0.260272,0.280424,1.069714,0.407154,0.406724,0.371268,0.210163,0.648297,0.451230,0.434667,0.376255,0.212584,0.569034,0.529912,0.478160,0.463090,0.114415,0.523757,0.516400,0.532942,0.524066,0.107131,0.487999,0.481031,0.536060,0.514806,0.089825
7400,0.286456,0.252827,0.475307,0.259598,0.282361,1.074413,0.406253,0.406962,0.370912,0.211487,0.649652,0.450706,0.434797,0.375884,0.213811,0.568677,0.529365,0.477849,0.462587,0.114536,0.523540,0.516163,0.532788,0.523944,0.107154,0.488126,0.480996,0.536045,0.514798,0.089710
7600,0.286388,0.252545,0.476912,0.258907,0.284150,1.078959,0.405587,0.407137,0.370514,0.212696,0.650869,0.450299,0.435129,0.375684,0.214927,0.568496,0.529026,0.477687,0.462267,0.114651,0.523600,0.516260,0.532667,0.523846,0.107216,0.488425,0.481135,0.536138,0.514866,0.089519
7800,0.286208,0.252188,0.478244,0.258282,0.285839,1.083017,0.404619,0.407223,0.370048,0.213860,0.652093,0.449893,0.435437,0.375462,0.216015,0.568133,0.528529,0.477583,0.461945,0.114774,0.523445,0.516222,0.532562,0.523769,0.107264,0.488545,0.481122,0.536103,0.514836,0.089429
8000,0.286184,0.251981,0.479816,0.257671,0.287483,1.087271,0.403724,0.407366,0.369693,0.214969,0.653258,0.449583,0.435741,0.375327,0.217087,0.567947,0.528110,0.477320,0.461565,0.114889,0.523562,0.516352,0.532607,0.523801,0.107297,0.488603,0.481197,0.536062,0.514767,0.089294
