step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L6.qk_lut.T_soft,L6.qk_lut.T_sel,L6.v_lut.T_soft,L6.v_lut.T_sel,L6.out_proj.T_soft,L6.out_proj.T_sel,L7.qk_lut.T_soft,L7.qk_lut.T_sel,L7.v_lut.T_soft,L7.v_lut.T_sel,L7.out_proj.T_soft,L7.out_proj.T_sel,L8.qk_lut.T_soft,L8.qk_lut.T_sel,L8.v_lut.T_soft,L8.v_lut.T_sel,L8.out_proj.T_soft,L8.out_proj.T_sel,L9.qk_lut.T_soft,L9.qk_lut.T_sel,L9.v_lut.T_soft,L9.v_lut.T_sel,L9.out_proj.T_soft,L9.out_proj.T_sel,L10.qk_lut.T_soft,L10.qk_lut.T_sel,L10.v_lut.T_soft,L10.v_lut.T_sel,L10.out_proj.T_soft,L10.out_proj.T_sel,L11.qk_lut.T_soft,L11.qk_lut.T_sel,L11.v_lut.T_soft,L11.v_lut.T_sel,L11.out_proj.T_soft,L11.out_proj.T_sel
4000,0.455880,0.370991,0.412051,0.357825,0.431088,0.231416,0.842872,0.432468,0.783503,0.387002,0.546385,0.295039,0.909232,0.464020,0.872455,0.416697,0.554233,0.307006,0.938254,0.453911,0.841126,0.392629,0.531055,0.321968,1.010595,0.451702,0.848325,0.402022,0.524871,0.299893,0.989089,0.472223,0.758586,0.384788,0.471753,0.379299,0.957165,0.484004,0.826157,0.380429,0.451735,0.368326,0.967994,0.506494,0.944259,0.440785,0.548227,0.329873,0.995506,0.485190,0.916176,0.413864,0.485386,0.316567,1.115793,0.475106,0.843247,0.420897,0.432264,0.282737,0.853813,0.515029,0.762916,0.436970,0.462660,0.401410,0.789453,0.525398,0.679664,0.481686,0.533019,0.473035
4200,0.460814,0.368306,0.423293,0.356851,0.453534,0.227607,0.864320,0.427623,0.821069,0.380990,0.571849,0.292592,0.932366,0.458308,0.916044,0.410265,0.580968,0.304737,0.964449,0.447661,0.881521,0.387518,0.552931,0.321376,1.044466,0.445018,0.889849,0.396749,0.547497,0.298596,1.028572,0.466938,0.793681,0.381885,0.481391,0.375546,0.990407,0.478433,0.867035,0.378596,0.459300,0.362319,0.996442,0.501349,0.993507,0.434515,0.572598,0.328740,1.029094,0.479922,0.963625,0.407264,0.503425,0.313317,1.177023,0.465448,0.887907,0.416227,0.445955,0.274832,0.882828,0.512762,0.798901,0.435825,0.466540,0.392706,0.811645,0.523524,0.700108,0.479044,0.536663,0.466640
4400,0.466757,0.366605,0.434716,0.355167,0.476801,0.223519,0.884174,0.423496,0.860295,0.373355,0.596556,0.288959,0.952593,0.453552,0.960783,0.403647,0.608642,0.303937,0.993859,0.441688,0.922209,0.381357,0.574211,0.319549,1.080831,0.439152,0.934205,0.389826,0.570352,0.296233,1.069459,0.459419,0.831193,0.379163,0.491598,0.371775,1.025556,0.473372,0.908618,0.374400,0.467189,0.354945,1.025574,0.496291,1.044556,0.425741,0.596885,0.326403,1.060527,0.473403,1.011799,0.401950,0.522843,0.311284,1.240946,0.457681,0.933616,0.412225,0.461268,0.269127,0.912165,0.508562,0.835968,0.434354,0.471720,0.384756,0.832943,0.520702,0.719403,0.476300,0.540764,0.459761
4600,0.471711,0.364676,0.445763,0.353872,0.501236,0.221285,0.903287,0.418565,0.899875,0.366612,0.623580,0.286105,0.973775,0.448488,1.005642,0.395641,0.636561,0.300372,1.020751,0.435768,0.964413,0.374104,0.595827,0.317245,1.113552,0.432328,0.979004,0.382628,0.594044,0.294050,1.110223,0.452688,0.869202,0.375384,0.502635,0.368368,1.062435,0.468846,0.953923,0.370851,0.477263,0.348816,1.053362,0.490357,1.097385,0.418732,0.623092,0.324606,1.092442,0.466952,1.060939,0.395386,0.543253,0.309474,1.307079,0.448466,0.980967,0.407188,0.477945,0.263420,0.939835,0.505267,0.873325,0.431895,0.478803,0.376218,0.854920,0.517192,0.740184,0.472884,0.545267,0.451786
4800,0.476871,0.362093,0.456623,0.352490,0.526365,0.218836,0.921955,0.414395,0.939347,0.359732,0.650108,0.283460,0.994534,0.443167,1.053350,0.388966,0.665797,0.298855,1.047603,0.430631,1.006215,0.367605,0.617207,0.314733,1.150649,0.425461,1.023692,0.374591,0.618038,0.291113,1.148158,0.447200,0.905106,0.370829,0.512758,0.364559,1.094987,0.463064,0.998084,0.366771,0.486802,0.342930,1.078533,0.484450,1.152088,0.408495,0.648938,0.321763,1.127815,0.461488,1.109813,0.388115,0.562883,0.306681,1.375876,0.439716,1.029596,0.400894,0.495135,0.258277,0.964103,0.501326,0.910014,0.429169,0.486856,0.368539,0.875188,0.513259,0.759876,0.469635,0.550693,0.443941
5000,0.482665,0.360122,0.468651,0.351237,0.552237,0.216133,0.940996,0.409971,0.979157,0.352116,0.676468,0.280146,1.014087,0.437937,1.099187,0.380416,0.695123,0.296069,1.073477,0.424737,1.047658,0.360993,0.639257,0.312650,1.185788,0.418863,1.070470,0.367944,0.643689,0.288988,1.186441,0.440273,0.941209,0.366538,0.523261,0.360627,1.130376,0.458031,1.043963,0.362278,0.497107,0.337072,1.105601,0.479186,1.206679,0.401245,0.675125,0.320450,1.158723,0.454422,1.159712,0.381142,0.581341,0.303868,1.446923,0.429881,1.079925,0.394371,0.512068,0.254089,0.990605,0.497784,0.947601,0.426132,0.496073,0.361143,0.895178,0.510246,0.779224,0.466670,0.556612,0.437457
5200,0.488600,0.358818,0.479462,0.349170,0.578232,0.213901,0.958126,0.405368,1.021546,0.345736,0.704874,0.277523,1.031147,0.432246,1.146046,0.372954,0.722976,0.293709,1.098751,0.418661,1.088846,0.353643,0.661093,0.309602,1.220046,0.413890,1.116512,0.359854,0.668685,0.285478,1.223912,0.433368,0.978828,0.361788,0.534308,0.356446,1.167186,0.451919,1.089464,0.357567,0.508187,0.332112,1.132901,0.474218,1.263495,0.393296,0.702212,0.318188,1.189750,0.448205,1.210552,0.373254,0.602578,0.301201,1.520074,0.420653,1.131966,0.387091,0.530183,0.249708,1.016395,0.492580,0.987929,0.422585,0.507207,0.354661,0.912798,0.506559,0.799534,0.463291,0.562243,0.430170
5400,0.495193,0.357352,0.490452,0.347196,0.604742,0.212007,0.977594,0.401132,1.063457,0.339059,0.733901,0.275140,1.050853,0.428162,1.193048,0.365561,0.752748,0.291182,1.127352,0.412617,1.131616,0.346407,0.682602,0.307255,1.250455,0.407227,1.162065,0.351965,0.692134,0.282480,1.263336,0.426903,1.016247,0.356733,0.545166,0.352396,1.201327,0.446406,1.134328,0.351623,0.518485,0.327133,1.158583,0.468366,1.320398,0.384045,0.728112,0.315044,1.218807,0.442118,1.261439,0.366360,0.621828,0.298240,1.594348,0.412128,1.185404,0.381148,0.549540,0.247123,1.041869,0.487816,1.026278,0.418994,0.518252,0.348537,0.930502,0.502373,0.819271,0.460071,0.568019,0.423451
5600,0.499406,0.355461,0.501034,0.345067,0.632366,0.209091,0.995146,0.396491,1.105823,0.331627,0.763017,0.271300,1.074029,0.423613,1.240563,0.358133,0.782497,0.288411,1.155886,0.407441,1.174736,0.339217,0.705486,0.304811,1.286657,0.401380,1.208709,0.345132,0.716940,0.279765,1.300876,0.420416,1.054420,0.351398,0.556073,0.347837,1.236101,0.441214,1.182728,0.345984,0.530192,0.322340,1.182174,0.463418,1.379201,0.377101,0.755886,0.313425,1.251530,0.436645,1.314735,0.359331,0.642385,0.295780,1.671895,0.403369,1.240147,0.372917,0.567799,0.243168,1.070067,0.483908,1.064205,0.415023,0.529814,0.343000,0.948136,0.498240,0.840199,0.457298,0.575084,0.417071
5800,0.505537,0.354459,0.512266,0.342671,0.660264,0.206028,1.011860,0.392550,1.147995,0.324794,0.790219,0.268043,1.089290,0.417893,1.289190,0.350735,0.813649,0.285580,1.181178,0.401748,1.218499,0.332576,0.727158,0.301649,1.319014,0.395133,1.256020,0.338524,0.742311,0.277206,1.346626,0.414714,1.092308,0.346884,0.567249,0.344341,1.268386,0.434788,1.233075,0.341017,0.542087,0.317914,1.207494,0.458190,1.437032,0.369487,0.783053,0.311262,1.282348,0.431394,1.365688,0.352474,0.663614,0.293135,1.751321,0.393823,1.296608,0.365016,0.587016,0.239060,1.094326,0.478880,1.102913,0.410263,0.541765,0.337330,0.967297,0.495013,0.860522,0.453985,0.582991,0.411127
