step,layer,group,nominal_lr,adam_factor_rms,eff_step_rms,n_params
800,1,norms,3.000000e-04,2.324307e-01,6.972922e-05,512
800,1,out_proj,1.000000e-03,2.104795e-01,2.104795e-04,4194304
800,1,qkv_lut,1.000000e-03,2.189495e-01,2.189495e-04,3538944
800,1,residual_lut,1.000000e-03,2.158953e-01,2.158953e-04,3145728
800,1,temps,3.000000e-04,4.317640e-01,1.295292e-04,8
800,1,v_lut,1.000000e-03,1.973661e-01,1.973661e-04,1572864
800,2,norms,3.000000e-04,2.355484e-01,7.066451e-05,512
800,2,out_proj,1.000000e-03,2.117951e-01,2.117951e-04,4194304
800,2,qkv_lut,1.000000e-03,2.219041e-01,2.219041e-04,3538944
800,2,residual_lut,1.000000e-03,2.149261e-01,2.149261e-04,3145728
800,2,temps,3.000000e-04,5.218854e-01,1.565656e-04,8
800,2,v_lut,1.000000e-03,2.101214e-01,2.101214e-04,1572864
800,3,norms,3.000000e-04,1.977861e-01,5.933583e-05,512
800,3,out_proj,1.000000e-03,2.101480e-01,2.101480e-04,4194304
800,3,qkv_lut,1.000000e-03,2.188926e-01,2.188926e-04,3538944
800,3,residual_lut,1.000000e-03,2.157472e-01,2.157472e-04,3145728
800,3,temps,3.000000e-04,4.583814e-01,1.375144e-04,8
800,3,v_lut,1.000000e-03,1.962367e-01,1.962367e-04,1572864
800,4,norms,3.000000e-04,2.009805e-01,6.029415e-05,512
800,4,out_proj,1.000000e-03,2.045678e-01,2.045678e-04,4194304
800,4,qkv_lut,1.000000e-03,2.166860e-01,2.166860e-04,3538944
800,4,residual_lut,1.000000e-03,2.150058e-01,2.150058e-04,3145728
800,4,temps,3.000000e-04,3.826796e-01,1.148039e-04,8
800,4,v_lut,1.000000e-03,1.943746e-01,1.943746e-04,1572864
800,5,norms,3.000000e-04,1.913515e-01,5.740546e-05,512
800,5,out_proj,1.000000e-03,1.991260e-01,1.991260e-04,4194304
800,5,qkv_lut,1.000000e-03,2.126323e-01,2.126323e-04,3538944
800,5,residual_lut,1.000000e-03,2.135923e-01,2.135923e-04,3145728
800,5,temps,3.000000e-04,3.070930e-01,9.212791e-05,8
800,5,v_lut,1.000000e-03,1.859276e-01,1.859276e-04,1572864
1000,-1,norms,2.994863e-04,4.275415e-01,1.280428e-04,768
1000,-1,tok_emb,2.994863e-04,1.544272e-01,4.624883e-05,2097152
1000,-1,unembedder,2.994863e-04,2.469932e-01,7.397106e-05,12582912
1000,0,norms,2.994863e-04,2.176827e-01,6.519298e-05,512
1000,0,out_proj,9.982876e-04,2.100494e-01,2.096897e-04,4194304
1000,0,qkv_lut,9.982876e-04,2.154117e-01,2.150429e-04,3538944
1000,0,residual_lut,9.982876e-04,2.181664e-01,2.177928e-04,3145728
1000,0,temps,2.994863e-04,4.494692e-01,1.346098e-04,8
1000,0,v_lut,9.982876e-04,2.055801e-01,2.052281e-04,1572864
1000,1,norms,2.994863e-04,2.234600e-01,6.692320e-05,512
1000,1,out_proj,9.982876e-04,2.098146e-01,2.094553e-04,4194304
1000,1,qkv_lut,9.982876e-04,2.163125e-01,2.159421e-04,3538944
1000,1,residual_lut,9.982876e-04,2.177809e-01,2.174080e-04,3145728
1000,1,temps,2.994863e-04,4.207216e-01,1.260003e-04,8
1000,1,v_lut,9.982876e-04,1.976382e-01,1.972997e-04,1572864
1000,2,norms,2.994863e-04,2.461538e-01,7.371969e-05,512
1000,2,out_proj,9.982876e-04,2.090432e-01,2.086852e-04,4194304
1000,2,qkv_lut,9.982876e-04,2.168242e-01,2.164529e-04,3538944
1000,2,residual_lut,9.982876e-04,2.172321e-01,2.168601e-04,3145728
1000,2,temps,2.994863e-04,5.467198e-01,1.637351e-04,8
1000,2,v_lut,9.982876e-04,2.023962e-01,2.020496e-04,1572864
1000,3,norms,2.994863e-04,1.958784e-01,5.866290e-05,512
1000,3,out_proj,9.982876e-04,2.097925e-01,2.094332e-04,4194304
1000,3,qkv_lut,9.982876e-04,2.126976e-01,2.123333e-04,3538944
1000,3,residual_lut,9.982876e-04,2.166893e-01,2.163183e-04,3145728
1000,3,temps,2.994863e-04,4.373791e-01,1.309890e-04,8
1000,3,v_lut,9.982876e-04,1.944156e-01,1.940827e-04,1572864
1000,4,norms,2.994863e-04,1.859541e-01,5.569071e-05,512
1000,4,out_proj,9.982876e-04,2.050013e-01,2.046503e-04,4194304
1000,4,qkv_lut,9.982876e-04,2.098877e-01,2.095283e-04,3538944
1000,4,residual_lut,9.982876e-04,2.165188e-01,2.161480e-04,3145728
1000,4,temps,2.994863e-04,3.233626e-01,9.684267e-05,8
1000,4,v_lut,9.982876e-04,1.890671e-01,1.887433e-04,1572864
1000,5,norms,2.994863e-04,1.856369e-01,5.559571e-05,512
1000,5,out_proj,9.982876e-04,2.043863e-01,2.040363e-04,4194304
1000,5,qkv_lut,9.982876e-04,2.118757e-01,2.115129e-04,3538944
1000,5,residual_lut,9.982876e-04,2.175210e-01,2.171486e-04,3145728
1000,5,temps,2.994863e-04,3.729524e-01,1.116941e-04,8
1000,5,v_lut,9.982876e-04,1.986412e-01,1.983010e-04,1572864
1200,-1,norms,2.979490e-04,4.131800e-01,1.231066e-04,768
1200,-1,tok_emb,2.979490e-04,1.548026e-01,4.612328e-05,2097152
1200,-1,unembedder,2.979490e-04,2.448632e-01,7.295675e-05,12582912
1200,0,norms,2.979490e-04,2.301784e-01,6.858143e-05,512
