step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.out_v2d.T,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.out_v2d.T,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.out_v2d.T,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.out_v2d.T,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.out_v2d.T,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.out_v2d.T
4400,0.292333,0.270128,0.314680,0.317828,0.428787,0.283526,0.221100,0.900317,0.432825,0.436173,0.414055,0.403316,0.380897,0.170510,0.622991,0.460753,0.423445,0.411600,0.431781,0.398870,0.158943,0.572118,0.539969,0.463622,0.457360,0.484329,0.473722,0.109856,0.504251,0.491591,0.537791,0.532538,0.528517,0.520247,0.106318,0.508353,0.501258,0.538122,0.537076,0.542428,0.524378,0.098166
4600,0.291990,0.268427,0.306921,0.310036,0.436428,0.281826,0.227234,0.918148,0.430167,0.436168,0.412383,0.402527,0.378289,0.174312,0.628967,0.459314,0.421263,0.409005,0.432365,0.397555,0.162527,0.572935,0.539895,0.462164,0.455797,0.484005,0.472723,0.110076,0.505079,0.492042,0.538843,0.533459,0.529111,0.520555,0.106377,0.508720,0.499763,0.538900,0.537759,0.543545,0.524365,0.097831
4800,0.291316,0.266752,0.299745,0.302833,0.444106,0.280578,0.233247,0.935528,0.427235,0.436725,0.411195,0.402279,0.375946,0.178107,0.636103,0.459093,0.420465,0.407624,0.432896,0.396203,0.165567,0.572843,0.538877,0.460979,0.454479,0.482549,0.470969,0.110319,0.504314,0.490765,0.538989,0.533557,0.529876,0.520975,0.106403,0.508760,0.499297,0.539273,0.538012,0.544060,0.524407,0.097508
5000,0.291035,0.265503,0.293297,0.296369,0.450964,0.278806,0.239037,0.952144,0.424783,0.437400,0.410098,0.402439,0.374112,0.181917,0.641439,0.457648,0.419125,0.405718,0.433570,0.395165,0.168713,0.573281,0.538457,0.460258,0.453657,0.482200,0.469926,0.110621,0.504979,0.490803,0.539078,0.533712,0.530390,0.521173,0.106509,0.508534,0.498574,0.540033,0.538663,0.544898,0.524719,0.097173
5200,0.290583,0.264258,0.287385,0.290436,0.457100,0.277509,0.244394,0.968059,0.422586,0.437891,0.409043,0.402430,0.372247,0.185339,0.645405,0.455859,0.418510,0.404726,0.433988,0.394045,0.171842,0.573326,0.537880,0.459486,0.452817,0.481997,0.469184,0.110863,0.505832,0.491388,0.539005,0.533573,0.530606,0.521305,0.106587,0.508360,0.498860,0.540202,0.538848,0.545257,0.524508,0.096926
5400,0.290327,0.263179,0.282102,0.285127,0.463140,0.276312,0.249556,0.981570,0.420204,0.438846,0.408171,0.402722,0.370512,0.188714,0.648061,0.453540,0.417219,0.402974,0.434390,0.392958,0.174669,0.572749,0.536670,0.458455,0.451718,0.481163,0.467709,0.111174,0.505226,0.490554,0.539164,0.533782,0.530723,0.521393,0.106660,0.506906,0.497281,0.540357,0.539018,0.545574,0.524369,0.096629
5600,0.290156,0.262269,0.277313,0.280308,0.468659,0.275219,0.254182,0.993236,0.418018,0.440169,0.407965,0.402955,0.369305,0.191760,0.652348,0.452513,0.416395,0.401830,0.434524,0.391991,0.177180,0.572266,0.535710,0.457677,0.450900,0.480954,0.467154,0.111383,0.505513,0.490702,0.538823,0.533456,0.530493,0.521110,0.106731,0.507181,0.497501,0.540480,0.539212,0.545806,0.524243,0.096316
5800,0.289748,0.261273,0.272998,0.275963,0.473583,0.274136,0.258564,1.006250,0.416933,0.441091,0.407337,0.403395,0.368300,0.194765,0.656066,0.451595,0.416173,0.401220,0.435269,0.391458,0.179707,0.572727,0.535600,0.456862,0.450076,0.480577,0.466276,0.111588,0.505836,0.490946,0.539350,0.533948,0.530983,0.521445,0.106730,0.507335,0.497600,0.540854,0.539543,0.546154,0.524257,0.096022
6000,0.289517,0.260493,0.269183,0.272124,0.477809,0.273274,0.262385,1.016657,0.415716,0.442630,0.407337,0.403952,0.367536,0.197273,0.658817,0.450251,0.415445,0.400182,0.435699,0.390733,0.181842,0.571884,0.534277,0.456333,0.449480,0.480175,0.465511,0.111781,0.505266,0.490232,0.539549,0.534048,0.530946,0.521344,0.106802,0.507402,0.497406,0.541053,0.539710,0.546367,0.524229,0.095798
6200,0.289341,0.259834,0.265878,0.268800,0.481638,0.272029,0.265964,1.026168,0.414270,0.443625,0.406972,0.404398,0.366647,0.199696,0.661841,0.449577,0.415451,0.399707,0.436076,0.390172,0.183827,0.571543,0.533642,0.456136,0.449191,0.479534,0.464493,0.111958,0.505317,0.490178,0.539409,0.534007,0.530981,0.521347,0.106857,0.507030,0.497159,0.541165,0.539870,0.546625,0.524328,0.095642
6400,0.289147,0.259229,0.263027,0.265930,0.485051,0.271011,0.269170,1.033306,0.412662,0.444814,0.406929,0.405021,0.366099,0.201843,0.664948,0.449087,0.415106,0.398998,0.436199,0.389496,0.185453,0.571340,0.533070,0.455349,0.448383,0.479195,0.463894,0.112110,0.505257,0.490124,0.539488,0.534085,0.530893,0.521312,0.106949,0.506397,0.496457,0.541287,0.539991,0.546764,0.524334,0.095436
6600,0.288825,0.258584,0.260509,0.263396,0.488149,0.270076,0.272093,1.040642,0.411430,0.445711,0.406706,0.405395,0.365415,0.203842,0.666713,0.448156,0.414683,0.398293,0.436623,0.389208,0.187113,0.570847,0.532259,0.454651,0.447664,0.478611,0.463006,0.112313,0.505317,0.490088,0.539251,0.533858,0.530886,0.521268,0.106930,0.506238,0.495843,0.541267,0.540001,0.546775,0.524233,0.095293
6800,0.288795,0.258206,0.258303,0.261174,0.490560,0.269259,0.274608,1.047109,0.410556,0.446465,0.406569,0.405672,0.364860,0.205553,0.668564,0.447690,0.414676,0.397999,0.436916,0.388915,0.188580,0.570547,0.531743,0.454418,0.447435,0.478357,0.462378,0.112435,0.504979,0.489682,0.539262,0.533858,0.530850,0.521240,0.106954,0.506324,0.496039,0.541305,0.540045,0.546849,0.524225,0.095169
7000,0.288638,0.257783,0.256401,0.259262,0.493098,0.268447,0.276939,1.053114,0.409811,0.447520,0.406639,0.406245,0.364462,0.207173,0.670049,0.446860,0.414445,0.397564,0.437076,0.388452,0.189865,0.570135,0.531153,0.453930,0.446949,0.478117,0.461799,0.112605,0.504771,0.489370,0.539022,0.533666,0.530882,0.521265,0.106955,0.506174,0.495824,0.541199,0.539951,0.546734,0.524076,0.095013
7200,0.288511,0.257425,0.254724,0.257575,0.495339,0.267744,0.279049,1.058893,0.409168,0.448319,0.406598,0.406558,0.363952,0.208623,0.672012,0.446312,0.414344,0.397209,0.437350,0.388078,0.191049,0.569634,0.530423,0.453435,0.446414,0.477854,0.461221,0.112720,0.504737,0.489349,0.539158,0.533820,0.531057,0.521377,0.107011,0.506282,0.495973,0.541264,0.540023,0.546802,0.524111,0.094906
7400,0.288394,0.257093,0.253192,0.256033,0.497281,0.267046,0.280967,1.063631,0.408304,0.449070,0.406545,0.406877,0.363547,0.209904,0.673489,0.445812,0.414320,0.396986,0.437543,0.387796,0.192145,0.569533,0.530076,0.453227,0.446200,0.477505,0.460602,0.112871,0.505140,0.489589,0.538832,0.533574,0.530912,0.521260,0.107030,0.506117,0.496249,0.541202,0.539979,0.546741,0.524022,0.094813
7600,0.288325,0.256824,0.251838,0.254670,0.499022,0.266381,0.282739,1.068198,0.407700,0.449831,0.406526,0.407238,0.363205,0.211114,0.674891,0.445176,0.414472,0.396896,0.437789,0.387563,0.193173,0.569409,0.529757,0.452891,0.445871,0.477203,0.460117,0.112996,0.504818,0.489136,0.538895,0.533596,0.530869,0.521229,0.107121,0.505856,0.495969,0.541209,0.539983,0.546762,0.523989,0.094706
7800,0.288154,0.256478,0.250530,0.253354,0.500853,0.265836,0.284429,1.072409,0.406968,0.450496,0.406477,0.407550,0.362814,0.212278,0.676549,0.444799,0.414293,0.396518,0.437906,0.387201,0.194122,0.569056,0.529252,0.452704,0.445713,0.476964,0.459712,0.113144,0.504773,0.488991,0.538619,0.533372,0.530842,0.521216,0.107138,0.505615,0.495944,0.541086,0.539887,0.546636,0.523838,0.094668
8000,0.288135,0.256272,0.249303,0.252121,0.502487,0.265219,0.286055,1.076374,0.406257,0.451142,0.406488,0.407852,0.362543,0.213402,0.678254,0.444585,0.414325,0.396370,0.438070,0.386973,0.194986,0.569159,0.529160,0.452361,0.445357,0.476724,0.459294,0.113271,0.504518,0.488710,0.538528,0.533247,0.530702,0.521120,0.107174,0.505710,0.496065,0.540977,0.539795,0.546550,0.523729,0.094573
