step,L0.qk_joint.uncertainty_T,L0.v_lut.uncertainty_T,L0.out_proj.uncertainty_T,L0.out_v2d.T,L1.qk_joint.uncertainty_T,L1.v_lut.uncertainty_T,L1.out_proj.uncertainty_T,L1.out_v2d.T,L2.qk_joint.uncertainty_T,L2.v_lut.uncertainty_T,L2.out_proj.uncertainty_T,L2.out_v2d.T,L3.qk_joint.uncertainty_T,L3.v_lut.uncertainty_T,L3.out_proj.uncertainty_T,L3.out_v2d.T,L4.qk_joint.uncertainty_T,L4.v_lut.uncertainty_T,L4.out_proj.uncertainty_T,L4.out_v2d.T,L5.qk_joint.uncertainty_T,L5.v_lut.uncertainty_T,L5.out_proj.uncertainty_T,L5.out_v2d.T
2000,0.316880,0.606831,0.364288,0.137223,0.326557,0.532602,0.522149,0.125135,0.383187,0.525469,0.499977,0.115781,0.431572,0.495710,0.466404,0.107797,0.477516,0.462801,0.460219,0.099117,0.491836,0.473289,0.452337,0.102516
2200,0.300165,0.608173,0.346044,0.143097,0.309453,0.533805,0.519013,0.129115,0.367520,0.528772,0.497593,0.118514,0.424083,0.496136,0.460612,0.108635,0.474488,0.457801,0.455005,0.099252,0.490757,0.470868,0.449021,0.102537
2400,0.284726,0.604313,0.329413,0.148914,0.293655,0.533191,0.514770,0.132795,0.353373,0.530776,0.495233,0.121374,0.415616,0.497115,0.457095,0.109465,0.470473,0.453215,0.451419,0.099380,0.489516,0.469914,0.445632,0.102568
2600,0.270526,0.596779,0.313585,0.155135,0.278993,0.532652,0.509654,0.137167,0.339099,0.533749,0.492338,0.124388,0.409532,0.497236,0.452110,0.110364,0.467327,0.450776,0.448968,0.099377,0.488761,0.468108,0.442634,0.102376
2800,0.257548,0.585944,0.298726,0.161899,0.265496,0.531923,0.502896,0.141761,0.325193,0.534987,0.487669,0.127776,0.403205,0.498303,0.447178,0.111100,0.467246,0.448629,0.445618,0.099524,0.488234,0.466133,0.439239,0.102392
3000,0.245557,0.573023,0.285033,0.168397,0.253095,0.528115,0.495948,0.146013,0.312390,0.536899,0.482886,0.131164,0.396721,0.499802,0.443795,0.111863,0.465225,0.445777,0.442462,0.099583,0.487775,0.464640,0.436349,0.102328
3200,0.234601,0.559181,0.272419,0.174971,0.241867,0.525127,0.489511,0.150402,0.301716,0.536874,0.478774,0.134467,0.390086,0.501025,0.439144,0.112789,0.463022,0.442076,0.438401,0.099581,0.486753,0.462622,0.433713,0.102357
3400,0.224681,0.543745,0.260890,0.181438,0.231481,0.520965,0.482276,0.155033,0.290953,0.537926,0.473733,0.138242,0.383716,0.502702,0.433872,0.113452,0.461517,0.441699,0.436266,0.099680,0.485246,0.461799,0.431801,0.102345
3600,0.215618,0.529600,0.250291,0.188077,0.221988,0.515863,0.475120,0.159458,0.280797,0.536997,0.470186,0.141705,0.377797,0.503565,0.429816,0.114227,0.459856,0.440641,0.433383,0.099802,0.483955,0.460486,0.428934,0.102336
3800,0.207380,0.515632,0.240599,0.194565,0.213423,0.510543,0.467593,0.163614,0.271212,0.536386,0.463902,0.145339,0.373309,0.504383,0.424628,0.114997,0.459165,0.439071,0.431051,0.099855,0.483285,0.459133,0.426364,0.102265
4000,0.199892,0.501734,0.231682,0.201286,0.205539,0.503997,0.459672,0.168215,0.262544,0.535915,0.458737,0.148914,0.367497,0.505365,0.420273,0.115796,0.457359,0.437666,0.428895,0.099952,0.482267,0.459143,0.424830,0.102333
4200,0.193111,0.487920,0.223733,0.207347,0.198450,0.497875,0.452253,0.172233,0.254944,0.534809,0.454020,0.151964,0.363065,0.505856,0.414309,0.116563,0.455686,0.435880,0.427176,0.100076,0.480340,0.458224,0.423137,0.102416
4400,0.187078,0.475368,0.216422,0.213723,0.192026,0.490580,0.444392,0.176709,0.247849,0.534079,0.448629,0.155206,0.359427,0.505925,0.409307,0.117418,0.455557,0.435881,0.425268,0.100240,0.479297,0.457420,0.421710,0.102335
4600,0.181500,0.463847,0.209822,0.219770,0.186203,0.484640,0.436956,0.180847,0.241574,0.532774,0.443813,0.158521,0.354433,0.507493,0.404273,0.118264,0.456057,0.434581,0.423289,0.100358,0.478772,0.456775,0.420808,0.102357
4800,0.176560,0.453232,0.203874,0.225580,0.180953,0.476825,0.429903,0.184828,0.236022,0.530895,0.438607,0.161594,0.349939,0.508329,0.400098,0.119107,0.454091,0.434314,0.421982,0.100429,0.478572,0.456454,0.419271,0.102387
