step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5
34000,3.538372,1.147651,19.656399,19.623442,19.603844,19.579144,19.506170,18.630560,1.002579,1.000302,0.999385,0.997863,0.994022,0.948570,9.890903,14.678674,15.963466,23.231602,19.970411,24.084187
34500,3.530723,1.146935,19.656454,19.623041,19.604124,19.578777,19.505539,18.626726,1.002580,1.000277,0.999399,0.997841,0.993982,0.948362,9.899078,14.679026,15.970325,23.252161,19.991840,24.121861
35000,3.537274,1.146633,19.656500,19.623083,19.604259,19.579170,19.504736,18.623447,1.002584,1.000276,0.999402,0.997856,0.993930,0.948182,9.907748,14.681703,15.977654,23.278385,20.011326,24.156891
35500,3.527573,1.145658,19.656794,19.623032,19.604015,19.579247,19.503801,18.618711,1.002595,1.000270,0.999388,0.997854,0.993877,0.947923,9.918757,14.682799,15.983384,23.302177,20.029203,24.189608
36000,3.522567,1.145147,19.656990,19.623266,19.603678,19.578947,19.503246,18.615877,1.002605,1.000280,0.999372,0.997832,0.993841,0.947773,9.928240,14.686703,15.989895,23.325478,20.048859,24.221443
36500,3.537741,1.143511,19.656797,19.623209,19.603548,19.578699,19.503056,18.612339,1.002593,1.000279,0.999360,0.997816,0.993825,0.947582,9.935266,14.687573,15.998764,23.346439,20.068741,24.254704
37000,3.504770,1.142988,19.656935,19.623228,19.603277,19.578743,19.502831,18.610292,1.002594,1.000273,0.999342,0.997814,0.993817,0.947470,9.943399,14.690221,16.005781,23.368526,20.087055,24.285299
37500,3.516238,1.142797,19.657146,19.623396,19.603844,19.578377,19.502890,18.606998,1.002604,1.000285,0.999369,0.997794,0.993818,0.947288,9.956465,14.693181,16.014324,23.389416,20.102633,24.312944
38000,3.504826,1.142133,19.657278,19.623201,19.603472,19.578501,19.502102,18.603693,1.002611,1.000268,0.999351,0.997795,0.993774,0.947110,9.966074,14.697852,16.021006,23.410688,20.119936,24.342878
38500,3.496196,1.141108,19.657339,19.623650,19.603264,19.578615,19.502298,18.602203,1.002616,1.000291,0.999334,0.997798,0.993786,0.947033,9.976674,14.701856,16.028473,23.428280,20.137676,24.369152
39000,3.484465,1.141508,19.657001,19.623751,19.603586,19.578354,19.501995,18.600489,1.002598,1.000292,0.999350,0.997782,0.993769,0.946941,9.987695,14.707280,16.036436,23.448980,20.152889,24.394859
39500,3.482892,1.140477,19.657156,19.623432,19.603540,19.578287,19.501612,18.597990,1.002606,1.000276,0.999344,0.997777,0.993744,0.946802,9.998722,14.710462,16.044281,23.466278,20.167322,24.421659
40000,3.489004,1.140835,19.657089,19.622942,19.603672,19.578728,19.500883,18.595560,1.002602,1.000250,0.999345,0.997798,0.993702,0.946671,10.006431,14.716399,16.052204,23.484772,20.183359,24.446766
40500,3.470682,1.139569,19.657125,19.623308,19.603390,19.578337,19.500772,18.593456,1.002603,1.000267,0.999331,0.997779,0.993694,0.946556,10.017269,14.721234,16.058014,23.502708,20.197285,24.470331
41000,3.476125,1.138784,19.657188,19.622828,19.603655,19.578173,19.500179,18.591953,1.002606,1.000240,0.999347,0.997767,0.993658,0.946472,10.028394,14.726115,16.065989,23.518085,20.212151,24.491901
