step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.out_v2d.T,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.out_v2d.T,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.out_v2d.T,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.out_v2d.T,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.out_v2d.T,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.out_v2d.T
6000,0.291852,0.251139,0.553981,0.222221,0.325755,1.398877,0.356533,0.427940,0.316974,0.284173,1.029183,0.392034,0.477643,0.325118,0.154625,0.589359,0.472538,0.443505,0.409599,0.122455,0.544645,0.510377,0.511153,0.502485,0.122083,0.497518,0.492632,0.508705,0.502575,0.108858
6200,0.291831,0.250332,0.559582,0.220258,0.330563,1.415934,0.353934,0.430399,0.315767,0.288234,1.039408,0.390259,0.480514,0.323977,0.156412,0.590461,0.471483,0.442610,0.407685,0.122965,0.544101,0.509539,0.510905,0.502044,0.122362,0.497238,0.492287,0.508707,0.502614,0.109130
6400,0.291542,0.249405,0.564539,0.218790,0.334867,1.431301,0.351789,0.432430,0.315183,0.291858,1.048737,0.388923,0.483032,0.323202,0.157837,0.591407,0.470467,0.441627,0.405558,0.123281,0.543687,0.508865,0.510749,0.501755,0.122557,0.496889,0.491832,0.508795,0.502664,0.109258
6600,0.291534,0.248740,0.568889,0.217393,0.338739,1.444845,0.349853,0.434676,0.314464,0.295125,1.056965,0.387538,0.485875,0.322787,0.159328,0.592076,0.469594,0.441590,0.404175,0.123638,0.543346,0.508141,0.510704,0.501519,0.122763,0.496806,0.491642,0.508767,0.502598,0.109438
6800,0.291394,0.248098,0.573154,0.216013,0.342200,1.456980,0.348141,0.436623,0.313718,0.298081,1.063522,0.386145,0.488198,0.322243,0.160653,0.593037,0.469037,0.441043,0.402814,0.124061,0.543237,0.507716,0.510619,0.501238,0.122978,0.496520,0.491250,0.508797,0.502599,0.109621
7000,0.291161,0.247459,0.576641,0.214907,0.345290,1.467959,0.346574,0.438476,0.313070,0.300725,1.069753,0.385053,0.490046,0.321490,0.161846,0.593353,0.468100,0.440657,0.401592,0.124429,0.543024,0.507274,0.510395,0.500907,0.123154,0.496243,0.490922,0.508766,0.502572,0.109744
7200,0.291027,0.246950,0.579456,0.213876,0.348064,1.477718,0.345005,0.439976,0.312480,0.303080,1.075141,0.384054,0.491926,0.320940,0.162928,0.593115,0.466971,0.440167,0.400399,0.124760,0.542965,0.507002,0.510202,0.500649,0.123318,0.496110,0.490693,0.508810,0.502580,0.109870
7400,0.291013,0.246568,0.582178,0.212929,0.350588,1.486637,0.343681,0.441587,0.311961,0.305233,1.080541,0.383339,0.493642,0.320553,0.163935,0.593947,0.466565,0.439898,0.399439,0.125080,0.542703,0.506597,0.510029,0.500387,0.123488,0.495883,0.490381,0.508791,0.502515,0.109978
7600,0.290920,0.246166,0.584567,0.212052,0.352911,1.494999,0.342495,0.443019,0.311500,0.307213,1.085127,0.382492,0.495062,0.320048,0.164875,0.593847,0.465686,0.439740,0.398655,0.125401,0.542371,0.506086,0.509905,0.500177,0.123620,0.495777,0.490190,0.508777,0.502482,0.110082
7800,0.290812,0.245779,0.587053,0.211216,0.355106,1.502620,0.341377,0.444390,0.311109,0.309088,1.089760,0.381930,0.496534,0.319638,0.165748,0.594249,0.465143,0.439336,0.397759,0.125679,0.542206,0.505744,0.509769,0.499961,0.123756,0.495592,0.489964,0.508731,0.502433,0.110180
8000,0.290643,0.245328,0.589187,0.210379,0.357237,1.509695,0.340230,0.445589,0.310665,0.310912,1.093641,0.381019,0.497902,0.319222,0.166623,0.594763,0.464692,0.439161,0.396981,0.125951,0.542108,0.505438,0.509628,0.499748,0.123874,0.495381,0.489711,0.508657,0.502376,0.110263
