step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
4000,0.427597,0.435567,0.442146,0.384882,0.758855,0.530673,0.802908,0.688732,0.647373,0.510143,0.644911,0.399658,0.813739,0.559090,0.732315,0.517457,0.745984,0.484415,0.534366,0.374469,0.677945,0.426776,0.675142,0.475614,0.616238,0.477031,0.411058,0.380888,0.707870,0.588188,0.661076,0.517387,0.520268,0.471946,0.470703,0.462593,0.654959,0.574856,0.576006,0.526079,0.484114,0.484700,0.498641,0.501076,0.603825,0.550332,0.518124,0.510492
4200,0.426592,0.434345,0.444918,0.384730,0.776493,0.535014,0.811664,0.693427,0.649942,0.509293,0.656427,0.400489,0.834705,0.564137,0.738533,0.512821,0.755729,0.481825,0.541971,0.374514,0.690611,0.422363,0.674478,0.466829,0.623438,0.477007,0.409954,0.376204,0.710843,0.585360,0.660673,0.509350,0.520892,0.471309,0.470376,0.461608,0.662539,0.577859,0.576676,0.525121,0.482986,0.483811,0.498742,0.501192,0.611607,0.554537,0.518246,0.510446
4400,0.425122,0.432894,0.447296,0.384331,0.793047,0.538843,0.821682,0.699203,0.652783,0.508741,0.668358,0.402334,0.856027,0.569582,0.744501,0.508382,0.766138,0.480452,0.549204,0.374755,0.702757,0.418770,0.674895,0.458748,0.628981,0.475823,0.410795,0.373390,0.715144,0.583816,0.659437,0.501220,0.521368,0.470725,0.470072,0.460534,0.667666,0.579404,0.577038,0.524109,0.482539,0.483362,0.498862,0.501520,0.618333,0.558235,0.518294,0.510374
4600,0.423741,0.431606,0.449390,0.384126,0.808065,0.541956,0.828546,0.702475,0.654267,0.507493,0.679588,0.404566,0.875804,0.575275,0.751205,0.504675,0.776542,0.478479,0.556328,0.374860,0.714821,0.415374,0.675352,0.451112,0.635550,0.475687,0.412404,0.370997,0.719368,0.582344,0.659720,0.494064,0.521475,0.469775,0.469867,0.459602,0.672252,0.580628,0.576898,0.522873,0.482192,0.482697,0.498717,0.501545,0.623939,0.561066,0.518317,0.510267
4800,0.422285,0.430271,0.451149,0.383853,0.821265,0.544823,0.835801,0.706406,0.655145,0.506024,0.689056,0.405593,0.894008,0.579376,0.754091,0.499991,0.785323,0.476806,0.564048,0.375644,0.724924,0.412094,0.674883,0.443516,0.642271,0.476396,0.413679,0.369157,0.722786,0.580509,0.658673,0.487066,0.520876,0.468303,0.469663,0.458706,0.677186,0.582151,0.576820,0.521857,0.481735,0.482130,0.499024,0.501978,0.628468,0.563934,0.518280,0.510185
5000,0.420856,0.429110,0.452796,0.383734,0.834227,0.547053,0.842096,0.710018,0.656731,0.505219,0.699128,0.407780,0.912240,0.584332,0.758943,0.496375,0.793028,0.474615,0.571024,0.376235,0.734602,0.408957,0.674115,0.436605,0.647053,0.475826,0.414856,0.366962,0.725237,0.577945,0.657388,0.480082,0.521565,0.467964,0.469621,0.457948,0.683076,0.584241,0.576535,0.520629,0.480760,0.481135,0.498982,0.501875,0.634848,0.566849,0.518301,0.510114
5200,0.419409,0.427862,0.453506,0.383316,0.844215,0.548094,0.845355,0.711044,0.658230,0.504518,0.708592,0.409990,0.928935,0.588878,0.762435,0.492735,0.799288,0.472794,0.577724,0.377052,0.744625,0.406662,0.675134,0.431018,0.651949,0.475653,0.417948,0.366048,0.727871,0.576186,0.657226,0.474314,0.522918,0.468138,0.469876,0.457477,0.687069,0.585080,0.576406,0.519558,0.479997,0.480343,0.498875,0.501746,0.639556,0.568888,0.518336,0.510061
5400,0.418409,0.426982,0.454320,0.382945,0.852672,0.548969,0.847637,0.711344,0.658662,0.503406,0.716224,0.411266,0.942940,0.592012,0.764658,0.489031,0.805523,0.471370,0.584086,0.377770,0.753445,0.404016,0.675781,0.425603,0.656469,0.475467,0.420114,0.364738,0.729606,0.573943,0.656035,0.468548,0.523261,0.467624,0.470094,0.457137,0.691006,0.586264,0.575968,0.518497,0.480215,0.480734,0.498841,0.501737,0.643954,0.570752,0.518312,0.509990
5600,0.417112,0.425937,0.454626,0.382458,0.860237,0.549626,0.850162,0.712178,0.659770,0.502731,0.723112,0.412534,0.956547,0.595323,0.766203,0.485624,0.811283,0.470074,0.590291,0.378578,0.762533,0.402210,0.676569,0.420799,0.660219,0.475335,0.422567,0.364260,0.731343,0.572186,0.654856,0.463495,0.523779,0.467231,0.470143,0.456778,0.694642,0.587291,0.575358,0.517439,0.479662,0.480011,0.499003,0.501918,0.647446,0.572014,0.518252,0.509894
5800,0.415676,0.424848,0.454630,0.381921,0.866756,0.549990,0.852498,0.713297,0.660661,0.501980,0.729988,0.413806,0.968930,0.598056,0.768581,0.482848,0.815534,0.468371,0.595601,0.379128,0.770465,0.400504,0.677263,0.416768,0.664501,0.475485,0.424804,0.363812,0.733032,0.570390,0.654273,0.459012,0.524694,0.467254,0.470233,0.456356,0.697322,0.587815,0.574824,0.516421,0.479192,0.479576,0.499145,0.502093,0.651682,0.573810,0.518180,0.509798
6000,0.414786,0.424184,0.454735,0.381549,0.872519,0.550587,0.853296,0.713081,0.660618,0.500907,0.735415,0.414717,0.979129,0.599988,0.769826,0.480255,0.819755,0.467228,0.600561,0.379820,0.777321,0.398797,0.678187,0.412914,0.667802,0.475416,0.427333,0.363865,0.734879,0.569122,0.653398,0.454860,0.525040,0.466790,0.470289,0.456009,0.699933,0.588164,0.574286,0.515518,0.478998,0.479269,0.499037,0.501951,0.654566,0.574612,0.518170,0.509746
6200,0.413803,0.423438,0.454440,0.381021,0.876666,0.550219,0.853137,0.712188,0.661182,0.500318,0.740747,0.415986,0.989314,0.602563,0.770347,0.477461,0.823762,0.466071,0.605010,0.380545,0.783969,0.397237,0.679467,0.409764,0.670869,0.475591,0.429922,0.364210,0.736528,0.568007,0.652866,0.451283,0.525910,0.467048,0.470611,0.456008,0.702368,0.588911,0.573643,0.514583,0.479116,0.479183,0.499188,0.502177,0.656991,0.575708,0.518089,0.509641
6400,0.412702,0.422586,0.454232,0.380586,0.881172,0.550154,0.853070,0.711668,0.661482,0.499638,0.745211,0.416928,0.998072,0.604537,0.771381,0.475353,0.826958,0.465147,0.608962,0.381104,0.789704,0.396164,0.680865,0.406755,0.673375,0.475517,0.431990,0.364184,0.737303,0.566403,0.652156,0.447949,0.526412,0.467028,0.470810,0.455909,0.703914,0.589042,0.573057,0.513719,0.478824,0.478897,0.499055,0.502047,0.658586,0.576221,0.518051,0.509565
6600,0.412091,0.422146,0.454038,0.380300,0.884498,0.550194,0.853047,0.711191,0.662210,0.499452,0.748853,0.417660,1.005555,0.606170,0.771929,0.473347,0.829763,0.464379,0.612758,0.381710,0.794455,0.394935,0.681479,0.404105,0.675630,0.475329,0.433526,0.364069,0.738111,0.565158,0.651289,0.445060,0.526717,0.466929,0.470960,0.455822,0.705794,0.589429,0.572441,0.512961,0.478590,0.478623,0.499112,0.502140,0.660506,0.576986,0.518008,0.509498
6800,0.411456,0.421732,0.453744,0.379985,0.887715,0.550446,0.852680,0.710491,0.662512,0.499015,0.752376,0.418342,1.012111,0.607370,0.772135,0.471348,0.832618,0.463725,0.616012,0.382229,0.799101,0.393921,0.682479,0.401738,0.677982,0.475596,0.435476,0.364344,0.738949,0.563888,0.651077,0.442530,0.526979,0.466779,0.471165,0.455838,0.707558,0.589631,0.571819,0.512221,0.478735,0.478720,0.499150,0.502185,0.662171,0.577619,0.517954,0.509411
7000,0.410698,0.421175,0.453231,0.379541,0.888943,0.549778,0.851452,0.709176,0.662758,0.498606,0.755349,0.419044,1.018127,0.608716,0.772840,0.469825,0.834904,0.462972,0.619340,0.382962,0.803253,0.393113,0.683206,0.399728,0.679706,0.475467,0.437022,0.364572,0.739971,0.563082,0.650756,0.440268,0.527553,0.466971,0.471381,0.455816,0.709070,0.590005,0.571382,0.511612,0.478496,0.478472,0.499027,0.502024,0.663796,0.578200,0.517903,0.509356
7200,0.410047,0.420766,0.452853,0.379249,0.890759,0.549612,0.850684,0.708309,0.663102,0.498340,0.758412,0.419880,1.023781,0.609998,0.773284,0.468521,0.836505,0.462264,0.621994,0.383382,0.807061,0.392376,0.683681,0.397883,0.681505,0.475467,0.438506,0.364858,0.740505,0.562100,0.650231,0.438244,0.527982,0.466961,0.471404,0.455600,0.710385,0.590211,0.570867,0.510995,0.478659,0.478566,0.499034,0.502028,0.665291,0.578668,0.517834,0.509284
7400,0.409401,0.420299,0.452389,0.378920,0.892184,0.549357,0.849915,0.707455,0.663289,0.498086,0.760820,0.420477,1.028451,0.610960,0.773511,0.467237,0.838256,0.461892,0.624319,0.383737,0.810228,0.391640,0.683949,0.396188,0.683230,0.475515,0.439735,0.365070,0.741091,0.561258,0.650041,0.436478,0.528360,0.467110,0.471585,0.455551,0.711243,0.590326,0.570520,0.510549,0.478477,0.478365,0.498956,0.501897,0.666797,0.579188,0.517825,0.509272
7600,0.408892,0.419958,0.451837,0.378532,0.893487,0.549174,0.849313,0.706819,0.663342,0.497711,0.762976,0.420990,1.032839,0.611930,0.773790,0.466087,0.839809,0.461362,0.626457,0.384001,0.813030,0.391001,0.684644,0.394771,0.684656,0.475568,0.441037,0.365307,0.741369,0.560331,0.649573,0.434672,0.528762,0.467242,0.471721,0.455515,0.712255,0.590503,0.570162,0.510087,0.478497,0.478340,0.499071,0.502056,0.667795,0.579526,0.517791,0.509233
7800,0.408217,0.419471,0.451381,0.378219,0.894310,0.548778,0.848514,0.706005,0.663410,0.497355,0.765162,0.421535,1.037148,0.612882,0.773632,0.464902,0.841259,0.460901,0.628790,0.384574,0.816409,0.390738,0.685366,0.393571,0.685857,0.475467,0.442143,0.365434,0.741633,0.559471,0.649679,0.433166,0.528949,0.467118,0.471897,0.455556,0.713094,0.590585,0.569788,0.509627,0.478582,0.478344,0.499103,0.502059,0.668566,0.579833,0.517731,0.509175
8000,0.407792,0.419254,0.450852,0.377867,0.894818,0.548278,0.847472,0.705071,0.663680,0.497175,0.767238,0.422087,1.041033,0.613741,0.773599,0.463783,0.842621,0.460472,0.630749,0.384910,0.819418,0.390257,0.686124,0.392316,0.687457,0.475721,0.443500,0.365817,0.742111,0.558697,0.649594,0.431669,0.529257,0.467151,0.471936,0.455471,0.713980,0.590773,0.569365,0.509143,0.478453,0.478235,0.499064,0.502080,0.669375,0.580152,0.517699,0.509136
