step,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L0.qk_lut.T_sign,L0.qk_lut.T_sel,L0.qk_lut.anchor_tau,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L1.qk_lut.T_sign,L1.qk_lut.T_sel,L1.qk_lut.anchor_tau,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L2.qk_lut.T_sign,L2.qk_lut.T_sel,L2.qk_lut.anchor_tau,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L3.qk_lut.T_sign,L3.qk_lut.T_sel,L3.qk_lut.anchor_tau,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L4.qk_lut.T_sign,L4.qk_lut.T_sel,L4.qk_lut.anchor_tau,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel,L5.qk_lut.T_sign,L5.qk_lut.T_sel,L5.qk_lut.anchor_tau
4200,0.439367,0.306451,0.846359,0.442774,0.662154,0.324422,0.498869,0.459452,0.001000,0.674929,0.373388,0.904077,0.462463,0.799597,0.373239,0.557797,0.459347,0.001000,0.658370,0.341817,0.790878,0.423900,0.810144,0.375634,0.554003,0.449680,0.001000,0.578146,0.345778,0.666918,0.396322,0.855498,0.373326,0.569447,0.455782,0.001000,0.443445,0.356720,0.637046,0.496053,0.795505,0.391238,0.532082,0.459438,0.001000,0.471486,0.387095,0.552398,0.442912,0.750375,0.413747,0.536630,0.480715,0.001000
4400,0.443711,0.303661,0.868839,0.442454,0.669343,0.319292,0.498869,0.459452,0.001000,0.685737,0.369610,0.928387,0.461630,0.806665,0.367553,0.557797,0.459347,0.001000,0.668762,0.338061,0.808651,0.421528,0.819422,0.369616,0.554003,0.449680,0.001000,0.585646,0.342885,0.678606,0.393416,0.863323,0.365903,0.569447,0.455782,0.001000,0.446493,0.353674,0.639821,0.491464,0.800235,0.383488,0.532082,0.459438,0.001000,0.472388,0.384254,0.554079,0.438178,0.754232,0.406160,0.536630,0.480715,0.001000
4600,0.447054,0.300806,0.889404,0.440290,0.674920,0.314283,0.498869,0.459452,0.001000,0.695990,0.366895,0.950954,0.461690,0.811759,0.361488,0.557797,0.459347,0.001000,0.679344,0.334413,0.826217,0.419609,0.825764,0.363365,0.554003,0.449680,0.001000,0.593816,0.340667,0.691460,0.392067,0.870418,0.359641,0.569447,0.455782,0.001000,0.449662,0.351339,0.640861,0.486151,0.807085,0.377166,0.532082,0.459438,0.001000,0.474248,0.382233,0.556157,0.433651,0.758657,0.399403,0.536630,0.480715,0.001000
4800,0.450264,0.298244,0.909012,0.439285,0.680770,0.309927,0.498869,0.459452,0.001000,0.704955,0.364079,0.971712,0.461121,0.816881,0.356468,0.557797,0.459347,0.001000,0.687639,0.331122,0.841846,0.417605,0.831665,0.358349,0.554003,0.449680,0.001000,0.599980,0.338277,0.703565,0.389863,0.878594,0.354205,0.569447,0.455782,0.001000,0.452878,0.349396,0.642532,0.481833,0.811152,0.370964,0.532082,0.459438,0.001000,0.476071,0.380421,0.557447,0.429249,0.761090,0.392997,0.536630,0.480715,0.001000
5000,0.452878,0.296259,0.927184,0.437556,0.685274,0.305490,0.498869,0.459452,0.001000,0.711383,0.361354,0.992014,0.460478,0.820845,0.351705,0.557797,0.459347,0.001000,0.695475,0.327568,0.855835,0.414528,0.836760,0.353312,0.554003,0.449680,0.001000,0.606590,0.336471,0.713861,0.388393,0.883802,0.348793,0.569447,0.455782,0.001000,0.455691,0.347413,0.644107,0.476966,0.814985,0.365292,0.532082,0.459438,0.001000,0.477334,0.378421,0.558910,0.425442,0.763875,0.386828,0.536630,0.480715,0.001000
5200,0.454887,0.294475,0.941774,0.435185,0.688379,0.301019,0.498869,0.459452,0.001000,0.718725,0.359065,1.010978,0.459989,0.824409,0.346796,0.557797,0.459347,0.001000,0.704184,0.325224,0.868324,0.412727,0.841718,0.349078,0.554003,0.449680,0.001000,0.613139,0.334898,0.724537,0.387345,0.889705,0.343974,0.569447,0.455782,0.001000,0.458621,0.345811,0.645982,0.473588,0.819446,0.360631,0.532082,0.459438,0.001000,0.479492,0.376976,0.560167,0.421895,0.767998,0.381996,0.536630,0.480715,0.001000
5400,0.455898,0.292392,0.955037,0.433013,0.692382,0.297328,0.498869,0.459452,0.001000,0.724595,0.357159,1.027647,0.459401,0.827403,0.342561,0.557797,0.459347,0.001000,0.711247,0.322804,0.880929,0.411227,0.845376,0.344794,0.554003,0.449680,0.001000,0.618456,0.332928,0.734002,0.385462,0.894885,0.339595,0.569447,0.455782,0.001000,0.462508,0.345054,0.647174,0.469922,0.822599,0.356094,0.532082,0.459438,0.001000,0.481137,0.375717,0.561289,0.418890,0.771517,0.377318,0.536630,0.480715,0.001000
5600,0.456658,0.290553,0.967794,0.431146,0.695310,0.294165,0.498869,0.459452,0.001000,0.729760,0.355216,1.043745,0.458491,0.828719,0.338900,0.557797,0.459347,0.001000,0.716579,0.320409,0.892198,0.409228,0.847770,0.341167,0.554003,0.449680,0.001000,0.623353,0.331432,0.742387,0.384041,0.899112,0.335482,0.569447,0.455782,0.001000,0.465392,0.343902,0.648448,0.466507,0.824924,0.352199,0.532082,0.459438,0.001000,0.482940,0.374818,0.563821,0.416284,0.774034,0.373215,0.536630,0.480715,0.001000
5800,0.457008,0.288633,0.978951,0.429055,0.697409,0.291166,0.498869,0.459452,0.001000,0.734529,0.353423,1.057254,0.457610,0.830166,0.335509,0.557797,0.459347,0.001000,0.721759,0.318116,0.902902,0.407925,0.850746,0.337781,0.554003,0.449680,0.001000,0.628466,0.330345,0.750791,0.382876,0.902430,0.331666,0.569447,0.455782,0.001000,0.467901,0.342882,0.649883,0.463371,0.827434,0.348381,0.532082,0.459438,0.001000,0.484418,0.373925,0.564334,0.413205,0.776411,0.369335,0.536630,0.480715,0.001000
6000,0.457122,0.286947,0.988167,0.427362,0.698754,0.288455,0.498869,0.459452,0.001000,0.739429,0.351867,1.069346,0.456356,0.831089,0.332245,0.557797,0.459347,0.001000,0.727436,0.316479,0.912915,0.407054,0.854597,0.334914,0.554003,0.449680,0.001000,0.632819,0.329515,0.758062,0.382034,0.905807,0.328402,0.569447,0.455782,0.001000,0.470396,0.342101,0.650984,0.460429,0.830464,0.345262,0.532082,0.459438,0.001000,0.486377,0.373340,0.565534,0.410776,0.778655,0.366275,0.536630,0.480715,0.001000
