step,L0.qkv_lut_a.T_soft,L0.qkv_lut_a.T_sel,L0.qkv_lut_b.T_soft,L0.qkv_lut_b.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qkv_lut_a.T_soft,L1.qkv_lut_a.T_sel,L1.qkv_lut_b.T_soft,L1.qkv_lut_b.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qkv_lut_a.T_soft,L2.qkv_lut_a.T_sel,L2.qkv_lut_b.T_soft,L2.qkv_lut_b.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qkv_lut_a.T_soft,L3.qkv_lut_a.T_sel,L3.qkv_lut_b.T_soft,L3.qkv_lut_b.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qkv_lut_a.T_soft,L4.qkv_lut_a.T_sel,L4.qkv_lut_b.T_soft,L4.qkv_lut_b.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qkv_lut_a.T_soft,L5.qkv_lut_a.T_sel,L5.qkv_lut_b.T_soft,L5.qkv_lut_b.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out_lut.T_soft,read_out_lut.T_sel
5800,0.466329,0.460923,0.381857,0.315016,1.016616,0.413205,0.648785,0.481330,0.566508,0.346646,1.207685,0.597136,0.675282,0.463850,0.612360,0.333890,1.208531,0.803354,0.755588,0.449432,0.698537,0.356007,0.987233,0.555046,0.836308,0.453612,0.797218,0.337228,1.043456,0.467842,0.891908,0.445533,0.827770,0.356495,0.994027,0.366075,0.969482,0.365164
6000,0.466158,0.460535,0.381461,0.313812,1.027521,0.412582,0.652922,0.482219,0.571563,0.346841,1.221948,0.597589,0.680027,0.464201,0.617655,0.333382,1.219507,0.804295,0.762590,0.449241,0.707307,0.356593,0.992934,0.550904,0.843305,0.453647,0.804365,0.336306,1.056446,0.468704,0.901164,0.444257,0.837507,0.355309,1.006257,0.364939,0.978431,0.361383
6200,0.466311,0.460391,0.380901,0.312683,1.036571,0.411330,0.656528,0.483024,0.575040,0.346665,1.235482,0.598244,0.683912,0.464209,0.622812,0.332832,1.229133,0.804994,0.769545,0.449383,0.715319,0.356862,0.999995,0.547658,0.848635,0.453198,0.810732,0.335440,1.068250,0.469223,0.908953,0.442747,0.845796,0.354198,1.017688,0.364064,0.985626,0.358207
6400,0.466060,0.459993,0.380411,0.311705,1.044537,0.410488,0.659511,0.483660,0.578114,0.346388,1.247087,0.599360,0.687136,0.464385,0.626108,0.331970,1.236696,0.804879,0.774878,0.448911,0.721993,0.356913,1.004446,0.544405,0.853435,0.453037,0.816478,0.334804,1.079321,0.469677,0.915101,0.441546,0.853301,0.353497,1.027706,0.363502,0.992103,0.355293
6600,0.466130,0.459947,0.380217,0.311017,1.050970,0.409753,0.662482,0.484385,0.581200,0.346386,1.257041,0.599466,0.690162,0.464529,0.630033,0.331857,1.243809,0.805339,0.779860,0.448647,0.728247,0.357048,1.008659,0.541479,0.856949,0.452458,0.821292,0.333965,1.088814,0.470030,0.921657,0.440693,0.860222,0.352839,1.036780,0.362855,0.997325,0.352669
6800,0.466093,0.459793,0.379736,0.310227,1.056324,0.408907,0.664603,0.484660,0.583936,0.346235,1.265792,0.599278,0.692544,0.464605,0.632979,0.331400,1.249732,0.805138,0.783914,0.448380,0.733358,0.357026,1.012930,0.539072,0.860520,0.452049,0.825849,0.333343,1.097348,0.470435,0.927258,0.439866,0.866000,0.352196,1.045251,0.362414,1.002388,0.350336
7000,0.466193,0.459854,0.379500,0.309655,1.060366,0.407805,0.666569,0.484894,0.586240,0.346185,1.273691,0.599028,0.694643,0.464612,0.636151,0.331378,1.255469,0.805367,0.787711,0.448102,0.737985,0.356970,1.015903,0.536681,0.864126,0.452060,0.830027,0.332827,1.105258,0.470988,0.931842,0.439033,0.871032,0.351487,1.052595,0.362135,1.006742,0.348200
7200,0.465921,0.459611,0.379019,0.308989,1.064631,0.406968,0.668506,0.485330,0.588136,0.346098,1.280923,0.599154,0.696618,0.464676,0.638941,0.331262,1.260428,0.805196,0.790840,0.447658,0.742196,0.356992,1.019136,0.534800,0.866735,0.451631,0.833350,0.332283,1.112214,0.471319,0.935625,0.438124,0.875764,0.350890,1.058668,0.361589,1.010228,0.346375
7400,0.465993,0.459701,0.378564,0.308394,1.068099,0.406343,0.669822,0.485318,0.589613,0.345737,1.287118,0.599046,0.698578,0.464897,0.641285,0.331032,1.264909,0.805197,0.793461,0.447076,0.746028,0.357131,1.021792,0.533045,0.868766,0.451121,0.836206,0.331725,1.118228,0.471229,0.939125,0.437250,0.880081,0.350453,1.064519,0.361233,1.013525,0.344750
7600,0.465859,0.459519,0.378152,0.307855,1.070506,0.405536,0.671525,0.485751,0.591082,0.345686,1.293141,0.599311,0.700054,0.464679,0.643328,0.330704,1.269059,0.804912,0.796146,0.446846,0.749459,0.357126,1.024264,0.531282,0.870769,0.450673,0.839308,0.331301,1.123964,0.471667,0.942368,0.436334,0.884014,0.350039,1.069520,0.360698,1.016305,0.343181
7800,0.465636,0.459303,0.377791,0.307372,1.072448,0.404706,0.672949,0.486030,0.591922,0.345254,1.298180,0.598969,0.701431,0.464703,0.645196,0.330521,1.272582,0.804487,0.798925,0.446760,0.752549,0.357062,1.026883,0.530039,0.872550,0.450306,0.841657,0.330692,1.129410,0.471991,0.945595,0.435839,0.887397,0.349530,1.074783,0.360537,1.018847,0.341764
8000,0.465644,0.459355,0.377285,0.306804,1.074541,0.403915,0.674079,0.486084,0.593123,0.344976,1.303519,0.598866,0.702978,0.464909,0.647053,0.330286,1.275727,0.804043,0.801359,0.446544,0.755557,0.356994,1.029501,0.528773,0.874197,0.449930,0.844044,0.330208,1.134587,0.472304,0.948527,0.435299,0.890759,0.349046,1.079600,0.360238,1.021409,0.340362
