step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
4800,0.449051,0.440671,0.483104,0.316792,0.941227,0.455997,0.744506,0.323884,0.734494,0.467179,0.820105,0.380725,0.953883,0.457598,0.959075,0.384818,0.920350,0.440346,0.803563,0.356931,0.826354,0.376890,0.986568,0.380640,0.842726,0.449761,0.561249,0.353936,0.744621,0.494767,1.004976,0.390768,0.741428,0.469841,0.591761,0.368427,0.663808,0.448305,0.897699,0.394598,0.629251,0.458588,0.454176,0.441089,0.589238,0.482485,0.566253,0.490682
5000,0.447474,0.438646,0.485393,0.314752,0.960099,0.454476,0.751338,0.319338,0.737733,0.465049,0.833841,0.378956,0.975339,0.457509,0.970378,0.380572,0.932443,0.437159,0.817620,0.354468,0.841683,0.374000,0.999587,0.376067,0.851925,0.446743,0.569712,0.353432,0.750073,0.490606,1.016319,0.384616,0.748777,0.468460,0.600579,0.367790,0.668974,0.444331,0.907991,0.388659,0.634276,0.457255,0.453473,0.439633,0.589154,0.478506,0.566311,0.489743
5200,0.446262,0.437126,0.487627,0.312986,0.976669,0.453127,0.756331,0.315017,0.741024,0.463267,0.846321,0.377401,0.995522,0.458779,0.980291,0.376445,0.943395,0.434572,0.830323,0.352466,0.856313,0.372284,1.010808,0.371693,0.861223,0.444570,0.577274,0.352982,0.755814,0.487957,1.026918,0.379377,0.755264,0.467283,0.608753,0.367313,0.673390,0.440573,0.916867,0.383685,0.638791,0.456495,0.453510,0.438858,0.589027,0.475406,0.566597,0.488925
5400,0.445368,0.436004,0.489023,0.311173,0.991647,0.451736,0.761343,0.311000,0.744454,0.461411,0.857122,0.376116,1.013113,0.459021,0.989709,0.373154,0.953855,0.431906,0.841829,0.350531,0.869878,0.370394,1.020896,0.367806,0.870194,0.442420,0.584236,0.352364,0.760169,0.484601,1.036202,0.374826,0.759898,0.465094,0.615579,0.366342,0.678242,0.437334,0.923957,0.378984,0.641986,0.454808,0.453174,0.437805,0.587942,0.472142,0.566464,0.488087
5600,0.443978,0.434431,0.490022,0.309544,1.006012,0.450679,0.765810,0.307578,0.746548,0.459256,0.866681,0.374522,1.030068,0.458922,0.996462,0.369848,0.961991,0.429185,0.852629,0.348275,0.881836,0.368108,1.029521,0.364525,0.877885,0.440050,0.591231,0.352375,0.764621,0.481505,1.042589,0.370194,0.763465,0.462655,0.622385,0.365610,0.682014,0.434066,0.929557,0.374734,0.645245,0.453424,0.453138,0.437251,0.587541,0.469296,0.566344,0.487413
5800,0.442850,0.433186,0.490591,0.308048,1.018693,0.448683,0.768424,0.304428,0.749626,0.458314,0.875084,0.372702,1.045337,0.459100,1.003314,0.366791,0.969648,0.426474,0.862431,0.346228,0.893088,0.365943,1.037684,0.361381,0.884675,0.437853,0.597495,0.352169,0.768554,0.479000,1.049138,0.366389,0.767654,0.460860,0.629369,0.364931,0.685682,0.431394,0.934693,0.370491,0.649455,0.452765,0.452893,0.436426,0.587042,0.466444,0.566191,0.486679
6000,0.441659,0.431953,0.490921,0.306643,1.028854,0.447340,0.770573,0.301597,0.750859,0.456490,0.882237,0.371556,1.059019,0.458955,1.009843,0.364361,0.976484,0.424512,0.870775,0.344606,0.903077,0.364450,1.044226,0.358296,0.890113,0.435824,0.603358,0.352419,0.771960,0.476641,1.055564,0.362598,0.771545,0.460044,0.635127,0.364679,0.689231,0.429167,0.939794,0.366872,0.652260,0.451981,0.453120,0.436006,0.586523,0.463840,0.566057,0.485980
6200,0.440762,0.431052,0.490762,0.305232,1.036604,0.444964,0.770850,0.298606,0.752249,0.455143,0.888166,0.370654,1.071736,0.459455,1.014042,0.361791,0.982552,0.422417,0.878580,0.343253,0.912173,0.363230,1.050182,0.355833,0.895606,0.434002,0.608622,0.352756,0.775613,0.474822,1.060629,0.359457,0.773328,0.457955,0.640378,0.364669,0.692437,0.427043,0.943296,0.363768,0.654199,0.450916,0.453105,0.435518,0.586633,0.461806,0.566133,0.485465
6400,0.439832,0.430034,0.490829,0.304196,1.044345,0.443465,0.772094,0.296351,0.753868,0.454150,0.894489,0.370018,1.083349,0.460085,1.018450,0.359976,0.987753,0.420338,0.884856,0.341950,0.920084,0.361672,1.056128,0.353463,0.900370,0.432749,0.612918,0.352670,0.777315,0.472375,1.064862,0.356564,0.776827,0.457209,0.644900,0.364386,0.695851,0.425217,0.947302,0.361029,0.656907,0.450634,0.453201,0.435082,0.585891,0.459471,0.565913,0.484898
6600,0.438851,0.429076,0.490863,0.303323,1.050747,0.442075,0.773336,0.294289,0.755095,0.453249,0.899263,0.368973,1.093459,0.460364,1.021906,0.358059,0.992898,0.418697,0.890687,0.340659,0.926428,0.360081,1.060367,0.351243,0.904471,0.431235,0.617092,0.352747,0.779786,0.470598,1.068469,0.354012,0.779385,0.456118,0.648876,0.364131,0.698552,0.423425,0.950669,0.358618,0.659251,0.450202,0.453277,0.434710,0.585602,0.457720,0.565794,0.484464
6800,0.438424,0.428678,0.490325,0.302355,1.056644,0.440955,0.772996,0.292246,0.756340,0.452351,0.904369,0.368635,1.102350,0.460547,1.025678,0.356498,0.997267,0.417123,0.895879,0.339728,0.932717,0.359059,1.064084,0.349269,0.908319,0.430374,0.620730,0.352758,0.781869,0.469090,1.071643,0.351891,0.781210,0.455149,0.652409,0.363910,0.700561,0.421631,0.953176,0.356373,0.660456,0.449257,0.453387,0.434424,0.585316,0.456221,0.565645,0.484045
7000,0.437935,0.428234,0.489873,0.301461,1.060974,0.439604,0.773029,0.290486,0.757216,0.451667,0.908179,0.368130,1.110299,0.460806,1.028836,0.355036,1.000780,0.415761,0.900829,0.338757,0.938283,0.358031,1.067111,0.347414,0.910957,0.429082,0.624231,0.352902,0.784146,0.467839,1.073956,0.349741,0.783105,0.454520,0.655788,0.363927,0.702531,0.420135,0.955726,0.354384,0.661863,0.448621,0.453693,0.434319,0.584951,0.454694,0.565398,0.483568
7200,0.437565,0.427904,0.489220,0.300605,1.064659,0.438491,0.773478,0.289075,0.758086,0.451022,0.911821,0.367571,1.117416,0.460891,1.031436,0.353707,1.004374,0.414621,0.904649,0.338009,0.943021,0.357112,1.069514,0.345846,0.914012,0.428182,0.627045,0.352987,0.785760,0.466648,1.075961,0.347870,0.784492,0.453815,0.658202,0.363560,0.704424,0.418930,0.957884,0.352592,0.663493,0.448370,0.453678,0.433964,0.585028,0.453673,0.565367,0.483229
7400,0.436686,0.427087,0.488555,0.299883,1.067771,0.437285,0.773609,0.287752,0.758640,0.450279,0.915016,0.366919,1.123745,0.460778,1.033669,0.352604,1.007585,0.413543,0.908318,0.337201,0.947666,0.356242,1.072222,0.344527,0.916257,0.427237,0.629589,0.353028,0.787126,0.465446,1.077330,0.346198,0.785607,0.453052,0.660725,0.363410,0.706024,0.417927,0.959699,0.350931,0.664727,0.447913,0.453785,0.433796,0.584852,0.452615,0.565295,0.482962
7600,0.436260,0.426705,0.487971,0.299243,1.069849,0.436222,0.773189,0.286561,0.759236,0.449643,0.917783,0.366497,1.129752,0.460924,1.035255,0.351519,1.010485,0.412567,0.911879,0.336660,0.951972,0.355631,1.074853,0.343333,0.918485,0.426314,0.632092,0.353139,0.788307,0.464317,1.079351,0.344707,0.786615,0.452256,0.663277,0.363404,0.707590,0.416986,0.961255,0.349409,0.665829,0.447474,0.453877,0.433578,0.584679,0.451643,0.565228,0.482693
7800,0.435840,0.426332,0.487248,0.298572,1.071649,0.435065,0.772561,0.285324,0.759975,0.449157,0.920423,0.365958,1.135194,0.461060,1.036787,0.350456,1.013321,0.411690,0.915141,0.336092,0.956012,0.355078,1.076574,0.342157,0.920197,0.425585,0.634364,0.353199,0.789697,0.463505,1.081051,0.343317,0.787736,0.451614,0.665578,0.363267,0.709009,0.415990,0.963290,0.348142,0.666880,0.447089,0.453919,0.433360,0.584595,0.450692,0.565111,0.482380
8000,0.435478,0.426033,0.486508,0.297895,1.073610,0.433998,0.771605,0.284089,0.760476,0.448636,0.923225,0.365622,1.140667,0.461259,1.038420,0.349497,1.015746,0.410890,0.917998,0.335443,0.959768,0.354384,1.078402,0.340995,0.922277,0.424885,0.636785,0.353414,0.790891,0.462612,1.083020,0.341989,0.788803,0.451047,0.667838,0.363223,0.710306,0.415189,0.965029,0.346834,0.668147,0.446928,0.454105,0.433292,0.584272,0.449659,0.564988,0.482068
