step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.out_v2d.T,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.out_v2d.T,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.out_v2d.T,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.out_v2d.T,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.out_v2d.T,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.out_v2d.T
2000,0.335264,0.332305,0.463425,0.466029,0.349807,0.339399,0.142811,0.627614,0.458506,0.462819,0.459642,0.447836,0.446235,0.123499,0.517866,0.471407,0.457211,0.452526,0.449883,0.440756,0.120415,0.514176,0.502739,0.496999,0.493099,0.498019,0.493604,0.106784,0.512845,0.504261,0.511582,0.508787,0.505170,0.501479,0.105408,0.495797,0.492267,0.510720,0.508605,0.508061,0.499606,0.099326
2200,0.324140,0.319876,0.450174,0.452919,0.345195,0.327181,0.148954,0.652230,0.456472,0.458916,0.454954,0.442090,0.439619,0.127029,0.525893,0.471049,0.452061,0.446546,0.442788,0.431540,0.124325,0.514808,0.501759,0.496530,0.492367,0.498349,0.493701,0.107150,0.513240,0.504090,0.513670,0.510488,0.506854,0.502672,0.105616,0.494439,0.490408,0.512898,0.510587,0.510357,0.501127,0.099234
2400,0.315594,0.309661,0.438982,0.441966,0.346001,0.317463,0.155378,0.676114,0.454720,0.455494,0.450609,0.436715,0.433051,0.130498,0.533890,0.468577,0.447291,0.441221,0.438885,0.425217,0.128297,0.518817,0.504254,0.496145,0.491780,0.498554,0.493743,0.107529,0.513373,0.504176,0.515727,0.512402,0.508513,0.503787,0.105657,0.494276,0.490198,0.514719,0.512482,0.512456,0.502679,0.098984
2600,0.309079,0.301291,0.426998,0.430090,0.349976,0.309728,0.162152,0.700652,0.452551,0.452492,0.446488,0.431894,0.426990,0.134523,0.540883,0.467205,0.443022,0.436288,0.434930,0.419284,0.132760,0.518253,0.502554,0.495268,0.490764,0.498687,0.493630,0.107844,0.513799,0.504012,0.517088,0.513403,0.509626,0.504546,0.105703,0.494046,0.489012,0.515863,0.513687,0.513744,0.503366,0.098456
2800,0.303604,0.293851,0.413579,0.416702,0.356581,0.303219,0.169471,0.727537,0.449805,0.448623,0.441304,0.426014,0.419647,0.138985,0.549503,0.466534,0.438687,0.431465,0.431924,0.414243,0.137373,0.519455,0.502783,0.494296,0.489563,0.498702,0.493391,0.108190,0.516871,0.506648,0.518380,0.514738,0.511272,0.505928,0.106083,0.494124,0.489145,0.516770,0.514668,0.514931,0.504121,0.098250
3000,0.300023,0.288345,0.401422,0.404632,0.365150,0.298381,0.176580,0.754757,0.447190,0.445813,0.437005,0.421782,0.413759,0.143357,0.559413,0.465529,0.434721,0.427251,0.429454,0.409939,0.141757,0.520757,0.503225,0.493681,0.488831,0.499177,0.493498,0.108482,0.515942,0.505468,0.520243,0.516357,0.512704,0.506972,0.106298,0.491292,0.486796,0.518001,0.515842,0.516383,0.505159,0.097714
3200,0.296754,0.283195,0.388478,0.391706,0.372201,0.294541,0.183692,0.777531,0.443981,0.443577,0.433352,0.418201,0.408538,0.147557,0.567423,0.463054,0.431007,0.422841,0.427172,0.405737,0.145898,0.518957,0.500088,0.492745,0.487608,0.498869,0.493097,0.108745,0.516615,0.505711,0.521897,0.517724,0.514058,0.507921,0.106315,0.490882,0.487038,0.519425,0.517386,0.518112,0.506329,0.096991
3400,0.294406,0.278920,0.376879,0.380138,0.379988,0.291874,0.190662,0.800803,0.441625,0.441884,0.430165,0.415592,0.404237,0.151831,0.575145,0.461761,0.428394,0.419639,0.426340,0.402840,0.150448,0.520111,0.500540,0.491608,0.486224,0.498953,0.492940,0.108928,0.517669,0.505713,0.522795,0.518484,0.515343,0.508779,0.106310,0.489481,0.484452,0.520409,0.518371,0.519260,0.507101,0.096785
3600,0.293068,0.275640,0.366661,0.369935,0.388411,0.289928,0.197795,0.823951,0.438855,0.440784,0.427299,0.413202,0.400257,0.155932,0.580475,0.458890,0.426096,0.416818,0.426257,0.400644,0.155142,0.521747,0.501306,0.491068,0.485492,0.498958,0.492733,0.109145,0.517872,0.505900,0.523818,0.519331,0.516422,0.509707,0.106332,0.490105,0.483924,0.521459,0.519442,0.520621,0.507990,0.096179
3800,0.290901,0.271861,0.356011,0.359287,0.397620,0.287614,0.204955,0.847623,0.435499,0.440108,0.424600,0.410938,0.395994,0.160415,0.589900,0.458901,0.424138,0.414128,0.425652,0.398045,0.159550,0.522337,0.500227,0.489957,0.484276,0.498489,0.492027,0.109383,0.519570,0.507358,0.524513,0.519848,0.517006,0.509991,0.106406,0.489299,0.482949,0.522606,0.520641,0.521965,0.508706,0.095737
4000,0.290342,0.269586,0.346390,0.349687,0.406190,0.285876,0.211974,0.868984,0.433157,0.440140,0.422466,0.409628,0.392407,0.164716,0.595539,0.456370,0.421911,0.411412,0.425350,0.395731,0.163790,0.522631,0.499739,0.489003,0.482957,0.498193,0.491502,0.109607,0.519257,0.506647,0.525476,0.520533,0.517871,0.510626,0.106490,0.488923,0.482296,0.523887,0.521909,0.523448,0.509651,0.095229
4200,0.289659,0.267384,0.337236,0.340531,0.414132,0.284619,0.218409,0.889127,0.430950,0.439758,0.420542,0.408742,0.389903,0.168691,0.604565,0.456751,0.419916,0.408856,0.424905,0.393773,0.167866,0.522119,0.498505,0.488990,0.482720,0.498245,0.491181,0.109738,0.519342,0.506385,0.525694,0.520604,0.518304,0.510773,0.106419,0.488992,0.482524,0.524477,0.522680,0.524521,0.510264,0.094671
4400,0.288568,0.264923,0.328701,0.331975,0.422453,0.283243,0.225130,0.908376,0.428300,0.439823,0.418567,0.407509,0.386657,0.172834,0.610264,0.455874,0.417978,0.406639,0.425489,0.392246,0.171863,0.521947,0.497514,0.488081,0.481760,0.498888,0.491457,0.109999,0.518757,0.505561,0.526086,0.520966,0.518742,0.511057,0.106570,0.488512,0.480946,0.525083,0.523418,0.525377,0.510674,0.094160
4600,0.288396,0.263258,0.321021,0.324272,0.429608,0.281351,0.231523,0.927485,0.425314,0.440210,0.417033,0.406924,0.384078,0.176779,0.616240,0.454264,0.416126,0.404359,0.425609,0.390683,0.175877,0.522524,0.497394,0.486265,0.479871,0.497908,0.490146,0.110135,0.518998,0.505465,0.527123,0.521800,0.519449,0.511551,0.106563,0.488013,0.480218,0.525978,0.524117,0.526330,0.511156,0.093538
4800,0.288411,0.261984,0.314333,0.317568,0.436827,0.280115,0.237772,0.946160,0.423202,0.441193,0.415632,0.406158,0.381530,0.180763,0.622214,0.453131,0.414953,0.402547,0.426001,0.389411,0.179755,0.522862,0.496564,0.485525,0.479077,0.497600,0.489560,0.110355,0.519653,0.505762,0.526992,0.521608,0.519508,0.511495,0.106617,0.488026,0.480570,0.526248,0.524407,0.526670,0.511158,0.093236
5000,0.287769,0.260328,0.308330,0.311562,0.443540,0.278242,0.243861,0.963306,0.420957,0.442348,0.414546,0.405765,0.379080,0.184800,0.627365,0.451686,0.413857,0.400990,0.426219,0.388156,0.183350,0.523271,0.496110,0.484393,0.477818,0.497117,0.488771,0.110649,0.519550,0.505441,0.527544,0.522060,0.519994,0.511910,0.106705,0.487558,0.479927,0.526882,0.524938,0.527228,0.511428,0.093065
5200,0.287509,0.259159,0.302541,0.305758,0.449909,0.276959,0.249483,0.979907,0.418589,0.443875,0.413905,0.405648,0.377186,0.188452,0.631680,0.450101,0.413451,0.400024,0.426890,0.387345,0.186660,0.522937,0.495117,0.484423,0.477711,0.497079,0.488451,0.110862,0.519839,0.505805,0.527366,0.521946,0.520081,0.511914,0.106725,0.487375,0.479320,0.527120,0.525305,0.527718,0.511700,0.092977
5400,0.287252,0.257990,0.297531,0.300731,0.455833,0.275688,0.254736,0.994786,0.415741,0.445003,0.412987,0.405757,0.375411,0.192048,0.636173,0.448836,0.412755,0.398827,0.427082,0.386209,0.189708,0.523113,0.494648,0.483738,0.477044,0.497261,0.488237,0.111215,0.519046,0.505040,0.527428,0.521880,0.519884,0.511700,0.106819,0.486934,0.478926,0.527454,0.525474,0.528120,0.511863,0.092570
5600,0.287130,0.257070,0.293417,0.296619,0.461007,0.274697,0.259569,1.006970,0.413720,0.446215,0.412585,0.406106,0.374280,0.195319,0.641249,0.448370,0.412475,0.398189,0.427611,0.385618,0.192651,0.523257,0.494124,0.482910,0.476099,0.496760,0.487425,0.111556,0.518615,0.504649,0.527383,0.521887,0.520184,0.511956,0.106912,0.487687,0.479665,0.527705,0.525783,0.528424,0.512017,0.092309
5800,0.286821,0.256077,0.289447,0.292645,0.465508,0.273543,0.264044,1.019338,0.412193,0.447638,0.412129,0.406225,0.372932,0.198398,0.645363,0.447663,0.412401,0.397679,0.427896,0.384912,0.195329,0.523294,0.493644,0.482461,0.475648,0.496593,0.487010,0.111791,0.517988,0.503955,0.527948,0.522286,0.520437,0.512108,0.106988,0.487482,0.479376,0.528019,0.526167,0.528859,0.512335,0.092198
6000,0.286376,0.255079,0.285973,0.289162,0.469421,0.272391,0.268033,1.029421,0.410683,0.449017,0.411966,0.406545,0.372068,0.201038,0.648831,0.447204,0.411884,0.396836,0.428284,0.384314,0.197847,0.523091,0.492893,0.482028,0.475093,0.496070,0.486248,0.111953,0.517987,0.503938,0.527795,0.522180,0.520359,0.512012,0.107043,0.486882,0.478991,0.528215,0.526169,0.528950,0.512312,0.091995
6200,0.286365,0.254473,0.282936,0.286117,0.472931,0.271166,0.271723,1.038777,0.409140,0.450564,0.411756,0.406819,0.371030,0.203517,0.651926,0.446377,0.411722,0.396338,0.428467,0.383699,0.199987,0.523426,0.492749,0.481793,0.474808,0.495612,0.485679,0.112223,0.517632,0.503530,0.527607,0.522003,0.520363,0.512005,0.107106,0.487833,0.479709,0.528355,0.526368,0.529131,0.512378,0.091881
6400,0.286319,0.253919,0.280277,0.283443,0.476094,0.270395,0.275022,1.046968,0.408156,0.451868,0.411653,0.407176,0.370305,0.205631,0.655144,0.446201,0.411457,0.395692,0.428827,0.383362,0.202072,0.522882,0.491843,0.481189,0.474143,0.495158,0.485105,0.112355,0.517507,0.503395,0.527675,0.522045,0.520262,0.511902,0.107145,0.487585,0.479394,0.528387,0.526428,0.529193,0.512430,0.091891
6600,0.285941,0.253182,0.278013,0.281173,0.479012,0.269424,0.278034,1.054337,0.406796,0.453162,0.411602,0.407525,0.369691,0.207686,0.657313,0.445475,0.411353,0.395208,0.429097,0.382998,0.203788,0.523013,0.491674,0.480682,0.473598,0.495210,0.484692,0.112641,0.517261,0.503156,0.527585,0.521912,0.520236,0.511832,0.107182,0.487552,0.479246,0.528458,0.526531,0.529330,0.512539,0.091795
6800,0.285872,0.252750,0.275966,0.279118,0.481142,0.268584,0.280672,1.060973,0.406126,0.454124,0.411514,0.407719,0.369134,0.209434,0.659267,0.444714,0.411135,0.394767,0.429508,0.382904,0.205417,0.522852,0.491196,0.480286,0.473228,0.494947,0.484282,0.112811,0.517001,0.502874,0.527514,0.521820,0.520195,0.511744,0.107192,0.487264,0.479006,0.528563,0.526619,0.529446,0.512621,0.091752
7000,0.285726,0.252279,0.274311,0.277458,0.483638,0.267889,0.283043,1.066906,0.405074,0.455138,0.411477,0.408019,0.368702,0.211019,0.661247,0.444088,0.411187,0.394565,0.429663,0.382550,0.206843,0.522507,0.490598,0.479732,0.472657,0.494458,0.483743,0.113022,0.516604,0.502459,0.527246,0.521537,0.520130,0.511698,0.107218,0.487291,0.478935,0.528622,0.526696,0.529555,0.512697,0.091653
7200,0.285680,0.251939,0.272779,0.275927,0.485537,0.267135,0.285221,1.072644,0.404538,0.456045,0.411387,0.408172,0.368102,0.212487,0.663278,0.443987,0.411021,0.394226,0.429849,0.382223,0.208163,0.522227,0.490114,0.479549,0.472427,0.494299,0.483433,0.113202,0.516519,0.502315,0.527108,0.521391,0.519916,0.511504,0.107247,0.487256,0.478760,0.528520,0.526691,0.529547,0.512670,0.091623
7400,0.285635,0.251634,0.271535,0.274681,0.487483,0.266532,0.287194,1.077562,0.403831,0.457042,0.411446,0.408483,0.367735,0.213831,0.664899,0.443460,0.411147,0.394126,0.430004,0.381940,0.209382,0.522320,0.489955,0.479463,0.472317,0.494013,0.482902,0.113392,0.516122,0.501793,0.526951,0.521224,0.519761,0.511399,0.107265,0.487311,0.478739,0.528372,0.526590,0.529482,0.512596,0.091607
7600,0.285546,0.251320,0.270355,0.273499,0.489028,0.265775,0.289012,1.082213,0.403059,0.457933,0.411500,0.408748,0.367349,0.215059,0.666113,0.442814,0.411155,0.393939,0.430344,0.381816,0.210457,0.522096,0.489590,0.479209,0.472028,0.493784,0.482514,0.113565,0.516072,0.501718,0.526715,0.521001,0.519657,0.511294,0.107303,0.487063,0.478504,0.528448,0.526622,0.529511,0.512620,0.091610
7800,0.285432,0.250996,0.269217,0.272357,0.490502,0.265174,0.290744,1.086727,0.402528,0.458662,0.411430,0.408984,0.366962,0.216231,0.667487,0.442455,0.411219,0.393812,0.430487,0.381518,0.211472,0.521605,0.488945,0.478865,0.471680,0.493527,0.482125,0.113757,0.516131,0.501763,0.526725,0.521008,0.519574,0.511176,0.107319,0.487017,0.478593,0.528347,0.526475,0.529411,0.512514,0.091618
8000,0.285332,0.250696,0.268169,0.271304,0.492013,0.264573,0.292396,1.090951,0.401870,0.459423,0.411433,0.409116,0.366556,0.217385,0.668819,0.441942,0.411213,0.393623,0.430637,0.381305,0.212476,0.521280,0.488457,0.478672,0.471470,0.493319,0.481779,0.113890,0.515770,0.501426,0.526570,0.520895,0.519507,0.511124,0.107349,0.486965,0.478597,0.528363,0.526479,0.529410,0.512513,0.091616
