step,module,touch_frac,c_r_mean,c_r_median,c_r_max,frac_eq1,frac_ge8,frac_ge32,frac_ge64
1000,L1.qkv_lut,0.9972,128.36,81,1377,0.0063,0.9536,0.7752,0.5815
1000,L1.v_lut,0.9048,35.37,15,1016,0.0649,0.6067,0.2794,0.1420
1000,L1.out_proj,0.9746,32.83,19,684,0.0325,0.7462,0.3319,0.1418
1000,L1.residual_lut,0.9993,128.09,96,887,0.0005,0.9832,0.8621,0.6646
1000,L2.qkv_lut,0.9948,128.67,97,873,0.0003,0.9819,0.8599,0.6712
1000,L2.v_lut,0.9643,33.18,18,632,0.0402,0.7122,0.3201,0.1427
1000,L2.out_proj,0.9567,33.45,16,798,0.0453,0.6836,0.2997,0.1333
1000,L2.residual_lut,0.9995,128.06,81,1752,0.0012,0.9795,0.8005,0.5991
1000,L3.qkv_lut,0.9990,128.13,83,2037,0.0020,0.9744,0.8052,0.5916
1000,L3.v_lut,0.9432,33.93,16,1322,0.0537,0.6524,0.2820,0.1312
1000,L3.out_proj,0.8212,38.97,11,1803,0.0930,0.4880,0.2293,0.1283
1000,L3.residual_lut,0.9988,128.16,85,1472,0.0017,0.9824,0.8350,0.6133
1000,L4.qkv_lut,0.9951,128.63,87,2216,0.0044,0.9650,0.8120,0.6117
1000,L4.v_lut,0.9595,33.35,16,1169,0.0425,0.6891,0.2913,0.1329
1000,L4.out_proj,0.6119,52.29,10,2656,0.0944,0.3400,0.1785,0.1126
1000,L4.residual_lut,0.9941,128.75,91,1464,0.0063,0.9556,0.8181,0.6309
1000,L5.qkv_lut,0.9927,128.94,90,1115,0.0059,0.9557,0.8291,0.6299
1000,L5.v_lut,0.9377,34.13,19,690,0.0442,0.7035,0.3125,0.1359
1000,L5.out_proj,0.6695,47.80,9,1476,0.1084,0.3588,0.1923,0.1269
1000,L5.residual_lut,0.9082,140.94,108,996,0.0000,0.9067,0.8350,0.6614
1200,L0.qkv_lut,1.0000,128.00,102,702,0.0002,0.9993,0.9629,0.7858
1200,L0.v_lut,0.9905,32.31,21,498,0.0108,0.8491,0.3016,0.0926
1200,L0.out_proj,0.9608,33.31,19,758,0.0363,0.7293,0.3286,0.1402
1200,L0.residual_lut,0.9956,128.56,84,1361,0.0049,0.9526,0.7754,0.5872
1200,L1.qkv_lut,0.9976,128.31,83,1368,0.0044,0.9552,0.7826,0.5928
1200,L1.v_lut,0.9106,35.14,15,802,0.0649,0.6170,0.2865,0.1433
1200,L1.out_proj,0.9781,32.72,20,654,0.0314,0.7580,0.3378,0.1411
1200,L1.residual_lut,1.0000,128.00,96,1097,0.0010,0.9817,0.8606,0.6663
1200,L2.qkv_lut,0.9948,128.67,96,942,0.0003,0.9819,0.8643,0.6738
1200,L2.v_lut,0.9662,33.12,18,738,0.0403,0.7142,0.3197,0.1440
1200,L2.out_proj,0.9661,33.12,18,789,0.0410,0.7165,0.3130,0.1387
1200,L2.residual_lut,0.9995,128.06,86,1259,0.0010,0.9810,0.8179,0.6096
1200,L3.qkv_lut,0.9990,128.13,87,1184,0.0013,0.9727,0.8177,0.6149
1200,L3.v_lut,0.9450,33.86,16,889,0.0528,0.6657,0.2986,0.1406
1200,L3.out_proj,0.8808,36.33,11,1244,0.0862,0.5291,0.2402,0.1310
1200,L3.residual_lut,1.0000,128.00,97,1432,0.0007,0.9937,0.8999,0.7000
1200,L4.qkv_lut,0.9928,128.92,94,1258,0.0054,0.9701,0.8659,0.6675
1200,L4.v_lut,0.9646,33.18,20,1147,0.0277,0.7622,0.3181,0.1294
1200,L4.out_proj,0.7506,42.63,10,2144,0.1036,0.4153,0.2036,0.1215
1200,L4.residual_lut,0.9978,128.28,108,1066,0.0046,0.9700,0.9036,0.7573
1200,L5.qkv_lut,0.9967,128.42,111,893,0.0049,0.9670,0.9007,0.7676
1200,L5.v_lut,0.9582,33.40,25,537,0.0293,0.8112,0.3822,0.1240
1200,L5.out_proj,0.8233,38.87,11,1221,0.0944,0.4831,0.2367,0.1367
1200,L5.residual_lut,0.9082,140.94,112,1492,0.0000,0.9075,0.8682,0.7148
1400,L0.qkv_lut,1.0000,128.00,101,648,0.0002,0.9995,0.9644,0.7834
1400,L0.v_lut,0.9905,32.31,21,604,0.0104,0.8500,0.3024,0.0923
1400,L0.out_proj,0.9668,33.10,20,752,0.0354,0.7369,0.3288,0.1374
1400,L0.residual_lut,0.9971,128.38,85,1376,0.0049,0.9565,0.7832,0.5896
1400,L1.qkv_lut,0.9976,128.31,83,1324,0.0052,0.9552,0.7894,0.5929
1400,L1.v_lut,0.9135,35.03,15,874,0.0618,0.6195,0.2832,0.1439
1400,L1.out_proj,0.9812,32.61,20,676,0.0282,0.7673,0.3402,0.1377
1400,L1.residual_lut,0.9998,128.03,99,949,0.0012,0.9880,0.8789,0.6833
1400,L2.qkv_lut,0.9948,128.67,100,969,0.0000,0.9870,0.8843,0.6906
1400,L2.v_lut,0.9717,32.93,19,696,0.0349,0.7341,0.3277,0.1394
1400,L2.out_proj,0.9695,33.01,19,837,0.0357,0.7321,0.3181,0.1347
1400,L2.residual_lut,0.9993,128.09,89,1402,0.0010,0.9824,0.8374,0.6318
1400,L3.qkv_lut,0.9989,128.15,90,1014,0.0013,0.9772,0.8351,0.6476
1400,L3.v_lut,0.9449,33.87,17,814,0.0498,0.6746,0.3051,0.1413
1400,L3.out_proj,0.8501,37.64,11,1252,0.0888,0.5095,0.2387,0.1348
1400,L3.residual_lut,0.9993,128.09,101,892,0.0002,0.9961,0.9202,0.7219
1400,L4.qkv_lut,0.9901,129.28,101,959,0.0052,0.9697,0.8833,0.6965
1400,L4.v_lut,0.9613,33.29,20,843,0.0243,0.7785,0.3264,0.1324
1400,L4.out_proj,0.7544,42.42,9,1726,0.1097,0.4102,0.2027,0.1249
1400,L4.residual_lut,1.0000,128.00,109,689,0.0000,0.9993,0.9485,0.7742
1400,L5.qkv_lut,0.9967,128.42,109,783,0.0015,0.9928,0.9419,0.7801
1400,L5.v_lut,0.9864,32.44,24,336,0.0089,0.8723,0.3741,0.1154
1400,L5.out_proj,0.8368,38.24,11,1139,0.0961,0.4959,0.2449,0.1386
1400,L5.residual_lut,0.9082,140.94,116,1053,0.0000,0.9080,0.8777,0.7366
1600,L0.qkv_lut,1.0000,128.00,101,680,0.0000,0.9995,0.9660,0.7806
1600,L0.v_lut,0.9905,32.31,21,613,0.0111,0.8485,0.3014,0.0931
1600,L0.out_proj,0.9677,33.07,20,679,0.0342,0.7441,0.3304,0.1387
1600,L0.residual_lut,0.9976,128.31,84,1395,0.0042,0.9573,0.7900,0.5916
1600,L1.qkv_lut,0.9964,128.46,85,1309,0.0044,0.9604,0.7874,0.5889
1600,L1.v_lut,0.9142,35.00,15,875,0.0624,0.6230,0.2853,0.1427
1600,L1.out_proj,0.9793,32.68,20,647,0.0273,0.7699,0.3394,0.1391
1600,L1.residual_lut,0.9993,128.09,100,912,0.0010,0.9885,0.8767,0.6794
1600,L2.qkv_lut,0.9945,128.71,99,1005,0.0007,0.9865,0.8758,0.6834
1600,L2.v_lut,0.9700,32.99,19,630,0.0354,0.7315,0.3259,0.1412
1600,L2.out_proj,0.9662,33.12,18,714,0.0359,0.7215,0.3137,0.1339
1600,L2.residual_lut,0.9990,128.13,86,1316,0.0007,0.9797,0.8276,0.6187
1600,L3.qkv_lut,0.9985,128.19,88,1216,0.0020,0.9730,0.8276,0.6257
1600,L3.v_lut,0.9444,33.88,17,837,0.0513,0.6670,0.2994,0.1408
1600,L3.out_proj,0.8468,37.79,13,1181,0.0830,0.5280,0.2568,0.1416
1600,L3.residual_lut,0.9995,128.06,98,952,0.0010,0.9939,0.8979,0.6946
1600,L4.qkv_lut,0.9901,129.28,96,1117,0.0050,0.9652,0.8511,0.6715
1600,L4.v_lut,0.9539,33.55,20,743,0.0307,0.7417,0.3257,0.1386
1600,L4.out_proj,0.8461,37.82,12,1233,0.0939,0.5039,0.2387,0.1340
1600,L4.residual_lut,1.0000,128.00,114,892,0.0002,0.9993,0.9688,0.8254
1600,L5.qkv_lut,0.9974,128.33,114,627,0.0016,0.9938,0.9650,0.8249
1600,L5.v_lut,0.9872,32.41,26,374,0.0062,0.8967,0.3915,0.1037
1600,L5.out_proj,0.9145,34.99,13,1243,0.0723,0.5797,0.2635,0.1397
1600,L5.residual_lut,0.9082,140.94,119,1006,0.0000,0.9075,0.8831,0.7549
1800,L0.qkv_lut,1.0000,128.00,101,692,0.0000,0.9993,0.9640,0.7786
1800,L0.v_lut,0.9899,32.32,21,593,0.0107,0.8485,0.3026,0.0928
1800,L0.out_proj,0.9718,32.93,20,791,0.0319,0.7588,0.3377,0.1380
1800,L0.residual_lut,0.9973,128.34,85,1347,0.0029,0.9631,0.7979,0.5999
1800,L1.qkv_lut,0.9974,128.33,86,1272,0.0037,0.9606,0.7952,0.6014
1800,L1.v_lut,0.9198,34.79,16,892,0.0607,0.6337,0.2907,0.1443
1800,L1.out_proj,0.9824,32.57,20,659,0.0262,0.7784,0.3432,0.1367
1800,L1.residual_lut,0.9995,128.06,98,881,0.0002,0.9893,0.8794,0.6890
1800,L2.qkv_lut,0.9948,128.67,99,916,0.0003,0.9875,0.8760,0.6883
1800,L2.v_lut,0.9720,32.92,19,681,0.0350,0.7368,0.3252,0.1413
1800,L2.out_proj,0.9675,33.07,18,714,0.0349,0.7276,0.3190,0.1385
1800,L2.residual_lut,0.9998,128.03,91,1368,0.0020,0.9783,0.8384,0.6362
1800,L3.qkv_lut,0.9982,128.23,91,1265,0.0016,0.9749,0.8241,0.6330
1800,L3.v_lut,0.9446,33.88,17,742,0.0503,0.6748,0.3069,0.1425
1800,L3.out_proj,0.8705,36.76,14,1352,0.0767,0.5616,0.2643,0.1418
1800,L3.residual_lut,1.0000,128.00,89,1444,0.0005,0.9890,0.8501,0.6377
1800,L4.qkv_lut,0.9883,129.52,88,1166,0.0054,0.9621,0.8289,0.6170
1800,L4.v_lut,0.9480,33.75,17,848,0.0357,0.7057,0.2956,0.1330
1800,L4.out_proj,0.7363,43.46,11,1459,0.0993,0.4250,0.2201,0.1354
1800,L4.residual_lut,1.0000,128.00,110,733,0.0002,0.9934,0.9338,0.7837
1800,L5.qkv_lut,0.9967,128.42,113,1010,0.0008,0.9883,0.9274,0.7868
1800,L5.v_lut,0.9783,32.71,25,475,0.0171,0.8484,0.3861,0.1168
1800,L5.out_proj,0.9404,34.03,14,899,0.0614,0.6233,0.2807,0.1426
1800,L5.residual_lut,0.9082,140.94,125,787,0.0000,0.9082,0.8950,0.8083
2000,L0.qkv_lut,1.0000,128.00,101,680,0.0000,0.9997,0.9634,0.7808
2000,L0.v_lut,0.9903,32.31,21,545,0.0109,0.8478,0.3033,0.0928
2000,L0.out_proj,0.9688,33.03,20,799,0.0326,0.7497,0.3345,0.1383
2000,L0.residual_lut,0.9973,128.34,85,1270,0.0024,0.9644,0.7944,0.6082
2000,L1.qkv_lut,0.9976,128.31,85,1293,0.0039,0.9595,0.7954,0.6011
2000,L1.v_lut,0.9200,34.78,16,846,0.0623,0.6327,0.2897,0.1427
2000,L1.out_proj,0.9825,32.57,21,659,0.0242,0.7831,0.3454,0.1380
2000,L1.residual_lut,1.0000,128.00,101,897,0.0007,0.9895,0.8892,0.6960
2000,L2.qkv_lut,0.9945,128.71,100,860,0.0000,0.9876,0.8823,0.6924
2000,L2.v_lut,0.9756,32.80,19,623,0.0312,0.7453,0.3297,0.1394
2000,L2.out_proj,0.9686,33.04,18,688,0.0366,0.7255,0.3191,0.1368
2000,L2.residual_lut,0.9990,128.13,86,1445,0.0029,0.9712,0.8208,0.6177
2000,L3.qkv_lut,0.9984,128.21,87,1274,0.0037,0.9696,0.8109,0.6175
2000,L3.v_lut,0.9361,34.19,17,713,0.0531,0.6584,0.3020,0.1424
2000,L3.out_proj,0.8968,35.68,15,857,0.0691,0.5932,0.2758,0.1437
2000,L3.residual_lut,1.0000,128.00,88,1376,0.0005,0.9895,0.8538,0.6389
2000,L4.qkv_lut,0.9907,129.20,87,1606,0.0041,0.9655,0.8215,0.6169
2000,L4.v_lut,0.9481,33.75,17,1012,0.0394,0.6922,0.2898,0.1331
2000,L4.out_proj,0.8739,36.62,13,900,0.0815,0.5530,0.2650,0.1446
2000,L4.residual_lut,1.0000,128.00,111,588,0.0000,0.9988,0.9597,0.8181
2000,L5.qkv_lut,0.9967,128.42,114,757,0.0010,0.9933,0.9567,0.8167
2000,L5.v_lut,0.9868,32.43,26,498,0.0067,0.8932,0.3950,0.1040
2000,L5.out_proj,0.9641,33.19,16,877,0.0439,0.6895,0.2958,0.1373
