step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.ffn_lut.T_soft,L0.ffn_lut.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.ffn_lut.T_soft,L1.ffn_lut.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.ffn_lut.T_soft,L2.ffn_lut.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.ffn_lut.T_soft,L3.ffn_lut.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.ffn_lut.T_soft,L4.ffn_lut.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.ffn_lut.T_soft,L5.ffn_lut.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.339475,0.337732,0.503611,0.504351,0.437058,0.415891,0.448343,0.418931,0.341289,0.336951,0.460110,0.418418,0.462232,0.466269,0.469249,0.454567,0.579168,0.586732,0.452534,0.448184,0.497962,0.499184,0.487217,0.491082,0.511090,0.499786,0.514051,0.506091,0.589485,0.585936,0.497976,0.498075,0.574998,0.574962,0.602605,0.596301,0.406897,0.392060,0.701650,0.670919,0.489339,0.489024,0.587068,0.533271,0.602572,0.593507,0.410953,0.394800,0.675045,0.610238,0.498862,0.498016,0.583005,0.511026,0.649784,0.630374,0.415985,0.400668,0.721636,0.674688
2200,0.324832,0.322407,0.498667,0.499222,0.433018,0.404649,0.452578,0.407191,0.329088,0.322174,0.466576,0.409770,0.455934,0.460568,0.465678,0.447972,0.584309,0.593261,0.446565,0.441762,0.496888,0.498140,0.484541,0.488733,0.510059,0.497405,0.517401,0.507942,0.593468,0.589782,0.493663,0.492980,0.576232,0.576479,0.609280,0.601908,0.405091,0.385881,0.722273,0.687536,0.491319,0.490969,0.597720,0.535090,0.615906,0.606498,0.406081,0.385640,0.693796,0.616835,0.494690,0.493613,0.598174,0.517245,0.672303,0.650217,0.409503,0.390822,0.749808,0.693473
2400,0.313504,0.309763,0.493918,0.494366,0.431630,0.393915,0.459768,0.397142,0.319618,0.308655,0.473763,0.401125,0.450685,0.455804,0.464237,0.441296,0.591407,0.601419,0.440366,0.434886,0.495773,0.497222,0.482178,0.486724,0.509316,0.495417,0.519906,0.509253,0.596422,0.592380,0.491910,0.489759,0.574885,0.574327,0.617722,0.608742,0.402969,0.378807,0.734991,0.696550,0.492851,0.492070,0.613180,0.538656,0.628622,0.618768,0.402354,0.377171,0.713999,0.624573,0.495023,0.493903,0.614331,0.520814,0.694460,0.669454,0.404622,0.381627,0.770742,0.705137
2600,0.304059,0.298612,0.488601,0.488923,0.432942,0.384086,0.472225,0.390503,0.314790,0.296592,0.486903,0.394940,0.444745,0.450398,0.461585,0.434508,0.596548,0.606943,0.433611,0.427329,0.494554,0.495920,0.479876,0.484655,0.507774,0.492969,0.522038,0.510045,0.598161,0.594187,0.489117,0.487347,0.576494,0.575339,0.626706,0.616567,0.400687,0.373787,0.745654,0.706644,0.494403,0.493742,0.627929,0.543068,0.643666,0.632097,0.400978,0.370083,0.735859,0.634759,0.494673,0.493673,0.629807,0.525166,0.716372,0.688115,0.402211,0.374451,0.788801,0.715261
2800,0.297836,0.290323,0.484307,0.484563,0.437332,0.375512,0.484316,0.383506,0.313645,0.285932,0.500335,0.388976,0.439238,0.445208,0.461069,0.428336,0.599198,0.610269,0.428209,0.420957,0.493073,0.494475,0.477412,0.482494,0.505769,0.489766,0.524144,0.511064,0.598509,0.593889,0.489831,0.488120,0.578660,0.577603,0.636406,0.624002,0.401907,0.368437,0.763904,0.717141,0.495639,0.495124,0.644795,0.547483,0.659533,0.646201,0.402558,0.365057,0.757723,0.645907,0.496491,0.495012,0.644793,0.528434,0.737133,0.705788,0.402473,0.369204,0.804251,0.724634
3000,0.292882,0.283149,0.479074,0.479256,0.443061,0.368453,0.498972,0.377776,0.316668,0.276754,0.516125,0.381945,0.434401,0.440652,0.461466,0.423755,0.604608,0.615186,0.423461,0.415065,0.491036,0.492506,0.474630,0.480041,0.503016,0.486421,0.525783,0.511497,0.597855,0.591678,0.487184,0.485760,0.582957,0.582355,0.647431,0.631623,0.405058,0.365588,0.781339,0.725248,0.495945,0.495662,0.659510,0.551032,0.674226,0.659828,0.405351,0.361518,0.780694,0.659471,0.496679,0.494077,0.657783,0.532238,0.757542,0.723526,0.401019,0.362787,0.815183,0.731262
3200,0.289780,0.277951,0.473430,0.473554,0.448927,0.362422,0.513593,0.373004,0.322595,0.269155,0.532282,0.377135,0.430228,0.436685,0.461875,0.418657,0.609624,0.620126,0.418787,0.409224,0.490536,0.491581,0.472556,0.478251,0.502099,0.483867,0.526201,0.510941,0.597025,0.589004,0.489687,0.487511,0.591304,0.590241,0.655885,0.637519,0.411462,0.364717,0.798032,0.732653,0.495788,0.495525,0.672418,0.555153,0.688568,0.672732,0.408806,0.358051,0.803694,0.673447,0.496278,0.493353,0.664803,0.533966,0.772650,0.738603,0.403634,0.359413,0.823081,0.736335
3400,0.287403,0.273307,0.468599,0.468697,0.456668,0.357318,0.529530,0.369484,0.330833,0.263367,0.547112,0.372101,0.426090,0.432724,0.463040,0.414195,0.614037,0.624563,0.414243,0.403535,0.489002,0.489820,0.470334,0.476322,0.499089,0.479638,0.528093,0.511552,0.595721,0.585405,0.490034,0.487718,0.600041,0.599033,0.665434,0.644592,0.417080,0.363642,0.812316,0.739882,0.496959,0.496753,0.685021,0.558736,0.702214,0.684814,0.412019,0.354967,0.824886,0.687478,0.497332,0.494165,0.667077,0.533390,0.782080,0.750837,0.408004,0.356733,0.828925,0.740336
3600,0.286738,0.270442,0.463448,0.463469,0.466282,0.352532,0.545237,0.366724,0.340396,0.259076,0.562817,0.368711,0.422521,0.429154,0.465875,0.410597,0.615624,0.625971,0.410132,0.397881,0.488889,0.489323,0.468233,0.474446,0.497413,0.475948,0.529704,0.511467,0.594205,0.581232,0.485114,0.483197,0.601436,0.601105,0.673833,0.649978,0.423504,0.363748,0.822652,0.744610,0.497365,0.497317,0.695762,0.559895,0.713492,0.695954,0.416696,0.352584,0.843036,0.699561,0.499506,0.495425,0.667441,0.532889,0.787738,0.759649,0.412638,0.355358,0.832842,0.742955
3800,0.285891,0.267493,0.458647,0.458646,0.476132,0.347903,0.561485,0.365053,0.350329,0.255541,0.577667,0.365496,0.419102,0.425783,0.468464,0.406124,0.615392,0.625718,0.406473,0.392662,0.488228,0.488264,0.466442,0.472936,0.497044,0.473220,0.530863,0.511512,0.592750,0.577307,0.483773,0.480965,0.603127,0.603261,0.682614,0.655891,0.429074,0.362887,0.832040,0.749224,0.498022,0.497856,0.699634,0.556828,0.716980,0.700531,0.422893,0.352846,0.858762,0.710278,0.499728,0.494574,0.667721,0.532674,0.792184,0.767120,0.416848,0.353658,0.836722,0.745645
4000,0.284746,0.264682,0.454400,0.454406,0.484932,0.344363,0.577783,0.362979,0.359979,0.252988,0.592041,0.361364,0.415841,0.422476,0.471909,0.402393,0.617746,0.626773,0.403042,0.387809,0.486930,0.486716,0.464844,0.471594,0.497584,0.470704,0.532347,0.511288,0.591156,0.573440,0.481292,0.478326,0.603258,0.603697,0.689974,0.661078,0.434149,0.362658,0.838587,0.752394,0.499925,0.499819,0.699642,0.554251,0.715804,0.700011,0.429012,0.353692,0.871123,0.718441,0.499303,0.493233,0.667191,0.532032,0.794436,0.770855,0.422811,0.354331,0.839418,0.747471
4200,0.284374,0.262529,0.449487,0.449485,0.493921,0.341027,0.593748,0.361677,0.370421,0.251214,0.605950,0.358301,0.412503,0.419212,0.475001,0.399370,0.619054,0.627796,0.400100,0.383327,0.485986,0.485485,0.463369,0.470468,0.499268,0.469243,0.534080,0.511119,0.590007,0.569869,0.480233,0.477258,0.604927,0.605612,0.695136,0.664138,0.441723,0.364767,0.844930,0.755434,0.501384,0.501441,0.699237,0.552830,0.715252,0.699243,0.436097,0.356129,0.885338,0.726206,0.498919,0.492695,0.667191,0.531473,0.796008,0.774157,0.427881,0.354768,0.841751,0.749085
4400,0.284441,0.261128,0.445734,0.445729,0.502710,0.338063,0.609354,0.361815,0.380529,0.250353,0.619267,0.356117,0.410243,0.416830,0.478961,0.397374,0.621834,0.629437,0.398096,0.379583,0.485218,0.484295,0.461508,0.468854,0.498775,0.466677,0.535910,0.511074,0.587620,0.565251,0.481130,0.477671,0.605336,0.606576,0.700346,0.667455,0.448198,0.365934,0.850667,0.758468,0.502052,0.502138,0.700620,0.552728,0.716526,0.700413,0.442052,0.357956,0.905118,0.732423,0.498568,0.492179,0.669688,0.531095,0.796884,0.776743,0.433586,0.355819,0.843825,0.750601
4600,0.283817,0.259138,0.441421,0.441416,0.511418,0.335440,0.623862,0.362118,0.389846,0.249575,0.632946,0.354485,0.407930,0.414342,0.482745,0.395524,0.623533,0.629592,0.395731,0.375727,0.484768,0.483448,0.460068,0.467652,0.500625,0.465169,0.536719,0.510517,0.585542,0.560929,0.478797,0.475224,0.604990,0.606267,0.704460,0.669745,0.455357,0.368601,0.855209,0.760720,0.501458,0.501374,0.701859,0.552490,0.717729,0.701655,0.448281,0.359743,0.919638,0.736136,0.498912,0.492463,0.670851,0.530760,0.797462,0.778143,0.439484,0.357585,0.845275,0.751635
4800,0.283905,0.257869,0.438337,0.438303,0.519678,0.332986,0.637354,0.361997,0.398784,0.249167,0.644416,0.351973,0.406359,0.412552,0.486294,0.393621,0.624164,0.628936,0.393707,0.372018,0.484130,0.482389,0.458823,0.466626,0.502400,0.463435,0.537944,0.509991,0.582773,0.555950,0.478453,0.474724,0.603924,0.605362,0.707123,0.671059,0.462056,0.371132,0.858983,0.762751,0.501742,0.501338,0.703508,0.552486,0.719327,0.703389,0.454282,0.361377,0.931809,0.738992,0.499211,0.492730,0.672402,0.530540,0.797886,0.779107,0.445022,0.359495,0.846428,0.752461
5000,0.283732,0.256599,0.434532,0.434536,0.526972,0.330742,0.650365,0.362256,0.407643,0.249327,0.656303,0.349996,0.404852,0.410757,0.490237,0.391869,0.624761,0.628309,0.392117,0.368571,0.483268,0.481100,0.457484,0.465501,0.504651,0.461835,0.540130,0.510219,0.580009,0.551229,0.477611,0.474170,0.604342,0.605686,0.709650,0.672109,0.468381,0.373274,0.861823,0.764318,0.502222,0.501563,0.704304,0.552610,0.720425,0.704382,0.459780,0.363079,0.942507,0.741582,0.498162,0.491730,0.672615,0.529991,0.797923,0.779266,0.450664,0.361519,0.847574,0.753291
5200,0.283534,0.255344,0.431375,0.431388,0.534332,0.328583,0.662703,0.362534,0.416074,0.249679,0.667640,0.348239,0.403505,0.409168,0.493942,0.390373,0.625334,0.627456,0.390792,0.365360,0.483007,0.480350,0.456475,0.464679,0.507096,0.460608,0.542201,0.510026,0.577916,0.547468,0.476643,0.472786,0.604078,0.605339,0.711191,0.672091,0.475101,0.376190,0.864097,0.765719,0.502357,0.501454,0.704769,0.552215,0.721265,0.705247,0.464185,0.364163,0.951282,0.743813,0.498315,0.491804,0.673649,0.529777,0.797935,0.779334,0.456443,0.364136,0.848551,0.754004
5400,0.283670,0.254370,0.428649,0.428658,0.541243,0.326899,0.673725,0.362588,0.423837,0.249996,0.678070,0.346367,0.402286,0.407672,0.497636,0.388794,0.626693,0.626599,0.389493,0.362314,0.482083,0.479010,0.455152,0.463518,0.508688,0.459565,0.542775,0.509512,0.575101,0.543149,0.477407,0.473689,0.604219,0.605423,0.712364,0.671696,0.481125,0.378802,0.866027,0.766906,0.502810,0.501839,0.704943,0.551664,0.721712,0.705704,0.468769,0.365842,0.958017,0.745647,0.498896,0.492295,0.673720,0.529319,0.797662,0.778863,0.461934,0.366672,0.849405,0.754639
5600,0.283849,0.253610,0.426586,0.426635,0.547201,0.325224,0.684477,0.363065,0.430992,0.250438,0.687657,0.344950,0.401407,0.406571,0.501371,0.387899,0.627125,0.625565,0.388450,0.359498,0.482194,0.478689,0.454313,0.462843,0.510812,0.458761,0.544924,0.509707,0.573461,0.540160,0.477747,0.473914,0.603796,0.604955,0.712807,0.671163,0.486765,0.381441,0.867097,0.767540,0.502143,0.501370,0.705481,0.551500,0.722402,0.706178,0.473214,0.367483,0.962956,0.746807,0.499787,0.493181,0.674103,0.529022,0.797509,0.778539,0.467659,0.369761,0.849930,0.755010
5800,0.283697,0.252742,0.424494,0.424555,0.552835,0.323997,0.694327,0.363349,0.437348,0.250483,0.696050,0.344005,0.400771,0.405689,0.505009,0.387417,0.627783,0.624594,0.387799,0.357448,0.481972,0.478029,0.453458,0.462151,0.512764,0.457980,0.546273,0.509723,0.571567,0.537155,0.478535,0.474600,0.604169,0.605327,0.713468,0.671168,0.491737,0.383804,0.868439,0.768235,0.501704,0.500698,0.705562,0.551097,0.722677,0.706231,0.477686,0.369409,0.966531,0.747702,0.500022,0.493387,0.674435,0.528774,0.797357,0.778275,0.472635,0.372478,0.850335,0.755299
6000,0.283783,0.252179,0.422230,0.422306,0.557971,0.322709,0.703374,0.363739,0.443318,0.250833,0.703893,0.342813,0.400161,0.404804,0.507923,0.386537,0.628327,0.623970,0.387282,0.355377,0.481382,0.477059,0.452786,0.461603,0.514527,0.457504,0.546921,0.509185,0.569377,0.533847,0.477945,0.474211,0.603807,0.604999,0.713755,0.670944,0.496348,0.386183,0.869360,0.768684,0.501805,0.500777,0.705513,0.550723,0.722825,0.706006,0.482506,0.371885,0.969443,0.748380,0.500092,0.493477,0.674348,0.528495,0.797118,0.777789,0.477898,0.375655,0.850683,0.755545
6200,0.283559,0.251367,0.420365,0.420452,0.562614,0.321286,0.711597,0.363726,0.448851,0.251324,0.711062,0.341843,0.399780,0.404171,0.511015,0.386251,0.628016,0.622485,0.386894,0.353350,0.481180,0.476378,0.452042,0.460990,0.515818,0.456889,0.548099,0.509014,0.567079,0.530600,0.477839,0.474538,0.603746,0.604960,0.713686,0.670362,0.500445,0.388164,0.870220,0.769145,0.502391,0.501277,0.705443,0.550421,0.722657,0.705574,0.486367,0.373804,0.972436,0.749105,0.500497,0.493865,0.674506,0.528203,0.796881,0.777314,0.482021,0.377999,0.851015,0.755775
6400,0.283511,0.250820,0.418911,0.419006,0.566321,0.320245,0.719104,0.364051,0.453878,0.251930,0.717709,0.341159,0.399477,0.403660,0.513868,0.385909,0.627719,0.621162,0.386563,0.351628,0.480775,0.475682,0.451547,0.460607,0.517392,0.456363,0.549593,0.509206,0.565278,0.527976,0.477556,0.474340,0.603504,0.604717,0.713360,0.669799,0.503898,0.389845,0.870763,0.769465,0.502818,0.501690,0.705440,0.550136,0.722702,0.705285,0.490063,0.375872,0.974386,0.749520,0.500657,0.493990,0.674692,0.528014,0.796730,0.776904,0.486226,0.380615,0.851203,0.755899
6600,0.283472,0.250312,0.417426,0.417533,0.569760,0.319270,0.725511,0.364257,0.458165,0.252217,0.723061,0.340406,0.399137,0.403171,0.516030,0.385628,0.627351,0.620031,0.386124,0.350011,0.480362,0.474957,0.451021,0.460172,0.518596,0.456003,0.550899,0.509256,0.563520,0.525584,0.477849,0.474450,0.603775,0.604997,0.712983,0.669219,0.507243,0.391792,0.871302,0.769730,0.503233,0.502100,0.705154,0.549711,0.722468,0.704691,0.493505,0.377716,0.975939,0.749879,0.501523,0.494892,0.674616,0.527821,0.796537,0.776511,0.489829,0.382796,0.851403,0.756041
6800,0.283388,0.249869,0.416265,0.416392,0.572789,0.318250,0.731284,0.364633,0.462104,0.252645,0.728047,0.339861,0.398974,0.402785,0.517787,0.384998,0.626903,0.618698,0.385665,0.348544,0.480068,0.474402,0.450484,0.459702,0.519702,0.455670,0.551467,0.509055,0.561910,0.523427,0.477363,0.473920,0.602660,0.603825,0.711997,0.668229,0.510358,0.393501,0.871428,0.769769,0.503154,0.502031,0.705006,0.549425,0.722478,0.704369,0.496462,0.379282,0.977048,0.750054,0.501766,0.495090,0.674631,0.527726,0.796473,0.776222,0.493079,0.384912,0.851430,0.756031
7000,0.283329,0.249474,0.415259,0.415393,0.575694,0.317456,0.736240,0.364827,0.465692,0.253007,0.732567,0.339364,0.398922,0.402521,0.519844,0.384883,0.626091,0.617160,0.385681,0.347423,0.480040,0.474079,0.450133,0.459429,0.520855,0.455491,0.551937,0.508796,0.560499,0.521476,0.477039,0.473560,0.602295,0.603419,0.711538,0.667655,0.513320,0.395176,0.871755,0.769902,0.503002,0.501903,0.704932,0.549244,0.722385,0.703947,0.499051,0.380657,0.977959,0.750244,0.502322,0.495671,0.674752,0.527619,0.796357,0.775937,0.495626,0.386393,0.851547,0.756108
7200,0.283482,0.249275,0.414441,0.414584,0.577925,0.316580,0.740798,0.365233,0.468898,0.253364,0.736440,0.338879,0.398933,0.402287,0.521696,0.384597,0.625659,0.615895,0.385557,0.346296,0.479762,0.473513,0.449812,0.459161,0.521586,0.455173,0.552579,0.508663,0.559016,0.519533,0.477300,0.473622,0.602385,0.603492,0.711233,0.667265,0.515615,0.396423,0.871956,0.769931,0.503175,0.502077,0.704734,0.548986,0.722283,0.703526,0.501490,0.381972,0.978720,0.750370,0.502482,0.495764,0.674865,0.527557,0.796305,0.775739,0.497900,0.387750,0.851563,0.756098
7400,0.283444,0.248970,0.413612,0.413760,0.580358,0.316011,0.744841,0.365378,0.471815,0.253643,0.740200,0.338493,0.398667,0.401891,0.523512,0.384436,0.625429,0.615060,0.385233,0.345131,0.479667,0.473178,0.449628,0.459040,0.522471,0.454954,0.553335,0.508624,0.557817,0.517835,0.477176,0.473609,0.602412,0.603498,0.710523,0.666455,0.517907,0.397705,0.872265,0.770097,0.503396,0.502231,0.704409,0.548648,0.722039,0.703032,0.503614,0.383086,0.979405,0.750529,0.502523,0.495820,0.674648,0.527414,0.796150,0.775315,0.499964,0.388985,0.851655,0.756161
7600,0.283489,0.248736,0.412759,0.412918,0.582285,0.315346,0.748543,0.365520,0.474474,0.253903,0.743703,0.338267,0.398774,0.401837,0.525193,0.384301,0.625128,0.614101,0.385269,0.344302,0.479621,0.472861,0.449326,0.458765,0.523200,0.454733,0.553789,0.508292,0.556616,0.516202,0.477048,0.473379,0.602261,0.603325,0.710389,0.666173,0.520005,0.398892,0.872333,0.770074,0.503484,0.502318,0.704348,0.548556,0.722012,0.702682,0.505622,0.384149,0.979903,0.750582,0.502588,0.495896,0.674632,0.527343,0.796091,0.775085,0.502052,0.390279,0.851675,0.756159
7800,0.283467,0.248493,0.412125,0.412288,0.584300,0.314854,0.752192,0.365686,0.477034,0.254196,0.746613,0.337604,0.398558,0.401538,0.526679,0.384185,0.624720,0.613164,0.385185,0.343358,0.479514,0.472540,0.449107,0.458591,0.523966,0.454504,0.554567,0.508408,0.555478,0.514694,0.477086,0.473369,0.602086,0.603107,0.709893,0.665577,0.521973,0.399954,0.872450,0.770131,0.503461,0.502194,0.704138,0.548335,0.721817,0.702229,0.507599,0.385274,0.980427,0.750673,0.502585,0.495935,0.674614,0.527289,0.796015,0.774810,0.503821,0.391321,0.851705,0.756168
