seed,update,env_steps,ep_ret_mean,ep_ret_max,ep_len_mean,lr,logstd,kl,tau
1,540,141557760,5262.0675675675675,5701.09228515625,961.327246165084,8.458059389352199e-05,-1.608738899230957,0.003974043298512697,0.08388295024633408
1,550,144179200,5264.3955571479755,5726.89111328125,960.1250447868148,8.021352714537036e-05,-1.612011432647705,0.003802705556154251,0.08405036479234695
1,560,146800640,5260.257217847769,5712.150390625,958.6452943382077,7.598831496149118e-05,-1.6157807111740112,0.003784739878028631,0.08423983305692673
1,570,149422080,5276.974163027657,5723.5986328125,959.2197962154294,7.191202646049642e-05,-1.6198532581329346,0.0040906695649027824,0.08437575399875641
1,580,152043520,5314.971062271063,5736.8408203125,964.8630036630036,6.799148159974119e-05,-1.6245591640472412,0.003690532874315977,0.08458603173494339
1,590,154664960,5299.882374496153,5752.28662109375,960.2579699523635,6.423323976498846e-05,-1.6280114650726318,0.0035929272416979074,0.0847916305065155
1,600,157286400,5333.384074074074,5745.13671875,964.8907407407407,6.0643588796030915e-05,-1.6303304433822632,0.0034483543131500483,0.08493029326200485
1,610,159907840,5388.3966480446925,5745.2802734375,971.736312849162,5.722853446663111e-05,-1.6334350109100342,0.0038081868551671505,0.08509254455566406
1,620,162529280,5330.9597578347575,5766.23828125,960.9391025641025,5.399379043638068e-05,-1.6348111629486084,0.0034870763774961233,0.0851777195930481
1,630,165150720,5352.291210863825,5795.96337890625,962.8562806488118,5.094476869128981e-05,-1.636983871459961,0.0035462728701531887,0.08537648618221283
1,640,167772160,5371.832584269663,5784.9677734375,964.9640449438202,4.8086570489101014e-05,-1.6391305923461914,0.0037170201539993286,0.08550073206424713
1,650,170393600,5383.723027944818,5773.9892578125,966.9338521400779,4.542397782447601e-05,-1.6411454677581787,0.002789315301924944,0.08554625511169434
1,660,173015040,5391.569731800766,5782.27587890625,967.5379310344828,4.2961445428335354e-05,-1.6427769660949707,0.002588054398074746,0.08556660264730453
1,670,175636480,5382.224340175953,5776.0029296875,965.3299120234605,4.0703093314736736e-05,-1.6445058584213257,0.002618239726871252,0.08559425175189972
