step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.out_v2d.T,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.out_v2d.T,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.out_v2d.T,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.out_v2d.T,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.out_v2d.T,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.out_v2d.T
2000,0.331413,0.327756,0.335950,0.326082,0.151979,0.691206,0.461269,0.424397,0.419480,0.136004,0.570539,0.474481,0.418701,0.405471,0.113355,0.525650,0.497171,0.494413,0.491331,0.109356,0.531301,0.520464,0.505372,0.502739,0.105651,0.505792,0.505263,0.505584,0.499992,0.103135
2200,0.321516,0.316240,0.334942,0.313096,0.159685,0.720731,0.458263,0.418702,0.412006,0.141116,0.584252,0.472218,0.413680,0.397028,0.115418,0.528371,0.495986,0.493607,0.490187,0.109833,0.533520,0.521719,0.506203,0.503295,0.105750,0.503901,0.503890,0.506631,0.500695,0.102796
2400,0.313754,0.306495,0.340000,0.301928,0.167954,0.752689,0.455210,0.412400,0.403381,0.147197,0.598067,0.468583,0.410099,0.389132,0.117698,0.529556,0.492255,0.493410,0.489587,0.110416,0.535474,0.522940,0.507090,0.503697,0.105898,0.503536,0.503468,0.508048,0.501550,0.102303
2600,0.307424,0.298121,0.347942,0.293257,0.176248,0.782986,0.451324,0.407879,0.396561,0.152767,0.612955,0.466033,0.407683,0.382830,0.119820,0.531150,0.488478,0.492879,0.488589,0.110897,0.536516,0.523332,0.508282,0.504410,0.105985,0.504674,0.505124,0.508933,0.502050,0.101894
2800,0.302631,0.290993,0.357856,0.287608,0.184565,0.812672,0.447499,0.404202,0.390374,0.158578,0.628064,0.464534,0.407264,0.378334,0.121938,0.532569,0.486311,0.492220,0.487423,0.111295,0.538171,0.524088,0.508700,0.504557,0.106023,0.503448,0.503790,0.509755,0.502499,0.101420
3000,0.298297,0.284345,0.368543,0.282872,0.192983,0.841996,0.444318,0.400954,0.384585,0.164329,0.641675,0.462609,0.406582,0.373227,0.124216,0.534206,0.483305,0.491890,0.486621,0.111706,0.539224,0.524577,0.509348,0.504890,0.106108,0.503078,0.503763,0.510439,0.502950,0.100678
3200,0.296035,0.279634,0.379186,0.278998,0.201251,0.870623,0.440229,0.398832,0.379920,0.169695,0.653809,0.461168,0.407772,0.370159,0.126330,0.539914,0.484178,0.491225,0.485519,0.112013,0.540568,0.525231,0.509726,0.505015,0.106211,0.503340,0.504267,0.511192,0.503359,0.099761
3400,0.293831,0.275226,0.388193,0.276119,0.209237,0.896647,0.437325,0.396938,0.375828,0.174927,0.665061,0.458972,0.408785,0.367133,0.128253,0.542645,0.482693,0.490353,0.484282,0.112317,0.541933,0.525674,0.510181,0.505201,0.106268,0.502681,0.503243,0.511990,0.503841,0.099291
3600,0.291910,0.271121,0.399779,0.273247,0.217836,0.923877,0.433153,0.395688,0.371506,0.180821,0.677241,0.456259,0.410746,0.364721,0.130617,0.545124,0.480983,0.489811,0.483303,0.112782,0.542382,0.525663,0.510707,0.505458,0.106362,0.502987,0.503676,0.512853,0.504339,0.099069
3800,0.291107,0.268332,0.409656,0.270611,0.226129,0.950811,0.429697,0.394768,0.367719,0.186525,0.687939,0.453193,0.412557,0.362631,0.132888,0.546890,0.478002,0.488686,0.481757,0.113153,0.543278,0.525775,0.510951,0.505530,0.106429,0.502615,0.503476,0.513310,0.504511,0.098621
4000,0.290017,0.265468,0.420963,0.267710,0.234683,0.979110,0.424527,0.393912,0.363105,0.192844,0.699443,0.451768,0.415214,0.360712,0.135651,0.549613,0.477192,0.487694,0.479843,0.113751,0.543254,0.525571,0.511603,0.505781,0.106477,0.501388,0.502380,0.514292,0.505060,0.098738
4200,0.289134,0.262852,0.430199,0.265057,0.242792,1.003317,0.420873,0.394124,0.360198,0.198624,0.710535,0.449744,0.417284,0.358815,0.138069,0.550918,0.475407,0.486956,0.478601,0.114179,0.543438,0.525179,0.511885,0.505932,0.106601,0.502671,0.503796,0.514782,0.505247,0.098408
4400,0.288561,0.260534,0.440419,0.262155,0.250796,1.029124,0.417441,0.394317,0.356768,0.204586,0.720715,0.447188,0.420207,0.357469,0.141003,0.552366,0.472598,0.486143,0.477192,0.114674,0.543876,0.525505,0.512376,0.506075,0.106711,0.500780,0.502053,0.515295,0.505533,0.098474
4600,0.288185,0.258700,0.450584,0.259459,0.258599,1.053738,0.413592,0.395216,0.353804,0.210408,0.732101,0.445830,0.423528,0.356408,0.143991,0.554596,0.471019,0.485879,0.475975,0.115241,0.543719,0.524916,0.512696,0.506111,0.106892,0.500408,0.501692,0.515950,0.505919,0.098396
4800,0.287971,0.257181,0.459202,0.256757,0.266016,1.077229,0.410288,0.396295,0.351405,0.215910,0.740642,0.443193,0.426081,0.355044,0.146895,0.556577,0.469376,0.485448,0.474810,0.115771,0.543961,0.524980,0.512248,0.505577,0.106962,0.500485,0.502135,0.516591,0.506361,0.098461
5000,0.287617,0.255670,0.467023,0.254432,0.273015,1.098953,0.406950,0.397413,0.349161,0.221143,0.748455,0.441024,0.428726,0.354098,0.149516,0.558834,0.468544,0.484534,0.472871,0.116203,0.543997,0.524851,0.511666,0.504950,0.107025,0.501206,0.502739,0.517109,0.506608,0.098496
5200,0.287282,0.254261,0.474510,0.252170,0.279626,1.119102,0.403974,0.398833,0.347328,0.226080,0.755136,0.438998,0.431862,0.353678,0.151944,0.559929,0.466876,0.484034,0.471638,0.116753,0.543529,0.524168,0.511849,0.504958,0.107082,0.500382,0.502228,0.517560,0.506770,0.098450
5400,0.287316,0.253253,0.481030,0.250115,0.285788,1.138175,0.400957,0.400088,0.345623,0.230654,0.762900,0.437810,0.434439,0.352828,0.154331,0.561950,0.465850,0.483456,0.470310,0.117136,0.543515,0.523900,0.511473,0.504570,0.107162,0.500147,0.501890,0.517853,0.506941,0.098534
5600,0.286861,0.252032,0.486767,0.248155,0.291446,1.154687,0.398178,0.401458,0.344212,0.234879,0.771317,0.437211,0.436716,0.352173,0.156413,0.563052,0.464192,0.482840,0.469039,0.117493,0.542845,0.523222,0.511324,0.504291,0.107221,0.500093,0.501696,0.518219,0.507161,0.098585
5800,0.286589,0.250988,0.492124,0.246287,0.296650,1.170459,0.395663,0.402790,0.343027,0.238838,0.776584,0.435386,0.438686,0.351535,0.158470,0.564443,0.463097,0.482356,0.467829,0.117887,0.542694,0.522902,0.511064,0.503958,0.107303,0.499810,0.501372,0.518312,0.507141,0.098605
6000,0.286336,0.250114,0.497326,0.244404,0.301488,1.185317,0.393376,0.404224,0.341629,0.242468,0.782535,0.434432,0.441071,0.351187,0.160569,0.566086,0.462637,0.482454,0.466987,0.118368,0.542491,0.522630,0.510604,0.503604,0.107395,0.499649,0.501245,0.518405,0.507186,0.098692
6200,0.286266,0.249430,0.502358,0.242986,0.305845,1.198289,0.391633,0.405633,0.340644,0.245803,0.786720,0.432785,0.443216,0.350909,0.162340,0.566659,0.461317,0.481842,0.465859,0.118745,0.542026,0.522099,0.510385,0.503289,0.107435,0.499538,0.501364,0.518349,0.507164,0.098704
6400,0.286173,0.248825,0.506193,0.241479,0.309772,1.209581,0.389805,0.407010,0.339692,0.248822,0.791652,0.431875,0.444771,0.350211,0.163998,0.566660,0.460095,0.481270,0.464743,0.119170,0.541529,0.521587,0.509969,0.502841,0.107492,0.499115,0.500853,0.518579,0.507324,0.098766
6600,0.286200,0.248388,0.509962,0.240377,0.313298,1.219203,0.387981,0.408402,0.338921,0.251509,0.795535,0.431139,0.446402,0.349823,0.165545,0.567416,0.459328,0.481009,0.463975,0.119588,0.541227,0.521166,0.509740,0.502616,0.107548,0.499299,0.501105,0.518599,0.507337,0.098829
6800,0.286142,0.247918,0.513281,0.239142,0.316458,1.228913,0.386743,0.409536,0.338071,0.253940,0.798783,0.430071,0.447504,0.349385,0.166932,0.568523,0.458931,0.480721,0.463263,0.119975,0.540643,0.520553,0.509439,0.502331,0.107595,0.498789,0.500546,0.518561,0.507338,0.098879
7000,0.285915,0.247387,0.516015,0.237978,0.319280,1.237092,0.385537,0.410619,0.337461,0.256099,0.802044,0.429539,0.448656,0.349005,0.168172,0.569070,0.458378,0.480362,0.462496,0.120298,0.540299,0.520150,0.509295,0.502132,0.107627,0.499036,0.500777,0.518538,0.507339,0.098927
7200,0.285813,0.246970,0.518705,0.237132,0.321801,1.244668,0.384479,0.411442,0.336883,0.258040,0.804546,0.428827,0.449551,0.348597,0.169273,0.569359,0.457722,0.479980,0.461796,0.120574,0.540325,0.520097,0.509133,0.501924,0.107659,0.498753,0.500458,0.518651,0.507431,0.098969
7400,0.285708,0.246587,0.520804,0.236243,0.324105,1.251011,0.383401,0.412399,0.336458,0.259830,0.806929,0.428233,0.450513,0.348248,0.170311,0.569953,0.457378,0.479865,0.461276,0.120843,0.540068,0.519774,0.509011,0.501774,0.107700,0.498307,0.500108,0.518518,0.507326,0.099013
7600,0.285656,0.246271,0.522918,0.235428,0.326218,1.257061,0.382378,0.413162,0.336005,0.261475,0.809200,0.427709,0.451391,0.347927,0.171256,0.570264,0.456942,0.479331,0.460527,0.121107,0.539897,0.519577,0.508869,0.501634,0.107734,0.498228,0.499987,0.518592,0.507418,0.099048
7800,0.285488,0.245872,0.524913,0.234684,0.328213,1.262449,0.381396,0.413933,0.335582,0.263016,0.811299,0.427274,0.452206,0.347649,0.172170,0.570796,0.456698,0.479117,0.460008,0.121321,0.539670,0.519281,0.508543,0.501334,0.107766,0.498114,0.499892,0.518487,0.507335,0.099103
8000,0.285353,0.245540,0.526651,0.233984,0.330167,1.268142,0.380496,0.414612,0.335052,0.264523,0.813606,0.426923,0.452828,0.347248,0.173060,0.570935,0.456004,0.478876,0.459477,0.121533,0.539327,0.518927,0.508189,0.501063,0.107796,0.498280,0.500001,0.518663,0.507495,0.099146
