step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.444166,0.443051,0.390128,0.391783,0.395176,0.371669,0.623604,0.422245,0.433434,0.390050,0.441751,0.391710,0.593206,0.455513,0.428866,0.404666,0.515320,0.475776,0.491680,0.478845,0.492240,0.491462,0.593794,0.567712,0.520838,0.492978,0.530041,0.505521,0.596845,0.562136,0.528411,0.507273,0.530742,0.509279,0.587117,0.562873
2200,0.429058,0.427604,0.374670,0.376245,0.390072,0.360197,0.641264,0.414346,0.436212,0.380657,0.443962,0.382161,0.607831,0.451366,0.428850,0.397317,0.514646,0.470363,0.490425,0.475155,0.489526,0.488773,0.597345,0.569757,0.526178,0.492962,0.537626,0.506523,0.608051,0.563943,0.530897,0.506036,0.533662,0.508532,0.593350,0.564613
2400,0.416146,0.414420,0.359771,0.361289,0.386270,0.349619,0.658791,0.406827,0.440159,0.371724,0.446990,0.373153,0.623526,0.447485,0.428790,0.389629,0.514295,0.465114,0.489258,0.471521,0.486234,0.485578,0.598868,0.570599,0.528961,0.492907,0.541666,0.507661,0.615270,0.565207,0.535356,0.504819,0.537708,0.507663,0.598783,0.566269
2600,0.402581,0.400547,0.345433,0.346884,0.385164,0.340497,0.677484,0.399173,0.447262,0.363504,0.452407,0.365885,0.638724,0.443101,0.431859,0.382961,0.513997,0.459489,0.489223,0.469450,0.483479,0.482997,0.600819,0.571755,0.530538,0.493440,0.544739,0.509353,0.622321,0.566374,0.539523,0.502579,0.541504,0.504987,0.603384,0.567836
2800,0.390553,0.388284,0.331956,0.333350,0.386216,0.332400,0.694562,0.392764,0.455410,0.356710,0.460512,0.359802,0.654673,0.438869,0.436140,0.377070,0.513646,0.454201,0.488786,0.466826,0.480495,0.480016,0.600347,0.571389,0.531433,0.492726,0.549327,0.510397,0.628549,0.567413,0.543360,0.501138,0.544236,0.503097,0.607390,0.569232
3000,0.378560,0.376035,0.318793,0.320120,0.387715,0.325418,0.710947,0.385979,0.464860,0.351546,0.467965,0.354570,0.669573,0.434694,0.441186,0.371478,0.513774,0.449664,0.489021,0.463831,0.477622,0.476925,0.599916,0.570907,0.534623,0.493191,0.553910,0.510993,0.633394,0.568265,0.544906,0.499129,0.547079,0.500972,0.610533,0.570368
3200,0.367315,0.364614,0.307168,0.308424,0.390784,0.319202,0.726597,0.379923,0.474532,0.345997,0.476685,0.349973,0.686004,0.430583,0.447443,0.367174,0.513653,0.444597,0.489010,0.461182,0.474641,0.473930,0.598498,0.569295,0.537174,0.494713,0.558253,0.512624,0.637928,0.568892,0.547387,0.497207,0.550891,0.499259,0.612695,0.571080
3400,0.356695,0.353823,0.295943,0.297123,0.395521,0.313727,0.740874,0.374797,0.484130,0.340919,0.487139,0.345816,0.701015,0.427091,0.454230,0.362820,0.513176,0.439078,0.489479,0.458726,0.471554,0.470609,0.596283,0.566964,0.539663,0.496334,0.562352,0.514895,0.642745,0.569673,0.549043,0.495478,0.552563,0.497370,0.614886,0.571896
3600,0.346689,0.343663,0.285536,0.286665,0.401518,0.308433,0.754789,0.369768,0.494443,0.336084,0.499262,0.342278,0.714208,0.423172,0.462372,0.359593,0.513711,0.433982,0.491136,0.456847,0.468429,0.467302,0.593852,0.564129,0.542203,0.497656,0.566170,0.517262,0.647065,0.570342,0.550720,0.494068,0.554061,0.496006,0.616712,0.572532
3800,0.338523,0.335375,0.276429,0.277499,0.406730,0.303721,0.766623,0.364353,0.503165,0.332273,0.510168,0.339720,0.725980,0.419577,0.468796,0.356323,0.514012,0.429387,0.493201,0.455405,0.465117,0.463695,0.591487,0.561125,0.543663,0.498874,0.569938,0.519797,0.652167,0.570967,0.552243,0.492611,0.556195,0.494580,0.618590,0.573129
4000,0.330294,0.327033,0.267600,0.268619,0.413003,0.299377,0.778008,0.359262,0.511972,0.328162,0.522052,0.337634,0.738505,0.415522,0.477479,0.354380,0.514576,0.424932,0.494434,0.453099,0.461735,0.460219,0.588866,0.557786,0.545833,0.500343,0.572601,0.521370,0.656409,0.571580,0.554250,0.491318,0.556797,0.492673,0.620361,0.573760
4200,0.322785,0.319420,0.259516,0.260490,0.419728,0.295561,0.789428,0.355273,0.521407,0.325475,0.533387,0.335523,0.749730,0.411433,0.485374,0.352586,0.514944,0.420571,0.496415,0.451222,0.458705,0.457080,0.586198,0.554019,0.545653,0.499454,0.574636,0.521924,0.659581,0.572014,0.555356,0.490190,0.557540,0.491466,0.621834,0.574264
4400,0.315554,0.312090,0.251963,0.252896,0.426319,0.292171,0.798190,0.351058,0.530157,0.322639,0.544585,0.333959,0.760852,0.408245,0.494379,0.351000,0.515537,0.416365,0.497728,0.449411,0.455538,0.453837,0.584047,0.550599,0.547200,0.500380,0.576913,0.523964,0.662376,0.572569,0.555773,0.488247,0.559239,0.489795,0.623414,0.574952
4600,0.309451,0.305903,0.245252,0.246150,0.432562,0.288995,0.806796,0.347337,0.537117,0.320067,0.556308,0.332689,0.770417,0.404756,0.502584,0.349524,0.516292,0.412318,0.500237,0.448220,0.452994,0.450916,0.581545,0.546588,0.547483,0.500859,0.576643,0.523441,0.664639,0.572893,0.556566,0.487013,0.561126,0.488555,0.624512,0.575365
4800,0.303960,0.300366,0.239435,0.240297,0.439120,0.286478,0.815579,0.344013,0.544302,0.317526,0.567641,0.331658,0.780298,0.402261,0.510460,0.348292,0.516736,0.408183,0.502057,0.446553,0.450671,0.448304,0.579441,0.542739,0.547064,0.500151,0.577059,0.523457,0.666636,0.573148,0.557000,0.485856,0.561925,0.487519,0.625372,0.575656
5000,0.298646,0.294999,0.233952,0.234780,0.446172,0.284007,0.821601,0.340149,0.550802,0.315192,0.578473,0.330651,0.789872,0.399814,0.516731,0.346657,0.517369,0.404089,0.503291,0.444422,0.448721,0.445957,0.576980,0.538455,0.545811,0.498842,0.575707,0.522041,0.668828,0.573504,0.557950,0.485243,0.563382,0.486967,0.626424,0.576090
5200,0.294344,0.290616,0.229066,0.229863,0.452306,0.281464,0.828208,0.337459,0.556787,0.313033,0.589348,0.330003,0.798014,0.397284,0.523320,0.345605,0.518886,0.400844,0.505239,0.443454,0.446707,0.443504,0.575234,0.534969,0.545276,0.498113,0.575624,0.521684,0.670402,0.573679,0.557948,0.484305,0.563619,0.485891,0.627018,0.576269
5400,0.290629,0.286856,0.224804,0.225578,0.457938,0.279131,0.834533,0.334652,0.561660,0.311164,0.599482,0.329567,0.805872,0.395149,0.529809,0.344775,0.519810,0.397386,0.507063,0.442190,0.444842,0.441186,0.572869,0.530873,0.543980,0.496856,0.575359,0.521263,0.672004,0.573934,0.558233,0.483649,0.563909,0.485075,0.627659,0.576528
5600,0.286966,0.283173,0.221208,0.221958,0.463414,0.277286,0.839106,0.331780,0.566785,0.309237,0.608935,0.329061,0.812570,0.392909,0.535414,0.343817,0.520049,0.393822,0.508106,0.440849,0.443862,0.439908,0.570700,0.526990,0.543228,0.496096,0.574556,0.520205,0.673065,0.574020,0.558659,0.483349,0.564725,0.484818,0.628029,0.576614
5800,0.283507,0.279694,0.217787,0.218514,0.468425,0.275558,0.843117,0.329358,0.570829,0.307239,0.617433,0.328324,0.818927,0.391252,0.541375,0.343271,0.520987,0.391450,0.509322,0.439539,0.442451,0.438129,0.568801,0.523728,0.541446,0.494369,0.573352,0.518963,0.673896,0.574157,0.558880,0.482939,0.565092,0.484446,0.628419,0.576763
6000,0.280675,0.276829,0.214764,0.215475,0.472783,0.273775,0.846042,0.327033,0.575132,0.305875,0.625735,0.328019,0.823579,0.389233,0.546654,0.342663,0.521923,0.388818,0.510108,0.438505,0.441479,0.436770,0.567029,0.520523,0.540156,0.492931,0.572068,0.517781,0.674617,0.574228,0.558956,0.482550,0.565292,0.484090,0.628756,0.576853
6200,0.278277,0.274410,0.212098,0.212796,0.476555,0.272229,0.849555,0.325379,0.579259,0.304546,0.632985,0.327827,0.828565,0.387970,0.551706,0.342550,0.522792,0.386522,0.511544,0.438024,0.440785,0.435711,0.565583,0.517818,0.538879,0.491553,0.571399,0.516905,0.675179,0.574289,0.559122,0.482491,0.565668,0.483996,0.628982,0.576920
6400,0.276086,0.272186,0.209800,0.210484,0.480361,0.270907,0.852016,0.323623,0.582508,0.303207,0.639919,0.327594,0.832719,0.386473,0.556265,0.342434,0.523502,0.384582,0.512758,0.437341,0.440130,0.434720,0.564233,0.515499,0.537684,0.490336,0.570449,0.515886,0.675593,0.574352,0.559204,0.482436,0.565803,0.483920,0.629171,0.576977
6600,0.274146,0.270235,0.207756,0.208429,0.483635,0.269672,0.854565,0.322144,0.585538,0.302073,0.646179,0.327494,0.836861,0.385348,0.560184,0.342388,0.524033,0.382557,0.513460,0.436653,0.439586,0.433909,0.562471,0.512933,0.536222,0.488797,0.569042,0.514493,0.675798,0.574363,0.559266,0.482258,0.565921,0.483724,0.629301,0.577002
6800,0.272482,0.268566,0.205999,0.206654,0.486617,0.268642,0.855803,0.320486,0.587819,0.301105,0.651541,0.327180,0.840043,0.384162,0.563470,0.342074,0.524598,0.380833,0.514155,0.436018,0.438936,0.433056,0.561114,0.510684,0.534977,0.487528,0.567896,0.513331,0.675980,0.574387,0.559452,0.482114,0.565925,0.483511,0.629430,0.577037
7000,0.271091,0.267158,0.204467,0.205115,0.489147,0.267575,0.857701,0.319238,0.589536,0.300116,0.656510,0.327137,0.843209,0.383179,0.566431,0.341712,0.525211,0.379233,0.514594,0.435304,0.438793,0.432655,0.559684,0.508632,0.533815,0.486296,0.566923,0.512318,0.675993,0.574305,0.559715,0.482137,0.566026,0.483447,0.629434,0.576980
7200,0.269946,0.265998,0.203076,0.203719,0.491522,0.266617,0.859041,0.318126,0.591251,0.299217,0.660959,0.326990,0.845821,0.382228,0.569078,0.341557,0.525781,0.377721,0.515330,0.434917,0.438643,0.432244,0.558677,0.506960,0.533063,0.485394,0.566190,0.511487,0.676041,0.574268,0.559643,0.481982,0.566122,0.483324,0.629453,0.576947
7400,0.268829,0.264879,0.201902,0.202537,0.493548,0.265664,0.860168,0.317129,0.593087,0.298540,0.664932,0.326947,0.848118,0.381442,0.571596,0.341360,0.525968,0.376429,0.515970,0.434513,0.438369,0.431756,0.557697,0.505458,0.532164,0.484423,0.565325,0.510584,0.676047,0.574272,0.559766,0.481910,0.566104,0.483213,0.629518,0.576964
7600,0.267933,0.263984,0.200793,0.201422,0.495402,0.264923,0.860674,0.316095,0.594580,0.297863,0.668677,0.326939,0.849936,0.380497,0.574000,0.341256,0.526182,0.375165,0.516411,0.434011,0.438146,0.431320,0.556675,0.503889,0.531064,0.483284,0.563980,0.509286,0.675898,0.574255,0.559748,0.481829,0.566134,0.483149,0.629577,0.576984
7800,0.266976,0.263022,0.199778,0.200402,0.496894,0.264119,0.861473,0.315241,0.596072,0.297206,0.672221,0.327042,0.852164,0.379880,0.576037,0.341085,0.526578,0.374031,0.516792,0.433575,0.437872,0.430891,0.555722,0.502449,0.530292,0.482429,0.563182,0.508469,0.675818,0.574218,0.559754,0.481813,0.566135,0.483147,0.629574,0.576954
8000,0.266016,0.262057,0.198743,0.199363,0.498510,0.263403,0.862431,0.314403,0.597442,0.296592,0.675627,0.327026,0.854365,0.379258,0.578085,0.340949,0.527031,0.373038,0.517324,0.433263,0.437653,0.430502,0.554831,0.501104,0.529394,0.481508,0.562166,0.507462,0.675652,0.574157,0.559788,0.481734,0.566162,0.483070,0.629576,0.576931
