seed,update,env_steps,ep_ret_mean,ep_ret_max,ep_len_mean,lr,kl
1,160,41943040,327.2,440.0,161.0,0.00027,0.001
1,170,44564480,336.3,473.1,161.0,0.00027,0.0006
1,180,47185920,337.9,448.5,158.0,0.00027,0.0006
1,190,49807360,342.7,479.7,156.0,0.00026,0.0006
1,200,52428800,356.3,495.0,157.0,0.00026,0.0007
1,210,55050240,373.4,511.5,158.0,0.00025,0.0007
1,220,57671680,397.0,528.0,162.0,0.00025,0.0009
1,230,60293120,415.8,572.2,163.0,0.00024,0.0008
1,240,62914560,430.5,588.5,164.0,0.00024,0.0007
1,250,65536000,441.0,649.3,166.0,0.00024,0.0009
1,260,68157440,449.0,593.4,167.0,0.00023,0.0009
1,270,70778880,451.8,613.1,166.0,0.00023,0.0009
1,280,73400320,450.5,635.3,164.0,0.00022,0.0007
1,290,76021760,442.7,680.9,161.0,0.00022,0.0008
1,300,78643200,436.9,696.9,160.0,0.00021,0.0007
1,310,81264640,437.9,758.6,165.0,0.00021,0.002
1,320,83886080,482.9,886.2,230.0,0.0002,0.0017
1,330,86507520,515.1,971.0,237.0,0.00019,0.0007
1,340,89128960,544.3,1082.5,249.0,0.00019,0.0006
1,350,91750400,572.6,1017.5,261.0,0.00018,0.0005
1,360,94371840,600.8,1008.4,273.0,0.00018,0.0005
1,370,96993280,624.6,950.7,284.0,0.00017,0.0004
1,380,99614720,640.7,991.0,291.0,0.00017,0.0005
1,390,102236160,657.0,976.0,298.0,0.00016,0.0003
1,400,104857600,671.7,1117.3,303.0,0.00016,0.0003
1,410,107479040,680.9,1110.6,306.0,0.00015,0.0004
1,420,110100480,688.8,950.0,307.0,0.00015,0.0002
1,430,112721920,694.1,979.1,308.0,0.00014,0.0003
1,440,115343360,695.7,1049.4,307.0,0.00013,0.0002
1,450,117964800,697.1,1065.9,306.0,0.00013,0.0002
1,460,120586240,697.3,989.2,305.0,0.00012,0.0002
1,470,123207680,699.4,923.1,306.0,0.00012,0.0001
1,480,125829120,700.4,1006.4,306.0,0.00011,0.0002
1,490,128450560,701.3,1169.6,305.0,0.00011,0.0001
1,500,131072000,700.6,978.8,305.0,0.0001,0.0001
1,510,133693440,702.4,1081.3,305.0,9.8e-05,0.0001
1,520,136314880,703.2,1095.7,304.0,9.4e-05,0.0001
1,530,138936320,703.1,913.8,304.0,8.9e-05,0.0001
1,540,141557760,701.0,957.6,303.0,8.5e-05,0.0001
1,550,144179200,702.7,1022.1,303.0,8e-05,0.0001
1,560,146800640,701.0,1018.8,302.0,7.6e-05,0.0001
1,570,149422080,699.3,909.4,301.0,7.2e-05,0.0001
1,580,152043520,697.7,972.8,300.0,6.8e-05,0.0001
1,590,154664960,694.5,904.9,299.0,6.4e-05,0.0001
1,600,157286400,694.2,955.7,299.0,6.1e-05,0.0
1,610,159907840,692.4,940.0,298.0,5.7e-05,0.0
1,620,162529280,691.5,962.8,297.0,5.4e-05,0.0
1,630,165150720,690.3,965.4,296.0,5.1e-05,0.0
1,640,167772160,689.1,893.0,296.0,4.8e-05,0.0
1,650,170393600,689.0,928.0,295.0,4.5e-05,0.0
1,660,173015040,686.8,926.0,294.0,4.3e-05,0.0
1,670,175636480,682.4,1011.4,293.0,4.1e-05,0.0
1,680,178257920,679.2,924.3,292.0,3.9e-05,0.0
1,690,180879360,673.4,931.3,290.0,3.7e-05,0.0
1,700,183500800,668.2,973.7,289.0,3.5e-05,0.0
1,710,186122240,664.3,927.1,287.0,3.4e-05,0.0
1,720,188743680,659.4,917.1,286.0,3.3e-05,0.0
1,730,191365120,657.1,1178.1,285.0,3.2e-05,0.0
1,740,193986560,652.9,932.6,284.0,3.1e-05,0.0
1,750,196608000,653.0,934.9,284.0,3e-05,0.0
1,760,199229440,649.5,940.4,283.0,3e-05,0.0
2,1,262144,6.8,25.4,22.0,0.0003,0.0008
2,10,2621440,75.3,476.5,96.0,0.0003,0.0006
2,20,5242880,181.1,647.9,178.0,0.0003,0.0005
2,30,7864320,262.2,817.5,215.0,0.0003,0.0004
2,40,10485760,288.0,912.2,212.0,0.0003,0.0002
2,50,13107200,286.4,789.2,202.0,0.0003,0.0001
2,60,15728640,283.7,723.0,190.0,0.0003,0.0002
2,70,18350080,282.8,653.6,177.0,0.00029,0.0003
2,80,20971520,277.7,713.6,165.0,0.00029,0.0004
2,90,23592960,273.3,638.2,157.0,0.00029,0.0003
2,100,26214400,269.8,636.1,151.0,0.00029,0.0004
2,110,28835840,266.3,562.7,147.0,0.00029,0.0004
2,120,31457280,265.4,465.8,145.0,0.00028,0.0005
2,130,34078720,264.5,493.2,143.0,0.00028,0.0004
2,140,36700160,264.1,358.0,141.0,0.00028,0.0004
2,150,39321600,264.5,388.3,141.0,0.00028,0.0004
2,160,41943040,266.2,382.8,141.0,0.00027,0.0004
2,170,44564480,269.4,358.9,141.0,0.00027,0.0005
2,180,47185920,273.3,348.1,141.0,0.00027,0.0005
2,190,49807360,280.3,382.0,143.0,0.00026,0.0008
2,200,52428800,301.1,402.9,148.0,0.00026,0.0011
2,210,55050240,331.5,408.7,155.0,0.00025,0.0011
2,220,57671680,346.8,422.6,156.0,0.00025,0.0012
2,230,60293120,351.1,413.8,152.0,0.00024,0.0011
2,240,62914560,352.8,419.7,149.0,0.00024,0.0012
2,250,65536000,357.6,423.7,147.0,0.00024,0.001
2,260,68157440,369.8,438.5,148.0,0.00023,0.0009
2,270,70778880,377.9,450.3,149.0,0.00023,0.0007
2,280,73400320,378.8,458.5,148.0,0.00022,0.0011
2,290,76021760,388.3,464.9,151.0,0.00022,0.0009
2,300,78643200,398.6,470.1,153.0,0.00021,0.0012
2,310,81264640,402.8,484.7,153.0,0.00021,0.001
2,320,83886080,401.2,499.1,151.0,0.0002,0.0007
2,330,86507520,402.7,485.7,150.0,0.00019,0.0007
2,340,89128960,408.8,490.7,152.0,0.00019,0.0008
2,350,91750400,414.2,507.8,153.0,0.00018,0.0008
2,360,94371840,419.5,511.4,154.0,0.00018,0.0007
2,370,96993280,429.1,522.9,156.0,0.00017,0.0006
2,380,99614720,436.8,536.7,158.0,0.00017,0.0005
2,390,102236160,442.6,531.6,159.0,0.00016,0.0004
2,400,104857600,447.0,541.6,160.0,0.00016,0.0004
2,410,107479040,450.0,546.2,160.0,0.00015,0.0004
2,420,110100480,452.1,549.1,161.0,0.00015,0.0005
2,430,112721920,452.3,549.2,160.0,0.00014,0.0003
2,440,115343360,450.9,545.5,160.0,0.00013,0.0003
2,450,117964800,449.4,549.9,159.0,0.00013,0.0003
2,460,120586240,447.3,535.7,159.0,0.00012,0.0002
2,470,123207680,445.3,543.1,159.0,0.00012,0.0002
2,480,125829120,442.2,535.6,158.0,0.00011,0.0003
2,490,128450560,438.7,539.0,157.0,0.00011,0.0002
2,500,131072000,435.1,543.1,156.0,0.0001,0.0002
2,510,133693440,431.1,534.1,155.0,9.8e-05,0.0001
2,520,136314880,428.9,537.0,155.0,9.4e-05,0.0001
2,530,138936320,426.0,533.4,154.0,8.9e-05,0.0001
2,540,141557760,423.2,545.3,154.0,8.5e-05,0.0001
2,550,144179200,420.8,531.9,153.0,8e-05,0.0001
2,560,146800640,417.8,526.7,153.0,7.6e-05,0.0001
2,570,149422080,415.8,528.5,152.0,7.2e-05,0.0001
2,580,152043520,412.6,528.7,152.0,6.8e-05,0.0001
2,590,154664960,411.1,525.4,151.0,6.4e-05,0.0001
2,600,157286400,408.8,533.3,151.0,6.1e-05,0.0001
2,610,159907840,406.5,529.5,150.0,5.7e-05,0.0001
2,620,162529280,404.4,523.1,150.0,5.4e-05,0.0
2,630,165150720,402.0,516.5,149.0,5.1e-05,0.0001
2,640,167772160,401.8,516.4,149.0,4.8e-05,0.0
2,650,170393600,399.8,514.8,149.0,4.5e-05,0.0
2,660,173015040,399.2,512.3,149.0,4.3e-05,0.0
2,670,175636480,397.7,518.8,149.0,4.1e-05,0.0
2,680,178257920,395.7,518.6,149.0,3.9e-05,0.0
2,690,180879360,393.7,515.7,148.0,3.7e-05,0.0
2,700,183500800,392.0,533.8,148.0,3.5e-05,0.0
2,710,186122240,391.1,524.4,148.0,3.4e-05,0.0
2,720,188743680,389.1,519.0,148.0,3.3e-05,0.0
2,730,191365120,388.4,512.7,148.0,3.2e-05,0.0
2,740,193986560,386.7,511.4,147.0,3.1e-05,0.0
2,750,196608000,385.9,505.6,147.0,3e-05,0.0
2,760,199229440,385.3,509.2,147.0,3e-05,0.0
